Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Tribolium_castaneum_rna_prot
OG0000001	XM_001598109.1.p1, XM_001594515.1.p1, XM_001592821.1.p1, XM_001590837.1.p1, XM_001589209.1.p1, XM_001589097.1.p1, XM_001589000.1.p1, XM_001585670.1.p1, XM_001596903.1.p1, XM_001596026.1.p1, XM_001586958.1.p1, XM_001586840.1.p1, XM_001591868.1.p1, XM_001586869.1.p1, XM_001588682.1.p1, XM_001593835.1.p1, XM_001597802.1.p1, XM_001588558.1.p1, XM_001592974.1.p1, XM_001588459.1.p1, XM_001594847.1.p1, XM_001594292.1.p1	TC015598.p1
OG0000004	XM_001592712.1.p1	TC003691.p1, TC004466.p1
OG0000004	XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1, XM_001598793.1.p1	TC008736.p1, TC033474.p1
OG0000005	XM_001598240.1.p1, XM_001585262.1.p1, XM_001586851.1.p1	TC005165.p1, TC013623.p1, TC010824.p1
OG0000007	XM_001591636.1.p1, XM_001587063.1.p1, XM_001585431.1.p1, XM_001589416.1.p1, XM_001590167.1.p1, XM_001589522.1.p1, XM_001592113.1.p1, XM_001593529.1.p1, XM_001594740.1.p1, XM_001597058.1.p1, XM_001595440.1.p1, XM_001593364.1.p1, XM_001596573.1.p1, XM_001592329.1.p1, XM_001590635.1.p1, XM_001593051.1.p1, XM_001593978.1.p1, XM_001593251.1.p1	TC003228.p1, TC000121.p1
OG0000010	XM_001594180.1.p1, XM_001587851.1.p1, XM_001590333.1.p1, XM_001589139.1.p1, XM_001597412.1.p1, XM_001590585.1.p1, XM_001592407.1.p1, XM_001598213.1.p1	TC001278.p1, TC000460.p1, TC000459.p1, TC034705.p1, TC006337.p1, TC005811.p1, TC014220.p1, TC001228.p1
OG0000011	XM_001593858.1.p1, XM_001585969.1.p1, XM_001595185.1.p1, XM_001587742.1.p1, XM_001585940.1.p1	TC014775.p1, TC014776.p1, TC014403.p1, TC014589.p1, TC010434.p1, TC009891.p1, TC009892.p1, TC013750.p1, TC013749.p1, TC014092.p1, TC013751.p1, TC033612.p1, TC033390.p1, TC034098.p1, TC010962.p1, TC014880.p1, TC015346.p1, TC008570.p1, TC013752.p1, TC014090.p1, TC014091.p1, TC014089.p1, TC014386.p1, TC014383.p1, TC014379.p1
OG0000011	XM_001591956.1.p1	TC012253.p1
OG0000012	XM_001597985.1.p1, XM_001586083.1.p1, XM_001586566.1.p1	TC002552.p1, TC002551.p1, TC032581.p1, TC000411.p1
OG0000013	XM_001593161.1.p1, XM_001596549.1.p1	TC034082.p1, TC034279.p1, TC012770.p1, TC012772.p1, TC012769.p1, TC011722.p1, TC011721.p1, TC012771.p1, TC002262.p1, TC012773.p1, TC011737.p1, TC011735.p1, TC011736.p1, TC012027.p1, TC008845.p1, TC009680.p1, TC001572.p1, TC009139.p1, TC010879.p1, TC008262.p1
OG0000014	XM_001588020.1.p1, XM_001588022.1.p1, XM_001592509.1.p1, XM_001585201.1.p1, XM_001585962.1.p1, XM_001592890.1.p1, XM_001596332.1.p1, XM_001596474.1.p1, XM_001596618.1.p1, XM_001596813.1.p1, XM_001598931.1.p1, XM_001591676.1.p1, XM_001593335.1.p1, XM_001595749.1.p1	TC004355.p1
OG0000016	XM_001590858.1.p1, XM_001588252.1.p1, XM_001597259.1.p1, XM_001593310.1.p1, XM_001591158.1.p1	TC000967.p1
OG0000020	XM_001590645.1.p1, XM_001590818.1.p1, XM_001592000.1.p1, XM_001597565.1.p1, XM_001584630.1.p1, XM_001586311.1.p1, XM_001587118.1.p1, XM_001592706.1.p1, XM_001598591.1.p1, XM_001592517.1.p1	TC016355.p1, TC010931.p1, TC002615.p1, TC032565.p1, TC005906.p1, TC005907.p1, TC002612.p1, TC007608.p1, TC032860.p1, TC008348.p1, TC033430.p1, TC015723.p1, TC015721.p1, TC015719.p1, TC015700.p1, TC034017.p1, TC033429.p1, TC015718.p1, TC015717.p1, TC015712.p1, TC015715.p1, TC033746.p1, TC006533.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1, XM_001593129.1.p1, XM_001586689.1.p1, XM_001585536.1.p1, XM_001587388.1.p1, XM_001589348.1.p1, XM_001587680.1.p1, XM_001593008.1.p1, XM_001585002.1.p1	TC012504.p1, TC012503.p1, TC012502.p1, TC012499.p1, TC012500.p1, TC012501.p1, TC012495.p1, TC034363.p1, TC012498.p1, TC012662.p1, TC007061.p1, TC008058.p1, TC009412.p1, TC003368.p1, TC003369.p1, TC014641.p1, TC015992.p1, TC013681.p1, TC014125.p1, TC013679.p1, TC002722.p1, TC002721.p1, TC010423.p1, TC013680.p1, TC013773.p1, TC033050.p1, TC011180.p1, TC032539.p1, TC032538.p1, TC008523.p1, TC015292.p1, TC033334.p1, TC033335.p1, TC015291.p1, TC033333.p1, TC015343.p1, TC015296.p1, TC015295.p1, TC034940.p1, TC004973.p1, TC032033.p1, TC003478.p1
OG0000029	XM_001592206.1.p1, XM_001592449.1.p1, XM_001592457.1.p1, XM_001588471.1.p1	TC004950.p1, TC004951.p1, TC007811.p1, TC004877.p1, TC005686.p1, TC004881.p1, TC004878.p1, TC004879.p1, TC004510.p1, TC009671.p1, TC015923.p1, TC008300.p1, TC008299.p1, TC008301.p1, TC011689.p1
OG0000031	XM_001589524.1.p1, XM_001586174.1.p1, XM_001587417.1.p1	TC007099.p1, TC007098.p1, TC007097.p1, TC007096.p1, TC007506.p1, TC003333.p1, TC001562.p1, TC032153.p1, TC003124.p1, TC000444.p1, TC003122.p1, TC003123.p1, TC003125.p1, TC001358.p1, TC009649.p1, TC009648.p1, TC008610.p1, TC008611.p1, TC034941.p1, TC006833.p1, TC006057.p1
OG0000032	XM_001593976.1.p1, XM_001586473.1.p1, XM_001598634.1.p1, XM_001598538.1.p1	TC009630.p1, TC009625.p1, TC034771.p1, TC033582.p1, TC009178.p1, TC033583.p1, TC009179.p1, TC009626.p1, TC009627.p1, TC009176.p1, TC009177.p1, TC009629.p1, TC009624.p1, TC009180.p1, TC003876.p1, TC013917.p1, TC013918.p1, TC012734.p1, TC015481.p1, TC009872.p1, TC001770.p1
OG0000038	XM_001590964.1.p1	TC010490.p1, TC010489.p1, TC015880.p1, TC000821.p1
OG0000039	XM_001593212.1.p1, XM_001594395.1.p1, XM_001597754.1.p1, XM_001594898.1.p1, XM_001585233.1.p1, XM_001591791.1.p1	TC003797.p1, TC003402.p1
OG0000045	XM_001587065.1.p1, XM_001584886.1.p1, XM_001596516.1.p1, XM_001596031.1.p1, XM_001596126.1.p1, XM_001585380.1.p1, XM_001585698.1.p1, XM_001596367.1.p1	TC000676.p1, TC000675.p1, TC006725.p1, TC005582.p1
OG0000046	XM_001586463.1.p1, XM_001586462.1.p1, XM_001594665.1.p1, XM_001587340.1.p1, XM_001586379.1.p1	TC032506.p1
OG0000048	XM_001597604.1.p1	TC015484.p1
OG0000048	XM_001594212.1.p1	TC009940.p1
OG0000048	XM_001589336.1.p1, XM_001586792.1.p1	TC010495.p1, TC013565.p1, TC002587.p1, TC004142.p1
OG0000050	XM_001598548.1.p1, XM_001594937.1.p1	TC030629.p1
