Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Blumeria_graminis_cds_prot
OG0000000	XM_001588468.1.p1, XM_001593612.1.p1	lcl|LR898471.1_cds_CAD6500575.1_1933.p1
OG0000000	XM_001591185.1.p1	lcl|LR898476.1_cds_CAD6505660.1_7018.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	lcl|LR898476.1_cds_CAD6504952.1_6310.p1
OG0000000	XM_001587932.1.p1	lcl|LR898469.1_cds_CAD6499880.1_1238.p1
OG0000000	XM_001585050.1.p1	lcl|LR898469.1_cds_CAD6499941.1_1299.p1
OG0000001	XM_001585670.1.p1	lcl|LR898469.1_cds_CAD6499704.1_1062.p1, lcl|LR898469.1_cds_CAD6499912.1_1270.p1
OG0000001	XM_001586840.1.p1	lcl|LR898472.1_cds_CAD6501334.1_2692.p1
OG0000001	XM_001588558.1.p1	lcl|LR898471.1_cds_CAD6501079.1_2437.p1
OG0000002	XM_001598579.1.p1	lcl|LR898468.1_cds_CAD6498712.1_70.p1
OG0000002	XM_001592695.1.p1	lcl|LR898474.1_cds_CAD6503671.1_5029.p1, lcl|LR898476.1_cds_CAD6504995.1_6353.p1
OG0000002	XM_001587049.1.p1	lcl|LR898476.1_cds_CAD6505280.1_6638.p1
OG0000002	XM_001596924.1.p1, XM_001596092.1.p1	lcl|LR898478.1_cds_CAD6506533.1_7891.p1
OG0000004	XM_001592712.1.p1, XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1, XM_001598793.1.p1	lcl|LR898473.1_cds_CAD6502870.1_4228.p1
OG0000005	XM_001598240.1.p1	lcl|LR898475.1_cds_CAD6503755.1_5113.p1
OG0000005	XM_001598738.1.p1	lcl|LR898471.1_cds_CAD6501038.1_2396.p1
OG0000005	XM_001589933.1.p1	lcl|LR898469.1_cds_CAD6499309.1_667.p1
OG0000005	XM_001586774.1.p1	lcl|LR898472.1_cds_CAD6502038.1_3396.p1
OG0000005	XM_001584622.1.p1	lcl|LR898472.1_cds_CAD6501376.1_2734.p1
OG0000005	XM_001585072.1.p1	lcl|LR898476.1_cds_CAD6505830.1_7188.p1
OG0000006	XM_001588863.1.p1	lcl|LR898471.1_cds_CAD6501075.1_2433.p1
OG0000006	XM_001592785.1.p1	lcl|LR898474.1_cds_CAD6503297.1_4655.p1
OG0000006	XM_001585971.1.p1, XM_001594656.1.p1	lcl|LR898468.1_cds_CAD6498657.1_15.p1
OG0000006	XM_001586702.1.p1	lcl|LR898476.1_cds_CAD6504892.1_6250.p1
OG0000006	XM_001587520.1.p1	lcl|LR898478.1_cds_CAD6506496.1_7854.p1
OG0000007	XM_001595440.1.p1	lcl|LR898477.1_cds_CAD6506180.1_7538.p1
OG0000009	XM_001587822.1.p1, XM_001586701.1.p1	lcl|LR898477.1_cds_CAD6506263.1_7621.p1
OG0000009	XM_001593400.1.p1	lcl|LR898476.1_cds_CAD6505083.1_6441.p1
OG0000009	XM_001592056.1.p1	lcl|LR898476.1_cds_CAD6505340.1_6698.p1
OG0000009	XM_001584955.1.p1	lcl|LR898476.1_cds_CAD6504690.1_6048.p1
OG0000011	XM_001598486.1.p1	lcl|LR898472.1_cds_CAD6502128.1_3486.p1
