Orthogroup	Arabidopsis_thaliana_rna_prot	Brassica_napus_rna_prot
OG0000000	NR_143404.1.p1, NR_143405.1.p1, NR_143403.1.p1, NR_143402.1.p1	XM_048763925.1.p1
OG0000000	NM_001341577.1.p1	XM_048756012.1.p1
OG0000002	NR_140666.1.p1	XM_048767731.1.p1
OG0000002	NM_148756.2.p1	XM_048757185.1.p1, XM_048740363.1.p1, XM_048738388.1.p1, XM_048738390.1.p1, XM_048738394.1.p1, XM_013858124.1.p1, XM_013865004.1.p1
OG0000002	NM_119053.1.p1	XM_013803122.2.p1, XM_013858339.1.p1, XM_048749584.1.p1, XM_048765882.1.p1, XM_013823515.2.p1, XM_048773968.1.p1, XM_048740384.1.p1, XM_048766772.1.p1, XM_048740385.1.p1, XM_022694001.2.p1, XM_048777001.1.p1, XM_013813279.2.p1, XM_048771288.1.p1, XM_048740569.1.p1, XM_013803110.2.p1, XM_048752941.1.p1, XM_013793941.2.p1, XM_048771435.1.p1, XM_048768179.1.p1, XM_013849586.1.p1, XM_048757471.1.p1, XM_013798582.3.p1, XM_013790753.2.p1, XM_048759710.1.p1, XM_048778106.1.p1, XM_048735420.1.p1, XM_013834867.2.p1, XM_048743636.1.p1, XM_013890317.2.p1, XM_048743707.1.p1, XM_048735490.1.p1, XR_002662271.2.p1, XM_048768183.1.p1, XM_022713964.1.p1, XM_048743969.1.p1, XR_007325816.1.p1, XM_048750236.1.p1, XM_048755868.1.p1, XM_013839497.1.p1, XM_048777038.1.p1, XM_048742128.1.p1, XM_048764153.1.p1, XM_013849176.2.p1, XM_048750218.1.p1, XM_048778126.1.p1, XM_013818751.2.p1, XM_048749441.1.p1, XM_013858237.1.p1, XM_048778134.1.p1, XR_007322029.1.p1, XM_048752966.1.p1, XM_013853598.1.p1, XM_013803529.1.p1, XM_013802438.1.p1, XM_048781666.1.p1, XM_022694023.1.p1, XM_048745621.1.p1, XM_013834187.1.p1, XM_013864569.2.p1, XM_048749801.1.p1, XM_048757559.1.p1, XM_048748821.1.p1
OG0000003	NM_103273.2.p1	XM_013787310.3.p1, XM_022719485.2.p1
OG0000003	NM_179207.3.p1, NM_116955.5.p1	XM_013879633.3.p1
OG0000004	NM_113871.1.p1	XM_022688511.2.p1, XM_048754097.1.p1, XM_048755569.1.p1
OG0000004	NM_103414.1.p1	XM_048747429.1.p1, XM_048750765.1.p1, XM_048755415.1.p1, XM_048764259.1.p1, XM_048759898.1.p1
OG0000004	NM_001161186.1.p1, NM_001161185.1.p1	XM_048739044.1.p1, XM_022694572.2.p1, XM_048764674.1.p1, XM_048772283.1.p1
OG0000004	NM_117034.1.p1, NM_101784.1.p1	XM_048766762.1.p1, XM_048778990.1.p1
OG0000004	NM_001161028.1.p1, NM_001161027.1.p1	XM_048744424.1.p1, XM_048756487.1.p1, XM_048743333.1.p1, XM_013889869.2.p1
OG0000004	NM_103454.1.p1	XM_013874494.2.p1, XR_007316338.1.p1, XM_048761400.1.p1, XM_048780332.1.p1, XM_048758680.1.p1, XM_048781527.1.p1, XM_048749770.1.p1, XM_048749453.1.p1, XR_007315097.1.p1, XR_007327493.1.p1
OG0000006	NM_114576.2.p1, NM_114626.3.p1	XM_013828956.3.p1, XM_013828955.3.p1, XM_013869088.3.p1, XM_048750549.1.p1, XM_013800074.3.p1, XM_013882992.3.p1, XM_013807497.3.p1, XM_048772298.1.p1, XM_013888710.3.p1, XM_048777812.1.p1, XM_013826924.3.p1, XM_013807859.3.p1, XM_013826923.3.p1, XM_048744953.1.p1, XM_013877071.3.p1, XM_013877079.3.p1, XM_013785068.3.p1, XM_048740629.1.p1, XM_048748191.1.p1, XM_048782662.1.p1, XM_013787203.3.p1, XM_013836024.3.p1, XM_013831364.3.p1
OG0000006	NM_114625.3.p1	XM_048767479.1.p1, XM_022715159.2.p1
OG0000009	NM_125027.1.p1	XM_013823774.3.p1, XM_013827332.3.p1, XM_048773072.1.p1
OG0000009	NM_001345199.1.p1	XM_022700934.2.p1, XM_013869885.3.p1, XM_013869884.3.p1
OG0000009	NM_125020.5.p1, NM_001345197.1.p1	XM_048751098.1.p1
OG0000009	NM_001344885.1.p1	XM_048752303.1.p1, XM_048773085.1.p1, XM_048749351.1.p1, XM_048765054.1.p1, XM_048768048.1.p1, XM_048770459.1.p1, XM_048770460.1.p1, XM_022712524.1.p1
OG0000009	NM_001333006.1.p1	XM_013827306.3.p1, XM_013869920.3.p1, XM_013849192.3.p1, XM_048751092.1.p1, XM_048747134.1.p1
OG0000009	NM_125022.1.p1, NM_148138.2.p1	XM_013844642.3.p1, XM_022715021.2.p1, XM_022715019.2.p1, XM_013858999.3.p1, XM_013869911.3.p1
OG0000009	NM_001345198.1.p1, NM_125021.4.p1	XM_013846165.3.p1
OG0000009	NM_118768.1.p1	XM_048763782.1.p1, XM_022716934.2.p1, XM_048764784.1.p1, XM_022692087.2.p1, XM_013849467.3.p1
OG0000009	NM_118767.3.p1	XM_048744256.1.p1, XM_013838421.3.p1, XM_013886854.3.p1
OG0000009	NM_115129.1.p1	XM_048769749.1.p1
OG0000009	NM_115012.4.p1	XM_013806833.3.p1
OG0000009	NM_001339395.1.p1	XM_048781598.1.p1
OG0000009	NM_114761.1.p1	XM_013887012.3.p1, XM_048777780.1.p1
OG0000009	NM_116233.2.p1, NM_001339582.1.p1	XM_013804396.3.p1
OG0000009	NM_148317.5.p1	XM_048739287.1.p1
OG0000009	NM_001338845.1.p1, NM_001338843.1.p1	XM_013870042.3.p1, XM_013817120.3.p1, XM_013789247.3.p1, XM_022706198.2.p1
OG0000009	NM_001085288.2.p1	XM_013832057.3.p1, XM_013800221.3.p1
OG0000009	NM_114931.2.p1	XM_048773062.1.p1
OG0000009	NM_125065.2.p1, NM_125064.2.p1, NM_001345217.1.p1	XM_013884853.3.p1, XM_013785125.3.p1, XM_013790858.3.p1, XM_013883381.3.p1
OG0000009	NM_001336095.1.p1, NM_128243.5.p1	XM_048756443.1.p1, XM_048756444.1.p1, XM_013891598.3.p1, XM_048777729.1.p1, XM_022709600.2.p1, XM_013831817.3.p1, XM_022699207.2.p1
OG0000009	NM_125454.3.p1, NM_001345213.1.p1, NM_001345212.1.p1, NM_125052.1.p1	XM_048765344.1.p1, XM_048740591.1.p1, XM_022707979.2.p1
OG0000009	NM_001198313.2.p1, NM_104442.1.p1, NM_178940.1.p1	XM_048774153.1.p1, XM_048774113.1.p1
OG0000009	NM_001340990.1.p1, NM_117593.3.p1, NM_148325.2.p1	XM_022690715.2.p1
OG0000009	NM_001035786.3.p1	XM_022715535.2.p1, XM_048741163.1.p1, XM_013852502.3.p1, XM_013835348.3.p1, XM_048764645.1.p1, XM_022691135.2.p1, XM_048764666.1.p1, XM_048741156.1.p1, XM_048741154.1.p1, XM_048741152.1.p1, XM_048764646.1.p1, XM_013852769.3.p1
OG0000009	NM_117110.5.p1, NM_001340663.1.p1, NM_001084898.2.p1, NM_117109.1.p1, NM_001340642.1.p1, NM_001340640.1.p1, NM_001340639.1.p1	XM_048768506.1.p1
OG0000009	NM_148060.3.p1, NM_123218.2.p1, NM_001344258.1.p1, NM_123220.3.p1, NM_203132.2.p1, NM_001344257.1.p1	XM_048774053.1.p1, XM_048759186.1.p1, XM_022715328.2.p1, XM_013887300.3.p1
OG0000009	NM_106521.3.p1, NM_106523.2.p1, NM_001334234.1.p1, NM_105301.2.p1, NM_105302.1.p1, NM_105300.1.p1, NM_105335.1.p1, NM_105303.3.p1, NM_117473.1.p1, NM_106520.3.p1, NM_105631.2.p1, NM_106522.2.p1	XM_048761576.1.p1, XM_048761575.1.p1, XM_013824726.2.p1, XM_013854108.3.p1, XM_048781888.1.p1, XM_048759611.1.p1, XM_048766984.1.p1, XM_013797046.3.p1, XM_013824725.2.p1, XM_013795581.3.p1, XM_013794675.3.p1
OG0000009	NM_104727.1.p1, NM_104728.3.p1, NM_101554.2.p1, NM_001332271.1.p1	XM_013888115.3.p1, XM_013786154.3.p1, XM_013803568.3.p1, XM_013791162.3.p1, XM_013804993.3.p1, XM_013804995.3.p1, XM_013804996.3.p1, XM_013791157.3.p1, XM_013804994.3.p1
OG0000009	NM_123865.1.p1	XM_013831870.3.p1
OG0000009	NM_101246.6.p1, NM_001332087.1.p1, NM_001344037.1.p1, NM_122657.4.p1	XM_013815265.3.p1, XM_013843825.3.p1, XM_013842849.3.p1, XM_013836212.3.p1, XM_013838265.3.p1, XM_022691475.2.p1, XM_013809210.3.p1, XM_048765294.1.p1, XM_013838198.3.p1, XM_048741757.1.p1, XM_013853442.3.p1, XM_048765285.1.p1, XM_013819306.3.p1, XM_048734964.1.p1, XM_013785911.3.p1, XM_013818135.3.p1
OG0000009	NM_001336034.1.p1, NM_201806.3.p1, NM_001336035.1.p1	XM_048747844.1.p1
OG0000009	NM_001343751.1.p1, NM_001343755.1.p1, NM_001343750.1.p1, NM_001085145.2.p1, NM_122172.3.p1	XM_013811721.3.p1
OG0000009	NM_122173.1.p1	XM_022717506.2.p1, XM_048752158.1.p1, XM_013860434.3.p1, XM_048752159.1.p1
OG0000009	NM_122486.1.p1	XM_048742795.1.p1, XM_048769491.1.p1
OG0000009	NM_001203604.1.p1	XM_048748765.1.p1, XM_048773856.1.p1
OG0000009	NM_001345065.1.p1	XM_048751786.1.p1, XM_048748061.1.p1
OG0000009	NM_122165.1.p1, NM_001343742.1.p1, NM_122167.3.p1, NM_001343740.1.p1, NM_001344551.1.p1	XM_013824562.3.p1, XM_022715010.2.p1
OG0000009	NM_001343756.1.p1, NM_122179.3.p1, NM_001343757.1.p1	XM_013860487.3.p1, XM_013826751.3.p1, XM_013857309.3.p1, XM_048746560.1.p1, XM_048746559.1.p1
OG0000011	NM_123187.1.p1	XM_048735604.1.p1
