Orthogroup	Arabidopsis_thaliana_rna_prot	Musa_acuminata_rna_prot
OG0000000	NR_143404.1.p1, NR_143405.1.p1, NR_143403.1.p1, NR_143402.1.p1	XM_065159524.1.p1
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	XM_065106675.1.p1, XM_065148159.1.p1, XM_065180974.1.p1, XM_009398764.3.p1, XM_018824998.2.p1, XM_065151753.1.p1, XM_065185231.1.p1, XM_065152954.1.p1, XM_065152951.1.p1, XM_065110355.1.p1, XM_065151176.1.p1, XM_065151205.1.p1, XM_065150838.1.p1, XM_065152962.1.p1, XM_065152959.1.p1, XM_065110357.1.p1, XM_009387053.3.p1, XM_065152950.1.p1, XM_065108619.1.p1, XM_065150702.1.p1, XM_009389008.3.p1, XM_065152958.1.p1, XM_065108618.1.p1, XM_065107333.1.p1, XM_065151665.1.p1, XM_009389004.2.p1, XM_065151692.1.p1, XM_065171332.1.p1, XM_065104354.1.p1, XM_065104347.1.p1, XM_065171245.1.p1, XM_009389795.3.p1, XM_065180591.1.p1, XM_065102195.1.p1, XM_065146199.1.p1, XM_065173963.1.p1, XM_065145935.1.p1
OG0000009	NM_001336095.1.p1, NM_128243.5.p1, NM_125454.3.p1, NM_001345213.1.p1, NM_001345212.1.p1, NM_125052.1.p1, NM_001198313.2.p1, NM_104442.1.p1, NM_178940.1.p1, NM_001340990.1.p1, NM_117593.3.p1, NM_148325.2.p1, NM_125024.1.p1, NM_125691.1.p1, NM_001035786.3.p1, NM_117110.5.p1, NM_001340663.1.p1, NM_001084898.2.p1, NM_117109.1.p1, NM_001340642.1.p1, NM_001340640.1.p1, NM_001340639.1.p1, NM_148060.3.p1, NM_123218.2.p1, NM_001344258.1.p1, NM_123220.3.p1, NM_203132.2.p1, NM_001344257.1.p1, NM_121175.1.p1	XM_065096383.1.p1, XM_065096381.1.p1, XM_009390618.3.p1
OG0000009	NM_106521.3.p1, NM_106523.2.p1, NM_001334234.1.p1, NM_105301.2.p1, NM_105302.1.p1, NM_105300.1.p1, NM_105335.1.p1, NM_105303.3.p1, NM_117473.1.p1, NM_106520.3.p1, NM_105631.2.p1, NM_106522.2.p1, NM_104727.1.p1, NM_104728.3.p1, NM_101554.2.p1, NM_001332271.1.p1, NM_001338381.1.p1, NM_123865.1.p1, NM_101246.6.p1, NM_001332087.1.p1, NM_001344037.1.p1, NM_122657.4.p1, NM_001336034.1.p1, NM_201806.3.p1, NM_001336035.1.p1, NM_122174.2.p1, NM_001343751.1.p1, NM_001343755.1.p1, NM_001343750.1.p1, NM_001085145.2.p1, NM_122172.3.p1, NM_122173.1.p1, NM_122486.1.p1, NM_001203604.1.p1, NM_001345065.1.p1, NM_122165.1.p1, NM_001343742.1.p1, NM_122167.3.p1, NM_001343740.1.p1, NM_001344551.1.p1, NM_001343756.1.p1, NM_122179.3.p1, NM_001343757.1.p1	XM_009407691.2.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_065134742.1.p1, XM_065134741.1.p1, XM_065093259.1.p1, XM_065093258.1.p1, XM_065103814.1.p1, XM_065145905.1.p1, XM_065145903.1.p1, XM_065166402.1.p1, XM_065143949.1.p1, XM_065152857.1.p1, XM_065157512.1.p1, XM_065186831.1.p1, XM_065130862.1.p1, XM_065177504.1.p1, XM_065138395.1.p1
OG0000016	NM_118258.3.p1, NM_001334222.1.p1, NM_001334221.1.p1, NM_001341478.1.p1, NM_112034.3.p1, NM_105253.2.p1, NM_105252.2.p1	XR_010497541.1.p1, XR_010497540.1.p1, XM_065107126.1.p1, XM_065180711.1.p1, XM_065107130.1.p1, XM_065107128.1.p1, XM_065106082.1.p1, XM_065180650.1.p1, XM_065180649.1.p1, XM_065106069.1.p1, XM_065180651.1.p1, XM_018829200.2.p1, XM_065115842.1.p1, XM_065161046.1.p1, XM_065118918.1.p1, XM_065161043.1.p1, XM_065190571.1.p1, XM_065157917.1.p1, XM_065115844.1.p1, XM_065161267.1.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1, NM_116759.3.p1, NM_118446.3.p1, NM_118452.4.p1, NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1, NM_118447.3.p1, NM_001341579.1.p1, NM_114455.2.p1, NM_118460.2.p1, NM_001341598.1.p1, NM_001341575.1.p1, NM_179094.3.p1, NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	XM_009407376.3.p1, XM_065194701.1.p1, XM_009414171.3.p1, XM_065082698.1.p1, XM_018831085.2.p1, XM_065101256.1.p1, XM_065169097.1.p1
OG0000020	NM_001333052.1.p1, NM_121001.2.p1, NM_001337980.1.p1, NM_001337982.1.p1, NM_001337983.1.p1, NM_112058.4.p1, NM_112059.2.p1, NM_112060.3.p1, NM_127866.3.p1, NM_001161057.2.p1, NM_201787.2.p1, NM_179703.2.p1, NM_127865.3.p1, NM_001335834.1.p1, NM_127862.4.p1, NM_001335831.1.p1, NM_127857.5.p1, NM_179702.1.p1, NM_001335827.1.p1, NM_127863.5.p1, NM_001335832.1.p1, NM_001335833.1.p1, NM_001036325.3.p1, NM_111880.5.p1, NM_001337877.1.p1, NM_001035592.2.p1, NM_001337876.1.p1, NM_001334576.1.p1, NM_105987.1.p1, NM_001334583.1.p1, NM_123009.4.p1, NM_001344130.1.p1, NM_001344131.1.p1, NM_001344129.1.p1, NM_001334579.1.p1, NM_001334578.1.p1, NM_001334584.1.p1, NM_105990.2.p1, NM_001334580.1.p1, NM_001334582.1.p1, NM_001334581.1.p1, NM_001334577.1.p1	XM_065148737.1.p1, XR_010486136.1.p1, XM_065175924.1.p1, XM_065148736.1.p1, XM_065102580.1.p1, XM_065144983.1.p1, XM_065155139.1.p1, XM_065143726.1.p1, XM_065140022.1.p1, XM_065088854.1.p1, XM_065090883.1.p1, XM_065133039.1.p1
OG0000021	NM_111666.4.p1, NM_113293.5.p1, NM_111499.4.p1, NM_001340790.1.p1, NM_117326.4.p1, NM_001084908.2.p1, NM_001341541.1.p1	XR_010501772.1.p1, XR_010501781.1.p1, XR_010501785.1.p1, XR_010501784.1.p1, XR_010501779.1.p1, XR_010501777.1.p1, XR_010501775.1.p1, XR_010501771.1.p1, XR_010501773.1.p1, XM_065087439.1.p1, XM_018819605.2.p1, XM_065129329.1.p1, XM_065129330.1.p1, XR_010491880.1.p1, XR_010491879.1.p1, XR_010491877.1.p1, XR_010491875.1.p1, XR_010501789.1.p1, XR_010501788.1.p1, XM_065087433.1.p1
OG0000022	NM_001035956.2.p1, NM_101102.3.p1, NM_101132.2.p1, NM_001338589.1.p1, NM_113146.2.p1, NM_001332043.1.p1, NM_001332042.1.p1, NM_001334168.1.p1, NM_001198380.2.p1, NM_001341830.1.p1, NM_112544.3.p1, NM_123482.3.p1, NM_001344390.1.p1, NM_121670.4.p1, NM_105133.2.p1, NM_104949.2.p1, NM_001334048.1.p1, NM_104945.3.p1, NM_001198366.2.p1, NM_001334047.1.p1, NM_105019.2.p1, NM_104969.4.p1, NM_104991.3.p1, NM_001334065.1.p1, NM_104986.3.p1, NM_104971.3.p1, NM_104985.1.p1, NM_001331633.1.p1, NM_100537.4.p1, NM_118814.3.p1	XM_009420498.3.p1
