Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Mycosphaerella_fijiensis_rna_prot
OG0000000	XM_001593612.1.p1	XM_007924907.1.p1
OG0000000	XM_001587566.1.p1	XM_007928287.1.p1
OG0000000	XM_001595534.1.p1	XM_007932465.1.p1
OG0000000	XM_001598353.1.p1	XM_007927298.1.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	XM_007932484.1.p1, XM_007933083.1.p1
OG0000000	XM_001587932.1.p1	XM_007926341.1.p1
OG0000000	XM_001597299.1.p1	XM_007922934.1.p1
OG0000000	XM_001586612.1.p1	XM_007924197.1.p1
OG0000000	XM_001586073.1.p1	XM_007931355.1.p1
OG0000001	XM_001592821.1.p1	XM_007926719.1.p1, XM_007926420.1.p1
OG0000001	XM_001596903.1.p1	XM_007921608.1.p1
OG0000001	XM_001586958.1.p1, XM_001586840.1.p1	XM_007927567.1.p1
OG0000001	XM_001591868.1.p1	XM_007923179.1.p1
OG0000001	XM_001588682.1.p1	XM_007926083.1.p1
OG0000001	XM_001593835.1.p1	XM_007924846.1.p1
OG0000001	XM_001588558.1.p1	XM_007922801.1.p1, XM_007921834.1.p1
OG0000001	XM_001592974.1.p1	XM_007927066.1.p1
OG0000001	XM_001588459.1.p1	XM_007927219.1.p1, XM_007924316.1.p1
OG0000001	XM_001594847.1.p1	XM_007922592.1.p1
OG0000001	XM_001594292.1.p1	XM_007924274.1.p1
OG0000002	XM_001597407.1.p1, XM_001598579.1.p1	XM_007921653.1.p1
OG0000002	XM_001594479.1.p1	XM_007931897.1.p1
OG0000002	XM_001594076.1.p1	XM_007925074.1.p1
OG0000002	XM_001588872.1.p1	XM_007931473.1.p1
OG0000002	XM_001587049.1.p1	XM_007931580.1.p1
OG0000002	XM_001585463.1.p1	XM_007924282.1.p1
OG0000002	XM_001586214.1.p1	XM_007930420.1.p1
OG0000002	XM_001589076.1.p1	XM_007927131.1.p1
OG0000002	XM_001596924.1.p1, XM_001596092.1.p1	XM_007925718.1.p1
OG0000003	XM_001597102.1.p1	XM_007931802.1.p1
OG0000003	XM_001594017.1.p1	XM_007926252.1.p1
OG0000003	XM_001592856.1.p1	XM_007927267.1.p1
OG0000003	XM_001592033.1.p1	XM_007929866.1.p1
OG0000003	XM_001596719.1.p1	XM_007924330.1.p1
OG0000005	XM_001598240.1.p1	XM_007921777.1.p1
OG0000005	XM_001586851.1.p1	XM_007924848.1.p1
OG0000005	XM_001597228.1.p1	XM_007933039.1.p1, XM_007927712.1.p1, XM_007926516.1.p1
OG0000005	XM_001584813.1.p1, XM_001598738.1.p1	XM_007931559.1.p1
OG0000005	XM_001588834.1.p1	XM_007932656.1.p1, XM_007933104.1.p1
OG0000005	XM_001594565.1.p1	XM_007926942.1.p1
OG0000005	XM_001586774.1.p1	XM_007933252.1.p1
