Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Nilaparvata_lugens_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_039441230.1.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_039442555.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_039430493.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_039439949.1.p1, XM_039439950.1.p1, XM_039439945.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_022336825.2.p1, XM_039431077.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_039442563.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_039428593.1.p1, XM_039428595.1.p1, XM_039428603.1.p1, XM_039428592.1.p1, XM_039428602.1.p1, XM_039428601.1.p1, XM_039428597.1.p1, XM_039428599.1.p1, XM_039428604.1.p1, XM_039428600.1.p1, XM_039428596.1.p1, XM_039428591.1.p1, XM_039428584.1.p1, XM_039428587.1.p1, XM_039428581.1.p1, XM_039428583.1.p1, XM_039428576.1.p1, XM_039428571.1.p1, XM_039428588.1.p1, XM_039428574.1.p1, XM_039428575.1.p1, XM_039428577.1.p1, XM_039428579.1.p1, XM_039428567.1.p1, XM_039428569.1.p1, XM_039428589.1.p1, XM_039428594.1.p1, XM_039428585.1.p1, XM_039428564.1.p1, XM_039428568.1.p1, XM_039428578.1.p1, XM_039428586.1.p1, XM_039428580.1.p1, XM_039428570.1.p1, XM_039428573.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_022331278.2.p1, XM_022331279.2.p1, XM_022331275.2.p1, XM_022331277.2.p1, XM_022331281.2.p1, XM_022331273.2.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_039426635.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_039440578.1.p1, XM_039440577.1.p1, XM_039440575.1.p1, XM_039440574.1.p1, XM_039440579.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_022340430.2.p1, XM_022330037.2.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RA.p1	XM_022341447.2.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_039438356.1.p1, XM_039438354.1.p1, XM_039438357.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_039439324.1.p1
OG0000000	gnl|WGS_AAJJ|TC032329-RA.p1	XM_039428684.1.p1, XM_039428677.1.p1
OG0000000	gnl|WGS_AAJJ|TC032327-RA.p1	XM_022330636.2.p1, XM_022339085.2.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_022335611.2.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_039437405.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_039443226.1.p1
OG0000001	gnl|WGS_AAJJ|TC002178-RA.p1	XM_039427494.1.p1, XM_039422828.1.p1, XM_039435766.1.p1, XM_039435251.1.p1, XM_022340725.2.p1, XM_022339809.2.p1
OG0000001	gnl|WGS_AAJJ|TC001838-RA.p1	XM_039435739.1.p1, XM_039430577.1.p1, XM_039431847.1.p1
OG0000001	gnl|WGS_AAJJ|TC016140-RA.p1	XM_022339370.1.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1	XM_039426134.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_039442807.1.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_039423910.1.p1, XM_039422811.1.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	XM_039424904.1.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_039421682.1.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_039421698.1.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	XM_039426857.1.p1, XM_039425698.1.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_039421227.1.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_039427384.1.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	XM_039422541.1.p1
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	XM_039435179.1.p1, XM_039434326.1.p1, XM_022336628.2.p1, XM_022329411.2.p1, XM_039427488.1.p1, XM_022344990.2.p1
OG0000003	gnl|WGS_AAJJ|TC007316-RA.p1, gnl|WGS_AAJJ|TC033366-RA.p1	XM_039442228.1.p1
OG0000004	gnl|WGS_AAJJ|TC016307-RA.p1	XM_022343746.2.p1
OG0000004	gnl|WGS_AAJJ|TC008770-RA.p1	XM_022344625.2.p1, XM_022344627.2.p1, XM_022344626.2.p1
OG0000004	gnl|WGS_AAJJ|TC002434-RA.p1, gnl|WGS_AAJJ|TC003509-RA.p1	XM_022333975.2.p1, XM_039431898.1.p1, XM_039431899.1.p1, XM_039432479.1.p1
OG0000004	gnl|WGS_AAJJ|TC013809-RA.p1	XM_022351782.2.p1
OG0000004	gnl|WGS_AAJJ|TC013815-RA.p1	XM_022343747.2.p1, XM_039438532.1.p1
OG0000004	gnl|WGS_AAJJ|TC013818-RA.p1	XM_022334169.2.p1
OG0000004	gnl|WGS_AAJJ|TC013808-RA.p1	XM_022339247.2.p1
OG0000004	gnl|WGS_AAJJ|TC002908-RA.p1	XM_022332747.2.p1
OG0000004	gnl|WGS_AAJJ|TC011337-RA.p1	XM_022347578.2.p1
OG0000005	gnl|WGS_AAJJ|TC032756-RA.p1, gnl|WGS_AAJJ|TC032756-RB.p1, gnl|WGS_AAJJ|TC007632-RA.p1	XM_022351941.2.p1, XM_022334292.2.p1, XM_039420709.1.p1
OG0000005	gnl|WGS_AAJJ|TC034323-RA.p1, gnl|WGS_AAJJ|TC034242-RA.p1, gnl|WGS_AAJJ|TC012285-RA.p1, gnl|WGS_AAJJ|TC012282-RA.p1, gnl|WGS_AAJJ|TC034240-RA.p1, gnl|WGS_AAJJ|TC034241-RA.p1, gnl|WGS_AAJJ|TC012281-RA.p1, gnl|WGS_AAJJ|TC012283-RA.p1, gnl|WGS_AAJJ|TC033603-RA.p1, gnl|WGS_AAJJ|TC004273-RA.p1, gnl|WGS_AAJJ|TC004274-RA.p1	XM_022341939.2.p1, XM_039427210.1.p1, XM_039427482.1.p1
OG0000006	gnl|WGS_AAJJ|TC009412-RA.p1	XM_039421997.1.p1, XM_039420493.1.p1, XM_039422001.1.p1, XM_039422002.1.p1, XM_039421108.1.p1
OG0000006	gnl|WGS_AAJJ|TC003369-RA.p1, gnl|WGS_AAJJ|TC003368-RA.p1, gnl|WGS_AAJJ|TC002721-RA.p1, gnl|WGS_AAJJ|TC002722-RB.p1, gnl|WGS_AAJJ|TC010423-RA.p1, gnl|WGS_AAJJ|TC014125-RA.p1, gnl|WGS_AAJJ|TC013679-RA.p1, gnl|WGS_AAJJ|TC013680-RA.p1, gnl|WGS_AAJJ|TC015992-RA.p1, gnl|WGS_AAJJ|TC013681-RA.p1, gnl|WGS_AAJJ|TC014641-RA.p1, gnl|WGS_AAJJ|TC013773-RA.p1, gnl|WGS_AAJJ|TC033050-RA.p1	XM_039432788.1.p1, XM_022328166.2.p1
OG0000006	gnl|WGS_AAJJ|TC008058-RA.p1	XM_039422649.1.p1
OG0000006	gnl|WGS_AAJJ|TC015296-RA.p1, gnl|WGS_AAJJ|TC015292-RA.p1, gnl|WGS_AAJJ|TC033334-RA.p1, gnl|WGS_AAJJ|TC015291-RA.p1, gnl|WGS_AAJJ|TC033335-RA.p1, gnl|WGS_AAJJ|TC015343-RA.p1, gnl|WGS_AAJJ|TC033333-RA.p1, gnl|WGS_AAJJ|TC008523-RA.p1, gnl|WGS_AAJJ|TC032538-RA.p1, gnl|WGS_AAJJ|TC032539-RA.p1, gnl|WGS_AAJJ|TC011180-RA.p1, gnl|WGS_AAJJ|TC032033-RA.p1, gnl|WGS_AAJJ|TC004973-RA.p1	XM_039436036.1.p1, XM_022332988.2.p1, XM_022332991.2.p1, XM_039432219.1.p1, XM_039432203.1.p1, XM_039429484.1.p1, XM_039428351.1.p1, XM_039434774.1.p1, XM_022330036.2.p1, XM_039437386.1.p1
OG0000007	gnl|WGS_AAJJ|TC012952-RA.p1, gnl|WGS_AAJJ|TC031727-RA.p1, gnl|WGS_AAJJ|TC033506-RA.p1, gnl|WGS_AAJJ|TC031778-RA.p1	XM_022332395.2.p1
OG0000007	gnl|WGS_AAJJ|TC004268-RA.p1, gnl|WGS_AAJJ|TC002641-RA.p1, gnl|WGS_AAJJ|TC002008-RA.p1	XM_039443224.1.p1, XM_039438016.1.p1, XM_039443182.1.p1
OG0000007	gnl|WGS_AAJJ|TC016404-RA.p1, gnl|WGS_AAJJ|TC031295-RA.p1, gnl|WGS_AAJJ|TC012951-RA.p2	XR_005570322.1.p1
OG0000007	gnl|WGS_AAJJ|TC031351-RA.p1, gnl|WGS_AAJJ|TC031012-RA.p1	XM_039431575.1.p2
OG0000007	gnl|WGS_AAJJ|TC005019-RA.p1, gnl|WGS_AAJJ|TC005019-RB.p1, gnl|WGS_AAJJ|TC031715-RA.p1, gnl|WGS_AAJJ|TC031650-RA.p1	XM_039426832.1.p1, XM_022336546.2.p1
OG0000007	gnl|WGS_AAJJ|TC002322-RA.p1	XM_039444324.1.p1, XR_005572893.1.p1, XM_039444148.1.p1
OG0000007	gnl|WGS_AAJJ|TC002657-RA.p1	XM_039441839.1.p1
OG0000008	gnl|WGS_AAJJ|TC003832-RA.p1	XM_039438381.1.p1
OG0000008	gnl|WGS_AAJJ|TC013138-RA.p1	XM_039438404.1.p1
OG0000008	gnl|WGS_AAJJ|TC013128-RA.p1	XM_039438395.1.p1
