Orthogroup	Sclerotinia_sclerotiorum	Magnaporthe_oryzae
OG0000000	XM_001585050.1.p1	XM_003708843.1.p1
OG0000000	XM_001597299.1.p1	XM_003716616.1.p1
OG0000000	XM_001587932.1.p1	XM_003712370.1.p1
OG0000000	XM_001591185.1.p1	XM_003713291.1.p1
OG0000000	XM_001593612.1.p1, XM_001588468.1.p1	XM_003715582.1.p1, XM_003715583.1.p1, XM_003720116.1.p1, XM_003711162.1.p1, XM_003709298.1.p1, XM_003718774.1.p1, XM_003711653.1.p1, XM_003710225.1.p1, XM_003714850.1.p1, XM_003710896.1.p1, XM_003716483.1.p1, XM_003713211.1.p1, XM_003719386.1.p1, XM_003711514.1.p1
OG0000000	XM_001596315.1.p1	XM_003719535.1.p1
OG0000000	XM_001587566.1.p1	XM_003709037.1.p1
OG0000000	XM_001586612.1.p1	XM_003717350.1.p1
OG0000000	XM_001586073.1.p1	XM_003713029.1.p1
OG0000000	XM_001595288.1.p1	XM_003716383.1.p1, XM_003710695.1.p1, XM_003713167.1.p1
OG0000000	XM_001598353.1.p1	XM_016990509.1.p1
OG0000000	XM_001596634.1.p1, XM_001589596.1.p1	XM_003718862.1.p1
OG0000001	XM_001584772.1.p1	XM_003711155.1.p1
OG0000001	XM_001584562.1.p1	XM_003711837.1.p1
OG0000001	XM_001591073.1.p1	XM_003720778.1.p1, XM_003716013.1.p1
OG0000001	XM_001587520.1.p1	XM_003719551.1.p1
OG0000001	XM_001588137.1.p1	XM_003711479.1.p1, XM_003711478.1.p1
OG0000001	XM_001586702.1.p1	XM_003715041.1.p1
OG0000001	XM_001596808.1.p1	XM_003712582.1.p1
OG0000001	XM_001588863.1.p1	XM_003713840.1.p1
OG0000001	XM_001594656.1.p1, XM_001585971.1.p1	XM_003713410.1.p1
OG0000001	XM_001597248.1.p1, XM_001595264.1.p1, XM_001585666.1.p1	XM_003717613.1.p1
OG0000004	XM_001593090.1.p1	XM_003715719.1.p1
OG0000004	XM_001593858.1.p1	XM_003712465.1.p1
OG0000004	XM_001589489.1.p1	XM_003711434.1.p1
OG0000005	XM_001590333.1.p1	XM_003720294.1.p1
OG0000005	XM_001597412.1.p1	XM_003719317.1.p1, XM_003720987.1.p1
OG0000005	XM_001589139.1.p1	XM_003712971.1.p1
OG0000005	XM_001587851.1.p1	XM_003715195.1.p1, XM_003711129.1.p1, XM_003716412.1.p1, XM_003713075.1.p1
OG0000008	XM_001588452.1.p1, XM_001586311.1.p1, XM_001584630.1.p1	XM_003711449.1.p1
OG0000008	XM_001590818.1.p1	XM_003714368.1.p1
OG0000008	XM_001597565.1.p1, XM_001592000.1.p1	XM_003713334.1.p1
OG0000008	XM_001587052.1.p1, XM_001598845.1.p1	XM_003711712.1.p1
OG0000009	XM_001593713.1.p1	XM_003715414.1.p1
OG0000009	XM_001594017.1.p1	XM_003711780.1.p1, XM_003715083.1.p1, XM_003714473.1.p1, XM_003716501.1.p1
OG0000011	XM_001593976.1.p1, XM_001586473.1.p1	XM_003713537.1.p1
OG0000011	XM_001587657.1.p1	XM_003719004.1.p1
OG0000011	XM_001588011.1.p1	XM_003713124.1.p1
OG0000011	XM_001592925.1.p1	XM_003715915.1.p1, XM_003714207.1.p1
OG0000014	XM_001594004.1.p1, XM_001594005.1.p1	XM_003720191.1.p1
OG0000014	XM_001590870.1.p1	XM_003718485.1.p1
OG0000014	XM_001589798.1.p1	XM_003719935.1.p1
OG0000014	XM_001596631.1.p1	XM_003713692.1.p1
OG0000014	XM_001585247.1.p1	XM_003719116.1.p1
OG0000014	XM_001587951.1.p1	XM_003711365.1.p1
OG0000014	XM_001598899.1.p1	XM_003709278.1.p1
OG0000018	XM_001597976.1.p1, XM_001587752.1.p1	XM_003716504.1.p1
OG0000018	XM_001596769.1.p1	XM_003719601.1.p1
OG0000019	XM_001589076.1.p1	XM_003714734.1.p1
OG0000019	XM_001592631.1.p1, XM_001592437.1.p1	XM_003720430.1.p1
OG0000019	XM_001586214.1.p1	XM_003708888.1.p1
OG0000019	XM_001598197.1.p1, XM_001592371.1.p1	XM_003714176.1.p1
OG0000019	XM_001598780.1.p1	XM_003710493.1.p1
OG0000019	XM_001597407.1.p1	XM_003711146.1.p1, XM_003713736.1.p1
OG0000020	XM_001598931.1.p1	XM_003711446.1.p1
OG0000020	XM_001596813.1.p1	XM_003711838.1.p1
OG0000021	XM_001586774.1.p1	XM_003709247.1.p1
OG0000029	XM_001598206.1.p1	XM_003718559.1.p1
OG0000034	XM_001593239.1.p1, XM_001589463.1.p1	XM_003720026.1.p1
OG0000034	XM_001585013.1.p1, XM_001598881.1.p1	XM_003710199.1.p1
OG0000034	XM_001588213.1.p1	XM_003711371.1.p1
OG0000034	XM_001584503.1.p1	XM_003718317.1.p1
OG0000034	XM_001592971.1.p1	XM_003711416.1.p1, XM_003716950.1.p1, XM_003719075.1.p1, XM_003715957.1.p1
OG0000035	XM_001593841.1.p1	XM_003717454.1.p1
OG0000037	XM_001588880.1.p1	XM_003719534.1.p1
OG0000048	XM_001589481.1.p1, XM_001593433.1.p1	XM_003713944.1.p1, XM_003713945.1.p1
