Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Rhizoctonia_solani_rna_prot
OG0000000	XM_001587566.1.p1	XM_043329191.1.p1, XM_043325914.1.p1
OG0000000	XM_001597027.1.p1, XM_001589120.1.p1, XM_001595534.1.p1	XM_043331271.1.p1
OG0000000	XM_001598353.1.p1	XM_043328813.1.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	XM_043321462.1.p1
OG0000000	XM_001587932.1.p1, XM_001597299.1.p1	XM_043327559.1.p1, XM_043327525.1.p1
OG0000000	XM_001585050.1.p1	XM_043329713.1.p1
OG0000000	XM_001586612.1.p1, XM_001586073.1.p1	XM_043326333.1.p1, XM_043326059.1.p1
OG0000001	XM_001592821.1.p1, XM_001590837.1.p1	XM_043325273.1.p1
OG0000001	XM_001586958.1.p1, XM_001586840.1.p1, XM_001591868.1.p1	XM_043324367.1.p1, XM_043324329.1.p1
OG0000001	XM_001586869.1.p1	XM_043323660.1.p1
OG0000001	XM_001588682.1.p1, XM_001593835.1.p1, XM_001597802.1.p1, XM_001588558.1.p1, XM_001592974.1.p1, XM_001588459.1.p1	XM_043321129.1.p1
OG0000002	XM_001597407.1.p1, XM_001598579.1.p1	XM_043320448.1.p1, XM_043324957.1.p1
OG0000002	XM_001594265.1.p1, XM_001585353.1.p1	XM_043329052.1.p1
OG0000002	XM_001585463.1.p1	XM_043320830.1.p1
OG0000002	XM_001586214.1.p1, XM_001589076.1.p1, XM_001592371.1.p1, XM_001598197.1.p1, XM_001584996.1.p1, XM_001592631.1.p1, XM_001584832.1.p1, XM_001598780.1.p1, XM_001595108.1.p1	XM_043331963.1.p1, XM_043325041.1.p1, XM_043323823.1.p1, XM_043331964.1.p1
OG0000002	XM_001592437.1.p1	XM_043321596.1.p1
OG0000003	XM_001597102.1.p1	XM_043331792.1.p1
OG0000004	XM_001592712.1.p1	XM_043330501.1.p1, XM_043322214.1.p1, XM_043327394.1.p1, XM_043325249.1.p1, XM_043323089.1.p1
OG0000004	XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1	XM_043321215.1.p1, XM_043323100.1.p1, XM_043326588.1.p1, XM_043329181.1.p1, XM_043323403.1.p1, XM_043330138.1.p1, XM_043328621.1.p1, XM_043322711.1.p1, XM_043328022.1.p1, XM_043322224.1.p1, XM_043325958.1.p1, XM_043331891.1.p1, XM_043326591.1.p1
OG0000004	XM_001598793.1.p1	XM_043325848.1.p1
OG0000004	XM_001590148.1.p1, XM_001589143.1.p1, XM_001595066.1.p1, XM_001593416.1.p1, XM_001591744.1.p1	XM_043326015.1.p1, XM_043331119.1.p1, XM_043325744.1.p1, XM_043326957.1.p1, XM_043321192.1.p1, XM_043323098.1.p1, XM_043325959.1.p1, XM_043327748.1.p1, XM_043331812.1.p1, XM_043327796.1.p1, XM_043327419.1.p1, XM_043326745.1.p1, XM_043326493.1.p1
OG0000004	XM_001595585.1.p1, XM_001593987.1.p1, XM_001595584.1.p1, XM_001593460.1.p1, XM_001598271.1.p1, XM_001594402.1.p1, XM_001584494.1.p1, XM_001589759.1.p1, XM_001593459.1.p1, XM_001592651.1.p1, XM_001592714.1.p1, XM_001592148.1.p1, XM_001595196.1.p1	XM_043326795.1.p1
OG0000005	XM_001597228.1.p1, XM_001584813.1.p1, XM_001598738.1.p1	XM_043331406.1.p1, XM_043331540.1.p1, XM_043326325.1.p1, XM_043329958.1.p1, XM_043329957.1.p1, XM_043329955.1.p1, XM_043323250.1.p1, XM_043326379.1.p1, XM_043322902.1.p1, XM_043326304.1.p1
OG0000005	XM_001588834.1.p1	XM_043323178.1.p1, XM_043323185.1.p1, XM_043323177.1.p1
OG0000005	XM_001594565.1.p1	XM_043326399.1.p1
OG0000005	XM_001586774.1.p1	XM_043328392.1.p1
OG0000006	XM_001588137.1.p1	XM_043321645.1.p1
OG0000006	XM_001587520.1.p1	XM_043323202.1.p1, XM_043323022.1.p1
OG0000006	XM_001584562.1.p1, XM_001584772.1.p1	XM_043324044.1.p1
OG0000006	XM_001595264.1.p1, XM_001585666.1.p1, XM_001597248.1.p1	XM_043327165.1.p1
OG0000007	XM_001591636.1.p1	XM_043328255.1.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1	XM_043328263.1.p1, XM_043328311.1.p1, XM_043326121.1.p1
OG0000007	XM_001589522.1.p1	XM_043331535.1.p1, XM_043322978.1.p1
OG0000007	XM_001593529.1.p1	XM_043325937.1.p1
OG0000007	XM_001594740.1.p1, XM_001597058.1.p1, XM_001595440.1.p1	XM_043325519.1.p1
OG0000007	XM_001593364.1.p1	XM_043330932.1.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1, XM_001593251.1.p1	XM_043324141.1.p1, XM_043324856.1.p1, XM_043324859.1.p1, XM_043324858.1.p1
OG0000009	XM_001587822.1.p1, XM_001586701.1.p1	XM_043327096.1.p1
OG0000009	XM_001593400.1.p1	XM_043322444.1.p1
OG0000009	XM_001598922.1.p1	XM_043331420.1.p1
OG0000009	XM_001595645.1.p1, XM_001591183.1.p1	XM_043327166.1.p1
OG0000009	XM_001584585.1.p1	XM_043328823.1.p1
OG0000010	XM_001587851.1.p1, XM_001590333.1.p1	XM_043331570.1.p1
OG0000011	XM_001589489.1.p1	XM_043327965.1.p1, XM_043331405.1.p1, XM_043331051.1.p1
OG0000011	XM_001594075.1.p1, XM_001587898.1.p1, XM_001589484.1.p1	XM_043320362.1.p1
OG0000011	XM_001591956.1.p1	XM_043325271.1.p1
OG0000013	XM_001584703.1.p1	XM_043327403.1.p1
