Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Aphis_gossypii_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_027981735.2.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_050204626.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_027991972.2.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_027994117.2.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_027986757.2.p1, XM_027986756.2.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_027982603.2.p1, XM_027981714.2.p1, XM_050205564.1.p1, XM_050205626.1.p1, XM_050205685.1.p1, XM_050205704.1.p1, XR_007605552.1.p1, XM_050205696.1.p1, XM_050205651.1.p1, XM_050205640.1.p1, XM_050205616.1.p1, XM_050205607.1.p1, XM_050205606.1.p1, XM_050205598.1.p1, XM_027983224.2.p1, XM_050205585.1.p1, XM_027983532.2.p1, XM_027983605.2.p1, XM_027981873.2.p1, XM_050205592.1.p1, XM_027983072.2.p1, XM_027982909.2.p1, XM_027982989.2.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_027991348.2.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_050198266.1.p1, XM_050198262.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_027983285.2.p1, XM_027983284.2.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_027981116.2.p1, XM_027981117.2.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_027992465.2.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_027995157.2.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_027993778.2.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_027997000.2.p1, XM_050207249.1.p1, XM_050203868.1.p1, XM_050207315.1.p1, XM_027990244.2.p1, XM_027982138.2.p1, XM_050203771.1.p1, XM_050207588.1.p1, XM_050199080.1.p1, XM_050208356.1.p1, XM_050207280.1.p1, XM_050207145.1.p1, XM_027988088.2.p1, XM_027990372.2.p1, XM_050206983.1.p1, XM_027997635.2.p1, XM_050202374.1.p1, XM_027982559.2.p1, XM_050198410.1.p1, XM_050209465.1.p1, XM_050209956.1.p1, XM_050209926.1.p1, XM_050210065.1.p1, XM_027991633.2.p1, XM_050209050.1.p1, XM_050206364.1.p1, XM_050208212.1.p1, XM_027994310.2.p1, XM_050202855.1.p1, XM_027983603.2.p1, XM_050210341.1.p1
OG0000001	gnl|WGS_AAJJ|TC010714-RA.p1, gnl|WGS_AAJJ|TC010711-RA.p1, gnl|WGS_AAJJ|TC010710-RA.p1, gnl|WGS_AAJJ|TC006136-RA.p1, gnl|WGS_AAJJ|TC010713-RA.p1	XM_027986677.2.p1, XM_050198129.1.p1, XM_027993595.2.p1
OG0000001	gnl|WGS_AAJJ|TC001684-RA.p1	XM_050208217.1.p1
OG0000001	gnl|WGS_AAJJ|TC002454-RA.p1	XM_050209571.1.p1
OG0000001	gnl|WGS_AAJJ|TC016140-RA.p1	XM_050198127.1.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1	XM_050200900.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_027994991.2.p1
OG0000002	gnl|WGS_AAJJ|TC000545-RA.p1	XM_050200795.1.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_027994461.2.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_027984192.2.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	XM_050203859.1.p1, XM_027987250.2.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_050199433.1.p1, XM_050199431.1.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_027987274.2.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	XM_027989667.2.p1
OG0000002	gnl|WGS_AAJJ|TC002768-RA.p1	XM_027992458.2.p1
OG0000003	gnl|WGS_AAJJ|TC015553-RA.p1, gnl|WGS_AAJJ|TC000856-RA.p1, gnl|WGS_AAJJ|TC015103-RA.p1, gnl|WGS_AAJJ|TC010237-RA.p1, gnl|WGS_AAJJ|TC015546-RA.p1, gnl|WGS_AAJJ|TC010239-RA.p1, gnl|WGS_AAJJ|TC032503-RA.p1, gnl|WGS_AAJJ|TC010238-RB.p1, gnl|WGS_AAJJ|TC033365-RA.p1, gnl|WGS_AAJJ|TC031668-RA.p1, gnl|WGS_AAJJ|TC015160-RA.p1, gnl|WGS_AAJJ|TC010255-RA.p1, gnl|WGS_AAJJ|TC015102-RA.p1, gnl|WGS_AAJJ|TC010254-RA.p1, gnl|WGS_AAJJ|TC010253-RA.p1, gnl|WGS_AAJJ|TC010245-RA.p1, gnl|WGS_AAJJ|TC010251-RA.p1, gnl|WGS_AAJJ|TC010244-RA.p1, gnl|WGS_AAJJ|TC007316-RA.p1, gnl|WGS_AAJJ|TC033366-RA.p1, gnl|WGS_AAJJ|TC032833-RA.p1, gnl|WGS_AAJJ|TC033142-RA.p1, gnl|WGS_AAJJ|TC014361-RA.p1, gnl|WGS_AAJJ|TC013433-RA.p1, gnl|WGS_AAJJ|TC014346-RA.p1, gnl|WGS_AAJJ|TC031667-RA.p1, gnl|WGS_AAJJ|TC010252-RA.p1, gnl|WGS_AAJJ|TC007321-RA.p1, gnl|WGS_AAJJ|TC007320-RA.p1, gnl|WGS_AAJJ|TC007317-RA.p1, gnl|WGS_AAJJ|TC031205-RA.p1, gnl|WGS_AAJJ|TC007315-RA.p1, gnl|WGS_AAJJ|TC007322-RA.p1, gnl|WGS_AAJJ|TC007310-RA.p1, gnl|WGS_AAJJ|TC004818-RA.p1	XM_050197571.1.p1
OG0000004	gnl|WGS_AAJJ|TC016307-RA.p1	XM_027987182.2.p1
OG0000004	gnl|WGS_AAJJ|TC000723-RA.p2, gnl|WGS_AAJJ|TC000722-RA.p1, gnl|WGS_AAJJ|TC000721-RA.p1, gnl|WGS_AAJJ|TC000724-RA.p1, gnl|WGS_AAJJ|TC000725-RA.p1, gnl|WGS_AAJJ|TC007724-RA.p1	XM_027990669.2.p1
OG0000004	gnl|WGS_AAJJ|TC008770-RA.p1	XM_027990667.2.p1
OG0000004	gnl|WGS_AAJJ|TC002434-RA.p1, gnl|WGS_AAJJ|TC003509-RA.p1	XM_027990672.2.p1
OG0000004	gnl|WGS_AAJJ|TC013828-RA.p1, gnl|WGS_AAJJ|TC013988-RA.p1, gnl|WGS_AAJJ|TC013987-RA.p1, gnl|WGS_AAJJ|TC011149-RA.p1, gnl|WGS_AAJJ|TC011148-RA.p1, gnl|WGS_AAJJ|TC013990-RA.p1, gnl|WGS_AAJJ|TC013811-RA.p2, gnl|WGS_AAJJ|TC013827-RA.p1, gnl|WGS_AAJJ|TC013826-RA.p1, gnl|WGS_AAJJ|TC013817-RA.p1, gnl|WGS_AAJJ|TC013816-RA.p1, gnl|WGS_AAJJ|TC013809-RA.p1	XM_027996238.2.p1
OG0000004	gnl|WGS_AAJJ|TC013815-RA.p1	XM_027988648.2.p1, XM_050202794.1.p1
OG0000004	gnl|WGS_AAJJ|TC013808-RA.p1	XM_050203101.1.p1
OG0000004	gnl|WGS_AAJJ|TC002908-RA.p1	XM_027987729.2.p1
OG0000004	gnl|WGS_AAJJ|TC011338-RA.p1	XM_050207397.1.p1, XM_050205899.1.p1, XM_027990588.2.p1, XM_027996026.2.p1, XM_027982424.2.p1, XM_027990010.2.p1, XM_027990009.2.p1, XM_027985859.2.p1
OG0000005	gnl|WGS_AAJJ|TC030780-RA.p1, gnl|WGS_AAJJ|TC030780-RB.p1	XM_027985387.2.p1
