Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Anoplophora_glabripennis_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC015970-RB.p1, gnl|WGS_AAJJ|TC015970-RA.p1	XM_018714472.1.p1, XM_018714471.1.p1
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_018708172.2.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_018712014.2.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_018714207.2.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RB.p1	XM_018724314.2.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_018719925.1.p1
OG0000000	gnl|WGS_AAJJ|TC031038-RA.p1	XM_018706074.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_023454318.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RA.p1	XM_018716020.1.p1
OG0000000	gnl|WGS_AAJJ|TC007345-RA.p1	XM_018709650.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_018705758.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_018710659.1.p1, XM_018710662.2.p1, XM_018710661.2.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	XM_018708120.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_018709419.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1	XM_018705561.2.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RA.p1	XM_018705556.2.p1, XM_018705560.2.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_018714792.1.p1
OG0000000	gnl|WGS_AAJJ|TC034026-RA.p1	XM_018714355.1.p1, XM_018714356.2.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_023454436.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_018724041.1.p1
OG0000000	gnl|WGS_AAJJ|TC032327-RA.p1	XM_023454338.1.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_023454362.1.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_018717941.1.p1
OG0000001	gnl|WGS_AAJJ|TC016155-RA.p1	XM_018720063.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_023454094.1.p1, XM_023457448.1.p1, XM_018713623.2.p1, XM_018720065.1.p2, XM_018720064.1.p1
OG0000001	gnl|WGS_AAJJ|TC002178-RA.p1	XM_023456392.1.p1
OG0000001	gnl|WGS_AAJJ|TC001838-RA.p1	XM_018715057.1.p1
OG0000001	gnl|WGS_AAJJ|TC002454-RA.p1	XM_018720489.1.p1, XM_018716025.1.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1	XM_018708380.1.p1
OG0000002	gnl|WGS_AAJJ|TC002659-RA.p1	XM_018720612.2.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_023454617.1.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_018711882.1.p1
OG0000002	gnl|WGS_AAJJ|TC008267-RA.p1, gnl|WGS_AAJJ|TC007017-RA.p1, gnl|WGS_AAJJ|TC008504-RA.p1, gnl|WGS_AAJJ|TC007019-RA.p1	XM_018724512.2.p1
