Orthogroup	Sclerotinia_sclerotiorum	Tribolium_castaneum
OG0000004	XM_001593090.1.p1	TC015423.p1, TC008570.p1, TC014092.p1, TC013751.p1, TC013749.p1, TC013750.p1, TC014091.p1, TC014090.p1, TC014089.p1, TC009891.p1, TC009892.p1, TC010434.p1, TC014589.p1, TC013752.p1, TC033390.p1, TC033612.p1, TC010962.p1, TC014880.p1, TC015346.p1
OG0000005	XM_001590333.1.p1, XM_001597412.1.p1, XM_001590585.1.p1, XM_001589139.1.p1, XM_001587851.1.p1	TC034705.p1, TC001278.p1, TC000459.p1, TC000460.p1, TC006337.p1, TC005811.p1, TC014220.p1
OG0000008	XM_001587052.1.p1, XM_001598845.1.p1	TC006533.p1, TC010931.p1, TC016355.p1, TC033300.p1, TC033746.p1, TC007608.p1, TC032860.p1, TC005906.p1, TC005907.p1, TC002612.p1, TC002615.p1, TC032565.p1, TC008348.p1, TC033430.p1, TC015723.p1, TC015721.p1, TC015719.p1, TC015700.p1, TC034017.p1, TC033429.p1, TC015715.p1, TC015712.p1, TC015718.p1, TC015717.p1
OG0000011	XM_001593976.1.p1, XM_001586473.1.p1	TC009625.p1, TC009630.p1, TC034771.p1, TC009626.p1, TC009627.p1, TC009178.p1, TC033583.p1, TC033582.p1, TC009179.p1, TC009176.p1, TC009177.p1, TC009629.p1, TC009624.p1, TC009180.p1, TC001770.p1, TC009872.p1, TC013917.p1, TC013918.p1, TC003876.p1, TC012734.p1, TC015481.p1
OG0000011	XM_001591344.1.p1, XM_001587657.1.p1, XM_001588011.1.p1, XM_001592925.1.p1	TC015665.p1
OG0000014	XM_001594004.1.p1, XM_001594005.1.p1	TC014516.p1, TC009437.p1, TC003184.p1, TC011100.p1
OG0000014	XM_001590870.1.p1	TC015049.p1
OG0000014	XM_001589798.1.p1	TC000481.p1
OG0000014	XM_001596631.1.p1	TC032628.p1
OG0000014	XM_001585247.1.p1	TC011820.p1
OG0000014	XM_001587951.1.p1	TC013528.p1
OG0000014	XM_001598899.1.p1	TC000112.p1
OG0000019	XM_001589076.1.p1, XM_001592631.1.p1, XM_001592437.1.p1, XM_001586214.1.p1, XM_001598197.1.p1, XM_001592371.1.p1, XM_001598780.1.p1, XM_001597407.1.p1	TC015598.p1
OG0000021	XM_001586774.1.p1	TC009698.p1, TC005499.p1, TC009690.p1, TC009694.p1, TC009692.p1, TC009693.p1, TC009691.p1, TC033627.p1, TC034086.p1, TC015229.p1, TC015230.p1, TC033626.p1, TC009697.p1, TC012856.p1, TC000803.p1, TC000804.p1, TC006733.p1, TC006732.p1, TC033340.p1, TC005190.p1, TC033339.p1, TC031257.p1, TC011376.p1, TC031398.p1, TC014795.p1, TC013193.p1, TC014687.p1, TC005100.p1, TC006241.p1, TC003378.p1, TC016251.p1, TC032046.p1, TC007922.p1, TC015089.p1, TC032047.p1, TC005133.p1, TC003379.p1, TC033919.p1, TC003375.p1
OG0000029	XM_001598206.1.p1	TC008274.p1
OG0000029	XM_001593653.1.p1	TC015693.p1, TC014581.p1
OG0000037	XM_001588880.1.p1	TC012848.p1
OG0000048	XM_001589481.1.p1, XM_001593433.1.p1, XM_001592929.1.p1, XM_001585590.1.p1, XM_001591303.1.p1	TC006689.p1
OG0000050	XM_001595483.1.p1	TC012482.p1
OG0000050	XM_001598119.1.p1	TC001074.p1, TC010495.p1, TC016079.p1, TC015359.p1, TC002587.p1, TC009940.p1, TC031247.p1, TC000228.p1, TC007794.p1, TC032576.p1, TC033742.p1
OG0000056	XM_001591826.1.p1	TC004466.p1, TC014676.p1
OG0000056	XM_001592712.1.p1	TC012645.p1
OG0000060	XM_001589061.1.p1	TC000487.p1
OG0000060	XM_001596000.1.p1	TC004425.p1
OG0000060	XM_001597998.1.p1	TC031639.p1, TC033493.p1, TC009706.p1, TC010172.p1, TC000188.p1, TC031036.p1
OG0000061	XM_001592939.1.p1, XM_001588471.1.p1, XM_001592457.1.p1, XM_001592449.1.p1	TC004877.p1, TC007811.p1, TC004951.p1, TC004950.p1, TC004881.p1, TC004510.p1, TC004878.p1, TC004879.p1, TC005686.p1, TC009671.p1, TC015923.p1, TC008300.p1, TC008299.p1, TC008301.p1, TC011689.p1
OG0000064	XM_001595180.1.p1	TC031224.p1, TC031403.p1, TC032783.p1, TC012841.p1, TC012839.p1, TC012838.p1, TC034472.p1, TC033210.p1, TC014653.p1, TC011635.p1, TC012837.p1, TC011634.p1, TC007263.p1, TC007264.p1, TC007981.p1, TC032874.p1, TC007189.p1, TC007914.p1, TC007186.p1, TC032875.p1, TC007185.p1, TC032876.p1, TC007182.p1, TC034670.p1
OG0000068	XM_001585894.1.p1, XM_001598835.1.p1, XM_001586848.1.p1, XM_001593634.1.p1, XM_001594339.1.p1, XM_001592076.1.p1	TC010490.p1, TC010489.p1, TC015880.p1, TC000821.p1
OG0000080	XM_001596031.1.p1, XM_001596516.1.p1, XM_001584886.1.p1, XM_001596367.1.p1, XM_001585698.1.p1, XM_001585380.1.p1	TC000675.p1, TC000676.p1, TC005582.p1, TC006725.p1
OG0000083	XM_001591791.1.p1, XM_001585233.1.p1, XM_001594898.1.p1, XM_001597754.1.p1, XM_001594345.1.p1	TC003402.p1, TC003797.p1
OG0000084	XM_001589999.1.p1	TC007810.p1
OG0000084	XM_001594112.1.p1, XM_001587593.1.p1	TC011007.p1, TC008001.p1
OG0000094	XM_001586174.1.p1	TC007096.p1, TC007506.p1, TC007097.p1, TC007098.p1, TC007099.p1
OG0000098	XM_001586991.1.p1	TC013409.p1, TC016281.p1, TC034365.p1, TC031048.p1, TC031677.p1, TC002280.p1, TC031676.p1, TC002278.p1, TC015859.p1
OG0000112	XM_001590997.1.p1	TC011738.p1
OG0000112	XM_001591730.1.p1	TC009740.p1, TC002523.p1
OG0000112	XM_001596030.1.p1	TC030613.p1, TC015256.p1, TC011046.p1
OG0000113	XM_001597418.1.p1, XM_001586585.1.p1	TC014909.p1, TC011196.p1, TC009015.p1, TC033705.p1, TC033704.p1, TC033822.p1, TC016296.p1, TC009018.p1
OG0000114	XM_001598643.1.p1, XM_001592151.1.p1, XM_001585446.1.p1	TC015614.p1, TC011192.p1, TC000960.p1
OG0000115	XM_001592244.1.p1	TC004635.p1, TC003081.p1, TC000545.p1, TC000546.p1, TC000547.p1, TC001023.p1, TC002786.p1, TC002785.p1, TC007019.p1, TC006026.p1, TC008267.p1, TC004418.p1, TC008504.p1, TC007017.p1, TC011014.p1, TC031004.p1, TC001157.p1, TC032193.p1, TC008505.p1, TC000548.p1, TC033681.p1, TC032356.p1
OG0000123	XM_001592242.1.p1	TC011788.p1, TC011791.p1, TC034440.p1, TC034439.p1, TC010520.p1
OG0000130	XM_001590630.1.p1	TC015726.p1
OG0000130	XM_001585540.1.p1	TC011181.p1
OG0000130	XM_001590699.1.p1	TC005366.p1
OG0000131	XM_001588434.1.p1, XM_001596810.1.p1, XM_001585903.1.p1, XM_001586347.1.p1	TC014278.p1, TC033115.p1, TC014280.p1, TC014281.p1, TC031930.p1, TC010832.p1, TC001374.p1, TC011257.p1
OG0000134	XM_001598771.1.p1	TC013190.p1
OG0000138	XM_001592439.1.p1	TC012647.p1
OG0000138	XM_001598406.1.p1	TC008443.p1
OG0000138	XM_001598925.1.p1	TC004744.p1
OG0000139	XM_001591295.1.p1	TC016198.p1
OG0000139	XM_001586746.1.p1	TC003829.p1
OG0000140	XM_001597130.1.p1	TC032498.p1
OG0000142	XM_001584718.1.p1, XM_001596987.1.p1	TC004422.p1, TC015542.p1, TC005388.p1, TC005389.p1, TC015236.p1, TC034145.p1, TC034146.p1, TC005562.p1, TC034143.p1, TC005487.p1, TC034144.p1
OG0000143	XM_001597259.1.p1	TC000967.p1
OG0000152	XM_001595782.1.p1, XM_001586650.1.p1	TC012453.p1
OG0000152	XM_001592440.1.p1	TC006532.p1, TC005371.p1
OG0000153	XM_001585870.1.p1	TC002441.p1
OG0000153	XM_001589302.1.p1	TC005779.p1
OG0000154	XM_001596645.1.p1, XM_001594196.1.p1, XM_001598599.1.p1	TC014551.p1, TC013293.p1
OG0000161	XM_001587434.1.p1, XM_001592702.1.p1	TC014689.p1
OG0000162	XM_001591247.1.p1	TC014809.p1
OG0000162	XM_001592195.1.p1, XM_001595063.1.p1	TC015192.p1, TC009730.p1
OG0000163	XM_001590161.1.p1, XM_001585206.1.p1	TC015050.p1
OG0000166	XM_001586463.1.p1	TC032506.p1
OG0000167	XM_001592726.1.p1	TC033234.p1, TC013112.p1, TC014700.p1, TC009012.p1, TC009013.p1, TC000565.p1, TC033258.p1, TC014701.p1, TC006174.p1, TC013215.p1, TC034528.p1, TC011972.p1, TC015207.p1, TC010845.p1, TC008205.p1
OG0000168	XM_001591776.1.p1, XM_001598723.1.p1, XM_001590057.1.p1	TC031093.p1, TC032612.p1, TC005995.p1, TC030730.p1, TC014879.p1, TC032610.p1
