Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Acyrthosiphon_pisum_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_008180570.3.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_001948208.5.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_016802429.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_001951787.4.p1, XM_029490667.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_029488662.1.p1, XM_001945965.5.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_001950861.5.p1, XM_001946774.5.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_001946718.5.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_008182356.2.p1, XM_008182360.3.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	NM_001162088.2.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_001943228.5.p1, XM_016802322.2.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_029488051.1.p1, XM_016809386.2.p1, XM_016809385.2.p1, XM_029488052.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_003242264.3.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_001942485.5.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_008191716.2.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_008185124.1.p1, XM_029487427.1.p1, XM_008180589.1.p1, XM_029490943.1.p1, XM_008186950.3.p1, XM_008189333.1.p1, XM_029485156.1.p1, XM_008181511.1.p1, XM_029492708.1.p1, XM_008190815.1.p1, XM_016800238.1.p1, XM_008181287.1.p1, XM_008181268.1.p1, XM_008184154.2.p1, XM_008184145.1.p1, XM_008182879.1.p1, XM_008191985.1.p1, XM_008189288.2.p1, XM_029491344.1.p1, XM_008180797.2.p1, XM_008184903.1.p1, XM_008188952.1.p1, XM_008188953.1.p1, XM_008184743.1.p1, XM_008182379.1.p1, XM_008191696.1.p1, XM_008182953.1.p1, XM_008183167.1.p1, XM_008183435.1.p1, XM_008181674.1.p1, XM_008182309.1.p1, XM_008182308.1.p1, XM_008189130.1.p1, XM_008186906.2.p1, XM_008184925.1.p1, XM_008181638.1.p1, XM_008181666.1.p1
OG0000001	gnl|WGS_AAJJ|TC010714-RA.p1, gnl|WGS_AAJJ|TC010711-RA.p1, gnl|WGS_AAJJ|TC010710-RA.p1, gnl|WGS_AAJJ|TC006136-RA.p1, gnl|WGS_AAJJ|TC010713-RA.p1	XM_008179973.1.p1, XM_008191613.1.p1, XM_008191614.2.p1, XM_008189622.1.p1, XM_008185521.1.p1, XM_008181295.1.p1, XM_008189334.1.p1, XM_008189486.1.p1, XM_008186825.1.p1
OG0000001	gnl|WGS_AAJJ|TC010310-RA.p1	XM_008180146.1.p1
OG0000001	gnl|WGS_AAJJ|TC002454-RA.p1	XM_008184143.1.p1
OG0000001	gnl|WGS_AAJJ|TC009407-RA.p1	XM_008182957.1.p1
OG0000001	gnl|WGS_AAJJ|TC016140-RA.p1	XM_008185132.1.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1	XM_008188404.3.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_008182197.3.p1
OG0000002	gnl|WGS_AAJJ|TC000545-RA.p1	XM_001945072.4.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_001943238.5.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_016808893.2.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	XM_016800563.2.p1, XM_001945287.4.p1, XM_029490744.1.p1, XM_003247282.4.p1, XM_001950010.5.p1, XM_016802217.2.p1, XM_008184183.3.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_029486171.1.p1, XM_029486718.1.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_001944041.5.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	XM_001944228.5.p1
OG0000002	gnl|WGS_AAJJ|TC002768-RA.p1	XM_029489947.1.p1
OG0000003	gnl|WGS_AAJJ|TC015553-RA.p1, gnl|WGS_AAJJ|TC000856-RA.p1, gnl|WGS_AAJJ|TC015103-RA.p1, gnl|WGS_AAJJ|TC010237-RA.p1, gnl|WGS_AAJJ|TC015546-RA.p1, gnl|WGS_AAJJ|TC010239-RA.p1, gnl|WGS_AAJJ|TC032503-RA.p1, gnl|WGS_AAJJ|TC010238-RB.p1, gnl|WGS_AAJJ|TC033365-RA.p1, gnl|WGS_AAJJ|TC031668-RA.p1, gnl|WGS_AAJJ|TC015160-RA.p1, gnl|WGS_AAJJ|TC010255-RA.p1, gnl|WGS_AAJJ|TC015102-RA.p1, gnl|WGS_AAJJ|TC010254-RA.p1, gnl|WGS_AAJJ|TC010253-RA.p1, gnl|WGS_AAJJ|TC010245-RA.p1, gnl|WGS_AAJJ|TC010251-RA.p1, gnl|WGS_AAJJ|TC010244-RA.p1, gnl|WGS_AAJJ|TC007316-RA.p1, gnl|WGS_AAJJ|TC033366-RA.p1, gnl|WGS_AAJJ|TC032833-RA.p1, gnl|WGS_AAJJ|TC033142-RA.p1, gnl|WGS_AAJJ|TC014361-RA.p1, gnl|WGS_AAJJ|TC013433-RA.p1, gnl|WGS_AAJJ|TC014346-RA.p1, gnl|WGS_AAJJ|TC031667-RA.p1, gnl|WGS_AAJJ|TC010252-RA.p1, gnl|WGS_AAJJ|TC007321-RA.p1, gnl|WGS_AAJJ|TC007320-RA.p1, gnl|WGS_AAJJ|TC007317-RA.p1, gnl|WGS_AAJJ|TC031205-RA.p1, gnl|WGS_AAJJ|TC007315-RA.p1, gnl|WGS_AAJJ|TC007322-RA.p1, gnl|WGS_AAJJ|TC007310-RA.p1, gnl|WGS_AAJJ|TC004818-RA.p1	XM_003242954.4.p1
OG0000004	gnl|WGS_AAJJ|TC016307-RA.p1	XM_001944731.5.p1
OG0000004	gnl|WGS_AAJJ|TC000723-RA.p2, gnl|WGS_AAJJ|TC000722-RA.p1, gnl|WGS_AAJJ|TC000721-RA.p1, gnl|WGS_AAJJ|TC000724-RA.p1, gnl|WGS_AAJJ|TC000725-RA.p1, gnl|WGS_AAJJ|TC007724-RA.p1	XM_016807820.2.p1
OG0000004	gnl|WGS_AAJJ|TC008770-RA.p1	XM_001947825.5.p1
OG0000004	gnl|WGS_AAJJ|TC002434-RA.p1, gnl|WGS_AAJJ|TC003509-RA.p1	XM_003247326.4.p1
OG0000004	gnl|WGS_AAJJ|TC013819-RA.p1, gnl|WGS_AAJJ|TC013821-RA.p1, gnl|WGS_AAJJ|TC013822-RA.p1, gnl|WGS_AAJJ|TC013992-RA.p1, gnl|WGS_AAJJ|TC013820-RA.p1, gnl|WGS_AAJJ|TC013824-RA.p1, gnl|WGS_AAJJ|TC013825-RA.p1	NM_001172263.1.p1
OG0000004	gnl|WGS_AAJJ|TC013828-RA.p1, gnl|WGS_AAJJ|TC013988-RA.p1, gnl|WGS_AAJJ|TC013987-RA.p1, gnl|WGS_AAJJ|TC011149-RA.p1, gnl|WGS_AAJJ|TC011148-RA.p1, gnl|WGS_AAJJ|TC013990-RA.p1, gnl|WGS_AAJJ|TC013811-RA.p2, gnl|WGS_AAJJ|TC013827-RA.p1, gnl|WGS_AAJJ|TC013826-RA.p1, gnl|WGS_AAJJ|TC013817-RA.p1, gnl|WGS_AAJJ|TC013816-RA.p1, gnl|WGS_AAJJ|TC013809-RA.p1	NM_001162035.2.p1
OG0000004	gnl|WGS_AAJJ|TC013815-RA.p1	NM_001162032.1.p1, XM_003240710.4.p1
OG0000004	gnl|WGS_AAJJ|TC013808-RA.p1	XM_029486335.1.p1
OG0000004	gnl|WGS_AAJJ|TC002908-RA.p1	XM_003240515.4.p1
OG0000004	gnl|WGS_AAJJ|TC011338-RA.p1	XM_003240329.4.p1, XM_003247688.4.p1, NM_001161976.2.p1, NM_001162580.1.p2, NM_001172251.1.p2, XM_003245179.4.p1, NM_001162783.2.p1, NM_001172253.1.p2
OG0000005	gnl|WGS_AAJJ|TC030780-RA.p1, gnl|WGS_AAJJ|TC030780-RB.p1	XM_001951597.5.p1, XM_029489988.1.p1
OG0000005	gnl|WGS_AAJJ|TC032756-RA.p1, gnl|WGS_AAJJ|TC032756-RB.p1, gnl|WGS_AAJJ|TC007632-RA.p1	XM_001944347.5.p1, XM_003246735.4.p1, XM_001947722.5.p1, XM_001948082.5.p1, XM_008190025.3.p1, XM_001948896.5.p1, XM_029488413.1.p1
OG0000005	gnl|WGS_AAJJ|TC034323-RA.p1, gnl|WGS_AAJJ|TC034242-RA.p1, gnl|WGS_AAJJ|TC012285-RA.p1, gnl|WGS_AAJJ|TC012282-RA.p1, gnl|WGS_AAJJ|TC034240-RA.p1, gnl|WGS_AAJJ|TC034241-RA.p1, gnl|WGS_AAJJ|TC012281-RA.p1, gnl|WGS_AAJJ|TC012283-RA.p1, gnl|WGS_AAJJ|TC033603-RA.p1, gnl|WGS_AAJJ|TC004273-RA.p1, gnl|WGS_AAJJ|TC004274-RA.p1	XM_029488581.1.p1, XM_001944485.5.p1, XM_001949810.5.p1, XM_008183975.3.p1, XM_001952735.5.p1, XM_001949862.5.p1, XM_016808411.2.p1, XM_008188156.3.p1, XM_001943680.5.p1, XM_001945807.5.p1, XM_029486719.1.p1, XM_029489939.1.p1
OG0000006	gnl|WGS_AAJJ|TC009412-RA.p1	XM_001952075.4.p1
OG0000006	gnl|WGS_AAJJ|TC008058-RA.p1	XM_001944170.5.p1
OG0000007	gnl|WGS_AAJJ|TC012952-RA.p1, gnl|WGS_AAJJ|TC031727-RA.p1, gnl|WGS_AAJJ|TC033506-RA.p1, gnl|WGS_AAJJ|TC031778-RA.p1, gnl|WGS_AAJJ|TC004268-RA.p1, gnl|WGS_AAJJ|TC002641-RA.p1, gnl|WGS_AAJJ|TC002008-RA.p1, gnl|WGS_AAJJ|TC012949-RA.p1, gnl|WGS_AAJJ|TC031670-RA.p1, gnl|WGS_AAJJ|TC002946-RA.p1, gnl|WGS_AAJJ|TC001491-RA.p1, gnl|WGS_AAJJ|TC016130-RA.p1, gnl|WGS_AAJJ|TC006847-RA.p1	XM_016806458.1.p1
OG0000007	gnl|WGS_AAJJ|TC016404-RA.p1	XM_016801340.1.p1
OG0000007	gnl|WGS_AAJJ|TC002322-RA.p1	XM_008180012.1.p1, XM_008185494.1.p1, XM_029489961.1.p1, XM_008183544.1.p1
OG0000007	gnl|WGS_AAJJ|TC031934-RA.p1	XM_008180916.1.p1
OG0000007	gnl|WGS_AAJJ|TC002657-RA.p1	XM_029487300.1.p1, XM_008189880.2.p1
OG0000008	gnl|WGS_AAJJ|TC013135-RA.p1	NM_001162671.2.p1, NM_001162314.1.p2
OG0000008	gnl|WGS_AAJJ|TC033231-RA.p1	NM_001162838.1.p1
OG0000008	gnl|WGS_AAJJ|TC013128-RA.p1	NM_001161959.2.p1
OG0000008	gnl|WGS_AAJJ|TC000442-RA.p1	NM_001172264.1.p1
OG0000008	gnl|WGS_AAJJ|TC004500-RA.p1	NM_001293500.1.p1
OG0000009	gnl|WGS_AAJJ|TC009681-RA.p1, gnl|WGS_AAJJ|TC009682-RA.p1, gnl|WGS_AAJJ|TC033441-RA.p1, gnl|WGS_AAJJ|TC032878-RA.p1, gnl|WGS_AAJJ|TC007235-RA.p1, gnl|WGS_AAJJ|TC003287-RA.p1, gnl|WGS_AAJJ|TC003289-RA.p1, gnl|WGS_AAJJ|TC003288-RA.p1, gnl|WGS_AAJJ|TC008120-RA.p1, gnl|WGS_AAJJ|TC000733-RA.p1, gnl|WGS_AAJJ|TC012290-RA.p1, gnl|WGS_AAJJ|TC012289-RA.p1, gnl|WGS_AAJJ|TC012291-RA.p1, gnl|WGS_AAJJ|TC034243-RA.p1	XM_001946661.5.p1, XM_001946609.5.p1, XM_008190690.3.p1, XM_001943530.5.p1, XM_001952605.4.p1, XM_003240360.4.p1, XM_003247714.3.p1
OG0000009	gnl|WGS_AAJJ|TC001412-RA.p1, gnl|WGS_AAJJ|TC034160-RA.p1, gnl|WGS_AAJJ|TC034161-RA.p1, gnl|WGS_AAJJ|TC012233-RA.p1, gnl|WGS_AAJJ|TC012232-RA.p1, gnl|WGS_AAJJ|TC012235-RA.p1, gnl|WGS_AAJJ|TC012230-RA.p1, gnl|WGS_AAJJ|TC012234-RA.p1, gnl|WGS_AAJJ|TC012228-RA.p1, gnl|WGS_AAJJ|TC012229-RA.p1, gnl|WGS_AAJJ|TC012231-RA.p1, gnl|WGS_AAJJ|TC034222-RA.p1	XM_029491658.1.p1
OG0000009	gnl|WGS_AAJJ|TC003228-RA.p1, gnl|WGS_AAJJ|TC034087-RA.p1	XM_001943769.5.p1, XM_001949996.5.p1, XM_001942918.5.p1
OG0000009	gnl|WGS_AAJJ|TC012566-RA.p1	XM_001946395.5.p1, XM_001946444.5.p1
OG0000009	gnl|WGS_AAJJ|TC013653-RA.p1, gnl|WGS_AAJJ|TC000121-RA.p1	XM_003247820.4.p1
OG0000010	gnl|WGS_AAJJ|TC005190-RA.p1, gnl|WGS_AAJJ|TC033340-RA.p1, gnl|WGS_AAJJ|TC033339-RA.p1, gnl|WGS_AAJJ|TC031257-RA.p1, gnl|WGS_AAJJ|TC031398-RA.p1, gnl|WGS_AAJJ|TC011376-RA.p1	XM_001950730.5.p1
OG0000010	gnl|WGS_AAJJ|TC014795-RA.p1	XM_029486349.1.p1, XM_001947269.5.p1, XM_016802500.1.p1, XM_029488303.1.p1, XM_016802495.2.p1, XM_016807803.2.p1, XM_001950620.5.p1, XM_029488305.1.p1, XM_029486350.1.p1
OG0000011	gnl|WGS_AAJJ|TC033320-RA.p1	XM_001950534.5.p1
OG0000011	gnl|WGS_AAJJ|TC010895-RA.p1, gnl|WGS_AAJJ|TC012913-RA.p1	XM_001952123.5.p1
OG0000011	gnl|WGS_AAJJ|TC008459-RA.p1	XM_001943897.5.p1
OG0000011	gnl|WGS_AAJJ|TC003405-RA.p1	XM_001951841.5.p1, XM_003243869.4.p1
OG0000011	gnl|WGS_AAJJ|TC005437-RA.p1, gnl|WGS_AAJJ|TC005438-RA.p1, gnl|WGS_AAJJ|TC034169-RA.p1, gnl|WGS_AAJJ|TC005443-RA.p1, gnl|WGS_AAJJ|TC005436-RA.p1, gnl|WGS_AAJJ|TC005865-RA.p1	XM_008187262.3.p1, XM_008182081.3.p1, XM_001949979.5.p1
OG0000011	gnl|WGS_AAJJ|TC006633-RA.p1, gnl|WGS_AAJJ|TC005491-RA.p1, gnl|WGS_AAJJ|TC034047-RA.p1, gnl|WGS_AAJJ|TC005490-RA.p1, gnl|WGS_AAJJ|TC034141-RA.p1, gnl|WGS_AAJJ|TC006631-RA.p1	XM_029487716.1.p1, XM_001949704.5.p1, XM_029488585.1.p1, XM_001947525.5.p1, XM_008181180.3.p1, XM_016802709.2.p1
OG0000011	gnl|WGS_AAJJ|TC006413-RA.p1	XM_001948873.5.p1
OG0000011	gnl|WGS_AAJJ|TC010266-RA.p1	XM_003248968.2.p1, XM_001943699.5.p1
OG0000011	gnl|WGS_AAJJ|TC006128-RA.p1	XM_001947103.5.p1
OG0000013	gnl|WGS_AAJJ|TC006533-RA.p1	XM_001943578.5.p1
OG0000013	gnl|WGS_AAJJ|TC015715-RA.p1	XM_016807548.2.p1
OG0000013	gnl|WGS_AAJJ|TC015712-RA.p1	XM_008186998.2.p1, XM_001947877.5.p1, XM_029485308.1.p1, XM_029489912.1.p1, XM_029485307.1.p1, XM_029491202.1.p1, XM_001947692.4.p1
OG0000013	gnl|WGS_AAJJ|TC015717-RA.p1	XM_001945191.5.p1
OG0000013	gnl|WGS_AAJJ|TC015718-RA.p1	XM_001948752.5.p1
OG0000013	gnl|WGS_AAJJ|TC033746-RA.p1	XM_016807547.2.p1
OG0000013	gnl|WGS_AAJJ|TC033300-RA.p1	XM_001944677.5.p1
OG0000013	gnl|WGS_AAJJ|TC033429-RA.p1	XM_001946910.5.p1, XM_001943480.5.p1, XM_003244295.4.p1
OG0000013	gnl|WGS_AAJJ|TC015700-RA.p1, gnl|WGS_AAJJ|TC015719-RA.p1	XM_008180800.3.p1, XM_001942716.5.p1, XM_001946022.5.p1, XM_001946072.4.p1, XM_001951004.5.p1
OG0000013	gnl|WGS_AAJJ|TC034017-RA.p1	XM_008183713.3.p1, XM_001942520.5.p1
OG0000013	gnl|WGS_AAJJ|TC033430-RA.p1, gnl|WGS_AAJJ|TC015721-RA.p1, gnl|WGS_AAJJ|TC008348-RA.p1	XM_003242811.4.p1, XM_001952630.5.p1, XM_001945758.5.p1, XM_008184740.2.p1, XM_016806416.2.p1, XM_016806417.2.p1, XM_016806418.2.p1, XM_016806419.2.p1
OG0000014	gnl|WGS_AAJJ|TC006788-RA.p1	XM_001942939.5.p1
OG0000014	gnl|WGS_AAJJ|TC015804-RB.p1, gnl|WGS_AAJJ|TC015804-RA.p1	XM_008188021.3.p1
OG0000014	gnl|WGS_AAJJ|TC007194-RA.p1	XM_001942497.5.p1
OG0000014	gnl|WGS_AAJJ|TC007133-RA.p1, gnl|WGS_AAJJ|TC007132-RA.p1	XM_003242889.4.p1
OG0000014	gnl|WGS_AAJJ|TC005600-RA.p1	XM_001942755.5.p1
OG0000014	gnl|WGS_AAJJ|TC006110-RA.p1	XM_016806681.2.p1, XM_003246327.4.p1
OG0000014	gnl|WGS_AAJJ|TC033171-RA.p1	XM_029485957.1.p1
OG0000014	gnl|WGS_AAJJ|TC011539-RA.p1	XM_003246151.4.p1
OG0000014	gnl|WGS_AAJJ|TC033748-RA.p1	XM_003246671.4.p2
OG0000014	gnl|WGS_AAJJ|TC000527-RA.p1	XM_016806364.2.p1
OG0000014	gnl|WGS_AAJJ|TC031568-RA.p1	XM_016805571.2.p1
OG0000014	gnl|WGS_AAJJ|TC007335-RA.p1	XM_001950448.5.p1
OG0000014	gnl|WGS_AAJJ|TC003354-RA.p1, gnl|WGS_AAJJ|TC003355-RB.p1	XM_008182580.3.p1
OG0000014	gnl|WGS_AAJJ|TC009911-RA.p1	XM_001943977.5.p1
OG0000014	gnl|WGS_AAJJ|TC008926-RA.p1	XM_003242175.4.p1
OG0000014	gnl|WGS_AAJJ|TC013309-RA.p1	XM_003241112.4.p1
OG0000014	gnl|WGS_AAJJ|TC005661-RA.p1	XM_001947628.5.p1
OG0000014	gnl|WGS_AAJJ|TC032750-RB.p1	XM_016803497.2.p1
OG0000015	gnl|WGS_AAJJ|TC012253-RB.p1, gnl|WGS_AAJJ|TC012253-RC.p1	XM_008182716.3.p1, XM_029486380.1.p1, XM_001944507.5.p1, XM_003243074.4.p1
OG0000015	gnl|WGS_AAJJ|TC010434-RA.p1	XM_001943491.4.p1, XM_001943021.5.p1, XM_016802633.2.p1, XM_016807555.2.p1, XM_008188666.3.p1, XM_016807557.2.p1, XM_029490618.1.p1, XM_029490757.1.p1, XM_001948763.5.p1, XM_029490615.1.p1, XM_016808755.2.p1, XM_001946728.5.p1, XM_008190348.3.p1, XM_029490759.1.p1, XM_008190346.3.p1
OG0000015	gnl|WGS_AAJJ|TC008035-RA.p1	XM_029489810.1.p1, XM_016800279.2.p1, XM_003248820.4.p1
OG0000016	gnl|WGS_AAJJ|TC031732-RA.p1	XM_008190875.2.p1
OG0000016	gnl|WGS_AAJJ|TC006999-RA.p1	XM_008182927.1.p1
OG0000018	gnl|WGS_AAJJ|TC032992-RA.p1	XM_001942544.5.p1
OG0000018	gnl|WGS_AAJJ|TC013559-RA.p1	XM_001952464.5.p1
OG0000018	gnl|WGS_AAJJ|TC013560-RA.p1	NM_001204960.1.p1
OG0000018	gnl|WGS_AAJJ|TC013561-RA.p1	XM_008184597.3.p1
OG0000018	gnl|WGS_AAJJ|TC014248-RA.p1	XM_001951090.5.p1
OG0000018	gnl|WGS_AAJJ|TC013657-RA.p1	NM_001161915.2.p1
OG0000018	gnl|WGS_AAJJ|TC013660-RA.p1, gnl|WGS_AAJJ|TC014397-RA.p1	XM_016804707.2.p1
OG0000018	gnl|WGS_AAJJ|TC013404-RA.p1	NM_001246026.2.p1
OG0000018	gnl|WGS_AAJJ|TC013403-RA.p1	XM_029488563.1.p1
OG0000018	gnl|WGS_AAJJ|TC001182-RA.p1, gnl|WGS_AAJJ|TC001183-RA.p1	XM_001947502.5.p1
OG0000018	gnl|WGS_AAJJ|TC033355-RA.p1, gnl|WGS_AAJJ|TC015195-RA.p1, gnl|WGS_AAJJ|TC016232-RA.p1, gnl|WGS_AAJJ|TC015189-RA.p1, gnl|WGS_AAJJ|TC015190-RA.p1, gnl|WGS_AAJJ|TC032229-RA.p1, gnl|WGS_AAJJ|TC033465-RA.p1, gnl|WGS_AAJJ|TC033466-RA.p1, gnl|WGS_AAJJ|TC034730-RA.p1, gnl|WGS_AAJJ|TC033464-RA.p1, gnl|WGS_AAJJ|TC030901-RA.p1, gnl|WGS_AAJJ|TC016086-RA.p1, gnl|WGS_AAJJ|TC015843-RA.p1, gnl|WGS_AAJJ|TC015841-RA.p1, gnl|WGS_AAJJ|TC033467-RA.p1, gnl|WGS_AAJJ|TC015842-RA.p1, gnl|WGS_AAJJ|TC014878-RA.p1, gnl|WGS_AAJJ|TC015844-RA.p1	XM_001950671.5.p1, XM_001950648.5.p1, NM_001205023.1.p1, XM_029490669.1.p1
OG0000020	gnl|WGS_AAJJ|TC000917-RA.p1	XM_008184306.3.p1
OG0000020	gnl|WGS_AAJJ|TC000920-RA.p1	XM_001946856.5.p1
OG0000020	gnl|WGS_AAJJ|TC000912-RA.p1	XM_029488490.1.p1
OG0000020	gnl|WGS_AAJJ|TC000894-RA.p1	XM_001944594.5.p1
OG0000020	gnl|WGS_AAJJ|TC000903-RA.p2	XM_008184673.3.p1
OG0000020	gnl|WGS_AAJJ|TC000889-RB.p1	XM_001943736.5.p1
OG0000020	gnl|WGS_AAJJ|TC032769-RA.p1, gnl|WGS_AAJJ|TC032769-RB.p1	XM_003244354.4.p1
OG0000020	gnl|WGS_AAJJ|TC001164-RA.p1	XM_003242331.4.p1
OG0000020	gnl|WGS_AAJJ|TC009309-RA.p1	XM_029487081.1.p1
OG0000020	gnl|WGS_AAJJ|TC030553-RA.p1	XM_003248118.4.p1
OG0000020	gnl|WGS_AAJJ|TC006888-RA.p1	XM_003245714.4.p1
OG0000020	gnl|WGS_AAJJ|TC030982-RA.p1	XM_029490488.1.p1, XM_003246218.4.p1
OG0000020	gnl|WGS_AAJJ|TC009461-RA.p1	XM_029486769.1.p1
OG0000020	gnl|WGS_AAJJ|TC000926-RA.p1	XM_029487951.1.p1
OG0000020	gnl|WGS_AAJJ|TC000925-RA.p1	XM_001945190.5.p1
OG0000021	gnl|WGS_AAJJ|TC015753-RA.p1	XM_029485890.1.p1
OG0000021	gnl|WGS_AAJJ|TC015051-RA.p1	XM_003246452.3.p1
OG0000021	gnl|WGS_AAJJ|TC006096-RA.p1	XM_029487649.1.p1, XM_029487646.1.p1
OG0000021	gnl|WGS_AAJJ|TC000107-RA.p1	XM_008185039.3.p1
OG0000021	gnl|WGS_AAJJ|TC015576-RA.p1, gnl|WGS_AAJJ|TC015379-RA.p1, gnl|WGS_AAJJ|TC033309-RA.p1	XM_001949648.5.p1
OG0000021	gnl|WGS_AAJJ|TC006124-RA.p1, gnl|WGS_AAJJ|TC009833-RA.p1, gnl|WGS_AAJJ|TC009834-RA.p1, gnl|WGS_AAJJ|TC033959-RA.p1, gnl|WGS_AAJJ|TC006120-RA.p1, gnl|WGS_AAJJ|TC010578-RA.p1, gnl|WGS_AAJJ|TC011283-RA.p1, gnl|WGS_AAJJ|TC011214-RA.p1	XM_001947215.4.p1, XM_001948283.4.p1, XM_003243126.4.p1
OG0000021	gnl|WGS_AAJJ|TC015188-RA.p1	XM_001944324.5.p1, XM_001946838.3.p1, XM_001950209.5.p1
OG0000022	gnl|WGS_AAJJ|TC000877-RA.p1	XM_008188702.3.p1, XM_016803090.2.p1, XM_029492495.1.p1, XM_016806769.2.p1
OG0000022	gnl|WGS_AAJJ|TC005890-RA.p1	XM_001949273.5.p1
OG0000022	gnl|WGS_AAJJ|TC011878-RA.p1	NM_001293341.1.p1
OG0000023	gnl|WGS_AAJJ|TC008801-RA.p1	XM_008186566.2.p1
OG0000023	gnl|WGS_AAJJ|TC005485-RA.p1	XM_029485125.1.p1, XM_029491530.1.p1
OG0000023	gnl|WGS_AAJJ|TC014710-RB.p1	XM_029485925.1.p1, XM_016803367.2.p1
OG0000023	gnl|WGS_AAJJ|TC010960-RA.p1, gnl|WGS_AAJJ|TC010801-RA.p1	XM_029489612.1.p1, XM_029485477.1.p1
OG0000023	gnl|WGS_AAJJ|TC031238-RA.p1, gnl|WGS_AAJJ|TC034873-RA.p1	XM_029492847.1.p1, XM_029490906.1.p1, XM_008183300.3.p1
OG0000023	gnl|WGS_AAJJ|TC008640-RA.p1	XM_029489895.1.p1
OG0000023	gnl|WGS_AAJJ|TC010846-RA.p1	XM_029489234.1.p1
