Orthogroup	Sclerotinia_sclerotiorum	Botrytis_cinerea
OG0000000	XM_001585050.1.p1	XM_024697627.1.p1, XM_024697628.1.p1
OG0000000	XM_001597299.1.p1	XM_024691082.1.p1
OG0000000	XM_001587932.1.p1	XM_001556020.2.p1
OG0000000	XM_001591185.1.p1	XM_001553677.2.p1
OG0000000	XM_001593612.1.p1	XM_024695208.1.p1
OG0000000	XM_001588468.1.p1	XM_001548801.2.p1
OG0000000	XM_001596315.1.p1	XM_001560320.2.p1
OG0000000	XM_001591415.1.p1	XM_024697337.1.p1
OG0000000	XM_001587566.1.p1	XM_024694770.1.p1
OG0000000	XM_001586612.1.p1	XM_024695526.1.p1
OG0000000	XM_001586073.1.p1	XM_001556368.2.p1
OG0000000	XM_001589120.1.p1	XM_024696073.1.p1
OG0000000	XM_001597027.1.p1	XM_024696088.1.p1
OG0000000	XM_001595288.1.p1	XM_024697322.1.p1, XM_024694438.1.p1
OG0000000	XM_001598353.1.p1	XM_001560523.2.p1
OG0000000	XM_001596634.1.p1	XM_024693596.1.p1
OG0000000	XM_001589596.1.p1	XM_024693563.1.p1
OG0000001	XM_001584772.1.p1	XM_024693650.1.p1
OG0000001	XM_001584562.1.p1	XM_024695754.1.p1
OG0000001	XM_001598725.1.p1	XM_001552795.2.p1
OG0000001	XM_001591073.1.p1	XM_001547903.2.p1
OG0000001	XM_001587520.1.p1	XM_024694742.1.p1
OG0000001	XM_001588137.1.p1	XM_001557508.2.p1
OG0000001	XM_001586702.1.p1	XM_001554244.2.p1
OG0000001	XM_001596808.1.p1	XM_001555131.2.p1
OG0000001	XM_001585309.1.p1	XM_001551073.2.p1
OG0000001	XM_001588863.1.p1	XM_024697246.1.p1
OG0000001	XM_001594656.1.p1	XM_024690597.1.p1
OG0000001	XM_001585971.1.p1	XM_024690141.1.p1
OG0000001	XM_001592785.1.p1	XM_024692929.1.p1
OG0000001	XM_001597248.1.p1	XM_024691043.1.p1
OG0000001	XM_001595264.1.p1	XM_024694448.1.p1, XM_001553382.2.p1
OG0000001	XM_001585666.1.p1	XM_024692248.1.p1, XM_024692249.1.p1
OG0000003	XM_001596418.1.p1, XM_001597775.1.p1, XM_001584717.1.p1	XM_001557366.2.p1
OG0000003	XM_001589640.1.p1, XM_001585472.1.p1, XM_001598821.1.p1, XM_001585189.1.p1, XM_001589552.1.p1, XM_001590904.1.p1, XM_001591978.1.p1, XM_001584559.1.p1, XM_001590584.1.p1, XM_001598927.1.p1, XM_001595959.1.p1, XM_001590728.1.p1, XM_001592186.1.p1, XM_001589864.1.p1, XM_001584931.1.p1, XM_001587079.1.p1, XM_001592165.1.p1, XM_001587205.1.p1, XM_001595673.1.p1, XM_001592645.1.p1, XM_001590549.1.p1, XM_001592235.1.p1, XM_001592639.1.p1, XM_001597040.1.p1, XM_001591964.1.p1, XM_001591878.1.p1, XM_001587039.1.p1, XM_001587639.1.p1, XM_001589115.1.p1, XM_001596163.1.p1, XM_001587274.1.p1, XM_001597991.1.p1, XM_001587779.1.p1, XM_001585974.1.p1, XM_001587033.1.p1, XM_001589451.1.p1, XM_001597770.1.p1	XM_001550474.2.p1
OG0000004	XM_001593090.1.p1	XM_024692968.1.p1
OG0000004	XM_001595185.1.p1	XM_024694524.1.p1, XM_024694523.1.p1
OG0000004	XM_001585969.1.p1	XM_024691767.1.p1, XM_024690142.1.p1
OG0000004	XM_001593858.1.p1	XM_024691792.1.p1, XM_024693647.1.p1, XM_024698033.1.p1, XM_024698034.1.p1
OG0000004	XM_001589489.1.p1	XM_024693289.1.p1
OG0000005	XM_001590333.1.p1	XM_024695245.1.p1, XM_024692467.1.p1
OG0000005	XM_001597412.1.p1	XM_024691223.1.p1
OG0000005	XM_001590585.1.p1	XM_001552196.2.p1
OG0000005	XM_001589139.1.p1	XM_001546303.2.p1, XM_024696065.1.p1
OG0000005	XM_001587851.1.p1	XM_024693262.1.p1, XM_001557743.2.p1, XM_024691854.1.p1, XM_024691362.1.p1
OG0000008	XM_001586311.1.p1	XM_024690976.1.p1
OG0000008	XM_001584630.1.p1	XM_024697312.1.p1
OG0000008	XM_001590818.1.p1	XM_024696359.1.p1
OG0000008	XM_001597565.1.p1, XM_001592000.1.p1	XM_024695431.1.p1
OG0000008	XM_001587052.1.p1	XM_024693210.1.p1
OG0000008	XM_001598845.1.p1	XM_001558739.2.p1
OG0000009	XM_001593713.1.p1	XM_001549352.2.p1
OG0000009	XM_001594017.1.p1	XM_024695235.1.p1
OG0000009	XM_001592033.1.p1	XM_024695452.1.p1
OG0000011	XM_001593976.1.p1, XM_001586473.1.p1	XM_024698284.1.p1
OG0000011	XM_001587657.1.p1	XM_024694822.1.p1, XM_024694821.1.p1
OG0000011	XM_001588011.1.p1	XM_024693770.1.p1
OG0000011	XM_001592925.1.p1	XM_024692916.1.p1
OG0000014	XM_001594004.1.p1, XM_001594005.1.p1	XM_024695229.1.p1
OG0000014	XM_001590870.1.p1	XM_001558314.2.p1
OG0000014	XM_001589798.1.p1	XM_001555179.2.p1
OG0000014	XM_001596631.1.p1	XM_001556151.2.p1
OG0000014	XM_001585247.1.p1	XM_001547641.2.p1
OG0000014	XM_001587951.1.p1	XM_001555995.2.p1
OG0000014	XM_001598899.1.p1	XM_024696930.1.p1
OG0000018	XM_001597976.1.p1, XM_001587752.1.p1	XM_001555081.2.p1
OG0000018	XM_001596769.1.p1	XM_024693714.1.p1
OG0000019	XM_001592631.1.p1, XM_001592437.1.p1	XM_024696026.1.p1
OG0000019	XM_001586214.1.p1	XM_024690869.1.p1, XM_024690870.1.p1
OG0000019	XM_001598197.1.p1	XM_024691992.1.p1
OG0000019	XM_001592371.1.p1	XM_024695968.1.p1
OG0000019	XM_001598780.1.p1	XM_001551246.2.p1
OG0000019	XM_001597407.1.p1	XM_024691134.1.p1
OG0000020	XM_001598931.1.p1	XM_024697102.1.p1, XM_024694934.1.p1
OG0000020	XM_001596813.1.p1	XM_001555050.2.p1
OG0000021	XM_001586774.1.p1	XM_024697748.1.p1, XM_024695346.1.p1, XM_001547579.2.p1
OG0000029	XM_001598206.1.p1	XM_001560713.2.p1
OG0000029	XM_001593653.1.p1	XM_024694955.1.p1, XM_024694954.1.p1
OG0000034	XM_001593239.1.p1	XM_024693029.1.p1
OG0000034	XM_001589463.1.p1	XM_001545351.2.p1
OG0000034	XM_001585047.1.p1	XM_024697630.1.p1, XM_001546750.2.p1, XM_024697629.1.p1
OG0000034	XM_001588213.1.p1, XM_001584503.1.p1	XM_024694284.1.p1
OG0000035	XM_001593841.1.p1	XM_024695128.1.p1, XM_024695122.1.p1, XM_024695132.1.p1, XM_024695129.1.p1, XM_024695133.1.p1, XM_024695134.1.p1, XM_024695124.1.p1, XM_024695130.1.p1, XM_024695123.1.p1, XM_024695135.1.p1, XM_024695127.1.p1, XM_024695131.1.p1, XM_024695126.1.p1, XM_024695125.1.p1
OG0000035	XM_001595283.1.p1	XM_001553399.2.p1
OG0000036	XM_001589432.1.p1	XM_024693307.1.p1
OG0000036	XM_001591346.1.p1, XM_001596564.1.p1	XM_001553412.2.p1
OG0000036	XM_001584981.1.p1, XM_001585045.1.p1, XM_001586330.1.p1, XM_001593291.1.p1, XM_001590156.1.p1, XM_001589577.1.p1, XM_001594262.1.p1, XM_001587042.1.p1, XM_001589135.1.p1, XM_001594066.1.p1, XM_001592555.1.p1	XM_001559439.2.p1
OG0000048	XM_001589481.1.p1	XM_024693296.1.p1
OG0000048	XM_001593433.1.p1	XM_024695011.1.p1, XM_024694292.1.p1
OG0000048	XM_001592929.1.p1	XM_024692855.1.p1
OG0000048	XM_001585590.1.p1	XM_001548139.2.p1
