Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Anopheles_gambiae_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC015970-RB.p1, gnl|WGS_AAJJ|TC015970-RA.p1	XM_315761.5.p1
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_061658660.1.p1, XM_061659211.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_061648168.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_061641465.1.p1, XM_061641466.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_061650409.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_061644514.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_061652517.1.p1, XM_061652525.1.p1, XM_061652527.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_061655100.1.p1, XM_061655056.1.p1, XM_061655105.1.p1
OG0000000	gnl|WGS_AAJJ|TC007345-RA.p1	XM_061659428.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_061663620.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_061641282.1.p1, XM_061641265.1.p1, XM_061641283.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_061654484.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_061653640.1.p1, XM_061653644.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_061654113.1.p1, XM_061654114.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_061657920.1.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_061658581.1.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_315758.5.p1
OG0000001	gnl|WGS_AAJJ|TC016155-RA.p1	XM_061661117.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_061659280.1.p1
OG0000001	gnl|WGS_AAJJ|TC010310-RA.p1	XM_061657169.1.p1, XM_061656612.1.p1, XM_061651434.1.p1
OG0000001	gnl|WGS_AAJJ|TC001684-RA.p1	XM_061663802.1.p1, XM_061652994.1.p1
OG0000001	gnl|WGS_AAJJ|TC001838-RA.p1	XM_061656595.1.p1
OG0000001	gnl|WGS_AAJJ|TC016140-RA.p1	XM_061650899.1.p1
OG0000002	gnl|WGS_AAJJ|TC002659-RA.p1	XM_061647933.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_061658451.1.p1, XM_061658452.1.p1
