Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Blattella_germanica.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	001174-001179_All_comp70834_c0_seq1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RB.p1	001174-001179_All_comp41325_c0_seq1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	001174-001179_All_comp3977_c0_seq2.p1, 001174-001179_All_comp3977_c0_seq3.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	001174-001179_All_comp6866_c0_seq1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	001174-001179_All_comp5357_c0_seq1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	001174-001179_All_comp26002_c0_seq1.p1, 001174-001179_All_comp26002_c0_seq2.p1
OG0000000	gnl|WGS_AAJJ|TC007345-RA.p1	001174-001179_All_comp79449_c0_seq1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	001174-001179_All_comp37091_c0_seq1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	001174-001179_All_comp39496_c0_seq1.p1, 001174-001179_All_comp39496_c0_seq3.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	001174-001179_All_comp40574_c0_seq1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	001174-001179_All_comp11428_c0_seq1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1	001174-001179_All_comp43352_c0_seq1.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	001174-001179_All_comp33361_c0_seq1.p1
