Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Chrysoperla_carnea_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_044882401.1.p1
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_044874851.1.p1, XM_044874850.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RB.p1	XM_044872161.1.p1, XM_044872162.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_044878537.1.p1, XM_044878536.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_044883595.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_044881257.1.p1, XM_044881251.1.p1, XM_044881265.1.p1, XM_044881279.1.p1, XM_044881263.1.p1, XM_044881252.1.p1, XM_044881274.1.p1, XM_044881283.1.p1, XM_044881275.1.p1, XM_044881276.1.p1, XM_044881278.1.p1, XM_044881267.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_044873036.1.p1, XM_044873038.1.p1, XM_044873039.1.p1, XM_044873037.1.p1, XM_044873034.1.p1, XM_044873032.1.p1
OG0000000	gnl|WGS_AAJJ|TC007345-RA.p1	XM_044879714.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_044884670.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_044874817.1.p1, XM_044874818.1.p1, XM_044874815.1.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	XM_044877967.1.p1, XM_044877968.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_044886318.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RA.p1	XM_044887115.1.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_044888125.1.p1
OG0000000	gnl|WGS_AAJJ|TC034026-RA.p1	XM_044876785.1.p1, XM_044876784.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_044888150.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_044873311.1.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_044887716.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1, gnl|WGS_AAJJ|TC002325-RA.p1	XM_044886408.1.p1
OG0000001	gnl|WGS_AAJJ|TC010714-RA.p1, gnl|WGS_AAJJ|TC010711-RA.p1, gnl|WGS_AAJJ|TC010710-RA.p1, gnl|WGS_AAJJ|TC006136-RA.p1, gnl|WGS_AAJJ|TC010713-RA.p1	XM_044873815.1.p1, XM_044884082.1.p1, XM_044885978.1.p1, XM_044873832.1.p1, XM_044884139.1.p1
OG0000001	gnl|WGS_AAJJ|TC016140-RA.p1	XM_044885312.1.p1, XM_044886392.1.p1
OG0000002	gnl|WGS_AAJJ|TC002659-RA.p1	XM_044883974.1.p1
