Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Daphnia_magna_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC015970-RB.p1, gnl|WGS_AAJJ|TC015970-RA.p1	XM_032943740.1.p1, XM_032934507.1.p1, XM_032925402.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_032922528.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_032922005.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_032938631.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_032942871.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_032939976.1.p1, XM_032939977.1.p1, XM_032939975.1.p1, XM_032927480.1.p1, XM_032927478.1.p1, XM_032927479.1.p1, XM_032940309.1.p1, XM_032935867.1.p1, XM_032939487.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_032929446.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_032935215.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_032925572.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_032926975.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_032923201.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_032922662.1.p1
OG0000001	gnl|WGS_AAJJ|TC016139-RA.p1, gnl|WGS_AAJJ|TC010296-RA.p1, gnl|WGS_AAJJ|TC016155-RA.p1	XM_032943453.1.p1, XM_032943940.1.p1, XM_032928755.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1, gnl|WGS_AAJJ|TC002325-RA.p1, gnl|WGS_AAJJ|TC002178-RA.p1, gnl|WGS_AAJJ|TC010714-RA.p1, gnl|WGS_AAJJ|TC010711-RA.p1, gnl|WGS_AAJJ|TC010710-RA.p1, gnl|WGS_AAJJ|TC006136-RA.p1, gnl|WGS_AAJJ|TC010713-RA.p1, gnl|WGS_AAJJ|TC010310-RA.p1, gnl|WGS_AAJJ|TC001684-RA.p1, gnl|WGS_AAJJ|TC006932-RA.p1, gnl|WGS_AAJJ|TC033491-RA.p1	XM_032929828.1.p1, XM_032941689.1.p1
OG0000001	gnl|WGS_AAJJ|TC001838-RA.p1	XM_032929835.1.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1	XM_032929266.1.p1, XM_032929265.1.p1
