Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Alternaria_alternata_rna_prot
OG0000000	XM_001593612.1.p1	XM_018525405.1.p1
OG0000000	XM_001597027.1.p1, XM_001589120.1.p1	XM_018525733.1.p1
OG0000000	XM_001595534.1.p1	XM_018525120.1.p1
OG0000000	XM_001598353.1.p1	XM_018526730.1.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	XM_018534396.1.p1
OG0000000	XM_001587932.1.p1	XM_018528641.1.p1
OG0000000	XM_001585050.1.p1	XM_018534598.1.p1
OG0000000	XM_001586612.1.p1	XM_018526602.1.p1
OG0000000	XM_001586073.1.p1	XM_018534582.1.p1
OG0000001	XM_001592821.1.p1	XM_018533920.1.p1
OG0000001	XM_001590837.1.p1	XM_018532661.1.p1
OG0000001	XM_001589209.1.p1, XM_001589097.1.p1, XM_001589000.1.p1	XM_018528977.1.p1
OG0000001	XM_001585670.1.p1	XM_018533929.1.p1
OG0000001	XM_001596903.1.p1	XM_018527160.1.p1
OG0000001	XM_001586958.1.p1, XM_001586840.1.p1	XM_018531297.1.p1
OG0000001	XM_001591868.1.p1	XM_018524746.1.p1, XM_018534949.1.p1, XM_018526973.1.p1
OG0000001	XM_001586869.1.p1	XM_018534934.1.p1
OG0000001	XM_001588682.1.p1	XM_018534007.1.p1
OG0000001	XM_001593835.1.p1	XM_018529505.1.p1
OG0000001	XM_001588558.1.p1	XM_018530084.1.p1, XM_018531288.1.p1
OG0000001	XM_001592974.1.p1	XM_018531846.1.p1
OG0000001	XM_001588459.1.p1	XM_018532642.1.p1
OG0000001	XM_001594847.1.p1	XM_018533873.1.p1
OG0000001	XM_001594292.1.p1	XM_018526386.1.p1
OG0000002	XM_001594076.1.p1	XM_018532558.1.p1
OG0000002	XM_001592695.1.p1	XM_018526589.1.p1
OG0000002	XM_001588872.1.p1	XM_018530458.1.p1
OG0000002	XM_001587049.1.p1	XM_018531630.1.p1
OG0000002	XM_001585463.1.p1	XM_018527889.1.p1
OG0000002	XM_001589076.1.p1	XM_018536408.1.p1
OG0000002	XM_001584996.1.p1	XM_018523159.1.p1
OG0000002	XM_001592631.1.p1	XM_018535260.1.p1
OG0000002	XM_001598780.1.p1	XM_018527216.1.p1
OG0000002	XM_001596924.1.p1, XM_001596092.1.p1	XM_018529783.1.p1, XM_018527586.1.p1, XM_018531647.1.p1
OG0000003	XM_001597102.1.p1	XM_018527118.1.p1
OG0000003	XM_001598505.1.p1	XM_018527196.1.p1
OG0000003	XM_001594017.1.p1, XM_001592856.1.p1	XM_018535184.1.p1
OG0000003	XM_001593713.1.p1	XM_018524251.1.p1
OG0000003	XM_001592033.1.p1	XM_018532437.1.p1, XM_018529522.1.p1, XM_018531591.1.p1, XM_018526034.1.p1
OG0000003	XM_001596719.1.p1, XM_001584699.1.p1	XM_018530533.1.p1
OG0000005	XM_001598240.1.p1	XM_018536454.1.p1, XM_018526982.1.p1
OG0000005	XM_001585262.1.p1	XM_018527652.1.p1
OG0000005	XM_001586851.1.p1	XM_018533001.1.p1, XM_018530427.1.p1
OG0000005	XM_001597228.1.p1	XM_018529452.1.p1, XM_018526368.1.p1, XM_018530806.1.p1, XM_018528985.1.p1, XM_018535499.1.p1
OG0000005	XM_001584813.1.p1	XM_018530964.1.p1
OG0000005	XM_001588834.1.p1	XM_018532850.1.p1, XM_018527258.1.p1, XM_018536029.1.p1
OG0000005	XM_001594565.1.p1	XM_018524083.1.p1
OG0000005	XM_001589933.1.p1	XM_018535781.1.p1
OG0000005	XM_001586774.1.p1	XM_018528135.1.p1
OG0000005	XM_001585072.1.p1	XM_018526207.1.p1
OG0000006	XM_001596808.1.p1	XM_018527698.1.p1
OG0000006	XM_001588863.1.p1	XM_018533910.1.p1
OG0000006	XM_001585971.1.p1, XM_001594656.1.p1	XM_018523524.1.p1
OG0000006	XM_001585309.1.p1	XM_018525924.1.p1
OG0000006	XM_001586702.1.p1	XM_018534950.1.p1
OG0000006	XM_001588137.1.p1	XM_018533036.1.p1
OG0000006	XM_001587520.1.p1	XM_018531561.1.p1
OG0000006	XM_001598725.1.p1	XM_018530832.1.p1
OG0000006	XM_001584562.1.p1	XM_018524764.1.p1
OG0000006	XM_001591073.1.p1	XM_018535941.1.p1
OG0000006	XM_001597248.1.p1	XM_018526514.1.p1
OG0000007	XM_001591636.1.p1	XM_018535203.1.p1, XM_018532604.1.p1
OG0000007	XM_001587063.1.p1	XM_018534116.1.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1	XM_018536259.1.p1, XM_018527006.1.p1, XM_018529870.1.p1
OG0000007	XM_001590167.1.p1	XM_018531526.1.p1
OG0000007	XM_001589522.1.p1	XM_018531426.1.p1
OG0000007	XM_001592113.1.p1	XM_018534974.1.p1
OG0000007	XM_001594740.1.p1	XM_018532102.1.p1
OG0000007	XM_001597058.1.p1	XM_018526553.1.p1
OG0000007	XM_001593364.1.p1	XM_018525661.1.p1, XM_018526775.1.p1
OG0000007	XM_001592329.1.p1	XM_018532466.1.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1	XM_018531576.1.p1
