Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Dendroctonus_ponderosae.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC015970-RB.p1, gnl|WGS_AAJJ|TC015970-RA.p1	XM_019908242.2.p1
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_019915019.2.p1
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_048660877.1.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_048660878.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_019906349.2.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1	XM_048662421.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RB.p1	XM_019904394.2.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1	XM_048669625.1.p1
OG0000000	gnl|WGS_AAJJ|TC003617-RA.p1	XM_048669627.1.p1, XM_019910759.2.p1, XM_048669626.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_019917997.2.p1
OG0000000	gnl|WGS_AAJJ|TC031038-RA.p1	XM_048669583.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_019905631.2.p1, XM_019905632.2.p1, XM_019905629.2.p1
OG0000000	gnl|WGS_AAJJ|TC007345-RA.p1	XM_048660663.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_019905474.2.p1, XM_019905475.2.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_048664011.1.p1, XM_048664012.1.p1, XM_048664018.1.p1, XM_019903158.2.p1, XM_048663996.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_019914238.2.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_019917811.2.p1, XM_019917816.2.p1, XM_019917817.2.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_019903976.2.p1, XM_048665198.1.p1
OG0000000	gnl|WGS_AAJJ|TC034026-RA.p1	XM_019898303.2.p1, XM_019898298.2.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_019904121.2.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_019906187.2.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_019913755.2.p1
OG0000001	gnl|WGS_AAJJ|TC001838-RA.p1	XR_007280567.1.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1	XM_019913113.2.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_048667387.1.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_019903497.2.p1
OG0000002	gnl|WGS_AAJJ|TC006026-RA.p1	XM_019910145.2.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	XM_019907146.2.p1
OG0000002	gnl|WGS_AAJJ|TC000545-RA.p1	XM_048660472.1.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_019904563.2.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_019898546.2.p1
OG0000002	gnl|WGS_AAJJ|TC013326-RA.p1	XM_019909399.2.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_019909708.2.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_019904894.2.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	XM_019898089.2.p1
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	XM_019915870.2.p1
OG0000003	gnl|WGS_AAJJ|TC034829-RA.p1, gnl|WGS_AAJJ|TC000282-RA.p1, gnl|WGS_AAJJ|TC034188-RA.p1, gnl|WGS_AAJJ|TC005352-RA.p1, gnl|WGS_AAJJ|TC005351-RA.p1, gnl|WGS_AAJJ|TC005385-RA.p1, gnl|WGS_AAJJ|TC005386-RA.p1, gnl|WGS_AAJJ|TC005387-RA.p1, gnl|WGS_AAJJ|TC001546-RA.p1, gnl|WGS_AAJJ|TC006441-RA.p1, gnl|WGS_AAJJ|TC006444-RA.p1, gnl|WGS_AAJJ|TC006442-RA.p1, gnl|WGS_AAJJ|TC006445-RA.p1, gnl|WGS_AAJJ|TC034830-RA.p1, gnl|WGS_AAJJ|TC015218-RA.p1, gnl|WGS_AAJJ|TC005384-RA.p1	XM_019909983.2.p1, XM_048670619.1.p1, XM_048666530.1.p1, XM_048670618.1.p1, XM_048660652.1.p1, XM_048661736.1.p1
OG0000003	gnl|WGS_AAJJ|TC015553-RA.p1, gnl|WGS_AAJJ|TC000856-RA.p1	XM_019916257.2.p1
OG0000003	gnl|WGS_AAJJ|TC010245-RA.p1, gnl|WGS_AAJJ|TC010251-RA.p1, gnl|WGS_AAJJ|TC010244-RA.p1	XM_019901630.2.p1, XM_048661760.1.p1
OG0000003	gnl|WGS_AAJJ|TC007316-RA.p1, gnl|WGS_AAJJ|TC033366-RA.p1	XM_048662156.1.p1
OG0000003	gnl|WGS_AAJJ|TC033142-RA.p1, gnl|WGS_AAJJ|TC014361-RA.p1, gnl|WGS_AAJJ|TC013433-RA.p1, gnl|WGS_AAJJ|TC014346-RA.p1	XM_048665757.1.p1
