Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Ustilago_maydis_rna_prot
OG0000000	XM_001588468.1.p1, XM_001593612.1.p1	XM_011389690.1.p1
OG0000000	XM_001597027.1.p1, XM_001589120.1.p1, XM_001595534.1.p1	XM_011387773.1.p1
OG0000000	XM_001598353.1.p1	XM_011388401.1.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	XM_011390773.1.p1
OG0000000	XM_001586612.1.p1, XM_001586073.1.p1	XM_011391628.1.p1
OG0000001	XM_001594515.1.p1, XM_001592821.1.p1, XM_001590837.1.p1, XM_001589209.1.p1, XM_001589097.1.p1, XM_001589000.1.p1	XM_011394376.1.p1
OG0000001	XM_001596026.1.p1	XM_011390950.1.p1
OG0000001	XM_001588682.1.p1, XM_001593835.1.p1, XM_001597802.1.p1, XM_001588558.1.p1, XM_001592974.1.p1	XM_011390789.1.p1
OG0000001	XM_001588459.1.p1	XM_011393671.1.p1, XM_011389607.1.p1, XM_011389529.1.p1, XM_011393496.1.p1
OG0000001	XM_001594847.1.p1	XM_011393784.1.p1
OG0000001	XM_001594292.1.p1	XM_011394062.1.p1, XM_011390686.1.p1
OG0000002	XM_001597407.1.p1, XM_001598579.1.p1	XM_011388179.1.p1, XM_011389579.1.p1, XM_011389515.1.p1
OG0000002	XM_001594076.1.p1, XM_001592695.1.p1, XM_001588872.1.p1	XM_011391164.1.p1, XM_011390697.1.p1
OG0000002	XM_001594265.1.p1, XM_001585353.1.p1	XM_011393808.1.p1
OG0000002	XM_001587049.1.p1	XM_011390138.1.p1
OG0000002	XM_001598780.1.p1	XM_011393803.1.p1
OG0000003	XM_001597102.1.p1	XM_011389211.1.p1
OG0000004	XM_001592712.1.p1, XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1, XM_001598793.1.p1	XM_011389050.1.p1
OG0000005	XM_001597228.1.p1	XM_011392684.1.p1
OG0000005	XM_001584813.1.p1, XM_001598738.1.p1	XM_011387822.1.p1
OG0000006	XM_001596808.1.p1	XM_011393023.1.p1
OG0000006	XM_001588863.1.p1, XM_001592785.1.p1, XM_001585971.1.p1, XM_001594656.1.p1	XM_011387938.1.p1
OG0000006	XM_001585309.1.p1	XM_011391864.1.p1
OG0000006	XM_001588137.1.p1	XM_011391871.1.p1
OG0000006	XM_001587520.1.p1	XM_011391422.1.p1
OG0000007	XM_001591636.1.p1	XM_011394134.1.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1	XM_011393801.1.p1
OG0000007	XM_001589522.1.p1	XM_011387732.1.p1
OG0000007	XM_001594740.1.p1, XM_001597058.1.p1, XM_001595440.1.p1	XM_011392254.1.p1
OG0000007	XM_001593364.1.p1	XM_011390123.1.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1, XM_001593251.1.p1	XM_011393012.1.p1
OG0000009	XM_001587822.1.p1, XM_001586701.1.p1	XM_011390206.1.p1
OG0000009	XM_001593400.1.p1	XM_011391660.1.p1
OG0000009	XM_001595645.1.p1, XM_001591183.1.p1	XM_011390199.1.p1
OG0000009	XM_001592056.1.p1	XM_011391573.1.p1
OG0000009	XM_001584585.1.p1	XM_011390840.1.p1
OG0000009	XM_001584955.1.p1	XM_011393285.1.p1
OG0000010	XM_001592407.1.p1	XM_011387764.1.p1
OG0000011	XM_001598486.1.p1	XM_011391987.1.p1
OG0000011	XM_001589489.1.p1	XM_011388014.1.p1, XM_011392645.1.p1
OG0000011	XM_001594075.1.p1, XM_001587898.1.p1, XM_001589484.1.p1	XM_011391205.1.p1
OG0000011	XM_001593858.1.p1, XM_001585969.1.p1, XM_001595185.1.p1, XM_001587742.1.p1, XM_001585940.1.p1	XM_011389845.1.p1, XM_011388285.1.p1, XM_011389419.1.p1, XM_011390953.1.p1, XM_011393219.1.p1
OG0000011	XM_001591956.1.p1	XM_011390671.1.p1
OG0000012	XM_001586083.1.p1	XM_011392311.1.p1
OG0000013	XM_001598880.1.p1	XM_011388596.1.p1
OG0000015	XM_001586983.1.p1, XM_001596690.1.p1	XM_011389965.1.p1
OG0000015	XM_001590640.1.p1, XM_001587535.1.p1, XM_001593082.1.p1, XM_001586348.1.p1, XM_001596393.1.p1, XM_001593885.1.p1, XM_001596760.1.p1, XM_001590919.1.p1	XM_011391579.1.p1
OG0000018	XM_001598881.1.p1, XM_001585047.1.p1, XM_001589923.1.p1, XM_001584504.1.p1, XM_001589463.1.p1, XM_001593239.1.p1, XM_001592971.1.p1, XM_001585013.1.p1, XM_001593916.1.p1, XM_001584503.1.p1, XM_001588213.1.p1, XM_001591140.1.p1, XM_001591684.1.p1, XM_001585991.1.p1	XM_011393217.1.p1
OG0000019	XM_001594911.1.p1	XM_011389562.1.p1, XM_011392453.1.p1
OG0000019	XM_001591415.1.p1	XM_011387959.1.p1
OG0000020	XM_001584630.1.p1, XM_001586311.1.p1	XM_011391685.1.p1
OG0000020	XM_001587118.1.p1, XM_001592706.1.p1, XM_001598591.1.p1, XM_001592517.1.p1	XM_011391367.1.p1
