Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Phyllosticta_citricarpa_cds_prot
OG0000000	XM_001588468.1.p1, XM_001593612.1.p1	lcl|JBBPDW010000028.1_cds_KAK7539202.1_7022.p1
OG0000000	XM_001587566.1.p1	lcl|JBBPDW010000001.1_cds_KAK7556702.1_59.p1
OG0000000	XM_001591185.1.p1	lcl|JBBPDW010000018.1_cds_KAK7545374.1_5332.p1
OG0000000	XM_001597027.1.p1, XM_001589120.1.p1	lcl|JBBPDW010000051.1_cds_KAK7532569.1_9325.p1
OG0000000	XM_001595534.1.p1	lcl|JBBPDW010000021.1_cds_KAK7543245.1_5834.p1
OG0000000	XM_001598353.1.p1	lcl|JBBPDW010000016.1_cds_KAK7545918.1_4897.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	lcl|JBBPDW010000002.1_cds_KAK7555880.1_865.p1
OG0000000	XM_001587932.1.p1	lcl|JBBPDW010000002.1_cds_KAK7555823.1_808.p1
OG0000000	XM_001597299.1.p1	lcl|JBBPDW010000003.1_cds_KAK7554516.1_1034.p1
OG0000000	XM_001586612.1.p1	lcl|JBBPDW010000013.1_cds_KAK7547192.1_4373.p1
OG0000000	XM_001586073.1.p1	lcl|JBBPDW010000021.1_cds_KAK7543203.1_5792.p1
OG0000000	XM_001595288.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553689.1_1687.p1
OG0000001	XM_001590837.1.p1	lcl|JBBPDW010000019.1_cds_KAK7543860.1_5502.p1
OG0000001	XM_001585670.1.p1	lcl|JBBPDW010000030.1_cds_KAK7538873.1_7264.p1
OG0000001	XM_001596903.1.p1	lcl|JBBPDW010000041.1_cds_KAK7534676.1_8476.p1
OG0000001	XM_001586958.1.p1, XM_001586840.1.p1	lcl|JBBPDW010000019.1_cds_KAK7543827.1_5469.p1
OG0000001	XM_001591868.1.p1	lcl|JBBPDW010000014.1_cds_KAK7546774.1_4583.p1
OG0000001	XM_001586869.1.p1	lcl|JBBPDW010000005.1_cds_KAK7552622.1_2038.p1
OG0000001	XM_001588682.1.p1	lcl|JBBPDW010000011.1_cds_KAK7548286.1_3924.p1
OG0000001	XM_001588558.1.p1	lcl|JBBPDW010000009.1_cds_KAK7549474.1_3368.p1
OG0000001	XM_001588459.1.p1	lcl|JBBPDW010000016.1_cds_KAK7545928.1_4907.p1
OG0000001	XM_001594847.1.p1	lcl|JBBPDW010000012.1_cds_KAK7547573.1_3961.p1
OG0000001	XM_001594292.1.p1	lcl|JBBPDW010000022.1_cds_KAK7542963.1_5978.p1, lcl|JBBPDW010000012.1_cds_KAK7547609.1_3997.p1
OG0000002	XM_001597407.1.p1, XM_001598579.1.p1	lcl|JBBPDW010000008.1_cds_KAK7550060.1_2961.p1
OG0000002	XM_001594076.1.p1	lcl|JBBPDW010000033.1_cds_KAK7537815.1_7705.p1
OG0000002	XM_001592695.1.p1	lcl|JBBPDW010000017.1_cds_KAK7545625.1_5101.p1
OG0000002	XM_001587049.1.p1	lcl|JBBPDW010000003.1_cds_KAK7554417.1_935.p1
OG0000002	XM_001585463.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553535.1_1533.p1
OG0000002	XM_001589076.1.p1	lcl|JBBPDW010000019.1_cds_KAK7543806.1_5448.p1
OG0000002	XM_001598780.1.p1	lcl|JBBPDW010000002.1_cds_KAK7555885.1_870.p1
OG0000003	XM_001597102.1.p1	lcl|JBBPDW010000023.1_cds_KAK7541703.1_6152.p1
OG0000003	XM_001598505.1.p1	lcl|JBBPDW010000013.1_cds_KAK7547201.1_4382.p1
OG0000003	XM_001592856.1.p1	lcl|JBBPDW010000001.1_cds_KAK7557060.1_417.p1, lcl|JBBPDW010000001.1_cds_KAK7556762.1_119.p1
OG0000003	XM_001593713.1.p1	lcl|JBBPDW010000014.1_cds_KAK7546703.1_4512.p1
OG0000003	XM_001592033.1.p1	lcl|JBBPDW010000025.1_cds_KAK7541399.1_6573.p1, lcl|JBBPDW010000020.1_cds_KAK7543460.1_5605.p1, lcl|JBBPDW010000015.1_cds_KAK7546278.1_4688.p1, lcl|JBBPDW010000002.1_cds_KAK7555692.1_677.p1, lcl|JBBPDW010000028.1_cds_KAK7539184.1_7004.p1
OG0000004	XM_001592712.1.p1, XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1, XM_001598793.1.p1	lcl|JBBPDW010000003.1_cds_KAK7554684.1_1202.p1
OG0000005	XM_001585262.1.p1	lcl|JBBPDW010000011.1_cds_KAK7548067.1_3705.p1
OG0000005	XM_001586851.1.p1	lcl|JBBPDW010000038.1_cds_KAK7535678.1_8142.p1, lcl|JBBPDW010000029.1_cds_KAK7539077.1_7184.p1
OG0000005	XM_001597228.1.p1	lcl|JBBPDW010000025.1_cds_KAK7541375.1_6549.p1, lcl|JBBPDW010000014.1_cds_KAK7546631.1_4440.p1
OG0000005	XM_001584813.1.p1, XM_001598738.1.p1	lcl|JBBPDW010000062.1_cds_KAK7530459.1_9856.p1
OG0000005	XM_001588834.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553612.1_1610.p1
OG0000005	XM_001594565.1.p1	lcl|JBBPDW010000001.1_cds_KAK7556871.1_228.p1
OG0000005	XM_001586774.1.p1	lcl|JBBPDW010000056.1_cds_KAK7531183.1_9545.p1
OG0000005	XM_001585072.1.p1	lcl|JBBPDW010000020.1_cds_KAK7543530.1_5675.p1
OG0000006	XM_001596808.1.p1	lcl|JBBPDW010000056.1_cds_KAK7531200.1_9562.p1
OG0000006	XM_001585971.1.p1, XM_001594656.1.p1	lcl|JBBPDW010000035.1_cds_KAK7536632.1_7829.p1
OG0000006	XM_001586702.1.p1	lcl|JBBPDW010000012.1_cds_KAK7547687.1_4075.p1
OG0000006	XM_001588137.1.p1	lcl|JBBPDW010000006.1_cds_KAK7551709.1_2444.p1
OG0000006	XM_001598725.1.p1	lcl|JBBPDW010000032.1_cds_KAK7537870.1_7512.p1
OG0000006	XM_001584562.1.p1	lcl|JBBPDW010000009.1_cds_KAK7549508.1_3402.p1
OG0000006	XM_001584772.1.p1	lcl|JBBPDW010000007.1_cds_KAK7550730.1_2635.p1
OG0000006	XM_001591073.1.p1	lcl|JBBPDW010000007.1_cds_KAK7550713.1_2618.p1
OG0000007	XM_001591636.1.p1	lcl|JBBPDW010000012.1_cds_KAK7547685.1_4073.p1
OG0000007	XM_001587063.1.p1	lcl|JBBPDW010000066.1_cds_KAK7530033.1_10015.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1	lcl|JBBPDW010000034.1_cds_KAK7537634.1_7768.p1
OG0000007	XM_001590167.1.p1	lcl|JBBPDW010000012.1_cds_KAK7547710.1_4098.p1
OG0000007	XM_001589522.1.p1	lcl|JBBPDW010000024.1_cds_KAK7541469.1_6319.p1
OG0000007	XM_001597058.1.p1	lcl|JBBPDW010000052.1_cds_KAK7531895.1_9374.p1
OG0000007	XM_001595440.1.p1	lcl|JBBPDW010000032.1_cds_KAK7537930.1_7572.p1
OG0000007	XM_001593364.1.p1	lcl|JBBPDW010000025.1_cds_KAK7541364.1_6538.p1
