Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Bemisia_tabaci_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC015970-RB.p1, gnl|WGS_AAJJ|TC015970-RA.p1	XM_019060561.1.p1
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_019055885.1.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_019060095.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_019043714.1.p1, XM_019043710.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_019058012.1.p1, XM_019058020.1.p1, XM_019057991.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_019058397.1.p1, XM_019058400.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_019051659.1.p1, XM_019051658.1.p1, XM_019051656.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_019047265.1.p1, XM_019047264.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_019040917.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_019051694.1.p1, XM_019051695.1.p1, XM_019051700.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_019044181.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_019054087.1.p1, XM_019054088.1.p1, XM_019054085.1.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_019055349.1.p1, XM_019055347.1.p1
OG0000000	gnl|WGS_AAJJ|TC034026-RA.p1	XM_019040523.1.p1, XM_019040524.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_019045235.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_019052363.1.p1
OG0000000	gnl|WGS_AAJJ|TC032327-RA.p1	XM_019057237.1.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_019046986.1.p1, XM_019046988.1.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_019054345.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_019052952.1.p1, XM_019052495.1.p1
OG0000001	gnl|WGS_AAJJ|TC002325-RA.p1	XM_019040121.1.p1
OG0000001	gnl|WGS_AAJJ|TC002178-RA.p1	XM_019051298.1.p1, XM_019051790.1.p1, XM_019053299.1.p1, XM_019052646.1.p1
OG0000001	gnl|WGS_AAJJ|TC010714-RA.p1, gnl|WGS_AAJJ|TC010711-RA.p1, gnl|WGS_AAJJ|TC010710-RA.p1, gnl|WGS_AAJJ|TC006136-RA.p1, gnl|WGS_AAJJ|TC010713-RA.p1	XM_019055709.1.p1, XM_019056560.1.p1, XM_019058161.1.p1, XM_019056242.1.p1, XM_019052953.1.p1, XM_019053475.1.p1, XM_019056503.1.p1, XM_019052927.1.p1, XM_019056511.1.p1, XM_019051888.1.p1, XM_019058053.1.p1, XM_019053611.1.p1, XM_019052774.1.p1, XM_019055378.1.p1, XM_019055652.1.p1, XM_019057094.1.p1, XM_019055660.1.p1, XM_019055632.1.p1, XM_019055955.1.p1, XM_019051565.1.p1, XM_019051563.1.p1
OG0000001	gnl|WGS_AAJJ|TC001684-RA.p1	XM_019053416.1.p1
OG0000001	gnl|WGS_AAJJ|TC006932-RA.p1, gnl|WGS_AAJJ|TC033491-RA.p1	XM_019057910.1.p1
OG0000001	gnl|WGS_AAJJ|TC016140-RA.p1	XM_019051731.1.p1, XM_019056341.1.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1	XM_019053403.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_019062417.1.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_019053029.1.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	XM_019040753.1.p1
OG0000002	gnl|WGS_AAJJ|TC000545-RA.p1	XM_019040751.1.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_019041032.1.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_019040754.1.p1
