Orthogroup	Arabidopsis_thaliana_rna_prot	Zea_mays_rna_prot
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	NR_161416.1.p1, XM_020548188.2.p1
OG0000004	NM_103454.1.p1	XM_020551894.2.p1, XM_008654844.2.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_023300865.2.p1, NM_001152713.2.p1, XM_008656603.2.p1, XM_008675515.2.p1, XM_035966157.1.p1, XM_020542762.1.p1, XM_020542761.1.p1, XM_008658546.2.p1, XR_004857722.1.p1
OG0000016	NM_118258.3.p1, NM_001334222.1.p1, NM_001334221.1.p1, NM_001341478.1.p1, NM_112034.3.p1, NM_105253.2.p1, NM_105252.2.p1	NM_001363200.1.p1, XM_008666517.4.p1, XM_008676731.4.p1, XM_020550443.1.p1, NM_001175064.1.p1, NM_001301528.1.p1, NM_001353503.1.p1
OG0000017	NM_126953.4.p1	XM_020542772.3.p1, XM_020544597.1.p1, XM_035967601.1.p1, XM_020548211.2.p1, XM_020545448.1.p1, XM_008670521.3.p1, XM_008670522.3.p1, XM_020543051.1.p1, XM_023300889.1.p1, XM_020538653.3.p1, XM_020550718.1.p1, XM_020539970.1.p1, XM_020542053.1.p1, XM_020551021.1.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1, NM_116759.3.p1, NM_118446.3.p1, NM_118452.4.p1, NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1, NM_118447.3.p1, NM_001341579.1.p1, NM_114455.2.p1, NM_118460.2.p1, NM_001341598.1.p1, NM_001341575.1.p1, NM_179094.3.p1, NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	NM_001152475.1.p1, NM_001361554.1.p1, NM_001367147.1.p1, NM_001152907.1.p1, XM_008650290.4.p1, XM_008672247.2.p1, XM_035961100.1.p1, XM_008672246.4.p1, XR_002267348.3.p1, NM_001368303.1.p1, XM_035960397.1.p1, NM_001156280.1.p1, XM_008652859.3.p1
OG0000020	NM_001333052.1.p1, NM_121001.2.p1, NM_001337980.1.p1, NM_001337982.1.p1, NM_001337983.1.p1, NM_112058.4.p1, NM_112059.2.p1, NM_112060.3.p1, NM_127866.3.p1, NM_001161057.2.p1, NM_201787.2.p1, NM_179703.2.p1, NM_127865.3.p1, NM_001335834.1.p1, NM_127862.4.p1, NM_001335831.1.p1, NM_127857.5.p1, NM_179702.1.p1, NM_001335827.1.p1, NM_127863.5.p1, NM_001335832.1.p1, NM_001335833.1.p1, NM_001036325.3.p1, NM_111880.5.p1, NM_001337877.1.p1, NM_001035592.2.p1, NM_001337876.1.p1, NM_001334576.1.p1, NM_105987.1.p1, NM_001334583.1.p1, NM_123009.4.p1, NM_001344130.1.p1, NM_001344131.1.p1, NM_001344129.1.p1, NM_001334579.1.p1, NM_001334578.1.p1, NM_001334584.1.p1, NM_105990.2.p1, NM_001334580.1.p1, NM_001334582.1.p1, NM_001334581.1.p1, NM_001334577.1.p1	XM_035960589.1.p1, NM_001143643.1.p1, XM_008671118.2.p1, NR_159526.1.p1, NM_001157680.1.p1, XM_008646693.4.p1, XM_008646698.4.p1
OG0000024	NM_126424.2.p1, NM_126423.4.p1, NM_123735.4.p1, NM_102583.2.p1, NM_118761.1.p1, NM_001339191.1.p1, NM_114377.3.p1, NM_128316.1.p1, NM_101213.3.p1, NM_127056.1.p1, NM_101212.3.p1, NM_126422.3.p1	NM_001147177.1.p1, XM_020550368.1.p1, XM_035966338.1.p1, XM_020550369.1.p1, XM_023302004.2.p1, XM_035966335.1.p1, XM_023302007.1.p1, XM_023302003.1.p1, XM_035966341.1.p1, XM_023302011.1.p1, XM_035966339.1.p1, XM_023302012.1.p1, XM_023302009.1.p1, XM_023302002.1.p1, XM_023302010.1.p1, XM_023302013.1.p1, XM_035965722.1.p1, XM_020549557.2.p1, NM_001147469.1.p1, XM_020549553.1.p1, XM_008674165.3.p1, XM_008676323.3.p1
OG0000024	NM_101717.3.p1, NM_106069.3.p1, NM_106070.2.p1	XM_008680183.4.p1, NM_001157146.1.p1
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1, NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_008661767.3.p1, XM_035962389.1.p1, XM_008666361.4.p1, XM_020551821.1.p1, XM_020551822.1.p1, XM_008680086.4.p1, XM_008680084.3.p1, NM_001149196.2.p1, XM_020547233.1.p1, XM_020547232.3.p1, XM_008680082.4.p1
