Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Helicoverpa_armigera_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_021334080.2.p1
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_021331338.2.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_049837717.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_021336800.2.p1, XM_021336421.2.p1, XM_049842583.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_021336488.2.p1, XM_021336490.2.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_049851326.1.p1, XM_049851325.1.p1, XM_049851321.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_021334268.2.p1, XM_021334266.2.p1, XM_021334269.2.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_049837218.1.p1, XM_049837219.1.p1, XM_049837220.1.p1, XM_049837217.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_021344103.2.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_049838137.1.p1, XM_049838146.1.p1, XR_007510697.1.p1, XM_049838147.1.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	XM_021329405.2.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_021336564.2.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_049852363.1.p1, XM_049852367.1.p1, XM_049852369.1.p1, XM_049852368.1.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_021345220.2.p1
OG0000000	gnl|WGS_AAJJ|TC034026-RA.p1	XM_021337106.2.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_021341306.2.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_021329019.2.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_021326338.2.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_049843647.1.p1, XM_049843643.1.p1, XM_049843642.1.p1, XM_021340340.2.p1, XM_049841713.1.p1, XM_049841714.1.p1, XM_049843645.1.p1, XM_049850242.1.p1, XM_049849035.1.p1, XM_049852099.1.p1, XM_049846229.1.p1, XM_021325587.2.p1, XM_049850174.1.p1, XM_049840343.1.p1, XM_049835783.1.p1, XM_049850109.1.p1, XM_049838685.1.p1, XM_049838697.1.p1, XM_049847554.1.p1, XM_049846578.1.p1, XM_049848935.1.p1, XM_049852011.1.p1, XM_049838683.1.p1, XM_049836762.1.p1, XM_049850110.1.p1, XM_049843179.1.p1, XM_049843180.1.p1, XM_049844641.1.p1, XM_049849994.1.p1, XM_049837814.1.p1
OG0000001	gnl|WGS_AAJJ|TC002178-RA.p1	XM_049847786.1.p1
OG0000001	gnl|WGS_AAJJ|TC002454-RA.p1	XM_049850229.1.p1
OG0000002	gnl|WGS_AAJJ|TC002659-RA.p1	XM_021330223.2.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_049844260.1.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_021334070.2.p1
OG0000002	gnl|WGS_AAJJ|TC008267-RA.p1, gnl|WGS_AAJJ|TC007017-RA.p1, gnl|WGS_AAJJ|TC008504-RA.p1, gnl|WGS_AAJJ|TC007019-RA.p1, gnl|WGS_AAJJ|TC031004-RA.p1	XM_049843483.1.p1
OG0000002	gnl|WGS_AAJJ|TC011014-RA.p1	XM_021328268.2.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	XM_021339664.2.p1
OG0000002	gnl|WGS_AAJJ|TC000545-RA.p1	XM_021333407.2.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_021333431.2.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_021340310.2.p1, XM_049837349.1.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	XM_049837795.1.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_021336006.2.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_021335381.2.p1
OG0000002	gnl|WGS_AAJJ|TC008505-RA.p1, gnl|WGS_AAJJ|TC032193-RA.p1	XM_021335814.2.p1
OG0000002	gnl|WGS_AAJJ|TC013084-RB.p1	XM_049837086.1.p1
OG0000002	gnl|WGS_AAJJ|TC014083-RA.p1, gnl|WGS_AAJJ|TC013709-RA.p1	XM_049842780.1.p1, XM_049850090.1.p1
OG0000003	gnl|WGS_AAJJ|TC015553-RA.p1, gnl|WGS_AAJJ|TC000856-RA.p1, gnl|WGS_AAJJ|TC015103-RA.p1, gnl|WGS_AAJJ|TC010237-RA.p1, gnl|WGS_AAJJ|TC015546-RA.p1, gnl|WGS_AAJJ|TC010239-RA.p1, gnl|WGS_AAJJ|TC032503-RA.p1, gnl|WGS_AAJJ|TC010238-RB.p1, gnl|WGS_AAJJ|TC033365-RA.p1, gnl|WGS_AAJJ|TC031668-RA.p1, gnl|WGS_AAJJ|TC015160-RA.p1, gnl|WGS_AAJJ|TC010255-RA.p1, gnl|WGS_AAJJ|TC015102-RA.p1, gnl|WGS_AAJJ|TC010254-RA.p1, gnl|WGS_AAJJ|TC010253-RA.p1, gnl|WGS_AAJJ|TC010245-RA.p1, gnl|WGS_AAJJ|TC010251-RA.p1, gnl|WGS_AAJJ|TC010244-RA.p1, gnl|WGS_AAJJ|TC007316-RA.p1, gnl|WGS_AAJJ|TC033366-RA.p1, gnl|WGS_AAJJ|TC032833-RA.p1, gnl|WGS_AAJJ|TC033142-RA.p1, gnl|WGS_AAJJ|TC014361-RA.p1, gnl|WGS_AAJJ|TC013433-RA.p1, gnl|WGS_AAJJ|TC014346-RA.p1, gnl|WGS_AAJJ|TC031667-RA.p1, gnl|WGS_AAJJ|TC010252-RA.p1, gnl|WGS_AAJJ|TC007321-RA.p1, gnl|WGS_AAJJ|TC007320-RA.p1, gnl|WGS_AAJJ|TC007317-RA.p1, gnl|WGS_AAJJ|TC031205-RA.p1, gnl|WGS_AAJJ|TC007315-RA.p1, gnl|WGS_AAJJ|TC007322-RA.p1, gnl|WGS_AAJJ|TC007310-RA.p1, gnl|WGS_AAJJ|TC004818-RA.p1	XM_021330636.2.p1
OG0000003	gnl|WGS_AAJJ|TC032509-RA.p1, gnl|WGS_AAJJ|TC015320-RA.p1, gnl|WGS_AAJJ|TC000151-RA.p1, gnl|WGS_AAJJ|TC000148-RB.p1, gnl|WGS_AAJJ|TC000153-RA.p1, gnl|WGS_AAJJ|TC000152-RA.p1	XM_021344930.2.p1, XM_021344943.2.p1, XM_021341234.2.p1, XM_021341230.2.p1
OG0000004	gnl|WGS_AAJJ|TC016307-RA.p1	XM_021333365.2.p1
OG0000004	gnl|WGS_AAJJ|TC000723-RA.p2, gnl|WGS_AAJJ|TC000722-RA.p1, gnl|WGS_AAJJ|TC000721-RA.p1, gnl|WGS_AAJJ|TC000724-RA.p1, gnl|WGS_AAJJ|TC000725-RA.p1, gnl|WGS_AAJJ|TC007724-RA.p1	XM_049837409.1.p1, XM_021335414.2.p1, XM_021335413.2.p1, XM_049837411.1.p1, XM_021335436.2.p1
OG0000004	gnl|WGS_AAJJ|TC000853-RA.p1	XM_021335409.2.p1, XM_049837406.1.p1, XM_049837410.1.p1, XM_021335415.2.p1, XM_049835894.1.p1, XM_021341452.2.p1, XM_021344355.2.p1, XM_021341463.2.p1, XM_021341498.2.p1
OG0000004	gnl|WGS_AAJJ|TC013812-RA.p1	XM_021332707.2.p1
OG0000004	gnl|WGS_AAJJ|TC015901-RA.p1	XM_021332742.2.p1
OG0000004	gnl|WGS_AAJJ|TC013819-RA.p1, gnl|WGS_AAJJ|TC013821-RA.p1, gnl|WGS_AAJJ|TC013822-RA.p1, gnl|WGS_AAJJ|TC013992-RA.p1, gnl|WGS_AAJJ|TC013820-RA.p1, gnl|WGS_AAJJ|TC013824-RA.p1, gnl|WGS_AAJJ|TC013825-RA.p1	XM_049847369.1.p1, XM_049846879.1.p1, XM_049846887.1.p1, XM_021333303.2.p1, XM_049847373.1.p1, XM_049846883.1.p1, XM_049846878.1.p1, XM_049846884.1.p1, XM_021332738.2.p1, XM_021332732.2.p1, XM_021333328.2.p1
OG0000004	gnl|WGS_AAJJ|TC013809-RA.p1	XM_021332741.2.p1
