Orthogroup	Sclerotinia_sclerotiorum	Phytophthora_infestans
OG0000004	XM_001593090.1.p1	XM_002998703.1.p1, XM_002902588.1.p1, XM_002909704.1.p1, XM_002898596.1.p1, XM_002898158.1.p1, XM_002898673.1.p1
OG0000004	XM_001595185.1.p1, XM_001585969.1.p1, XM_001593858.1.p1	XM_002907994.1.p1, XM_002996930.1.p1
OG0000004	XM_001589489.1.p1	XM_002997238.1.p1, XM_002897215.1.p1, XM_002897209.1.p1, XM_002897207.1.p1, XM_002907981.1.p1, XM_002897205.1.p1, XM_002902961.1.p1, XM_002894819.1.p1, XM_002902965.1.p1
OG0000008	XM_001588452.1.p1, XM_001586311.1.p1, XM_001584630.1.p1, XM_001590818.1.p1, XM_001597565.1.p1, XM_001592000.1.p1	XM_002904108.1.p1
OG0000008	XM_001587052.1.p1, XM_001598845.1.p1	XM_002908458.1.p1, XM_002894773.1.p1, XM_002907761.1.p1, XM_002907771.1.p1, XM_002907767.1.p1, XM_002898165.1.p1
OG0000011	XM_001591344.1.p1, XM_001587657.1.p1, XM_001588011.1.p1, XM_001592925.1.p1	XM_002897067.1.p1
OG0000014	XM_001594004.1.p1, XM_001594005.1.p1	XM_002896943.1.p1
OG0000014	XM_001589798.1.p1	XM_002902442.1.p1
OG0000014	XM_001596631.1.p1	XM_002998888.1.p1
OG0000014	XM_001585247.1.p1	XM_002907360.1.p1
OG0000014	XM_001587951.1.p1	XM_002899615.1.p1
OG0000014	XM_001598899.1.p1	XM_002899915.1.p1
OG0000029	XM_001598206.1.p1	XM_002907480.1.p1, XM_002894815.1.p1, XM_002900609.1.p1, XM_002900088.1.p1
OG0000029	XM_001593653.1.p1	XM_002903861.1.p1
OG0000035	XM_001593841.1.p1, XM_001595283.1.p1	XM_002909574.1.p1, XM_002909573.1.p1, XM_002903648.1.p1, XM_002903649.1.p1, XM_002903630.1.p1, XM_002903575.1.p1, XM_002903600.1.p1, XM_002903599.1.p1, XM_002903598.1.p1, XM_002903579.1.p1, XM_002903578.1.p1, XM_002903580.1.p1, XM_002903447.1.p1, XM_002903446.1.p1, XM_002903450.1.p1, XM_002903449.1.p1, XM_002903455.1.p1, XM_002903456.1.p1, XM_002903374.1.p1, XM_002903459.1.p1
OG0000037	XM_001588880.1.p1	XM_002906352.1.p1
OG0000048	XM_001589481.1.p1, XM_001593433.1.p1, XM_001592929.1.p1, XM_001585590.1.p1, XM_001591303.1.p1	XM_002903535.1.p1, XM_002903619.1.p1, XM_002909750.1.p1, XM_002903618.1.p1, XM_002894928.1.p1, XM_002903588.1.p1, XM_002903589.1.p1, XM_002895775.1.p1, XM_002901655.1.p1
OG0000049	XM_001594320.1.p1, XM_001588570.1.p1, XM_001598870.1.p1	XM_002896145.1.p1, XM_002896142.1.p1, XM_002996937.1.p1, XM_002896141.1.p1, XM_002895187.1.p1, XM_002895188.1.p1, XM_002895189.1.p1, XM_002897222.1.p1, XM_002897221.1.p1, XM_002897223.1.p1, XM_002895666.1.p1, XM_002896164.1.p1, XM_002901646.1.p1, XM_002896144.1.p1, XM_002896151.1.p1, XM_002896146.1.p1, XM_002902039.1.p1, XM_002896150.1.p1, XM_002896191.1.p1, XM_002896165.1.p1, XM_002996804.1.p1, XM_002896140.1.p1, XM_002896152.1.p1
OG0000050	XM_001595483.1.p1	XM_002909017.1.p1
OG0000050	XM_001598119.1.p1	XM_002906534.1.p1, XM_002905592.1.p1, XM_002998351.1.p1, XM_002997634.1.p1, XM_002900607.1.p1, XM_002905093.1.p1, XM_002904158.1.p1, XM_002899551.1.p1, XM_002900998.1.p1, XM_002908669.1.p1, XM_002898817.1.p1, XM_002899642.1.p1, XM_002998339.1.p1, XM_002897355.1.p1, XM_002899492.1.p1, XM_002900829.1.p1
OG0000053	XM_001595143.1.p1, XM_001586568.1.p1	XM_002901336.1.p1, XM_002901335.1.p1, XM_002909219.1.p1, XM_002897460.1.p1, XM_002899662.1.p1
OG0000056	XM_001591826.1.p1	XM_002898875.1.p1
OG0000056	XM_001592712.1.p1	XM_002907580.1.p1
OG0000060	XM_001589061.1.p1	XM_002897997.1.p1
OG0000060	XM_001596000.1.p1	XM_002909072.1.p1
OG0000060	XM_001592674.1.p1	XM_002901339.1.p1
OG0000060	XM_001597998.1.p1	XM_002901961.1.p1, XM_002901962.1.p1, XM_002901960.1.p1, XM_002901957.1.p1, XM_002901965.1.p1, XM_002997937.1.p1, XM_002898286.1.p1
OG0000064	XM_001595180.1.p1	XM_002908043.1.p1, XM_002907901.1.p1, XM_002907818.1.p1, XM_002907899.1.p1, XM_002907902.1.p1
OG0000068	XM_001585894.1.p1, XM_001598835.1.p1, XM_001586848.1.p1, XM_001593634.1.p1, XM_001594339.1.p1, XM_001592076.1.p1	XM_002896765.1.p1, XM_002896782.1.p1, XM_002896764.1.p1
OG0000072	XM_001597745.1.p1	XM_002998616.1.p1, XM_002909220.1.p1, XM_002909218.1.p1, XM_002903820.1.p1, XM_002900129.1.p1, XM_002894862.1.p1, XM_002896813.1.p1, XM_002896278.1.p1, XM_002898557.1.p1, XM_002898554.1.p1, XM_002997103.1.p1, XM_002902089.1.p1, XM_002898553.1.p1, XM_002909858.1.p1, XM_002905692.1.p1, XM_002905901.1.p1, XM_002909583.1.p1, XM_002909584.1.p1, XM_002902995.1.p1, XM_002903006.1.p1
OG0000082	XM_001593251.1.p1, XM_001593051.1.p1, XM_001593978.1.p1, XM_001590635.1.p1, XM_001592329.1.p1	XM_002901214.1.p1, XM_002908686.1.p1, XM_002894976.1.p1, XM_002909736.1.p1, XM_002998287.1.p1, XM_002908678.1.p1, XM_002897391.1.p1, XM_002997205.1.p1, XM_002904601.1.p1, XM_002998426.1.p1, XM_002904615.1.p1, XM_002904602.1.p1, XM_002895603.1.p1, XM_002904603.1.p1, XM_002904605.1.p1
OG0000083	XM_001591791.1.p1, XM_001585233.1.p1, XM_001594898.1.p1, XM_001597754.1.p1, XM_001594345.1.p1	XM_002998841.1.p1, XM_002998848.1.p1, XM_002898088.1.p1
OG0000084	XM_001589999.1.p1	XM_002906740.1.p1
OG0000084	XM_001594112.1.p1, XM_001587593.1.p1	XM_002908498.1.p1, XM_002909034.1.p1, XM_002906320.1.p1, XM_002898254.1.p1, XM_002904429.1.p1, XM_002898668.1.p1, XM_002901816.1.p1, XM_002899985.1.p1, XM_002901881.1.p1, XM_002899755.1.p1, XM_002904103.1.p1
OG0000086	XM_001591221.1.p1	XM_002997839.1.p1, XM_002997852.1.p1, XM_002997851.1.p1, XM_002997853.1.p1, XM_002997854.1.p1, XM_002997847.1.p1, XM_002997849.1.p1, XM_002997836.1.p1, XM_002997848.1.p1, XM_002898147.1.p1, XM_002997846.1.p1, XM_002901460.1.p1, XM_002997844.1.p1, XM_002898144.1.p1, XM_002997842.1.p1, XM_002900622.1.p1, XM_002907196.1.p1, XM_002907193.1.p1, XM_002896472.1.p1, XM_002896473.1.p1, XM_002896470.1.p1, XM_002997855.1.p1, XM_002997840.1.p1, XM_002997841.1.p1, XM_002997838.1.p1, XM_002898143.1.p1, XM_002997837.1.p1
OG0000087	XM_001591076.1.p1	XM_002999291.1.p1, XM_002997807.1.p1, XM_002898760.1.p1, XM_002897030.1.p1, XM_002898758.1.p1, XM_002898778.1.p1, XM_002898777.1.p1, XM_002896126.1.p1, XM_002997615.1.p1, XM_002895429.1.p1, XM_002896138.1.p1, XM_002898759.1.p1, XM_002897033.1.p1, XM_002897863.1.p1, XM_002905672.1.p1, XM_002898598.1.p1, XM_002896127.1.p1, XM_002898762.1.p1, XM_002997614.1.p1, XM_002895148.1.p1, XM_002897032.1.p1, XM_002898781.1.p1, XM_002997611.1.p1, XM_002896129.1.p1, XM_002894950.1.p1, XM_002898763.1.p1
