Orthogroup	Arabidopsis_thaliana_rna_prot	Gossypium_hirsutum_rna_prot
OG0000000	NR_143404.1.p1, NR_143405.1.p1, NR_143403.1.p1, NR_143402.1.p1	XR_005911126.1.p1
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	XM_041096419.1.p1, XM_041096417.1.p1, XM_041095121.1.p1, XM_041115915.1.p1, XM_041096414.1.p1, XM_016872918.2.p1, XM_016820715.1.p1, XM_016844684.1.p1, XM_016814832.2.p1, XM_016814829.2.p1, XM_016814431.2.p1, XM_041100157.1.p1, XM_016814433.2.p1, XM_041110311.1.p1, XM_041076106.1.p1, XM_041077458.1.p1, XM_041100158.1.p1, XM_016814427.2.p1, XM_041077449.1.p1, XM_016857120.2.p1, XM_016877334.2.p1, XM_041100159.1.p1, XM_041077457.1.p1, XM_016814426.2.p1, XM_016814834.2.p1, XM_016814835.2.p1, XM_016814830.2.p1, XM_041101608.1.p1, XM_041110300.1.p1, XM_041101609.1.p1, XM_041101610.1.p1, XM_041110298.1.p1, XM_041110292.1.p1, XM_041110293.1.p1, XM_041110295.1.p1, XM_041110303.1.p1, XM_041110304.1.p1, XM_041110428.1.p1, XM_016814840.2.p1, XM_041076100.1.p1, XM_016849951.2.p1, XM_016817848.2.p1, XM_016817490.2.p1, XM_041100152.1.p1, XM_041100154.1.p1, XM_041101607.1.p1, XM_016817849.2.p1, XM_016817422.2.p1, XM_016818838.2.p1, XM_016817498.1.p1, XM_041076102.1.p1, XM_016834032.2.p1, XM_041093214.1.p1, XM_016821550.2.p1, XM_016844329.2.p1, XM_041103384.1.p1, XM_016844319.2.p1, XM_041103371.1.p1, XM_016864054.2.p1, XM_016893317.2.p1, XM_016893319.2.p1, XM_016893316.2.p1, XM_041092673.1.p1, XM_041094278.1.p1, XM_041095120.1.p1, XM_041093977.1.p1, XM_016828807.2.p1
OG0000009	NM_125027.1.p1, NM_001345199.1.p1, NM_125020.5.p1, NM_001345197.1.p1, NM_001344885.1.p1, NM_001333006.1.p1, NM_125022.1.p1, NM_148138.2.p1, NM_001345198.1.p1, NM_125021.4.p1, NM_118768.1.p1, NM_118767.3.p1, NM_001333686.1.p1, NM_115129.1.p1, NM_115012.4.p1, NM_114762.1.p1, NM_001203107.1.p1, NM_126458.5.p1, NM_001339395.1.p1, NM_114761.1.p1, NM_116233.2.p1, NM_001339582.1.p1, NM_148317.5.p1, NM_001338845.1.p1, NM_001338843.1.p1, NM_125023.2.p1, NM_001085288.2.p1, NM_114931.2.p1, NM_125065.2.p1, NM_125064.2.p1, NM_001345217.1.p1	XM_041104372.1.p1, XM_016892388.2.p1, XM_016820475.2.p1, XM_016848712.2.p1, XM_016818541.2.p1, XM_016820444.2.p1, XM_016849084.2.p1
OG0000009	NM_001336095.1.p1, NM_128243.5.p1, NM_125454.3.p1, NM_001345213.1.p1, NM_001345212.1.p1, NM_125052.1.p1, NM_001198313.2.p1, NM_104442.1.p1, NM_178940.1.p1, NM_001340990.1.p1, NM_117593.3.p1, NM_148325.2.p1, NM_125024.1.p1, NM_125691.1.p1, NM_001035786.3.p1, NM_117110.5.p1, NM_001340663.1.p1, NM_001084898.2.p1, NM_117109.1.p1, NM_001340642.1.p1, NM_001340640.1.p1, NM_001340639.1.p1, NM_148060.3.p1, NM_123218.2.p1, NM_001344258.1.p1, NM_123220.3.p1, NM_203132.2.p1, NM_001344257.1.p1, NM_121175.1.p1	XM_016858232.2.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_041101067.1.p1, XM_041101068.1.p1, XM_041076943.1.p1, XM_041076942.1.p1, XM_041077662.1.p1, XM_016812549.2.p1, XM_016816940.2.p1, XM_016867170.2.p1, XM_016867136.2.p1, XM_016846471.2.p1, XM_016866610.2.p1, XM_016841049.2.p1, XM_016846032.2.p1, XM_016841306.2.p1, XM_016841060.2.p1, XM_041081362.1.p1, XM_041106373.1.p1, XM_016846028.2.p1, XM_041081361.1.p1, XM_041082039.1.p1, XM_016838913.2.p1, XM_016846029.2.p1, XM_016841307.2.p1, XM_041102180.1.p1, XM_016845359.2.p1, XM_016848267.2.p1
OG0000016	NM_118863.5.p1, NM_001341844.1.p1	XM_041096158.1.p1
OG0000016	NM_118258.3.p1, NM_001334222.1.p1, NM_001334221.1.p1, NM_001341478.1.p1, NM_112034.3.p1, NM_105253.2.p1, NM_105252.2.p1	XM_016855897.2.p1, XM_016874412.2.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1	XM_041095869.1.p1, XM_016861352.1.p1, XM_041115875.1.p1, XM_016883105.2.p1, XM_016816729.2.p1, XM_016816727.2.p1, XM_016816728.2.p1, XM_016816738.2.p1, XM_041076171.1.p1, XM_041092357.1.p1, XM_016816716.2.p1, XM_016816715.2.p1, XM_041115873.1.p1, XM_041095871.1.p1, XM_041115874.1.p1, XM_041095874.1.p1, XM_041095875.1.p1, XM_016861341.2.p1
OG0000018	NM_116759.3.p1, NM_118446.3.p1, NM_118452.4.p1, NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1, NM_118447.3.p1, NM_001341579.1.p1, NM_114455.2.p1, NM_118460.2.p1, NM_001341598.1.p1, NM_001341575.1.p1, NM_179094.3.p1, NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	XM_016898150.2.p1, XM_016855605.2.p1, XM_041102676.1.p1, XM_041102674.1.p1, XM_016874626.2.p1, XM_016855462.2.p1, XM_041116455.1.p1, XM_016896472.2.p1, XM_041095645.1.p1, XM_016828099.2.p1, XM_016898149.2.p1, XM_016837583.2.p1, XM_016837584.2.p1, XM_016828098.2.p1, XM_016898145.2.p1
OG0000020	NM_121001.2.p1	XM_041094188.1.p1, XR_005914020.1.p1, XM_041094186.1.p1
