Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Saccharomyces_cerevisiae_rna_prot
OG0000000	XM_001587566.1.p1, XM_001591185.1.p1, XM_001597027.1.p1, XM_001589120.1.p1, XM_001595534.1.p1, XM_001598353.1.p1, XM_001589596.1.p1, XM_001596634.1.p1, XM_001587932.1.p1, XM_001597299.1.p1, XM_001585050.1.p1, XM_001586612.1.p1, XM_001586073.1.p1, XM_001595288.1.p1	NM_001181389.1.p1
OG0000001	XM_001585670.1.p1	NM_001183692.1.p1
OG0000001	XM_001596026.1.p1	NM_001179178.1.p1
OG0000001	XM_001588682.1.p1, XM_001593835.1.p1, XM_001597802.1.p1, XM_001588558.1.p1	NM_001181848.1.p1
OG0000002	XM_001586214.1.p1, XM_001589076.1.p1, XM_001592371.1.p1, XM_001598197.1.p1, XM_001584996.1.p1, XM_001592631.1.p1, XM_001584832.1.p1, XM_001598780.1.p1, XM_001595108.1.p1	NM_001179895.3.p1, NM_001181353.3.p1, NM_001184295.1.p1
OG0000002	XM_001592437.1.p1	NM_001180427.1.p1
OG0000006	XM_001588352.1.p1	NM_001180467.1.p1
OG0000006	XM_001596808.1.p1	NM_001179912.1.p1
OG0000006	XM_001588863.1.p1, XM_001592785.1.p1, XM_001585971.1.p1, XM_001594656.1.p1	NM_001181881.1.p1, NM_001184088.1.p1, NM_001179829.3.p1, NM_001181320.1.p1, NM_001180354.3.p1, NM_001178416.4.p1, NM_001178671.1.p1, NM_001180816.1.p1, NM_001183274.1.p1
OG0000006	XM_001586702.1.p1	NM_001183108.1.p1, NM_001178878.1.p1, NM_001183106.1.p1
OG0000006	XM_001588137.1.p1	NM_001184079.1.p1
OG0000006	XM_001584772.1.p1	NM_001178480.1.p1
OG0000006	XM_001591073.1.p1	NM_001183768.1.p1
OG0000007	XM_001597058.1.p1, XM_001595440.1.p1	NM_001179926.1.p1
OG0000007	XM_001593364.1.p1	NM_001181647.1.p1, NM_001181968.1.p1, NM_001179222.2.p1, NM_001180650.3.p1, NM_001180653.1.p1, NM_001179224.1.p1, NM_001179226.1.p1, NM_001181652.1.p1, NM_001179955.1.p1, NM_001182507.1.p1, NM_001180305.1.p1, NM_001178884.1.p1, NM_001183156.1.p1
OG0000007	XM_001596573.1.p1, XM_001592329.1.p1, XM_001590635.1.p1, XM_001593051.1.p1, XM_001593978.1.p1, XM_001593251.1.p1	NM_001180254.1.p1, NM_001180198.1.p1
OG0000009	XM_001593400.1.p1	NM_001180270.1.p1
OG0000009	XM_001595645.1.p1, XM_001591183.1.p1	NM_001179740.1.p1
OG0000010	XM_001597412.1.p1, XM_001590585.1.p1	NM_001183726.4.p1, NM_001183373.1.p1
OG0000010	XM_001592407.1.p1	NM_001179786.2.p1
OG0000010	XM_001598213.1.p1	NM_001182963.1.p1
OG0000011	XM_001598486.1.p1	NM_001179115.1.p1, NM_001181868.1.p1, NM_001179893.3.p1
OG0000011	XM_001593090.1.p1, XM_001593089.1.p1	NM_001181410.3.p1
OG0000011	XM_001591956.1.p1	NM_001180442.3.p1
OG0000019	XM_001591415.1.p1	NM_001181810.3.p1
OG0000025	XM_001585564.1.p1	NM_001183748.1.p1, NM_001180714.1.p1, NM_001183572.3.p1
OG0000025	XM_001594625.1.p1, XM_001592424.1.p1, XM_001585370.1.p1	NM_001179363.1.p1, NM_001183430.1.p1, NM_001183247.4.p1, NM_001180319.1.p1, NM_001183872.1.p1
OG0000027	XM_001594266.1.p1, XM_001589465.1.p1, XM_001594817.1.p1, XM_001596322.1.p1	NM_001178809.1.p1, NM_001182348.3.p1, NM_001182972.3.p1
OG0000029	XM_001592206.1.p1	NM_001178497.3.p1
OG0000029	XM_001586393.1.p1, XM_001589831.1.p1, XM_001590306.1.p1	NM_001181754.1.p1
