Orthogroup	Arabidopsis_thaliana_rna_prot	Malus_domestica_rna_prot
OG0000000	NR_143404.1.p1, NR_143405.1.p1, NR_143403.1.p1, NR_143402.1.p1	XM_029096736.1.p1, XM_029093062.1.p1
OG0000000	NM_001341577.1.p1	XM_029104297.1.p1, XM_029089375.1.p1, XM_017324369.2.p1
OG0000002	NR_140666.1.p1	XM_029108751.1.p1, XM_029101625.1.p1, XM_029108750.1.p1, XM_029104166.1.p1, XM_029106366.1.p1, XM_029092235.1.p1, XM_029108913.1.p1, XM_008352883.2.p1, XM_029091015.1.p1, XM_017336539.1.p1, XM_029092295.1.p1, XM_029106327.1.p1, XM_029104836.1.p1, XM_029101655.1.p1, XM_029089827.1.p1, XM_029092250.1.p1, XM_017327052.2.p1
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	XM_029110074.1.p1, XM_029106304.1.p1, XM_029106385.1.p1, XM_029108779.1.p1, XM_029098378.1.p1, XM_029091202.1.p1, XM_029096780.1.p1, XM_008382003.3.p1, XM_008382002.3.p1, XM_017324100.2.p1, XM_029108174.1.p1, XM_008382001.3.p1, XM_029107150.1.p1, XM_008355425.3.p1, XM_017330454.2.p1, XM_029107136.1.p1, XM_029095119.1.p1, XM_029093570.1.p1, XM_029106379.1.p1, XM_008382407.3.p1, XM_008382510.3.p1, XM_029109269.1.p1, XM_008393929.2.p1, XM_008384969.3.p1
OG0000004	NM_103454.1.p1	XM_029108862.1.p1
OG0000009	NM_125027.1.p1, NM_001345199.1.p1, NM_125020.5.p1, NM_001345197.1.p1, NM_001344885.1.p1, NM_001333006.1.p1, NM_125022.1.p1, NM_148138.2.p1, NM_001345198.1.p1, NM_125021.4.p1, NM_118768.1.p1, NM_118767.3.p1, NM_001333686.1.p1, NM_115129.1.p1, NM_115012.4.p1, NM_114762.1.p1, NM_001203107.1.p1, NM_126458.5.p1, NM_001339395.1.p1, NM_114761.1.p1, NM_116233.2.p1, NM_001339582.1.p1, NM_148317.5.p1, NM_001338845.1.p1, NM_001338843.1.p1, NM_125023.2.p1, NM_001085288.2.p1, NM_114931.2.p1, NM_125065.2.p1, NM_125064.2.p1, NM_001345217.1.p1	XM_017328723.2.p1, XM_029089455.1.p1, XM_029089454.1.p1, XM_008370587.1.p1, XM_017331114.2.p1, XM_008388129.3.p1, XM_029100314.1.p1, XM_029100313.1.p1, XM_029100312.1.p1, XM_029100311.1.p1, XM_029100310.1.p1, XM_029089460.1.p1, XM_029100675.1.p1, XM_008388060.2.p1, XM_029089461.1.p1, XM_029100677.1.p1, XM_029106397.1.p1, XM_008350325.3.p1, XM_008361122.3.p1, XM_008388059.3.p1, XM_029089037.1.p1, XM_008387989.3.p1, XM_008388057.3.p1, XM_029089098.1.p1, XR_003766986.1.p1, XM_029099786.1.p1, XM_029099787.1.p1, XM_029099784.1.p1, XM_029099782.1.p1, XM_029099780.1.p1, XM_029099792.1.p1, XM_008368304.3.p1, XM_008368305.3.p1, XM_008370385.3.p1, XM_008368318.3.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_017332710.2.p1, XM_029104072.1.p1, XM_008376064.3.p1, XM_017332721.2.p1, XM_029103812.1.p1, XM_017329597.2.p1, XM_029095626.1.p1, XM_029095624.1.p1, XM_029095625.1.p1, XM_008363494.3.p1, XM_029095809.1.p1, XM_008391040.3.p1, XM_029095627.1.p1, XM_008363498.3.p1
OG0000016	NM_118863.5.p1, NM_001341844.1.p1	XR_003773569.1.p1, XR_003773532.1.p1, XM_029103522.1.p1, XM_029110027.1.p1, XM_029110026.1.p1, XM_029110028.1.p1, XM_029102833.1.p1, XM_008347912.3.p1, XM_029102826.1.p1
OG0000016	NM_118258.3.p1, NM_001334222.1.p1, NM_001334221.1.p1, NM_001341478.1.p1, NM_112034.3.p1, NM_105253.2.p1, NM_105252.2.p1	XM_008365887.3.p1
OG0000017	NM_126953.4.p1	XM_029104237.1.p1
