Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Claviceps_purpurea_cds_prot
OG0000000	XM_001593612.1.p1	lcl|CAGA01000037.1_cds_CCE32060.1_3314.p1
OG0000000	XM_001591185.1.p1	lcl|CAGA01000035.1_cds_CCE31894.1_3517.p1
OG0000000	XM_001597027.1.p1, XM_001589120.1.p1	lcl|CAGA01000015.1_cds_CCE29528.1_5762.p1
OG0000000	XM_001595534.1.p1	lcl|CAGA01000036.1_cds_CCE31977.1_3415.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	lcl|CAGA01000029.1_cds_CCE31247.1_4103.p1, lcl|CAGA01000029.1_cds_CCE31246.1_4102.p1
OG0000000	XM_001587932.1.p1	lcl|CAGA01000011.1_cds_CCE29043.1_6486.p1
OG0000000	XM_001586073.1.p1	lcl|CAGA01000009.1_cds_CCE28611.1_6865.p1
OG0000001	XM_001590837.1.p1	lcl|CAGA01000031.1_cds_CCE31460.1_3883.p1
OG0000001	XM_001586840.1.p1	lcl|CAGA01000017.1_cds_CCE29871.1_5572.p1
OG0000001	XM_001591868.1.p1	lcl|CAGA01000026.1_cds_CCE30954.1_4471.p1, lcl|CAGA01000062.1_cds_CCE33605.1_1732.p1
OG0000001	XM_001593835.1.p1	lcl|CAGA01000018.1_cds_CCE29941.1_5371.p1
OG0000001	XM_001588558.1.p1	lcl|CAGA01000075.1_cds_CCE34109.1_1286.p1
OG0000001	XM_001588459.1.p1	lcl|CAGA01000021.1_cds_CCE30395.1_5082.p1
OG0000002	XM_001598579.1.p1	lcl|CAGA01000009.1_cds_CCE28534.1_6788.p1
OG0000002	XM_001587049.1.p1	lcl|CAGA01000054.1_cds_CCE33241.1_2115.p1
OG0000002	XM_001589076.1.p1	lcl|CAGA01000032.1_cds_CCE31569.1_3781.p1
OG0000002	XM_001596924.1.p1, XM_001596092.1.p1	lcl|CAGA01000001.1_cds_CCE26596.1_8661.p1, lcl|CAGA01000060.1_cds_CCE33553.1_1859.p1
OG0000003	XM_001598505.1.p1	lcl|CAGA01000039.1_cds_CCE32210.1_3081.p1
OG0000003	XM_001588182.1.p1	lcl|CAGA01000029.1_cds_CCE31231.1_4087.p1, lcl|CAGA01000043.1_cds_CCE32560.1_2807.p1, lcl|CAGA01000029.1_cds_CCE31233.1_4089.p1
OG0000003	XM_001593713.1.p1	lcl|CAGA01000007.1_cds_CCE28251.1_7373.p1
