Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Hypothenemus_hampei_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC015970-RB.p1, gnl|WGS_AAJJ|TC015970-RA.p1	GDLS01016561.1.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	GDLS01016942.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	GDLS01012965.1.p1
OG0000000	gnl|WGS_AAJJ|TC031038-RA.p1	GDLS01016516.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	GDLS01014002.1.p1
OG0000000	gnl|WGS_AAJJ|TC007345-RA.p1	GDLS01014218.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	GDLS01014203.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	GDLS01008136.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	GDLS01013093.1.p1
OG0000000	gnl|WGS_AAJJ|TC034026-RA.p1	GDLS01015811.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	GDLS01006038.1.p1
OG0000000	gnl|WGS_AAJJ|TC011442-RA.p2, gnl|WGS_AAJJ|TC011443-RA.p1	GDLS01007855.1.p1
OG0000000	gnl|WGS_AAJJ|TC011445-RA.p1, gnl|WGS_AAJJ|TC011444-RA.p1, gnl|WGS_AAJJ|TC031412-RA.p1, gnl|WGS_AAJJ|TC011446-RA.p1	GDLS01000416.1.p1
OG0000000	gnl|WGS_AAJJ|TC013844-RA.p1	GDLS01013006.1.p1
OG0000000	gnl|WGS_AAJJ|TC032330-RA.p1	GDLS01012223.1.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	GDLS01014789.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	GDLS01011899.1.p1
OG0000002	gnl|WGS_AAJJ|TC006026-RA.p1	GDLS01012206.1.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1, gnl|WGS_AAJJ|TC000545-RA.p1, gnl|WGS_AAJJ|TC001023-RA.p1, gnl|WGS_AAJJ|TC000547-RA.p1	GDLS01009320.1.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	GDLS01013755.1.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	GDLS01016831.1.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	GDLS01014591.1.p1
OG0000003	gnl|WGS_AAJJ|TC034179-RA.p1	GDLS01014230.1.p1
OG0000003	gnl|WGS_AAJJ|TC034829-RA.p1, gnl|WGS_AAJJ|TC000282-RA.p1, gnl|WGS_AAJJ|TC034188-RA.p1, gnl|WGS_AAJJ|TC005352-RA.p1, gnl|WGS_AAJJ|TC005351-RA.p1, gnl|WGS_AAJJ|TC005385-RA.p1, gnl|WGS_AAJJ|TC005386-RA.p1, gnl|WGS_AAJJ|TC005387-RA.p1, gnl|WGS_AAJJ|TC001546-RA.p1, gnl|WGS_AAJJ|TC006441-RA.p1, gnl|WGS_AAJJ|TC006444-RA.p1, gnl|WGS_AAJJ|TC006442-RA.p1, gnl|WGS_AAJJ|TC006445-RA.p1, gnl|WGS_AAJJ|TC034830-RA.p1, gnl|WGS_AAJJ|TC015218-RA.p1, gnl|WGS_AAJJ|TC005384-RA.p1	GDLS01015570.1.p1, GDLS01015920.1.p1
OG0000003	gnl|WGS_AAJJ|TC010245-RA.p1, gnl|WGS_AAJJ|TC010251-RA.p1, gnl|WGS_AAJJ|TC010244-RA.p1	GDLS01014278.1.p1, GDLS01015205.1.p1, GDLS01015086.1.p1
OG0000003	gnl|WGS_AAJJ|TC010252-RA.p1	GDLS01013806.1.p1
OG0000003	gnl|WGS_AAJJ|TC007321-RA.p1, gnl|WGS_AAJJ|TC007320-RA.p1, gnl|WGS_AAJJ|TC007317-RA.p1, gnl|WGS_AAJJ|TC031205-RA.p1, gnl|WGS_AAJJ|TC007315-RA.p1, gnl|WGS_AAJJ|TC007322-RA.p1, gnl|WGS_AAJJ|TC007310-RA.p1	GDLS01013408.1.p1, GDLS01015092.1.p1
OG0000003	gnl|WGS_AAJJ|TC031414-RA.p1, gnl|WGS_AAJJ|TC031413-RA.p1, gnl|WGS_AAJJ|TC010955-RA.p1	GDLS01014930.1.p1
OG0000004	gnl|WGS_AAJJ|TC000719-RA.p1	GDLS01010211.1.p1
OG0000004	gnl|WGS_AAJJ|TC013812-RA.p1	GDLS01011408.1.p1
OG0000005	gnl|WGS_AAJJ|TC032845-RA.p1	GDLS01014895.1.p1
OG0000005	gnl|WGS_AAJJ|TC030780-RA.p1, gnl|WGS_AAJJ|TC030780-RB.p1	GDLS01014646.1.p1, GDLS01016286.1.p1
OG0000005	gnl|WGS_AAJJ|TC032756-RA.p1, gnl|WGS_AAJJ|TC032756-RB.p1, gnl|WGS_AAJJ|TC007632-RA.p1	GDLS01015859.1.p1, GDLS01014845.1.p1
OG0000005	gnl|WGS_AAJJ|TC012281-RA.p1, gnl|WGS_AAJJ|TC012283-RA.p1	GDLS01000124.1.p1
OG0000005	gnl|WGS_AAJJ|TC034813-RA.p1, gnl|WGS_AAJJ|TC008675-RA.p1, gnl|WGS_AAJJ|TC010152-RA.p1	GDLS01015392.1.p1
OG0000005	gnl|WGS_AAJJ|TC007056-RA.p1	GDLS01016210.1.p1
OG0000005	gnl|WGS_AAJJ|TC003857-RA.p1	GDLS01015327.1.p1
OG0000005	gnl|WGS_AAJJ|TC009395-RA.p1	GDLS01013427.1.p1
OG0000006	gnl|WGS_AAJJ|TC003478-RA.p1	GDLS01014086.1.p1
OG0000006	gnl|WGS_AAJJ|TC012662-RA.p1	GDLS01014585.1.p1
OG0000006	gnl|WGS_AAJJ|TC003369-RA.p1	GDLS01015365.1.p1
OG0000006	gnl|WGS_AAJJ|TC008058-RA.p1	GDLS01016355.1.p1
OG0000007	gnl|WGS_AAJJ|TC012951-RA.p2	GDLS01009017.1.p1
OG0000008	gnl|WGS_AAJJ|TC013137-RA.p1	GDLS01010848.1.p1
OG0000008	gnl|WGS_AAJJ|TC013135-RA.p1	GDLS01011834.1.p1
OG0000008	gnl|WGS_AAJJ|TC013131-RA.p1	GDLS01010698.1.p1
OG0000008	gnl|WGS_AAJJ|TC003832-RA.p1	GDLS01009401.1.p1
OG0000008	gnl|WGS_AAJJ|TC013138-RA.p1	GDLS01012209.1.p1
OG0000008	gnl|WGS_AAJJ|TC014498-RA.p1, gnl|WGS_AAJJ|TC014497-RA.p1	GDLS01009134.1.p1
OG0000008	gnl|WGS_AAJJ|TC013307-RA.p1	GDLS01010596.1.p1
OG0000008	gnl|WGS_AAJJ|TC000442-RA.p1	GDLS01012288.1.p1
OG0000009	gnl|WGS_AAJJ|TC009681-RA.p1, gnl|WGS_AAJJ|TC009682-RA.p1	GDLS01000961.1.p1
OG0000009	gnl|WGS_AAJJ|TC033441-RA.p1	GDLS01014238.1.p1, GDLS01009827.1.p1
OG0000009	gnl|WGS_AAJJ|TC032878-RA.p1	GDLS01015519.1.p1
OG0000009	gnl|WGS_AAJJ|TC003287-RA.p1	GDLS01000623.1.p1, GDLS01000023.1.p1
OG0000009	gnl|WGS_AAJJ|TC003288-RA.p1, gnl|WGS_AAJJ|TC008120-RA.p1	GDLS01014761.1.p1
OG0000009	gnl|WGS_AAJJ|TC034160-RA.p1, gnl|WGS_AAJJ|TC034161-RA.p1	GDLS01016570.1.p1, GDLS01015295.1.p1, GDLS01015216.1.p1, GDLS01012505.1.p1, GDLS01014657.1.p1, GDLS01014576.1.p1
