Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Musca_domestica_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_059119164.1.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_059119009.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_059119502.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_011294969.3.p1, XM_059123232.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_020038096.2.p1, XM_020038095.2.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_005185530.4.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_005183698.4.p1, XM_059131032.1.p1, XM_005183700.4.p1, XM_005183699.4.p1, XM_059131034.1.p1, XM_020036797.2.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_059126696.1.p1, XM_059126679.1.p1, XM_059126695.1.p1, XM_059126694.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_005187161.4.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_059121544.1.p1, XM_059121545.1.p1, XM_059121546.1.p1, XM_059121538.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_005178403.4.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_059124632.1.p1, XM_059124634.1.p1
OG0000000	gnl|WGS_AAJJ|TC031411-RA.p1, gnl|WGS_AAJJ|TC034026-RA.p1	XM_005184205.4.p1, XM_005184204.4.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_059118414.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_059127609.1.p1
OG0000000	gnl|WGS_AAJJ|TC013844-RA.p1	XM_020036803.2.p1
