Orthogroup	Arabidopsis_thaliana_rna_prot	Solanum_lycopersicum_rna_prot
OG0000000	NR_143404.1.p1, NR_143405.1.p1, NR_143403.1.p1, NR_143402.1.p1	XR_003246473.1.p1, XM_019213393.1.p1
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	XM_004238443.4.p1, XM_010321867.2.p1, XM_010321869.2.p1, XM_004238477.3.p1, XM_010321865.3.p1
OG0000004	NM_113871.1.p1, NM_103414.1.p1, NM_001161186.1.p1, NM_001161185.1.p1, NM_117034.1.p1, NM_101784.1.p1, NM_001161028.1.p1, NM_001161027.1.p1, NM_103454.1.p1	XM_019215932.1.p1
OG0000006	NM_114576.2.p1, NM_114626.3.p1, NM_114625.3.p1	XM_004234293.4.p1, XM_004235435.4.p1, XM_004242015.3.p1
OG0000009	NM_125027.1.p1, NM_001345199.1.p1, NM_125020.5.p1, NM_001345197.1.p1, NM_001344885.1.p1, NM_001333006.1.p1, NM_125022.1.p1, NM_148138.2.p1, NM_001345198.1.p1, NM_125021.4.p1, NM_118768.1.p1, NM_118767.3.p1, NM_001333686.1.p1, NM_115129.1.p1, NM_115012.4.p1, NM_114762.1.p1, NM_001203107.1.p1, NM_126458.5.p1, NM_001339395.1.p1, NM_114761.1.p1, NM_116233.2.p1, NM_001339582.1.p1, NM_148317.5.p1, NM_001338845.1.p1, NM_001338843.1.p1, NM_125023.2.p1, NM_001085288.2.p1, NM_114931.2.p1, NM_125065.2.p1, NM_125064.2.p1, NM_001345217.1.p1	XM_004244097.3.p1
OG0000009	NM_001336095.1.p1, NM_128243.5.p1, NM_125454.3.p1, NM_001345213.1.p1, NM_001345212.1.p1, NM_125052.1.p1, NM_001198313.2.p1, NM_104442.1.p1, NM_178940.1.p1, NM_001340990.1.p1, NM_117593.3.p1, NM_148325.2.p1, NM_125024.1.p1, NM_125691.1.p1, NM_001035786.3.p1, NM_117110.5.p1, NM_001340663.1.p1, NM_001084898.2.p1, NM_117109.1.p1, NM_001340642.1.p1, NM_001340640.1.p1, NM_001340639.1.p1, NM_148060.3.p1, NM_123218.2.p1, NM_001344258.1.p1, NM_123220.3.p1, NM_203132.2.p1, NM_001344257.1.p1, NM_121175.1.p1	XM_010326924.3.p1, XM_004246458.4.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_004232293.4.p1, XM_026029542.1.p1, XM_019213784.2.p1, XM_019214028.2.p1, XM_019213247.2.p1
OG0000016	NM_118863.5.p1, NM_001341844.1.p1	XM_004231528.4.p1, XM_026032156.1.p1, XM_019214847.2.p1, XM_004251434.4.p1, XM_010321972.3.p1, XM_026030512.1.p1, XM_026030511.1.p1, XM_010321974.3.p1, XM_010321973.3.p1, XM_026030838.1.p1, XM_010321981.2.p1, XM_026030840.1.p1, XM_019216148.2.p1, XM_010326038.3.p1, XM_019214844.2.p1
OG0000016	NM_118258.3.p1, NM_001334222.1.p1, NM_001334221.1.p1, NM_001341478.1.p1, NM_112034.3.p1, NM_105253.2.p1, NM_105252.2.p1	XM_010318335.3.p1, XM_019212763.2.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1	XM_026029424.1.p1, XM_010318317.3.p1, XM_010318319.3.p1, XM_004232703.3.p1, XM_010318316.2.p1
