Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Bombus_terrestris_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_003393683.3.p1
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_012318908.2.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_012309773.2.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RB.p1	XM_003402526.3.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_012320945.2.p1, XM_012320949.2.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_003399814.3.p1
OG0000000	gnl|WGS_AAJJ|TC031038-RA.p1	XM_020863946.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_020864706.1.p1, XM_020864684.1.p1, XM_020864692.1.p1, XM_020864683.1.p1, XM_020864697.1.p1, XM_020864716.1.p1, XM_020864693.1.p1, XM_020864702.1.p1, XM_020864708.1.p1, XM_020864703.1.p1, XM_020864686.1.p1, XM_020864685.1.p1, XM_020864681.1.p1, XM_020864682.1.p1, XM_020864678.1.p1, XM_020864700.1.p1, XM_020864698.1.p1, XM_020864688.1.p1, XM_020864723.1.p1, XM_020864725.1.p1, XM_020864721.1.p1, XM_020864713.1.p1, XM_020864680.1.p1, XM_020864691.1.p1, XM_012311462.2.p1, XM_020864679.1.p1, XM_020864690.1.p1, XM_020864689.1.p1, XM_020864717.1.p1, XM_020864722.1.p1, XM_020864711.1.p1, XM_020864705.1.p1, XM_020864714.1.p1, XM_020864718.1.p1, XM_020864712.1.p1, XM_020864707.1.p1, XM_020864724.1.p1, XM_020864719.1.p1, XM_020864709.1.p1, XM_020864704.1.p1, XM_020864710.1.p1, XM_020864695.1.p1, XM_020864696.1.p1, XM_020864720.1.p1, XM_020864701.1.p1, XM_020864694.1.p1, XM_020864699.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_012311773.2.p1, XM_020864498.1.p1, XM_020864497.1.p1, XM_020864496.1.p1, XM_020864500.1.p1, XM_020864501.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_003396285.3.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_020866151.1.p1, XM_020866150.1.p1, XM_003400278.3.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	XM_012318185.2.p1, XM_003401976.3.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_003394880.3.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_012315346.2.p1, XM_020866234.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_020863327.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_012319617.2.p1
OG0000000	gnl|WGS_AAJJ|TC013844-RA.p1	XM_012319276.2.p1, XM_020867966.1.p1
OG0000000	gnl|WGS_AAJJ|TC032330-RA.p1	XM_020864728.1.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_012309516.2.p1, XM_012309496.2.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_012312385.2.p1
OG0000001	gnl|WGS_AAJJ|TC002325-RA.p1	XM_020867588.1.p1, XM_012319137.1.p1, XM_012318828.1.p1, XM_012312245.1.p1, XM_012319510.2.p1, XM_012319149.1.p1, XM_012319127.1.p1
OG0000001	gnl|WGS_AAJJ|TC002454-RA.p1	XM_012316598.1.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1	XM_003401334.3.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_012315729.2.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_003402536.3.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	XM_003397566.3.p1
OG0000002	gnl|WGS_AAJJ|TC000545-RA.p1	XM_020864766.1.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_003397568.3.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_020864768.1.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	XM_012308126.2.p1, XM_020862783.1.p1, XM_020862782.1.p1, XM_012307778.2.p1, XM_020862628.1.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_012316760.2.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_012307855.2.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	XM_003395310.3.p1
OG0000002	gnl|WGS_AAJJ|TC002768-RA.p1	XM_020868287.1.p1
OG0000002	gnl|WGS_AAJJ|TC014083-RA.p1, gnl|WGS_AAJJ|TC013709-RA.p1, gnl|WGS_AAJJ|TC015617-RA.p1, gnl|WGS_AAJJ|TC015618-RA.p1	XM_012309089.2.p1
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	XM_003401196.3.p1
OG0000003	gnl|WGS_AAJJ|TC034179-RA.p1, gnl|WGS_AAJJ|TC034829-RA.p1, gnl|WGS_AAJJ|TC000282-RA.p1, gnl|WGS_AAJJ|TC034188-RA.p1, gnl|WGS_AAJJ|TC005352-RA.p1, gnl|WGS_AAJJ|TC005351-RA.p1, gnl|WGS_AAJJ|TC005385-RA.p1, gnl|WGS_AAJJ|TC005386-RA.p1, gnl|WGS_AAJJ|TC005387-RA.p1, gnl|WGS_AAJJ|TC001546-RA.p1, gnl|WGS_AAJJ|TC006441-RA.p1, gnl|WGS_AAJJ|TC006444-RA.p1, gnl|WGS_AAJJ|TC006442-RA.p1, gnl|WGS_AAJJ|TC006445-RA.p1, gnl|WGS_AAJJ|TC034830-RA.p1, gnl|WGS_AAJJ|TC015218-RA.p1, gnl|WGS_AAJJ|TC005384-RA.p1	XM_020868191.1.p1, XM_003393331.3.p1, XM_003403348.2.p1, XM_003393328.3.p1, XM_003393340.3.p1
OG0000003	gnl|WGS_AAJJ|TC007316-RA.p1, gnl|WGS_AAJJ|TC033366-RA.p1	XM_003403370.1.p1, XM_003403349.3.p1
OG0000003	gnl|WGS_AAJJ|TC031414-RA.p1, gnl|WGS_AAJJ|TC031413-RA.p1, gnl|WGS_AAJJ|TC010955-RA.p1	XM_003393817.3.p1, XM_003393819.3.p1, XM_020868284.1.p1
OG0000004	gnl|WGS_AAJJ|TC000723-RA.p2, gnl|WGS_AAJJ|TC000722-RA.p1, gnl|WGS_AAJJ|TC000721-RA.p1, gnl|WGS_AAJJ|TC000724-RA.p1, gnl|WGS_AAJJ|TC000725-RA.p1, gnl|WGS_AAJJ|TC007724-RA.p1, gnl|WGS_AAJJ|TC008770-RA.p1, gnl|WGS_AAJJ|TC000853-RA.p1, gnl|WGS_AAJJ|TC000719-RA.p1, gnl|WGS_AAJJ|TC000720-RA.p1	XM_020865656.1.p1, XM_003399137.3.p1
OG0000004	gnl|WGS_AAJJ|TC015901-RA.p1, gnl|WGS_AAJJ|TC013819-RA.p1, gnl|WGS_AAJJ|TC013821-RA.p1, gnl|WGS_AAJJ|TC013822-RA.p1, gnl|WGS_AAJJ|TC013992-RA.p1, gnl|WGS_AAJJ|TC013820-RA.p1, gnl|WGS_AAJJ|TC013824-RA.p1, gnl|WGS_AAJJ|TC013825-RA.p1, gnl|WGS_AAJJ|TC013828-RA.p1, gnl|WGS_AAJJ|TC013988-RA.p1, gnl|WGS_AAJJ|TC013987-RA.p1, gnl|WGS_AAJJ|TC011149-RA.p1, gnl|WGS_AAJJ|TC011148-RA.p1, gnl|WGS_AAJJ|TC013990-RA.p1, gnl|WGS_AAJJ|TC013811-RA.p2, gnl|WGS_AAJJ|TC013827-RA.p1, gnl|WGS_AAJJ|TC013826-RA.p1, gnl|WGS_AAJJ|TC013817-RA.p1, gnl|WGS_AAJJ|TC013816-RA.p1, gnl|WGS_AAJJ|TC013809-RA.p1	XM_003402953.3.p1
OG0000004	gnl|WGS_AAJJ|TC013808-RA.p1	XM_003397744.3.p1
OG0000005	gnl|WGS_AAJJ|TC030780-RA.p1, gnl|WGS_AAJJ|TC030780-RB.p1	XM_003394931.3.p1
OG0000005	gnl|WGS_AAJJ|TC032756-RA.p1, gnl|WGS_AAJJ|TC032756-RB.p1, gnl|WGS_AAJJ|TC007632-RA.p1	XM_020862759.1.p1, XM_003398954.3.p1, XM_012313763.2.p1, XM_012313761.2.p1
OG0000005	gnl|WGS_AAJJ|TC007056-RA.p1, gnl|WGS_AAJJ|TC002562-RA.p1, gnl|WGS_AAJJ|TC003857-RA.p1, gnl|WGS_AAJJ|TC033805-RA.p1, gnl|WGS_AAJJ|TC009395-RA.p1	XM_003402877.3.p1, XM_003402874.3.p1, XM_003402876.3.p1, XM_003402873.3.p1
OG0000006	gnl|WGS_AAJJ|TC009412-RA.p1	XM_003401923.3.p1
OG0000006	gnl|WGS_AAJJ|TC003478-RA.p1	XM_020863974.1.p1
OG0000006	gnl|WGS_AAJJ|TC012662-RA.p1, gnl|WGS_AAJJ|TC012501-RA.p1, gnl|WGS_AAJJ|TC012500-RA.p1, gnl|WGS_AAJJ|TC012499-RA.p1, gnl|WGS_AAJJ|TC012502-RA.p1, gnl|WGS_AAJJ|TC012495-RA.p1, gnl|WGS_AAJJ|TC034363-RA.p1, gnl|WGS_AAJJ|TC012498-RA.p1, gnl|WGS_AAJJ|TC012503-RA.p1, gnl|WGS_AAJJ|TC012504-RA.p1	XM_003398916.3.p1
OG0000006	gnl|WGS_AAJJ|TC008058-RA.p1	XM_003399563.3.p1
OG0000007	gnl|WGS_AAJJ|TC012952-RA.p1, gnl|WGS_AAJJ|TC031727-RA.p1, gnl|WGS_AAJJ|TC033506-RA.p1, gnl|WGS_AAJJ|TC031778-RA.p1, gnl|WGS_AAJJ|TC004268-RA.p1, gnl|WGS_AAJJ|TC002641-RA.p1, gnl|WGS_AAJJ|TC002008-RA.p1, gnl|WGS_AAJJ|TC012949-RA.p1, gnl|WGS_AAJJ|TC031670-RA.p1, gnl|WGS_AAJJ|TC002946-RA.p1, gnl|WGS_AAJJ|TC001491-RA.p1, gnl|WGS_AAJJ|TC016130-RA.p1, gnl|WGS_AAJJ|TC006847-RA.p1	XM_020868299.1.p1
OG0000008	gnl|WGS_AAJJ|TC014771-RA.p3, gnl|WGS_AAJJ|TC014770-RA.p1	XM_003399975.3.p1
OG0000008	gnl|WGS_AAJJ|TC013135-RA.p1	XM_003393607.3.p1, XM_012316874.2.p1
OG0000008	gnl|WGS_AAJJ|TC003832-RA.p1	XM_020864675.1.p1
OG0000008	gnl|WGS_AAJJ|TC013138-RA.p1	XM_003394686.3.p1
OG0000008	gnl|WGS_AAJJ|TC014500-RA.p1, gnl|WGS_AAJJ|TC014499-RA.p1	XM_012319928.2.p1
OG0000008	gnl|WGS_AAJJ|TC014498-RA.p1, gnl|WGS_AAJJ|TC014497-RA.p1	XM_003403256.3.p1, XM_003403255.3.p2
OG0000008	gnl|WGS_AAJJ|TC000442-RA.p1	XM_003394973.3.p1
