Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Homo_sapiens_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC015970-RB.p1, gnl|WGS_AAJJ|TC015970-RA.p1	NM_001330706.2.p1, NM_001145101.3.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	NM_181844.4.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	NM_181842.3.p1, NM_152735.4.p1, NM_001164342.2.p1
OG0000002	gnl|WGS_AAJJ|TC031004-RA.p1	XM_054320892.1.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1, gnl|WGS_AAJJ|TC000545-RA.p1, gnl|WGS_AAJJ|TC001023-RA.p1, gnl|WGS_AAJJ|TC000547-RA.p1	NM_000505.4.p1, NM_001297439.2.p1
OG0000002	gnl|WGS_AAJJ|TC032356-RA.p1	NM_001025200.4.p2, NM_001329190.2.p2, NM_001907.3.p1
OG0000002	gnl|WGS_AAJJ|TC013084-RB.p1, gnl|WGS_AAJJ|TC014083-RA.p1, gnl|WGS_AAJJ|TC013709-RA.p1, gnl|WGS_AAJJ|TC015617-RA.p1, gnl|WGS_AAJJ|TC015618-RA.p1, gnl|WGS_AAJJ|TC002785-RA.p1, gnl|WGS_AAJJ|TC002786-RA.p1	NM_005317.4.p1, NM_001317335.2.p1, NM_001700.5.p2
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	NM_005046.4.p1, NM_001243126.1.p1, NM_002774.4.p1, XM_054321477.1.p1, NM_001319949.2.p1, NM_019598.3.p1, NM_001077500.2.p1, NM_144505.3.p1, NM_015596.3.p1, NM_001311182.2.p1, NM_001303414.2.p1, NM_001197097.3.p1, NM_002769.5.p1
OG0000006	gnl|WGS_AAJJ|TC009412-RA.p1	NM_207352.4.p1
