Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Nylanderia_fulva_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_029305721.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RB.p1	XM_029301916.1.p1, XM_029301912.1.p1, XM_029301917.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_029311305.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_029311475.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_029306010.1.p1, XM_029306024.1.p1, XM_029306005.1.p1, XM_029305993.1.p1, XM_029305983.1.p1, XM_029305991.1.p1, XM_029305990.1.p1, XM_029305999.1.p1, XM_029305994.1.p1, XM_029306030.1.p1, XM_029306007.1.p1, XM_029306014.1.p1, XM_029306018.1.p1, XM_029306016.1.p1, XM_029306015.1.p1, XM_029306022.1.p1, XM_029306013.1.p1, XM_029306011.1.p1, XM_029306008.1.p1, XM_029306020.1.p1, XM_029306027.1.p1, XM_029306023.1.p1, XM_029306009.1.p1, XM_029306000.1.p1, XM_029305997.1.p1, XM_029305996.1.p1, XM_029306017.1.p1, XM_029306032.1.p1, XM_029306029.1.p1, XM_029306025.1.p1, XM_029306021.1.p1, XM_029306003.1.p1, XM_029306002.1.p1, XM_029306004.1.p1, XM_029305998.1.p1, XM_029305992.1.p1, XM_029305989.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_029299562.1.p1, XM_029299569.1.p1, XM_029299571.1.p1, XM_029299570.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_029320856.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_029308076.1.p1, XM_029308078.1.p1, XM_029308060.1.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	XM_029319435.1.p1, XM_029319431.1.p1, XM_029319437.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_029319971.1.p1, XM_029319974.1.p1, XM_029319975.1.p1, XM_029319972.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_029309990.1.p1, XM_029309994.1.p1, XM_029309992.1.p1, XM_029309995.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_029307302.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_029321184.1.p1
OG0000000	gnl|WGS_AAJJ|TC011445-RA.p1, gnl|WGS_AAJJ|TC011444-RA.p1, gnl|WGS_AAJJ|TC031412-RA.p1, gnl|WGS_AAJJ|TC011446-RA.p1	XM_029307651.1.p1
OG0000000	gnl|WGS_AAJJ|TC032330-RA.p1	XM_029306190.1.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_029311895.1.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_029315133.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_029308419.1.p1, XM_029314166.1.p1, XM_029318936.1.p1, XM_029312795.1.p1, XM_029314458.1.p1, XM_029306325.1.p1, XM_029322294.1.p1, XM_029306353.1.p1, XM_029318082.1.p1, XM_029303349.1.p1, XM_029307592.1.p1, XM_029316366.1.p1, XM_029318781.1.p1, XM_029308289.1.p1, XM_029304254.1.p1, XM_029306964.1.p1, XM_029301414.1.p1, XM_029314510.1.p1
OG0000001	gnl|WGS_AAJJ|TC002178-RA.p1	XM_029302167.1.p1, XM_029314701.1.p1, XM_029314335.1.p1, XM_029310088.1.p1, XM_029310036.1.p1, XM_029322597.1.p1, XM_029304508.1.p1, XM_029312962.1.p1, XM_029313353.1.p1, XM_029307597.1.p1, XM_029302800.1.p1, XM_029307212.1.p1, XM_029306291.1.p1, XM_029313573.1.p1, XM_029312540.1.p1, XM_029315275.1.p1
OG0000001	gnl|WGS_AAJJ|TC010310-RA.p1	XM_029317144.1.p1, XM_029309832.1.p1, XM_029302256.1.p1, XM_029318916.1.p1
OG0000001	gnl|WGS_AAJJ|TC016140-RA.p1	XM_029317446.1.p1, XM_029310099.1.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1	XM_029308043.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_029316611.1.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_029300581.1.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_029317150.1.p1
