Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Phanerochaete_chrysosporium_rna_prot
OG0000000	XM_001587566.1.p1	XM_007400218.1.p1, XM_007400219.1.p1, XM_007399336.1.p1, XM_007394074.1.p1, XM_007400221.1.p1, XM_007400220.1.p1
OG0000000	XM_001597027.1.p1, XM_001589120.1.p1, XM_001595534.1.p1	XM_007399993.1.p1, XM_007393326.1.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	XM_007390584.1.p1, XM_007400843.1.p1
OG0000000	XM_001587932.1.p1	XM_007392128.1.p1, XM_007392126.1.p1
OG0000000	XM_001586612.1.p1, XM_001586073.1.p1	XM_007391686.1.p1
OG0000001	XM_001592821.1.p1, XM_001590837.1.p1	XM_007398128.1.p1, XM_007395412.1.p1
OG0000001	XM_001596026.1.p1	XM_007392140.1.p1, XM_007396858.1.p1, XM_007392148.1.p1, XM_007396573.1.p1
OG0000001	XM_001586958.1.p1, XM_001586840.1.p1, XM_001591868.1.p1	XM_007395975.1.p1
OG0000001	XM_001588682.1.p1, XM_001593835.1.p1, XM_001597802.1.p1, XM_001588558.1.p1, XM_001592974.1.p1, XM_001588459.1.p1	XM_007395769.1.p1, XM_007393681.1.p1, XM_007390587.1.p1
OG0000001	XM_001594847.1.p1	XM_007399879.1.p1
OG0000002	XM_001597407.1.p1, XM_001598579.1.p1	XM_007392174.1.p1, XM_007396364.1.p1, XM_007396361.1.p1, XM_007396377.1.p1
OG0000002	XM_001594265.1.p1, XM_001585353.1.p1	XM_007398639.1.p1, XM_007394833.1.p1, XM_007394824.1.p1, XM_007389797.1.p1, XM_007398637.1.p1, XM_007389613.1.p1, XM_007398628.1.p1, XM_007398626.1.p1, XM_007398633.1.p1, XM_007398580.1.p1, XM_007398638.1.p1, XM_007398585.1.p1, XM_007398358.1.p1, XM_007394562.1.p1
OG0000002	XM_001587049.1.p1	XM_007393476.1.p1, XM_007401233.1.p1, XM_007398571.1.p1, XM_007395712.1.p1
OG0000002	XM_001585463.1.p1	XM_007398223.1.p1
OG0000002	XM_001586214.1.p1, XM_001589076.1.p1, XM_001592371.1.p1, XM_001598197.1.p1, XM_001584996.1.p1, XM_001592631.1.p1, XM_001584832.1.p1, XM_001598780.1.p1, XM_001595108.1.p1	XM_007402532.1.p1, XM_007402873.1.p1, XM_007398743.1.p1, XM_007402446.1.p1, XM_007402928.1.p1
OG0000002	XM_001592437.1.p1	XM_007390217.1.p1, XM_007389927.1.p1
OG0000003	XM_001597102.1.p1	XM_007390665.1.p1
OG0000005	XM_001598240.1.p1, XM_001585262.1.p1, XM_001586851.1.p1	XM_007393289.1.p1
OG0000005	XM_001585072.1.p1	XM_007394520.1.p1, XM_007394518.1.p1, XM_007394611.1.p1
OG0000006	XM_001585309.1.p1	XM_007396798.1.p1
OG0000006	XM_001588137.1.p1	XM_007395649.1.p1
OG0000006	XM_001598725.1.p1, XM_001584562.1.p1, XM_001584772.1.p1	XM_007401231.1.p1
OG0000007	XM_001591636.1.p1	XM_007393579.1.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1, XM_001590167.1.p1, XM_001589522.1.p1	XM_007393802.1.p1
OG0000007	XM_001592113.1.p1	XM_007395091.1.p1
OG0000007	XM_001594740.1.p1, XM_001597058.1.p1, XM_001595440.1.p1	XM_007398412.1.p1
OG0000007	XM_001593364.1.p1	XM_007400477.1.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1, XM_001593251.1.p1	XM_007400647.1.p1
OG0000009	XM_001587822.1.p1, XM_001586701.1.p1	XM_007398947.1.p1, XM_007398949.1.p1
OG0000009	XM_001593400.1.p1	XM_007392595.1.p1, XM_007398559.1.p1, XM_007398653.1.p1
OG0000009	XM_001598922.1.p1	XM_007400135.1.p1
OG0000010	XM_001587851.1.p1, XM_001590333.1.p1	XM_007400569.1.p1, XM_007394170.1.p1
OG0000010	XM_001589139.1.p1, XM_001597412.1.p1, XM_001590585.1.p1	XM_007401880.1.p1
OG0000010	XM_001598213.1.p1	XM_007397515.1.p1, XM_007397516.1.p1, XM_007397518.1.p1, XM_007390001.1.p1
OG0000011	XM_001589489.1.p1	XM_007398799.1.p1
OG0000011	XM_001594075.1.p1, XM_001587898.1.p1, XM_001589484.1.p1	XM_007392905.1.p1
OG0000011	XM_001591956.1.p1	XM_007400571.1.p1
OG0000012	XM_001586083.1.p1	XM_007401770.1.p1, XM_007401777.1.p1, XM_007396182.1.p1, XM_007396186.1.p1
OG0000012	XM_001586566.1.p1	XM_007397218.1.p1, XM_007397221.1.p1, XM_007397233.1.p1, XM_007397240.1.p1, XM_007397220.1.p1, XM_007397216.1.p1, XM_007397234.1.p1, XM_007402679.1.p1, XM_007397219.1.p1, XM_007397235.1.p1, XM_007396026.1.p1, XM_007396027.1.p1, XM_007396024.1.p1, XM_007396025.1.p1, XM_007396023.1.p1
OG0000013	XM_001598880.1.p1	XM_007400040.1.p1, XM_007400842.1.p1, XM_007398750.1.p1, XM_007397169.1.p1, XM_007398751.1.p1
OG0000015	XM_001590767.1.p1, XM_001597136.1.p1	XM_007396589.1.p1, XM_007396603.1.p1, XM_007396615.1.p1, XM_007396601.1.p1, XM_007396617.1.p1, XM_007399129.1.p1, XM_007396602.1.p1, XM_007396614.1.p1
