Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Puccinia_graminis_rna_prot
OG0000000	XM_001588468.1.p1, XM_001593612.1.p1	XM_003334967.2.p1, XM_003888835.1.p1
OG0000000	XM_001586612.1.p1, XM_001586073.1.p1	XM_003329132.2.p1
OG0000001	XM_001592821.1.p1	XM_003327758.2.p1
OG0000001	XM_001588682.1.p1, XM_001593835.1.p1, XM_001597802.1.p1, XM_001588558.1.p1, XM_001592974.1.p1	XM_003325109.2.p1, XM_003325107.2.p1
OG0000002	XM_001597407.1.p1, XM_001598579.1.p1	XM_003328059.2.p1
OG0000004	XM_001592712.1.p1	XM_003888654.1.p1, XM_003890330.1.p1, XM_003320122.2.p1
OG0000005	XM_001584813.1.p1, XM_001598738.1.p1	XM_003889295.1.p1
OG0000006	XM_001587520.1.p1	XM_003335540.2.p1, XM_003890008.1.p1, XM_003334936.2.p1, XM_003334930.2.p1, XM_003320346.1.p1, XM_003328961.2.p1, XM_003325776.2.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1, XM_001593251.1.p1	XM_003337176.2.p1, XM_003333315.2.p1
OG0000009	XM_001587822.1.p1, XM_001586701.1.p1	XM_003321650.2.p1, XM_003321596.2.p1
OG0000009	XM_001598922.1.p1	XM_003332660.2.p1
OG0000011	XM_001598486.1.p1	XM_003319916.2.p1, XM_003319918.2.p1
OG0000011	XM_001593090.1.p1, XM_001593089.1.p1	XM_003321235.2.p1
OG0000011	XM_001591956.1.p1	XM_003332747.2.p1, XM_003332750.2.p1
OG0000012	XM_001586083.1.p1	XM_003334981.2.p1, XM_003333111.2.p1, XM_003889105.1.p1
OG0000018	XM_001598881.1.p1, XM_001585047.1.p1, XM_001589923.1.p1, XM_001584504.1.p1, XM_001589463.1.p1, XM_001593239.1.p1, XM_001592971.1.p1, XM_001585013.1.p1, XM_001593916.1.p1, XM_001584503.1.p1, XM_001588213.1.p1, XM_001591140.1.p1, XM_001591684.1.p1, XM_001585991.1.p1	XM_003322256.2.p1
OG0000020	XM_001584630.1.p1, XM_001586311.1.p1	XM_003888615.1.p1, XM_003329135.2.p1, XM_003338183.2.p1, XM_003334804.2.p1
OG0000020	XM_001587118.1.p1, XM_001592706.1.p1, XM_001598591.1.p1, XM_001592517.1.p1	XM_003323293.2.p1, XM_003322658.2.p1, XM_003322659.2.p1
OG0000022	XM_001589766.1.p1	XM_003323073.2.p1, XM_003328360.2.p1, XM_003327473.2.p1, XM_003328359.2.p1, XM_003325219.2.p1, XM_003325222.2.p1, XM_003325232.2.p1, XM_003327581.2.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1, XM_001593129.1.p1, XM_001586689.1.p1, XM_001585536.1.p1, XM_001587388.1.p1, XM_001589348.1.p1, XM_001587680.1.p1, XM_001593008.1.p1, XM_001585002.1.p1	XM_003327082.2.p1
OG0000025	XM_001594625.1.p1	XM_003332998.2.p1, XM_003333002.2.p1, XM_003332993.2.p1
OG0000025	XM_001592424.1.p1	XM_003335998.2.p1
OG0000029	XM_001592457.1.p1, XM_001588471.1.p1	XM_003327886.2.p1
OG0000029	XM_001589831.1.p1	XM_003333922.2.p1, XM_003888904.1.p1, XM_003334590.2.p1
OG0000032	XM_001588011.1.p1, XM_001587657.1.p1	XM_003321004.2.p1
OG0000032	XM_001592925.1.p1	XM_003321097.2.p1
OG0000034	XM_001590944.1.p1	XM_003325659.2.p1
OG0000034	XM_001588360.1.p1	XM_003324344.1.p1, XM_003324343.2.p1
OG0000037	XM_001595699.1.p1	XM_003333297.1.p1
OG0000038	XM_001590964.1.p1	XM_003322171.2.p1
OG0000039	XM_001594345.1.p1	XM_003328557.2.p1
OG0000042	XM_001595143.1.p1	XM_003333097.2.p1
OG0000042	XM_001586568.1.p1	XM_003328696.2.p1
OG0000043	XM_001597597.1.p1	XM_003889903.1.p1
OG0000045	XM_001587065.1.p1	XM_003333591.2.p1, XM_003333586.2.p1
OG0000046	XM_001586462.1.p1, XM_001594665.1.p1, XM_001587340.1.p1, XM_001586379.1.p1	XM_003337615.2.p1, XM_003890310.1.p1, XM_003322398.2.p1
OG0000048	XM_001589336.1.p1	XM_003328019.2.p1
OG0000048	XM_001586792.1.p1	XM_003324894.2.p1
OG0000049	XM_001594443.1.p1, XM_001591282.1.p1	XM_003333420.2.p1, XM_003333401.2.p1
OG0000050	XM_001585954.1.p1	XM_003323811.2.p1
OG0000051	XM_001589798.1.p1	XM_003326367.2.p1, XM_003889920.1.p1
OG0000051	XM_001598899.1.p1	XM_003325296.2.p1
OG0000051	XM_001590870.1.p1	XM_003332079.2.p1
OG0000051	XM_001587951.1.p1	XM_003322144.2.p1
OG0000051	XM_001596631.1.p1	XM_003888922.1.p1
OG0000051	XM_001585247.1.p1	XM_003328339.2.p1
OG0000052	XM_001595011.1.p1, XM_001598643.1.p1	XM_003333546.2.p1, XM_003333538.2.p1, XM_003333539.2.p1, XM_003333540.2.p1
OG0000055	XM_001589853.1.p1, XM_001587585.1.p1, XM_001586322.1.p1, XM_001593073.1.p1	XM_003334917.2.p1
OG0000056	XM_001591650.1.p1, XM_001585689.1.p1, XM_001593553.1.p1, XM_001591666.1.p1, XM_001591171.1.p1	XM_003307005.2.p1, XM_003307006.2.p1
OG0000058	XM_001597998.1.p1	XM_003333850.2.p1
OG0000058	XM_001596000.1.p1	XM_003323660.2.p1
OG0000058	XM_001592674.1.p1	XM_003323985.2.p1
OG0000058	XM_001589509.1.p1	XM_003333978.2.p1
OG0000058	XM_001589061.1.p1	XM_003319622.2.p1
OG0000062	XM_001592845.1.p1	XM_003319265.2.p1
OG0000066	XM_001587442.1.p1, XM_001589898.1.p1	XM_003889629.1.p1
OG0000069	XM_001590565.1.p1	XM_003325105.2.p1
OG0000069	XM_001589526.1.p1	XM_003335733.2.p1
OG0000070	XM_001598556.1.p1	XM_003324534.2.p1
OG0000071	XM_001593511.1.p1	XM_003324781.2.p1
OG0000071	XM_001593038.1.p1	XM_003338334.2.p1
OG0000071	XM_001587924.1.p1	XM_003326767.2.p1
OG0000071	XM_001593312.1.p1	XM_003333466.2.p1, XM_003333440.2.p1
OG0000072	XM_001585746.1.p1	XM_003322232.2.p1
OG0000072	XM_001590639.1.p1, XM_001589810.1.p1	XM_003321919.2.p1
OG0000075	XM_001589867.1.p1	XM_003307380.2.p1
OG0000076	XM_001595074.1.p1	XM_003330397.2.p1
OG0000076	XM_001597093.1.p1	XM_003325862.2.p1
OG0000076	XM_001589714.1.p1	XM_003324903.2.p1
OG0000076	XM_001587341.1.p1	XM_003307720.2.p1
OG0000077	XM_001591303.1.p1	XM_003319921.2.p1, XM_003889882.1.p1, XM_003319900.2.p1, XM_003321614.2.p1
OG0000079	XM_001596030.1.p1	XM_003325015.2.p1
OG0000079	XM_001591730.1.p1	XM_003321817.2.p1
OG0000079	XM_001598063.1.p1	XM_003329329.2.p1
OG0000079	XM_001590997.1.p1	XM_003890697.1.p1
OG0000082	XM_001594647.1.p1	XM_003322348.2.p1
OG0000084	XM_001590245.1.p1	XM_003334880.2.p1, XM_003330017.2.p1, XM_003330491.2.p1, XM_003337168.2.p1, XM_003337167.2.p1, XM_003328535.2.p1, XM_003337754.2.p1, XM_003889372.1.p1, XM_003335656.2.p1, XM_003337173.2.p1
OG0000085	XM_001598503.1.p1, XM_001598129.1.p1, XM_001592458.1.p1	XM_003329788.2.p1, XM_003328293.2.p1, XM_003889712.1.p1, XM_003325220.2.p1, XM_003325986.2.p1, XM_003338803.2.p1, XM_003322099.2.p1, XM_003323365.2.p1, XM_003329461.2.p1, XM_003327394.2.p1, XM_003320784.2.p1, XM_003329460.2.p1, XM_003322907.2.p1
OG0000087	XM_001595355.1.p1	XM_003322989.2.p1, XM_003307248.2.p1
OG0000087	XM_001598496.1.p1	XM_003332678.2.p1, XM_003332681.1.p1
OG0000088	XM_001586938.1.p1	XM_003329162.2.p1
OG0000089	XM_001591699.1.p1, XM_001597672.1.p1, XM_001587168.1.p1, XM_001588511.1.p1, XM_001598564.1.p1, XM_001584621.1.p1	XM_003319665.2.p1
OG0000092	XM_001595891.1.p1	XM_003307640.2.p1
OG0000092	XM_001591083.1.p1, XM_001594825.1.p1, XM_001591446.1.p1	XM_003327900.2.p1
OG0000093	XM_001598888.1.p1	XM_003337096.2.p1, XM_003335108.2.p1, XM_003335110.2.p1, XM_003325865.2.p1, XM_003333314.2.p1, XM_003890719.1.p1
OG0000094	XM_001589274.1.p1	XM_003331434.2.p1
OG0000094	XM_001594932.1.p1, XM_001596520.1.p1	XM_003330162.2.p1, XM_003335670.2.p1
OG0000095	XM_001588747.1.p1	XM_003332686.2.p1
OG0000095	XM_001593952.1.p1	XM_003890676.1.p1
OG0000095	XM_001596701.1.p1	XM_003337785.2.p1
OG0000097	XM_001587536.1.p1, XM_001593373.1.p1, XM_001593632.1.p1, XM_001596232.1.p1, XM_001586807.1.p1, XM_001596412.1.p1, XM_001584550.1.p1	XM_003321896.2.p1, XM_003321888.2.p1, XM_003321893.2.p1, XM_003321900.2.p1, XM_003321898.2.p1, XM_003321960.2.p1, XM_003321981.2.p1
OG0000103	XM_001596956.1.p1	XM_003327544.2.p1, XM_003322298.2.p1
OG0000104	XM_001597178.1.p1, XM_001590303.1.p1, XM_001585253.1.p1, XM_001586898.1.p1, XM_001592112.1.p1, XM_001589359.1.p1	XM_003320250.2.p1, XM_003334333.2.p1, XM_003890384.1.p1
OG0000105	XM_001593851.1.p1	XM_003333256.2.p1
OG0000108	XM_001596312.1.p1	XM_003328139.2.p1, XM_003328114.2.p1, XM_003332704.2.p1, XM_003328417.2.p1
OG0000110	XM_001598036.1.p1	XM_003337402.2.p1
OG0000111	XM_001590699.1.p1	XM_003327057.2.p1
OG0000111	XM_001590723.1.p1	XM_003328788.2.p1
OG0000111	XM_001590630.1.p1	XM_003335671.2.p1
OG0000112	XM_001587130.1.p1	XM_003336011.2.p1
OG0000112	XM_001589497.1.p1, XM_001585012.1.p1	XM_003334973.2.p1, XM_003334974.2.p1, XM_003333568.2.p1
OG0000113	XM_001598286.1.p1, XM_001589093.1.p1, XM_001587022.1.p1, XM_001596658.1.p1	XM_003325892.2.p1, XM_003889929.1.p1, XM_003327511.2.p1, XM_003327501.2.p1, XM_003889736.1.p1, XM_003336193.1.p1, XM_003336225.2.p1, XM_003327687.1.p1
OG0000114	XM_001595917.1.p1	XM_003320150.2.p1
OG0000114	XM_001596499.1.p1	XM_003333171.2.p1
OG0000114	XM_001592280.1.p1	XM_003325236.2.p1
OG0000122	XM_001585288.1.p1	XM_003335660.2.p1
OG0000123	XM_001590327.1.p1	XM_003307485.1.p1
OG0000129	XM_001587396.1.p1, XM_001594102.1.p1	XM_003321270.2.p1
OG0000133	XM_001594131.1.p1	XM_003333472.2.p1, XM_003319522.2.p1, XM_003320137.2.p1, XM_003889055.1.p1, XM_003333585.2.p1, XM_003334987.2.p1, XM_003331182.2.p1
OG0000136	XM_001591416.1.p1, XM_001585363.1.p1	XM_003307493.2.p1, XM_003324023.2.p1, XM_003324012.2.p1, XM_003890120.1.p1
OG0000137	XM_001595718.1.p1	XM_003320457.2.p1, XM_003890503.1.p1, XM_003336186.2.p1
OG0000137	XM_001590475.1.p1	XM_003321740.2.p1, XM_003328659.1.p1
OG0000138	XM_001598478.1.p1, XM_001591600.1.p1, XM_001585794.1.p1, XM_001590096.1.p1, XM_001597549.1.p1, XM_001598876.1.p1, XM_001590768.1.p1, XM_001587737.1.p1	XM_003323362.2.p1
OG0000139	XM_001584731.1.p1, XM_001588988.1.p1, XM_001589567.1.p1, XM_001590289.1.p1, XM_001591243.1.p1	XM_003328034.2.p1, XM_003329622.2.p1, XM_003329624.1.p1, XM_003890356.1.p1, XM_003329621.2.p1, XM_003890357.1.p1, XM_003321971.2.p1
OG0000140	XM_001592573.1.p1, XM_001589200.1.p1, XM_001587152.1.p1	XM_003336971.2.p1
OG0000143	XM_001587980.1.p1, XM_001595416.1.p1	XM_003327638.2.p1, XM_003332782.2.p1, XM_003320464.2.p1, XM_003890508.1.p1, XM_003334577.2.p1, XM_003319458.2.p1, XM_003330958.2.p1, XM_003332443.2.p1, XM_003326486.2.p1
OG0000145	XM_001596988.1.p1	XM_003337290.2.p1
OG0000148	XM_001584961.1.p1, XM_001587257.1.p1	XM_003332559.2.p1
OG0000148	XM_001598192.1.p1	XM_003323353.2.p1, XM_003890231.1.p1
OG0000150	XM_001598441.1.p1	XM_003329586.2.p1
OG0000151	XM_001590918.1.p1	XM_003335301.2.p1
OG0000151	XM_001595088.1.p1	XM_003320029.2.p1
OG0000151	XM_001585695.1.p1	XM_003331881.2.p1
OG0000154	XM_001591266.1.p1, XM_001588474.1.p1, XM_001597904.1.p1	XM_003330759.2.p1, XM_003329605.2.p1, XM_003329609.2.p1, XM_003329604.2.p1
OG0000155	XM_001595155.1.p1	XM_003331370.2.p1
OG0000155	XM_001585183.1.p1	XM_003331691.2.p1
OG0000157	XM_001584928.1.p1	XM_003327405.2.p1
OG0000159	XM_001586220.1.p1	XM_003335246.2.p1
OG0000159	XM_001597022.1.p1	XM_003331239.2.p1
OG0000159	XM_001596681.1.p1	XM_003888444.1.p1
OG0000160	XM_001598745.1.p1, XM_001590320.1.p1, XM_001588069.1.p1	XM_003336242.2.p1, XM_003336261.2.p1
OG0000162	XM_001598406.1.p1	XM_003890637.1.p1
OG0000162	XM_001598925.1.p1	XM_003331752.2.p1
OG0000162	XM_001592439.1.p1	XM_003890716.1.p1, XM_003307028.2.p1
OG0000163	XM_001588689.1.p1	XM_003307494.2.p1
OG0000163	XM_001590923.1.p1	XM_003322667.2.p1
OG0000163	XM_001587263.1.p1	XM_003335216.2.p1, XM_003888808.1.p1, XM_003322319.1.p1
OG0000164	XM_001598198.1.p1	XM_003326844.2.p1
OG0000166	XM_001596176.1.p1	XM_003328614.2.p1
OG0000166	XM_001596435.1.p1, XM_001595405.1.p1	XM_003325316.2.p1
OG0000169	XM_001592310.1.p1	XM_003330680.2.p1
OG0000169	XM_001594644.1.p1	XM_003329639.2.p1
OG0000170	XM_001585258.1.p1	XM_003328734.2.p1, XM_003328735.2.p1, XM_003335539.2.p1
OG0000172	XM_001590603.1.p1	XM_003890105.1.p1
OG0000172	XM_001590018.1.p1	XM_003330120.2.p1
OG0000172	XM_001585270.1.p1	XM_003890802.1.p1, XM_003889307.1.p1
OG0000175	XM_001592718.1.p1	XM_003333415.2.p1
OG0000175	XM_001593214.1.p1, XM_001589370.1.p1, XM_001598408.1.p1	XM_003889540.1.p1, XM_003325674.2.p1, XM_003320261.2.p1, XM_003329238.2.p1
OG0000176	XM_001594380.1.p1	XM_003326512.2.p1
OG0000177	XM_001591247.1.p1	XM_003326222.2.p1
OG0000177	XM_001595063.1.p1	XM_003333475.2.p1
OG0000178	XM_001594170.1.p1	XM_003325685.1.p1
OG0000178	XM_001597585.1.p1	XM_003335001.2.p1
OG0000178	XM_001590945.1.p1	XM_003333387.2.p1
OG0000182	XM_001588602.1.p1	XM_003333829.2.p1
OG0000182	XM_001595051.1.p1	XM_003331336.2.p1
OG0000182	XM_001585915.1.p1	XM_003319322.1.p1
OG0000189	XM_001589775.1.p1	XM_003330074.2.p1, XM_003328042.2.p1, XM_003320807.2.p1
OG0000189	XM_001593065.1.p1, XM_001592803.1.p1	XM_003322792.2.p1
OG0000190	XM_001590771.1.p1, XM_001585620.1.p1	XM_003333787.2.p1
OG0000192	XM_001594643.1.p1	XM_003332068.2.p1, XM_003330918.1.p1
OG0000195	XM_001597923.1.p1	XM_003890669.1.p1
OG0000195	XM_001584810.1.p1	XM_003888540.1.p1
OG0000195	XM_001588295.1.p1	XM_003330183.2.p1
OG0000198	XM_001589999.1.p1	XM_003325558.2.p1
OG0000200	XM_001591001.1.p1	XM_003323605.2.p1, XM_003330856.2.p1
OG0000200	XM_001585608.1.p1	XM_003323715.2.p1
OG0000200	XM_001585607.1.p1	XM_003323837.2.p1, XM_003889857.1.p1
OG0000201	XM_001586673.1.p1, XM_001590628.1.p1	XM_003336364.2.p1, XM_003321282.2.p1
OG0000211	XM_001591045.1.p1	XM_003334112.2.p1, XM_003323662.2.p1, XM_003327069.1.p1
OG0000212	XM_001588279.1.p1	XM_003335567.2.p1
OG0000212	XM_001584946.1.p1	XM_003325836.2.p1
OG0000212	XM_001597073.1.p1	XM_003335002.2.p1
OG0000213	XM_001589354.1.p1, XM_001590988.1.p1, XM_001594639.1.p1	XM_003335706.2.p1
OG0000214	XM_001592574.1.p1, XM_001596341.1.p1	XM_003335962.2.p1
OG0000216	XM_001593653.1.p1	XM_003325320.2.p1
OG0000216	XM_001598206.1.p1	XM_003324739.2.p1
OG0000220	XM_001586069.1.p1	XM_003319569.2.p1
OG0000221	XM_001597328.1.p1, XM_001595508.1.p1	XM_003334339.2.p1
OG0000222	XM_001592463.1.p1	XM_003890001.1.p1
OG0000226	XM_001591492.1.p1, XM_001584873.1.p1	XM_003321958.2.p1
OG0000227	XM_001596721.1.p1	XM_003325529.2.p1
OG0000227	XM_001597258.1.p1	XM_003326553.2.p1
OG0000228	XM_001594524.1.p1	XM_003328160.2.p1
OG0000229	XM_001592829.1.p1	XM_003324427.2.p1
OG0000230	XM_001595688.1.p1	XM_003331053.2.p1, XM_003331054.2.p1
OG0000230	XM_001584950.1.p1	XM_003328914.2.p1
OG0000231	XM_001591186.1.p1	XM_003889714.1.p1
OG0000235	XM_001587120.1.p1	XM_003332413.2.p1, XM_003333175.2.p1, XM_003332414.2.p1
OG0000236	XM_001596648.1.p1	XM_003326202.2.p1
OG0000237	XM_001585240.1.p1	XM_003322346.2.p1, XM_003337872.2.p1
OG0000237	XM_001587970.1.p1	XM_003330889.2.p1
OG0000237	XM_001598176.1.p1	XM_003325425.2.p1
OG0000238	XM_001587158.1.p1	XM_003323332.2.p1
OG0000238	XM_001595636.1.p1	XM_003322476.2.p1, XM_003890060.1.p1
OG0000239	XM_001586451.1.p1	XM_003323657.2.p1
OG0000241	XM_001594149.1.p1, XM_001593862.1.p1	XM_003325725.2.p1
OG0000244	XM_001585917.1.p1	XM_003320027.2.p1
OG0000244	XM_001597739.1.p1	XM_003336073.2.p1
OG0000244	XM_001598060.1.p1	XM_003329791.2.p1, XM_003336658.2.p1
OG0000249	XM_001587592.1.p1	XM_003307340.2.p1
OG0000253	XM_001594281.1.p1, XM_001596081.1.p1, XM_001598377.1.p1, XM_001590310.1.p1, XM_001586686.1.p1, XM_001597250.1.p1, XM_001589178.1.p1	XM_003890059.1.p1, XM_003333520.2.p1, XM_003307149.2.p1, XM_003307158.2.p1
OG0000258	XM_001590735.1.p1, XM_001585368.1.p1	XM_003319467.2.p1, XM_003337429.2.p1
OG0000259	XM_001590880.1.p1	XM_003336044.2.p1
OG0000261	XM_001585923.1.p1	XM_003333610.2.p1
OG0000261	XM_001589789.1.p1, XM_001596282.1.p1	XM_003337972.2.p1
OG0000262	XM_001585956.1.p1	XM_003329900.2.p1
OG0000263	XM_001593172.1.p1	XM_003330630.2.p1, XM_003330618.1.p1, XM_003330623.2.p1, XM_003889377.1.p1
OG0000263	XM_001595664.1.p1	XM_003320266.2.p1, XM_003325581.2.p1, XM_003325610.2.p1
OG0000264	XM_001596457.1.p1, XM_001587892.1.p1, XM_001595608.1.p1	XM_003319695.2.p1
OG0000266	XM_001595040.1.p1	XM_003889232.1.p1, XM_003337820.2.p1, XM_003332027.2.p1
OG0000266	XM_001598558.1.p1	XM_003336341.2.p1
OG0000268	XM_001594381.1.p1	XM_003325286.2.p1, XM_003334190.2.p1
OG0000268	XM_001592851.1.p1	XM_003324899.1.p1, XM_003321249.2.p1
OG0000269	XM_001587306.1.p1	XM_003331332.2.p1
OG0000270	XM_001590743.1.p1, XM_001597669.1.p1	XM_003332685.2.p1
OG0000271	XM_001590668.1.p1	XM_003334774.2.p1, XM_003888591.1.p1, XM_003888592.1.p1
OG0000273	XM_001592377.1.p1	XM_003319974.2.p1
OG0000276	XM_001592491.1.p1	XM_003332573.2.p1
OG0000276	XM_001598855.1.p1	XM_003334302.2.p1
OG0000276	XM_001597019.1.p1	XM_003333747.2.p1
OG0000277	XM_001588099.1.p1	XM_003320159.2.p1, XM_003307308.2.p1
OG0000280	XM_001597492.1.p1, XM_001586347.1.p1, XM_001585903.1.p1	XM_003329310.2.p1, XM_003325255.2.p1, XM_003320795.2.p1, XM_003320780.2.p1, XM_003320801.1.p1, XM_003320797.2.p1
OG0000281	XM_001594638.1.p1	XM_003330837.2.p1
OG0000281	XM_001594133.1.p1	XM_003332659.2.p1
OG0000283	XM_001593967.1.p1	XM_003335157.2.p1
OG0000283	XM_001586787.1.p1	XM_003332381.2.p1, XM_003325032.2.p1, XM_003336529.2.p1
OG0000284	XM_001594975.1.p1	XM_003331828.2.p1
OG0000284	XM_001588421.1.p1	XM_003336334.2.p1
OG0000285	XM_001588048.1.p1, XM_001589245.1.p1	XM_003333786.2.p1, XM_003333812.2.p1
OG0000285	XM_001596070.1.p1	XM_003332671.2.p1
OG0000286	XM_001595060.1.p1	XM_003327873.1.p1, XM_003327899.2.p1
OG0000287	XM_001586375.1.p1	XM_003327331.2.p1
OG0000287	XM_001591627.1.p1	XM_003328420.2.p1
OG0000287	XM_001597112.1.p1	XM_003889738.1.p1
OG0000289	XM_001596210.1.p1	XM_003323305.2.p1
OG0000289	XM_001587013.1.p1	XM_003889496.1.p1
OG0000292	XM_001595511.1.p1	XM_003326491.2.p1, XM_003332435.2.p1
OG0000295	XM_001586192.1.p1	XM_003336112.2.p1, XM_003336904.2.p1
OG0000295	XM_001590105.1.p1	XM_003328650.2.p1
OG0000301	XM_001585369.1.p1, XM_001597552.1.p1	XM_003337669.2.p1
