Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Lucilia_cuprina_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_046947205.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_046952382.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_046950275.1.p1, XM_023450379.2.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_023440836.2.p1, XM_046952088.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_046946280.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_046955530.1.p1, XM_046955531.1.p1, XM_046955535.1.p1, XM_046955537.1.p1, XM_046955534.1.p1, XM_046955533.1.p1, XM_046955526.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_046948231.1.p1, XM_046948225.1.p1, XM_046948230.1.p1, XM_046948229.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_023444730.2.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_046945822.1.p1, XM_046945824.1.p1, XM_046945821.1.p1, XM_046945823.1.p1, XM_046945820.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_023438028.2.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_023443559.2.p1, XM_046946604.1.p1
OG0000000	gnl|WGS_AAJJ|TC031411-RA.p1, gnl|WGS_AAJJ|TC034026-RA.p1	XM_023453481.2.p1, XM_023453480.2.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_046945281.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_046955554.1.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_046951404.1.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_046951754.1.p1
OG0000001	gnl|WGS_AAJJ|TC016139-RA.p1, gnl|WGS_AAJJ|TC010296-RA.p1	XM_046955892.1.p1, XM_023443014.2.p1, XM_046949533.1.p1, XM_046952952.1.p1, XM_046951334.1.p1, XM_046954967.1.p1
OG0000001	gnl|WGS_AAJJ|TC016155-RA.p1	XM_046956444.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_046947854.1.p1
OG0000001	gnl|WGS_AAJJ|TC002454-RA.p1	XM_023452160.2.p1, XM_046954962.1.p1, XM_023452154.2.p1, XM_023452143.2.p1, XM_046956085.1.p1, XM_046947860.1.p1, XR_006940812.1.p2
OG0000001	gnl|WGS_AAJJ|TC000004-RA.p1	XM_046947803.1.p1
OG0000002	gnl|WGS_AAJJ|TC002659-RA.p1	XM_046950818.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_046954774.1.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_023448399.2.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	XM_046949096.1.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_046954330.1.p1, XM_023450163.2.p1, XM_023439580.2.p1, XM_046953086.1.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_046951405.1.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	XM_023449018.2.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_046951693.1.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_023437052.2.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	XM_023448511.2.p1
OG0000002	gnl|WGS_AAJJ|TC032356-RA.p1	XM_023453557.2.p1
OG0000002	gnl|WGS_AAJJ|TC002785-RA.p1, gnl|WGS_AAJJ|TC002786-RA.p1	XM_023453125.2.p1, XM_023453127.2.p1, XM_023453128.2.p1, XM_046946048.1.p1
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	XM_023440026.2.p1, XM_023440033.2.p1
OG0000003	gnl|WGS_AAJJ|TC031414-RA.p1, gnl|WGS_AAJJ|TC031413-RA.p1, gnl|WGS_AAJJ|TC010955-RA.p1	XM_046947082.1.p1, XM_046946181.1.p1, XM_046947083.1.p1, XM_023438953.2.p1, XM_023438952.2.p1, XM_023438955.2.p1
OG0000004	gnl|WGS_AAJJ|TC016307-RA.p1	XM_023451923.2.p1
OG0000004	gnl|WGS_AAJJ|TC000723-RA.p2, gnl|WGS_AAJJ|TC000722-RA.p1, gnl|WGS_AAJJ|TC000721-RA.p1, gnl|WGS_AAJJ|TC000724-RA.p1, gnl|WGS_AAJJ|TC000725-RA.p1, gnl|WGS_AAJJ|TC007724-RA.p1	XM_023449946.2.p1
OG0000004	gnl|WGS_AAJJ|TC000853-RA.p1	XM_046956144.1.p1, XM_046955541.1.p1
OG0000004	gnl|WGS_AAJJ|TC015901-RA.p1	XM_023450435.2.p1
OG0000004	gnl|WGS_AAJJ|TC013828-RA.p1, gnl|WGS_AAJJ|TC013988-RA.p1, gnl|WGS_AAJJ|TC013987-RA.p1, gnl|WGS_AAJJ|TC011149-RA.p1, gnl|WGS_AAJJ|TC011148-RA.p1, gnl|WGS_AAJJ|TC013990-RA.p1, gnl|WGS_AAJJ|TC013811-RA.p2, gnl|WGS_AAJJ|TC013827-RA.p1, gnl|WGS_AAJJ|TC013826-RA.p1, gnl|WGS_AAJJ|TC013817-RA.p1, gnl|WGS_AAJJ|TC013816-RA.p1, gnl|WGS_AAJJ|TC013809-RA.p1	XM_023450309.2.p1
OG0000004	gnl|WGS_AAJJ|TC015908-RA.p2, gnl|WGS_AAJJ|TC013815-RA.p1	XM_023448585.2.p1, XM_023446564.2.p1, XM_023446565.2.p1, XM_046954162.1.p1, XM_046947036.1.p1, XM_023446566.2.p1, XM_023446562.2.p1, XM_023448581.2.p1, XM_046952876.1.p1, XM_023450784.2.p1, XM_023448583.2.p1, XM_023448582.2.p1
OG0000004	gnl|WGS_AAJJ|TC013808-RA.p1	XM_046950907.1.p1
OG0000004	gnl|WGS_AAJJ|TC002908-RA.p1	XM_023442443.2.p1, XM_023442444.2.p1
OG0000005	gnl|WGS_AAJJ|TC032845-RA.p1	XM_023436659.2.p1, XM_046955211.1.p1
OG0000005	gnl|WGS_AAJJ|TC030780-RA.p1, gnl|WGS_AAJJ|TC030780-RB.p1	XM_023441804.2.p1, XM_023449890.2.p1
OG0000005	gnl|WGS_AAJJ|TC034323-RA.p1, gnl|WGS_AAJJ|TC034242-RA.p1, gnl|WGS_AAJJ|TC012285-RA.p1, gnl|WGS_AAJJ|TC012282-RA.p1, gnl|WGS_AAJJ|TC034240-RA.p1, gnl|WGS_AAJJ|TC034241-RA.p1, gnl|WGS_AAJJ|TC012281-RA.p1, gnl|WGS_AAJJ|TC012283-RA.p1, gnl|WGS_AAJJ|TC033603-RA.p1, gnl|WGS_AAJJ|TC004273-RA.p1, gnl|WGS_AAJJ|TC004274-RA.p1	XM_023437909.2.p1, XM_023437914.2.p1, XM_046947959.1.p1, XM_023437928.2.p1, XM_023446888.2.p1, XM_023446433.2.p1, XM_023446443.2.p1, XM_023437916.2.p1, XM_023437910.2.p1, XM_023437929.2.p1, XM_046950404.1.p1, XM_023442520.2.p1, XM_023437921.2.p1
OG0000006	gnl|WGS_AAJJ|TC009412-RA.p1	XM_023441491.2.p1
OG0000006	gnl|WGS_AAJJ|TC003478-RA.p1	XM_046955575.1.p1
OG0000006	gnl|WGS_AAJJ|TC012662-RA.p1, gnl|WGS_AAJJ|TC012501-RA.p1, gnl|WGS_AAJJ|TC012500-RA.p1, gnl|WGS_AAJJ|TC012499-RA.p1, gnl|WGS_AAJJ|TC012502-RA.p1, gnl|WGS_AAJJ|TC012495-RA.p1, gnl|WGS_AAJJ|TC034363-RA.p1, gnl|WGS_AAJJ|TC012498-RA.p1, gnl|WGS_AAJJ|TC012503-RA.p1, gnl|WGS_AAJJ|TC012504-RA.p1	XM_023450102.2.p1, XM_023450101.2.p1, XM_023440241.2.p1
OG0000006	gnl|WGS_AAJJ|TC002721-RA.p1, gnl|WGS_AAJJ|TC002722-RB.p1, gnl|WGS_AAJJ|TC010423-RA.p1, gnl|WGS_AAJJ|TC014125-RA.p1, gnl|WGS_AAJJ|TC013679-RA.p1, gnl|WGS_AAJJ|TC013680-RA.p1, gnl|WGS_AAJJ|TC015992-RA.p1, gnl|WGS_AAJJ|TC013681-RA.p1, gnl|WGS_AAJJ|TC014641-RA.p1, gnl|WGS_AAJJ|TC013773-RA.p1, gnl|WGS_AAJJ|TC033050-RA.p1	XM_023445789.2.p1, XM_023447651.2.p1, XM_023443377.2.p1, XM_046946505.1.p1, XM_023451772.2.p1, XM_023451769.2.p1, XM_023451852.2.p1, XM_023451853.2.p1, XM_023451770.2.p1, XM_046946481.1.p1, XM_023451854.2.p1, XM_023451855.2.p1, XM_023451856.2.p1
OG0000006	gnl|WGS_AAJJ|TC008058-RA.p1	XM_023449187.2.p1
OG0000006	gnl|WGS_AAJJ|TC007061-RA.p1	XM_023445061.2.p1
OG0000007	gnl|WGS_AAJJ|TC012949-RA.p1	XM_046955330.1.p1
OG0000007	gnl|WGS_AAJJ|TC031351-RA.p1, gnl|WGS_AAJJ|TC031012-RA.p1	XM_046954987.1.p1
OG0000007	gnl|WGS_AAJJ|TC031934-RA.p1	XM_046956718.1.p1
OG0000008	gnl|WGS_AAJJ|TC013137-RA.p1	XM_023451548.2.p1
OG0000008	gnl|WGS_AAJJ|TC014770-RA.p1	XM_023451819.2.p1, XM_023450364.2.p1, XM_023451818.2.p1, XM_023449724.2.p1, XM_023450582.2.p1, XM_023450580.2.p1, XM_023450579.2.p1, XM_046954759.1.p1, XM_023445765.2.p1, XM_023445766.2.p1, XM_023445796.2.p1, XM_046955732.1.p2, XM_023445782.2.p1, XM_023445770.2.p1, XM_023452214.2.p1, XM_046952528.1.p1, XM_023450581.2.p1
OG0000008	gnl|WGS_AAJJ|TC004547-RA.p1, gnl|WGS_AAJJ|TC004546-RA.p1, gnl|WGS_AAJJ|TC004548-RA.p1	XM_023446305.2.p1
OG0000008	gnl|WGS_AAJJ|TC013138-RA.p1	XM_023451558.2.p1
OG0000008	gnl|WGS_AAJJ|TC033231-RA.p1	XM_023451658.2.p1
OG0000008	gnl|WGS_AAJJ|TC013128-RA.p1	XM_023451627.2.p1
OG0000008	gnl|WGS_AAJJ|TC014498-RA.p1, gnl|WGS_AAJJ|TC014497-RA.p1	XM_023438962.2.p1
OG0000008	gnl|WGS_AAJJ|TC013307-RA.p1	XM_023438966.2.p1, XM_023438972.2.p1, XM_023438969.2.p2, XM_023453272.2.p1, XM_046950897.1.p1, XM_023453231.2.p1, XM_023438967.2.p1, XR_006941097.1.p2, XM_023438986.2.p1, XM_023438644.2.p1, XM_023449057.1.p1, XM_023449055.2.p1, XM_023449056.2.p1, XM_023449058.2.p2, XM_023438971.2.p1
OG0000008	gnl|WGS_AAJJ|TC013134-RA.p1, gnl|WGS_AAJJ|TC013133-RA.p1	XM_023451622.2.p1
OG0000008	gnl|WGS_AAJJ|TC000442-RA.p1	XM_023441470.2.p1
OG0000009	gnl|WGS_AAJJ|TC001412-RA.p1, gnl|WGS_AAJJ|TC034160-RA.p1, gnl|WGS_AAJJ|TC034161-RA.p1, gnl|WGS_AAJJ|TC012233-RA.p1, gnl|WGS_AAJJ|TC012232-RA.p1, gnl|WGS_AAJJ|TC012235-RA.p1, gnl|WGS_AAJJ|TC012230-RA.p1, gnl|WGS_AAJJ|TC012234-RA.p1, gnl|WGS_AAJJ|TC012228-RA.p1, gnl|WGS_AAJJ|TC012229-RA.p1, gnl|WGS_AAJJ|TC012231-RA.p1, gnl|WGS_AAJJ|TC034222-RA.p1	XM_023453745.2.p1, XM_023453743.2.p1
OG0000009	gnl|WGS_AAJJ|TC003228-RA.p1, gnl|WGS_AAJJ|TC034087-RA.p1	XM_023438185.2.p1, XM_023437945.2.p1
OG0000009	gnl|WGS_AAJJ|TC012566-RA.p1	XM_023453733.2.p1
OG0000009	gnl|WGS_AAJJ|TC013653-RA.p1, gnl|WGS_AAJJ|TC000121-RA.p1	XM_023436835.2.p1
OG0000010	gnl|WGS_AAJJ|TC009693-RA.p1, gnl|WGS_AAJJ|TC009692-RA.p1, gnl|WGS_AAJJ|TC009694-RA.p1, gnl|WGS_AAJJ|TC009691-RA.p1, gnl|WGS_AAJJ|TC005499-RA.p1, gnl|WGS_AAJJ|TC009690-RA.p1, gnl|WGS_AAJJ|TC015229-RA.p1, gnl|WGS_AAJJ|TC015230-RA.p1, gnl|WGS_AAJJ|TC009697-RA.p1, gnl|WGS_AAJJ|TC033626-RA.p1, gnl|WGS_AAJJ|TC009698-RA.p1, gnl|WGS_AAJJ|TC033627-RA.p1, gnl|WGS_AAJJ|TC034086-RA.p1	XM_023436267.2.p1, XM_046947961.1.p1, XM_023436292.2.p1, XM_023436266.2.p1, XM_046953023.1.p1, XM_023436290.2.p1, XM_023436276.2.p1, XM_023436291.2.p1
OG0000010	gnl|WGS_AAJJ|TC005190-RA.p1, gnl|WGS_AAJJ|TC033340-RA.p1, gnl|WGS_AAJJ|TC033339-RA.p1, gnl|WGS_AAJJ|TC031257-RA.p1, gnl|WGS_AAJJ|TC031398-RA.p1, gnl|WGS_AAJJ|TC011376-RA.p1	XM_023446950.2.p1
OG0000010	gnl|WGS_AAJJ|TC013193-RA.p1	XM_046955197.1.p1
OG0000010	gnl|WGS_AAJJ|TC014795-RA.p1	XM_023447748.2.p1
