Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Anabrus_simplex_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	GJIY01241013.1.p1, GJIY01307065.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	GJIY01158320.1.p1, GJIY01242065.1.p1, GJIY01241476.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	GJIY01289444.1.p1, GJIY01122450.1.p1, GJIY01122449.1.p1, GJIY01289440.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	GJIY01064761.1.p1
OG0000000	gnl|WGS_AAJJ|TC031038-RA.p1	GJIY01230693.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	GJIY01085637.1.p1, GJIY01067159.1.p1, GJIY01228422.1.p1, GJIY01075757.1.p1, GJIY01228419.1.p1, GJIY01228414.1.p1, GJIY01067050.1.p1, GJIY01081714.1.p1, GJIY01208287.1.p1, GJIY01067048.1.p1, GJIY01067049.1.p1, GJIY01067814.1.p1, GJIY01228423.1.p1, GJIY01228421.1.p1, GJIY01067047.1.p1, GJIY01103871.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	GJIY01133978.1.p1, GJIY01124917.1.p1, GJIY01247468.1.p1, GJIY01124895.1.p1, GJIY01124863.1.p1, GJIY01140423.1.p1
OG0000000	gnl|WGS_AAJJ|TC007345-RA.p1	GJIY01141083.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	GJIY01154236.1.p1, GJIY01154237.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	GJIY01151887.1.p1, GJIY01151886.1.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	GJIY01139995.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	GJIY01212449.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1	GJIY01177396.1.p1, GJIY01107829.1.p1, GJIY01211215.1.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	GJIY01104066.1.p1, GJIY01127467.1.p1, GJIY01127468.1.p1
OG0000000	gnl|WGS_AAJJ|TC034026-RA.p1	GJIY01255047.1.p1, GJIY01255058.1.p1, GJIY01255050.1.p1, GJIY01255062.1.p1, GJIY01255061.1.p1, GJIY01274957.1.p1, GJIY01007131.1.p1, GJIY01012737.1.p1, GJIY01255512.1.p1, GJIY01012736.1.p1, GJIY01303965.1.p1, GJIY01114998.1.p1, GJIY01100378.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	GJIY01042796.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	GJIY01010857.1.p1
OG0000000	gnl|WGS_AAJJ|TC013844-RA.p1	GJIY01005168.1.p1
OG0000000	gnl|WGS_AAJJ|TC032329-RA.p1	GJIY01165177.1.p1, GJIY01101858.1.p1
OG0000000	gnl|WGS_AAJJ|TC032327-RA.p1	GJIY01044894.1.p1, GJIY01010285.1.p1, GJIY01290818.1.p1, GJIY01053247.1.p1, GJIY01241449.1.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	GJIY01261196.1.p1
OG0000001	gnl|WGS_AAJJ|TC016155-RA.p1	GJIY01174915.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	GJIY01148845.1.p1, GJIY01091889.1.p1, GJIY01120693.1.p1, GJIY01208622.1.p1, GJIY01082420.1.p1, GJIY01212527.1.p1, GJIY01082862.1.p1, GJIY01066750.1.p1, GJIY01121889.1.p1
OG0000001	gnl|WGS_AAJJ|TC000004-RA.p1	GJIY01240204.1.p1
OG0000002	gnl|WGS_AAJJ|TC002659-RA.p1	GJIY01166876.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	GJIY01284203.1.p1
OG0000002	gnl|WGS_AAJJ|TC000545-RA.p1	GJIY01155875.1.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	GJIY01276347.1.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	GJIY01249236.1.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	GJIY01078767.1.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	GJIY01153858.1.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	GJIY01267180.1.p1
OG0000002	gnl|WGS_AAJJ|TC002768-RA.p1	GJIY01074700.1.p1, GJIY01070269.1.p1, GJIY01079770.1.p1
OG0000002	gnl|WGS_AAJJ|TC013084-RB.p1, gnl|WGS_AAJJ|TC014083-RA.p1, gnl|WGS_AAJJ|TC013709-RA.p1, gnl|WGS_AAJJ|TC015617-RA.p1, gnl|WGS_AAJJ|TC015618-RA.p1	GJIY01168840.1.p1
OG0000002	gnl|WGS_AAJJ|TC002785-RA.p1, gnl|WGS_AAJJ|TC002786-RA.p1	GJIY01289154.1.p1, GJIY01011351.1.p1, GJIY01015771.1.p1
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	GJIY01207391.1.p1, GJIY01180355.1.p1
OG0000003	gnl|WGS_AAJJ|TC007316-RA.p1, gnl|WGS_AAJJ|TC033366-RA.p1	GJIY01009094.1.p1, GJIY01137981.1.p1
OG0000003	gnl|WGS_AAJJ|TC031414-RA.p1, gnl|WGS_AAJJ|TC031413-RA.p1, gnl|WGS_AAJJ|TC010955-RA.p1	GJIY01294272.1.p1, GJIY01161934.1.p1, GJIY01072154.1.p1
OG0000004	gnl|WGS_AAJJ|TC008770-RA.p1, gnl|WGS_AAJJ|TC000853-RA.p1, gnl|WGS_AAJJ|TC000719-RA.p1, gnl|WGS_AAJJ|TC000720-RA.p1	GJIY01017044.1.p1
OG0000004	gnl|WGS_AAJJ|TC010057-RA.p1, gnl|WGS_AAJJ|TC010054-RA.p1, gnl|WGS_AAJJ|TC010056-RA.p1, gnl|WGS_AAJJ|TC008768-RA.p1, gnl|WGS_AAJJ|TC008769-RA.p1	GJIY01050668.1.p2
OG0000004	gnl|WGS_AAJJ|TC015901-RA.p1	GJIY01276247.1.p1
OG0000004	gnl|WGS_AAJJ|TC013827-RA.p1	GJIY01123333.1.p1
OG0000004	gnl|WGS_AAJJ|TC013815-RA.p1	GJIY01295739.1.p1
OG0000004	gnl|WGS_AAJJ|TC013808-RA.p1	GJIY01241148.1.p2, GJIY01012059.1.p2
OG0000005	gnl|WGS_AAJJ|TC032845-RA.p1	GJIY01258989.1.p1
OG0000005	gnl|WGS_AAJJ|TC032756-RA.p1, gnl|WGS_AAJJ|TC032756-RB.p1, gnl|WGS_AAJJ|TC007632-RA.p1	GJIY01252563.1.p1, GJIY01276043.1.p1, GJIY01069915.1.p1, GJIY01122782.1.p1, GJIY01119889.1.p1, GJIY01203578.1.p1, GJIY01045856.1.p1
OG0000005	gnl|WGS_AAJJ|TC034323-RA.p1, gnl|WGS_AAJJ|TC034242-RA.p1, gnl|WGS_AAJJ|TC012285-RA.p1, gnl|WGS_AAJJ|TC012282-RA.p1, gnl|WGS_AAJJ|TC034240-RA.p1, gnl|WGS_AAJJ|TC034241-RA.p1, gnl|WGS_AAJJ|TC012281-RA.p1, gnl|WGS_AAJJ|TC012283-RA.p1, gnl|WGS_AAJJ|TC033603-RA.p1, gnl|WGS_AAJJ|TC004273-RA.p1, gnl|WGS_AAJJ|TC004274-RA.p1	GJIY01075930.1.p1, GJIY01218990.1.p1, GJIY01225687.1.p1, GJIY01228248.1.p1, GJIY01197085.1.p1, GJIY01103385.1.p1, GJIY01197086.1.p1, GJIY01203175.1.p1, GJIY01108214.1.p1, GJIY01158121.1.p1
OG0000005	gnl|WGS_AAJJ|TC034813-RA.p1, gnl|WGS_AAJJ|TC008675-RA.p1, gnl|WGS_AAJJ|TC010152-RA.p1	GJIY01199625.1.p1, GJIY01168448.1.p1, GJIY01306098.1.p1, GJIY01003552.1.p1
OG0000006	gnl|WGS_AAJJ|TC009412-RA.p1	GJIY01161029.1.p1, GJIY01067038.1.p1, GJIY01107950.1.p1, GJIY01240938.1.p1
OG0000006	gnl|WGS_AAJJ|TC003478-RA.p1	GJIY01052787.1.p1
OG0000006	gnl|WGS_AAJJ|TC003369-RA.p1, gnl|WGS_AAJJ|TC003368-RA.p1, gnl|WGS_AAJJ|TC002721-RA.p1, gnl|WGS_AAJJ|TC002722-RB.p1, gnl|WGS_AAJJ|TC010423-RA.p1, gnl|WGS_AAJJ|TC014125-RA.p1, gnl|WGS_AAJJ|TC013679-RA.p1, gnl|WGS_AAJJ|TC013680-RA.p1, gnl|WGS_AAJJ|TC015992-RA.p1, gnl|WGS_AAJJ|TC013681-RA.p1, gnl|WGS_AAJJ|TC014641-RA.p1, gnl|WGS_AAJJ|TC013773-RA.p1, gnl|WGS_AAJJ|TC033050-RA.p1	GJIY01192770.1.p1
OG0000006	gnl|WGS_AAJJ|TC008058-RA.p1	GJIY01153610.1.p1
OG0000006	gnl|WGS_AAJJ|TC007061-RA.p1	GJIY01068850.1.p1, GJIY01217804.1.p1
OG0000007	gnl|WGS_AAJJ|TC031613-RA.p1	GJIY01249020.1.p1
OG0000007	gnl|WGS_AAJJ|TC004268-RA.p1	GJIY01080034.1.p1
OG0000007	gnl|WGS_AAJJ|TC012949-RA.p1	GJIY01232779.1.p1
OG0000007	gnl|WGS_AAJJ|TC031670-RA.p1, gnl|WGS_AAJJ|TC002946-RA.p1, gnl|WGS_AAJJ|TC001491-RA.p1	GJIY01083218.1.p1, GJIY01128873.1.p1
OG0000007	gnl|WGS_AAJJ|TC006847-RA.p1	GJIY01134184.1.p1
OG0000007	gnl|WGS_AAJJ|TC016404-RA.p1	GJIY01266365.1.p1, GJIY01285927.1.p1
OG0000007	gnl|WGS_AAJJ|TC012951-RA.p2	GJIY01007659.1.p1, GJIY01307523.1.p1
OG0000007	gnl|WGS_AAJJ|TC031351-RA.p1, gnl|WGS_AAJJ|TC031012-RA.p1	GJIY01063922.1.p1
OG0000007	gnl|WGS_AAJJ|TC005019-RA.p1, gnl|WGS_AAJJ|TC005019-RB.p1, gnl|WGS_AAJJ|TC031715-RA.p1, gnl|WGS_AAJJ|TC031650-RA.p1	GJIY01084459.1.p1, GJIY01079631.1.p1, GJIY01080229.1.p1, GJIY01059494.1.p1, GJIY01224735.1.p1, GJIY01074064.1.p1
OG0000007	gnl|WGS_AAJJ|TC010720-RA.p1	GJIY01156277.1.p1
