Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Penicillium_expansum_rna_prot
OG0000000	XM_001593612.1.p1	XM_016744954.1.p1
OG0000000	XM_001587566.1.p1	XM_016740809.1.p1
OG0000000	XM_001591185.1.p1	XM_016738458.1.p1, XM_016738930.1.p1
OG0000000	XM_001597027.1.p1, XM_001589120.1.p1	XM_016745528.1.p1
OG0000000	XM_001595534.1.p1	XM_016740543.1.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	XM_016739067.1.p1
OG0000000	XM_001587932.1.p1	XM_016741732.1.p1
OG0000000	XM_001597299.1.p1	XM_016738908.1.p1
OG0000000	XM_001586073.1.p1	XM_016745498.1.p1, XM_016745296.1.p1
OG0000000	XM_001595288.1.p1	XM_016744335.1.p1
OG0000001	XM_001592821.1.p1	XM_016748292.1.p1, XM_016742085.1.p1, XM_016744816.1.p1
OG0000001	XM_001590837.1.p1	XM_016745185.1.p1
OG0000001	XM_001589209.1.p1	XM_016744727.1.p1
OG0000001	XM_001589097.1.p1, XM_001589000.1.p1	XM_016746217.1.p1
OG0000001	XM_001585670.1.p1	XM_016744037.1.p1, XM_016740536.1.p1
OG0000001	XM_001586840.1.p1	XM_016746274.1.p1
OG0000001	XM_001591868.1.p1	XM_016738406.1.p1, XM_016738491.1.p1, XM_016742747.1.p1
OG0000001	XM_001586869.1.p1	XM_016747089.1.p1
OG0000001	XM_001588682.1.p1	XM_016743934.1.p1
OG0000001	XM_001593835.1.p1	XM_016743306.1.p1
OG0000001	XM_001588558.1.p1	XM_016739992.1.p1, XM_016740905.1.p1, XM_016745312.1.p1, XM_016747977.1.p1, XM_016743123.1.p1
OG0000001	XM_001592974.1.p1	XM_016744789.1.p1
OG0000001	XM_001588459.1.p1	XM_016741185.1.p1, XM_016743475.1.p1
OG0000001	XM_001594847.1.p1	XM_016737621.1.p1
OG0000002	XM_001597407.1.p1, XM_001598579.1.p1	XM_016746544.1.p1
OG0000002	XM_001594479.1.p1	XM_016742146.1.p1, XM_016740903.1.p1
OG0000002	XM_001592695.1.p1	XM_016743962.1.p1, XM_016745663.1.p1
OG0000002	XM_001588872.1.p1	XM_016743903.1.p1
OG0000002	XM_001594265.1.p1	XM_016745813.1.p1
OG0000002	XM_001585353.1.p1	XM_016743376.1.p1
OG0000002	XM_001587049.1.p1	XM_016743882.1.p1
OG0000002	XM_001585463.1.p1	XM_016741889.1.p1
OG0000002	XM_001586214.1.p1	XM_016738175.1.p1
OG0000002	XM_001589076.1.p1	XM_016738644.1.p1
OG0000002	XM_001584996.1.p1	XM_016747950.1.p1, XM_016743825.1.p1, XM_016744651.1.p1, XM_016743502.1.p1, XM_016740133.1.p1, XM_016740170.1.p1, XM_016741845.1.p1, XM_016746315.1.p1
OG0000002	XM_001598780.1.p1	XM_016745402.1.p1, XM_016744119.1.p1, XM_016745356.1.p1
OG0000002	XM_001595108.1.p1	XM_016745549.1.p1, XM_016744244.1.p1
OG0000002	XM_001596924.1.p1, XM_001596092.1.p1	XM_016744650.1.p1
OG0000003	XM_001597102.1.p1	XM_016737403.1.p1
OG0000003	XM_001593713.1.p1	XM_016738691.1.p1
OG0000003	XM_001592033.1.p1	XM_016741395.1.p1, XM_016747934.1.p1, XM_016739627.1.p1, XM_016740152.1.p1, XM_016740266.1.p1
OG0000003	XM_001596719.1.p1	XM_016737899.1.p1
OG0000003	XM_001584699.1.p1	XM_016740863.1.p1
OG0000004	XM_001592712.1.p1, XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1, XM_001598793.1.p1	XM_016744530.1.p1
OG0000005	XM_001598240.1.p1	XM_016739145.1.p1, XM_016739152.1.p1, XM_016748235.1.p1
OG0000005	XM_001597228.1.p1	XM_016742565.1.p1, XM_016738872.1.p1, XM_016740047.1.p1, XM_016744217.1.p1
OG0000005	XM_001588834.1.p1	XM_016738354.1.p1
OG0000005	XM_001594565.1.p1	XM_016741945.1.p1
OG0000005	XM_001589933.1.p1	XM_016738355.1.p1
OG0000005	XM_001586774.1.p1	XM_016741061.1.p1, XM_016742718.1.p1, XM_016745550.1.p1, XM_016737926.1.p1, XM_016747425.1.p1
OG0000005	XM_001584622.1.p1	XM_016745310.1.p1
