Orthogroup	Arabidopsis_thaliana_rna_prot	Glycine_max_rna_prot
OG0000000	NM_001341577.1.p1	XM_014770717.1.p1
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	XM_006576340.4.p1, XM_003521909.5.p1, XM_006602842.4.p1, XM_006602827.4.p1, XM_026126699.2.p1, XM_041012175.1.p1, XM_006602831.4.p1, XM_041012173.1.p1, XM_041012187.1.p1, XM_041010238.1.p1, XM_014769224.3.p1, XM_014768646.3.p1, XM_006606943.3.p1, XM_026126144.2.p1, XM_014768648.3.p1, XM_014768649.3.p1, XM_014767457.2.p1, XM_003555102.5.p1, XM_026126143.2.p1, XM_003548498.5.p1, XR_001386008.3.p1, XM_003551497.5.p1, XM_003552186.5.p1, XM_041011684.1.p1, XM_026125422.2.p1, NM_001248625.1.p1, XM_003545146.5.p1, XM_026125421.2.p1, XM_006576051.4.p1, XM_006602810.4.p1, XM_003533519.5.p1, XM_006602809.4.p1, XM_006601713.4.p1
OG0000009	NM_125027.1.p1, NM_001345199.1.p1, NM_125020.5.p1, NM_001345197.1.p1, NM_001344885.1.p1, NM_001333006.1.p1, NM_125022.1.p1, NM_148138.2.p1, NM_001345198.1.p1, NM_125021.4.p1, NM_118768.1.p1, NM_118767.3.p1, NM_001333686.1.p1, NM_115129.1.p1, NM_115012.4.p1, NM_114762.1.p1, NM_001203107.1.p1, NM_126458.5.p1, NM_001339395.1.p1, NM_114761.1.p1, NM_116233.2.p1, NM_001339582.1.p1, NM_148317.5.p1, NM_001338845.1.p1, NM_001338843.1.p1, NM_125023.2.p1, NM_001085288.2.p1, NM_114931.2.p1, NM_125065.2.p1, NM_125064.2.p1, NM_001345217.1.p1	XM_026126877.2.p1, XM_014770645.1.p1, XM_041017789.1.p1, XM_041017788.1.p1, XM_006583243.3.p1, XM_041008402.1.p1, XM_041008407.1.p1, XM_041008410.1.p1, XM_041008409.1.p1, XM_041008401.1.p1, XM_041008404.1.p1, XM_006594715.4.p1, XM_003551333.4.p1, XM_041013306.1.p1
OG0000009	NM_106521.3.p1, NM_106523.2.p1, NM_001334234.1.p1, NM_105301.2.p1, NM_105302.1.p1, NM_105300.1.p1, NM_105335.1.p1, NM_105303.3.p1, NM_117473.1.p1, NM_106520.3.p1, NM_105631.2.p1, NM_106522.2.p1, NM_104727.1.p1, NM_104728.3.p1, NM_101554.2.p1, NM_001332271.1.p1, NM_001338381.1.p1, NM_123865.1.p1, NM_101246.6.p1, NM_001332087.1.p1, NM_001344037.1.p1, NM_122657.4.p1, NM_001336034.1.p1, NM_201806.3.p1, NM_001336035.1.p1, NM_122174.2.p1, NM_001343751.1.p1, NM_001343755.1.p1, NM_001343750.1.p1, NM_001085145.2.p1, NM_122172.3.p1, NM_122173.1.p1, NM_122486.1.p1, NM_001203604.1.p1, NM_001345065.1.p1, NM_122165.1.p1, NM_001343742.1.p1, NM_122167.3.p1, NM_001343740.1.p1, NM_001344551.1.p1, NM_001343756.1.p1, NM_122179.3.p1, NM_001343757.1.p1	XM_041007953.1.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_014777884.3.p1, XM_014777885.3.p1, XM_006583360.4.p1, XM_014777886.2.p1, XM_014777548.3.p1, XM_003529982.4.p1, XM_006587432.4.p1, XM_014777881.3.p1, XM_006583357.4.p1, XM_006583355.4.p1, XM_006583356.4.p1, XM_006587433.4.p1, XM_006583350.3.p1, XM_041016956.1.p1, XM_006583358.4.p1, XM_003529978.5.p1, XM_006583354.4.p1, XM_006583352.4.p1, XM_014777880.2.p1, XM_006583349.4.p1, XM_014777883.3.p1, XM_014762245.3.p1, XM_014762246.3.p1, XM_041005498.1.p1, XM_006584805.4.p1, XM_003532465.5.p1, XM_003524320.5.p1, XM_041012881.1.p1, XM_006589619.3.p1, XM_006589618.3.p1, XM_003535876.4.p1, XM_041006119.1.p1, XM_041013244.1.p1, XM_006605852.4.p1, XM_006605851.3.p1
OG0000016	NM_118863.5.p1, NM_001341844.1.p1	XM_026128978.2.p1, XM_006582658.1.p1, XM_006594732.4.p1
OG0000016	NM_118258.3.p1, NM_001334222.1.p1, NM_001334221.1.p1, NM_001341478.1.p1, NM_112034.3.p1, NM_105253.2.p1, NM_105252.2.p1	XM_014768104.3.p1, XM_003541709.5.p1, XM_014778718.3.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1	XM_026127535.2.p1, XM_041005952.1.p1, XM_003555955.4.p1, XM_014772579.3.p1, XM_006589547.4.p1, XM_026127541.2.p1, XM_041005958.1.p1, XM_003555956.4.p1, XM_041013297.1.p1, XM_006605951.4.p1, XM_003555271.5.p1, XM_041013299.1.p1, XM_041013304.1.p1, XM_041012138.1.p1, XM_003517614.5.p1, XM_026127539.2.p1, XM_026127540.2.p1, NM_001369287.1.p1, XM_006605953.4.p1, XM_003536515.5.p1, XM_041013302.1.p1, XM_041013303.1.p1, XM_006589548.4.p1, XM_026127546.2.p1, XM_026127538.2.p1
OG0000018	NM_116759.3.p1, NM_118446.3.p1, NM_118452.4.p1, NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1, NM_118447.3.p1, NM_001341579.1.p1, NM_114455.2.p1, NM_118460.2.p1, NM_001341598.1.p1, NM_001341575.1.p1, NM_179094.3.p1, NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	NM_001251563.2.p1, XM_026127547.2.p1, XM_003555970.5.p1, XM_026127537.2.p1, XM_041013295.1.p1, XM_041013296.1.p1, XM_026127536.2.p1, XM_041013294.1.p1, XM_014763379.3.p1, XM_026127255.2.p1, NM_001250962.1.p1, XM_026127548.2.p1, XM_026127549.2.p1
OG0000020	NM_001333052.1.p1, NM_121001.2.p1	XM_006594459.3.p1, XM_041009446.1.p1, XM_041009447.1.p1, XM_006596969.3.p1, NM_001255874.2.p1, XM_041016581.1.p1, XM_006581214.4.p1, XM_006581215.4.p1, XM_006581213.4.p1, XM_003525896.5.p1, XM_014777258.3.p1, XM_003520916.5.p1
OG0000021	NM_113293.5.p1	XM_006597502.4.p1, NM_001254537.2.p1, XM_003546071.5.p1, XM_006575201.4.p1, XM_006589414.4.p1, XM_006589413.4.p1, NM_001317466.1.p1
OG0000024	NM_120782.4.p1, NM_120783.4.p1	XM_003542780.3.p1, XM_003541549.4.p1, XM_003542751.4.p1, XM_006591609.3.p1, XM_003542750.5.p1
OG0000026	NM_113834.2.p1, NM_118140.3.p1, NM_113843.3.p1, NM_001335842.1.p1, NM_117679.2.p1, NM_105676.2.p1, NM_113867.5.p1, NM_001339024.1.p1, NM_112309.2.p1, NM_001332993.1.p1, NM_001332992.1.p1, NM_112314.3.p1, NM_001338121.1.p1, NM_112312.5.p1, NM_114026.2.p1, NM_103094.3.p1, NM_001344758.1.p1, NM_122301.4.p1	XM_041007133.1.p1, XM_041007132.1.p1, XM_014764910.2.p1, XM_041007267.1.p1, XM_014764908.3.p1, XM_026125204.2.p1, XM_014764774.2.p1
OG0000027	NM_001344543.1.p1, NM_118204.2.p1	XM_003522785.5.p1, NM_001250541.2.p1, NM_001250527.2.p1, XM_003523801.4.p1, XM_003526339.5.p1
