Orthogroup	Arabidopsis_thaliana_rna_prot	Coffea_arabica_rna_prot
OG0000000	NR_143404.1.p1, NR_143405.1.p1, NR_143403.1.p1, NR_143402.1.p1	XM_027245289.1.p1
OG0000002	NR_140666.1.p1	XM_027232925.1.p1
OG0000002	NM_119053.1.p1	XM_027266399.1.p1
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	XM_027262514.1.p1, XM_027264546.1.p1, XM_027264540.1.p1, XM_027264354.1.p1, XM_027264420.1.p1, XM_027209041.1.p1, XM_027208995.1.p1, XM_027238047.1.p1, XM_027238055.1.p1, XM_027211658.1.p1, XM_027209904.1.p1, XM_027211656.1.p1, XM_027211660.1.p1, XM_027211768.1.p1, XM_027210359.1.p1, XM_027209572.1.p1, XM_027209897.1.p1, XM_027213773.1.p1, XM_027213779.1.p1, XM_027215867.1.p1, XM_027213774.1.p1, XM_027209892.1.p1, XM_027213272.1.p1, XM_027215871.1.p1, XM_027214069.1.p1, XM_027214553.1.p1, XM_027214554.1.p1, XM_027214552.1.p1, XM_027209683.1.p1, XM_027209682.1.p1, XM_027215870.1.p1, XM_027210360.1.p1, XM_027215012.1.p1, XM_027209541.1.p1, XM_027238052.1.p1, XM_027235898.1.p1, XM_027235897.1.p1, XM_027239381.1.p1, XM_027234753.1.p1, XM_027221056.1.p1, XM_027221073.1.p1, XM_027221068.1.p1, XM_027221065.1.p1, XM_027238048.1.p1, XM_027238045.1.p1, XM_027234750.1.p1, XM_027238051.1.p1, XM_027209020.1.p1, XM_027264623.1.p1, XM_027262615.1.p1, XM_027237325.1.p1, XM_027235073.1.p1, XM_027235307.1.p1, XM_027237649.1.p1, XM_027238168.1.p1, XM_027238169.1.p1, XM_027262519.1.p1, XM_027264544.1.p1, XM_027262521.1.p1, XM_027264978.1.p1, XM_027262295.1.p1, XM_027262297.1.p1, XM_027241939.1.p1, XM_027234351.1.p1, XM_027234350.1.p1, XM_027261328.1.p1, XM_027264626.1.p1, XM_027263560.1.p1, XM_027261330.1.p1, XM_027261324.1.p1, XM_027264536.1.p1, XM_027264535.1.p1, XM_027261096.1.p1, XM_027263321.1.p1, XM_027263320.1.p1, XM_027264344.1.p1, XM_027264949.1.p1, XM_027264948.1.p1, XM_027261095.1.p1, XM_027261099.1.p1, XM_027261100.1.p1, XM_027261101.1.p1
OG0000004	NM_103454.1.p1	XM_027247206.1.p1, XM_027211914.1.p1, XM_027216258.1.p1, XM_027208899.1.p1, XM_027216163.1.p1, XM_027262793.1.p1, XM_027211948.1.p1, XM_027243197.1.p1, XM_027240281.1.p1
OG0000006	NM_114576.2.p1, NM_114626.3.p1, NM_114625.3.p1	XM_027234109.1.p1, XM_027234101.1.p1
OG0000009	NM_125027.1.p1, NM_001345199.1.p1, NM_125020.5.p1, NM_001345197.1.p1, NM_001344885.1.p1, NM_001333006.1.p1, NM_125022.1.p1, NM_148138.2.p1, NM_001345198.1.p1, NM_125021.4.p1, NM_118768.1.p1, NM_118767.3.p1, NM_001333686.1.p1, NM_115129.1.p1, NM_115012.4.p1, NM_114762.1.p1, NM_001203107.1.p1, NM_126458.5.p1, NM_001339395.1.p1, NM_114761.1.p1, NM_116233.2.p1, NM_001339582.1.p1, NM_148317.5.p1, NM_001338845.1.p1, NM_001338843.1.p1, NM_125023.2.p1, NM_001085288.2.p1, NM_114931.2.p1, NM_125065.2.p1, NM_125064.2.p1, NM_001345217.1.p1	XM_027233661.1.p1, XM_027233662.1.p1, XM_027233660.1.p1, XM_027233300.1.p1, XM_027233301.1.p1, XM_027251298.1.p1, XM_027251299.1.p1, XM_027258274.1.p1, XM_027208252.1.p1, XM_027208253.1.p1, XM_027208251.1.p1, XM_027208250.1.p1, XM_027229877.1.p1, XM_027271415.1.p1, XM_027271414.1.p1, XM_027207537.1.p1, XM_027271483.1.p1, XM_027253251.1.p1, XM_027231609.1.p1, XM_027228387.1.p1, XM_027224683.1.p1, XM_027224684.1.p1, XM_027208317.1.p1, XM_027263053.1.p1, XM_027219334.1.p1, XM_027219326.1.p1, XM_027218178.1.p1, XM_027218105.1.p1, XM_027218024.1.p1, XM_027263146.1.p1
OG0000009	NM_106521.3.p1, NM_106523.2.p1, NM_001334234.1.p1, NM_105301.2.p1, NM_105302.1.p1, NM_105300.1.p1, NM_105335.1.p1, NM_105303.3.p1, NM_117473.1.p1, NM_106520.3.p1, NM_105631.2.p1, NM_106522.2.p1, NM_104727.1.p1, NM_104728.3.p1, NM_101554.2.p1, NM_001332271.1.p1, NM_001338381.1.p1, NM_123865.1.p1, NM_101246.6.p1, NM_001332087.1.p1, NM_001344037.1.p1, NM_122657.4.p1, NM_001336034.1.p1, NM_201806.3.p1, NM_001336035.1.p1, NM_122174.2.p1, NM_001343751.1.p1, NM_001343755.1.p1, NM_001343750.1.p1, NM_001085145.2.p1, NM_122172.3.p1, NM_122173.1.p1, NM_122486.1.p1, NM_001203604.1.p1, NM_001345065.1.p1, NM_122165.1.p1, NM_001343742.1.p1, NM_122167.3.p1, NM_001343740.1.p1, NM_001344551.1.p1, NM_001343756.1.p1, NM_122179.3.p1, NM_001343757.1.p1	XM_027253372.1.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_027270869.1.p1, XM_027266609.1.p1, XM_027269192.1.p1, XM_027266225.1.p1, XM_027268674.1.p1, XM_027268270.1.p1, XM_027268269.1.p1, XM_027270866.1.p1, XM_027270867.1.p1, XM_027239677.1.p1, XM_027239679.1.p1, XM_027244440.1.p1, XM_027244439.1.p1, XM_027244438.1.p1
OG0000016	NM_118863.5.p1, NM_001341844.1.p1	XM_027239991.1.p1, XM_027239992.1.p1, XM_027239770.1.p1, XM_027241912.1.p1, XM_027243960.1.p1, XM_027271499.1.p1, XR_003461110.1.p1, XM_027271497.1.p1, XM_027271496.1.p1, XM_027205350.1.p1
OG0000017	NM_126953.4.p1	XM_027232593.1.p1, XM_027216155.1.p1, XM_027219962.1.p1, XM_027221066.1.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1	XM_027268098.1.p1
