Orthogroup	Arabidopsis_thaliana_rna_prot	Triticum_aestivum_x_rna_prot
OG0000000	NR_143404.1.p1, NR_143405.1.p1, NR_143403.1.p1, NR_143402.1.p1	XR_006439961.1.p1, XM_044507534.1.p1, XR_006495053.1.p1
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	XM_044486133.1.p1, XM_044591647.1.p1, XM_044591661.1.p1, XM_044505543.1.p1, XM_044596267.1.p1, XM_044505494.1.p1, XM_044591667.1.p1, XM_044503414.1.p1, XM_044524202.1.p1, XM_044523327.1.p1, XM_044579722.1.p1, XM_044505550.1.p1, XR_006449215.1.p1, XR_006449248.1.p1, XR_006449217.1.p1, XR_006449216.1.p1, XM_044596553.1.p1, XM_044591644.1.p1, XM_044596560.1.p1, XM_044505518.1.p1, XM_044524112.1.p1, XM_044524286.1.p1, XM_044591663.1.p1, XM_044523565.1.p1, XM_044494937.1.p1, XM_044494959.1.p1, XM_044596385.1.p1, XM_044523548.1.p1, XM_044548428.1.p1, XM_044523558.1.p1, XM_044571786.1.p1, XM_044533998.1.p1, XM_044542610.1.p1, XM_044526510.1.p1, XM_044526509.1.p1, XM_044529546.1.p1, XM_044542618.1.p1, XM_044505612.1.p1, XM_044505616.1.p1, XM_044510827.1.p1, XM_044510818.1.p1, XM_044588307.1.p1, XM_044505622.1.p1, XM_044567754.1.p1, XM_044510819.1.p1, XM_044592062.1.p1, XM_044592064.1.p1, XM_044592066.1.p1, XM_044592068.1.p1, XM_044528506.1.p1, XM_044528518.1.p1, XM_044528526.1.p1, XM_044575610.1.p1, XM_044528543.1.p1, XM_044528546.1.p1, XR_006440847.1.p1, XM_044592060.1.p1, XM_044527318.1.p1, XM_044567742.1.p1, XM_044532203.1.p1, XM_044505625.1.p1, XM_044581449.1.p1, XM_044505618.1.p1, XM_044510724.1.p1, XM_044570113.1.p1, XM_044510525.1.p1, XM_044545008.1.p1, XM_044540508.1.p1, XM_044537015.1.p1, XM_044521483.1.p1, XM_044511814.1.p1, XM_044598521.1.p1, XR_006423867.1.p1, XR_006423868.1.p1, XM_044511815.1.p1, XM_044569752.1.p1
OG0000004	NM_103454.1.p1	XM_044462765.1.p1, XM_044528485.1.p1, XM_044528486.1.p1, XM_044528487.1.p1, XM_044528488.1.p1, XR_006438931.1.p1, XM_044518567.1.p1, XM_044462656.1.p1, XM_044523601.1.p1, XR_006461488.1.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_044490123.1.p1, XM_044479986.1.p1, XM_044499132.1.p1, XM_044490122.1.p1, XM_044491029.1.p1, XM_044491030.1.p1, XM_044491020.1.p1, XM_044491021.1.p1, XM_044491034.1.p1, XM_044498507.1.p1, XM_044491024.1.p1, XM_044579672.1.p1, XM_044499139.1.p1, XM_044499140.1.p1, XM_044587402.1.p1, XM_044491037.1.p1, XM_044499142.1.p1, XM_044499141.1.p1, XM_044499135.1.p1, XM_044499134.1.p1, XM_044499136.1.p1, XM_044499137.1.p1, XM_044499138.1.p1, XM_044491031.1.p1, XM_044491022.1.p1, XM_044480615.1.p1, XM_044498506.1.p1, XM_044490126.1.p1, XM_044496856.1.p1, XM_044491017.1.p1, XM_044490131.1.p1, XM_044491019.1.p1, XM_044490130.1.p1, XM_044488050.1.p1, XM_044482552.1.p1, XM_044482553.1.p1, XM_044491015.1.p1, XM_044490124.1.p1, XM_044533526.1.p1, XM_044526032.1.p1, XM_044542138.1.p1, XM_044542136.1.p1, XM_044528676.1.p1, XM_044485105.1.p1, XM_044493763.1.p1, XM_044493762.1.p1, XM_044501583.1.p1, XM_044493765.1.p1, XM_044522759.1.p1
OG0000016	NM_118258.3.p1, NM_001334222.1.p1, NM_001334221.1.p1, NM_001341478.1.p1, NM_112034.3.p1, NM_105253.2.p1, NM_105252.2.p1	XM_044597132.1.p1, XM_044475632.1.p1, XM_044475635.1.p1, XM_044475633.1.p1, XM_044467372.1.p1, XM_044488996.1.p1, XM_044481368.1.p1, XM_044481369.1.p1, XM_044502166.1.p1, XM_044502165.1.p1, XM_044485710.1.p1, XM_044494480.1.p1, XM_044497588.1.p1, XM_044494482.1.p1, XM_044502167.1.p1, XM_044485712.1.p1, XM_044479061.1.p1, XM_044470837.1.p1, XM_044494486.1.p1, XM_044494484.1.p1, XM_044485713.1.p1, XM_044595120.1.p1, XM_044595118.1.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1, NM_116759.3.p1, NM_118446.3.p1, NM_118452.4.p1, NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1, NM_118447.3.p1, NM_001341579.1.p1, NM_114455.2.p1, NM_118460.2.p1, NM_001341598.1.p1, NM_001341575.1.p1, NM_179094.3.p1, NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	XM_044600471.1.p1, XM_044600472.1.p1, XM_044475694.1.p1, XM_044475701.1.p1, XM_044467432.1.p1, XM_044600475.1.p1, XM_044475716.1.p1, XM_044561672.1.p1, XR_006470651.1.p1, XM_044475686.1.p1, XM_044475687.1.p1, XM_044600459.1.p1, XM_044467422.1.p1, XM_044561668.1.p1, XM_044467421.1.p1, XM_044475688.1.p1, XM_044505619.1.p1, XM_044499698.1.p1, XM_044463856.1.p1, XM_044463855.1.p1, XM_044526524.1.p1, XM_044526525.1.p1, XM_044567961.1.p1, XM_044567973.1.p1, XM_044595199.1.p1, XM_044596051.1.p1, XM_044567979.1.p1, XM_044568005.1.p1, XM_044595178.1.p1
OG0000020	NM_001333052.1.p1, NM_121001.2.p1, NM_001337980.1.p1, NM_001337982.1.p1, NM_001337983.1.p1, NM_112058.4.p1, NM_112059.2.p1, NM_112060.3.p1, NM_127866.3.p1, NM_001161057.2.p1, NM_201787.2.p1, NM_179703.2.p1, NM_127865.3.p1, NM_001335834.1.p1, NM_127862.4.p1, NM_001335831.1.p1, NM_127857.5.p1, NM_179702.1.p1, NM_001335827.1.p1, NM_127863.5.p1, NM_001335832.1.p1, NM_001335833.1.p1, NM_001036325.3.p1, NM_111880.5.p1, NM_001337877.1.p1, NM_001035592.2.p1, NM_001337876.1.p1, NM_001334576.1.p1, NM_105987.1.p1, NM_001334583.1.p1, NM_123009.4.p1, NM_001344130.1.p1, NM_001344131.1.p1, NM_001344129.1.p1, NM_001334579.1.p1, NM_001334578.1.p1, NM_001334584.1.p1, NM_105990.2.p1, NM_001334580.1.p1, NM_001334582.1.p1, NM_001334581.1.p1, NM_001334577.1.p1	XM_044542005.1.p1, XM_044533367.1.p1, XM_044533369.1.p1, XM_044542007.1.p1, XR_006450154.1.p1, XM_044525911.1.p1, XR_006450152.1.p1, XR_006450155.1.p1, XM_044542006.1.p1, XM_044570358.1.p1, XM_044570360.1.p1, XR_006441197.1.p1, XM_044564641.1.p1, XM_044564644.1.p1, XM_044564652.1.p1, XM_044564643.1.p1, XM_044508865.1.p1, XM_044521670.1.p1, XM_044508866.1.p1, XM_044508867.1.p1, XM_044512368.1.p1, XM_044512363.1.p1, XM_044512365.1.p1, XM_044517576.1.p1, XM_044579515.1.p1, XM_044579516.1.p1, XM_044584687.1.p1, XM_044570259.1.p1, XM_044512357.1.p1, XM_044512356.1.p1, XM_044512355.1.p1, XM_044512353.1.p1, XM_044512352.1.p1, XM_044512358.1.p1, XR_006442695.1.p1, XR_006442700.1.p1, XR_006442698.1.p1, XM_044485767.1.p1, XM_044494558.1.p1, XM_044497607.1.p1, XM_044477956.1.p1, XM_044469745.1.p1, XM_044469746.1.p1, XM_044477954.1.p1, XM_044477955.1.p1, XM_044602708.1.p1, XM_044477953.1.p1, XM_044602705.1.p1, XM_044469744.1.p1, XM_044602706.1.p1, XM_044469741.1.p1, XR_006422273.1.p1, XM_044472647.1.p1, XM_044561912.1.p1, XM_044561910.1.p1, XM_044512652.1.p1, XM_044512653.1.p1, XM_044508525.1.p1, XM_044517889.1.p1, XM_044598900.1.p1, XM_044598901.1.p1, XM_044589255.1.p1, XM_044505996.1.p1, XM_044515762.1.p1, XM_044521075.1.p1, XR_006445521.1.p1, XM_044515760.1.p1, XM_044545723.1.p1, XM_044529434.1.p1, XM_044482990.1.p1, XM_044499608.1.p1, XM_044488324.1.p1
OG0000024	NM_126424.2.p1, NM_126423.4.p1, NM_123735.4.p1, NM_102583.2.p1, NM_118761.1.p1, NM_001339191.1.p1, NM_114377.3.p1, NM_128316.1.p1, NM_101213.3.p1, NM_127056.1.p1, NM_101212.3.p1, NM_126422.3.p1	XM_044465459.1.p1, XM_044588816.1.p1, XM_044482766.1.p1, XM_044589785.1.p1, XM_044586262.1.p1, XM_044584224.1.p1, XM_044588302.1.p1, XM_044529639.1.p1, XM_044537728.1.p1, XM_044542770.1.p1, XM_044540849.1.p1, XM_044516117.1.p1, XM_044479550.1.p1, XM_044466026.1.p1, XM_044579977.1.p1, XM_044553069.1.p1, XM_044553070.1.p1, XM_044518894.1.p1, XM_044561347.1.p1, XM_044592132.1.p1, XM_044503491.1.p1, XM_044577763.1.p1
OG0000024	NM_101717.3.p1, NM_106069.3.p1, NM_106070.2.p1	XM_044567237.1.p1, XM_044560069.1.p1, XM_044498700.1.p1, XM_044497920.1.p1, XM_044579276.1.p1, XM_044503499.1.p1, XM_044580490.1.p1, XM_044598233.1.p1, XM_044473288.1.p1, XM_044465024.1.p1, XM_044507486.1.p1, XM_044471425.1.p1, XM_044471482.1.p1, XM_044596534.1.p1, XM_044463110.1.p1, XM_044473905.1.p1, XR_006496789.1.p1, XM_044465762.1.p1, XM_044554047.1.p1
OG0000026	NM_113834.2.p1, NM_118140.3.p1, NM_113843.3.p1, NM_001335842.1.p1, NM_117679.2.p1, NM_105676.2.p1, NM_113867.5.p1, NM_001339024.1.p1, NM_112309.2.p1, NM_001332993.1.p1, NM_001332992.1.p1, NM_112314.3.p1, NM_001338121.1.p1, NM_112312.5.p1, NM_114026.2.p1, NM_103094.3.p1, NM_001344758.1.p1, NM_122301.4.p1	XM_044552579.1.p1, XM_044536620.1.p1
