Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Arthrobotrys_oligospora_cds_prot
OG0000000	XM_001588468.1.p1, XM_001593612.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497383.1_12174.p1
OG0000000	XM_001597027.1.p1, XM_001589120.1.p1, XM_001595534.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499810.1_10510.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509129.1_3987.p1
OG0000000	XM_001587932.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501236.1_9377.p1
OG0000000	XM_001597299.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509431.1_4289.p1, lcl|JAVHJL010000009.1_cds_KAK6497504.1_12295.p1, lcl|JAVHJL010000009.1_cds_KAK6497923.1_12714.p1
OG0000001	XM_001590837.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501438.1_9579.p1
OG0000001	XM_001585670.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511796.1_718.p1, lcl|JAVHJL010000005.1_cds_KAK6502800.1_8088.p1
OG0000001	XM_001596026.1.p1	lcl|JAVHJL010000003.1_cds_KAK6508020.1_6623.p1
OG0000001	XM_001586958.1.p1, XM_001586840.1.p1	lcl|JAVHJL010000005.1_cds_KAK6502816.1_8104.p1
OG0000001	XM_001591868.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505878.1_8008.p1
OG0000001	XM_001586869.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504827.1_6957.p1
OG0000001	XM_001588682.1.p1, XM_001593835.1.p1, XM_001597802.1.p1, XM_001588558.1.p1, XM_001592974.1.p1, XM_001588459.1.p1	lcl|JAVHJL010000002.1_cds_KAK6510077.1_4935.p1
OG0000002	XM_001597407.1.p1, XM_001598579.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507889.1_6492.p1
OG0000002	XM_001594479.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498876.1_11824.p1, lcl|JAVHJL010000008.1_cds_KAK6498881.1_11829.p1
OG0000002	XM_001592695.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509245.1_4103.p1
OG0000002	XM_001587049.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505402.1_7532.p1
OG0000002	XM_001589076.1.p1	lcl|JAVHJL010000011.1_cds_KAK6496238.1_2333.p1
OG0000002	XM_001592371.1.p1, XM_001598197.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505824.1_7954.p1
OG0000002	XM_001592631.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504820.1_6950.p1
OG0000002	XM_001598780.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504813.1_6943.p1
OG0000002	XM_001595108.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500142.1_10842.p1
OG0000002	XM_001596924.1.p1, XM_001596092.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501451.1_9592.p1
OG0000003	XM_001597102.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511468.1_390.p1
OG0000003	XM_001588182.1.p1	lcl|JAVHJL010000008.1_cds_KAK6499053.1_12001.p1
OG0000003	XM_001592033.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500302.1_11002.p1, lcl|JAVHJL010000008.1_cds_KAK6498869.1_11817.p1, lcl|JAVHJL010000004.1_cds_KAK6504685.1_6815.p1, lcl|JAVHJL010000004.1_cds_KAK6504581.1_6711.p1
OG0000004	XM_001592712.1.p1, XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1, XM_001598793.1.p1	lcl|JAVHJL010000012.1_cds_KAK6495682.1_2814.p1
OG0000005	XM_001597228.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501315.1_9456.p1, lcl|JAVHJL010000002.1_cds_KAK6510110.1_4968.p1, lcl|JAVHJL010000009.1_cds_KAK6497573.1_12364.p1, lcl|JAVHJL010000005.1_cds_KAK6502839.1_8127.p1, lcl|JAVHJL010000002.1_cds_KAK6510241.1_5099.p1
OG0000005	XM_001584813.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495227.1_3342.p1
OG0000005	XM_001594565.1.p1, XM_001589933.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505892.1_8022.p1
OG0000006	XM_001588352.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505332.1_7462.p1, lcl|JAVHJL010000009.1_cds_KAK6497515.1_12306.p1
OG0000006	XM_001596808.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501432.1_9573.p1
OG0000006	XM_001588863.1.p1	lcl|JAVHJL010000002.1_cds_KAK6508834.1_3692.p1, lcl|JAVHJL010000002.1_cds_KAK6508885.1_3743.p1
OG0000006	XM_001585971.1.p1, XM_001594656.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498875.1_11823.p1, lcl|JAVHJL010000006.1_cds_KAK6501905.1_10046.p1
OG0000006	XM_001588137.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507750.1_6353.p1
OG0000006	XM_001598725.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505196.1_7326.p1
OG0000006	XM_001584562.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500512.1_11212.p1
OG0000007	XM_001591636.1.p1	lcl|JAVHJL010000010.1_cds_KAK6497019.1_2062.p1
OG0000007	XM_001590167.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503895.1_9183.p1
OG0000007	XM_001594740.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509660.1_4518.p1
OG0000007	XM_001597058.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501318.1_9459.p1
OG0000007	XM_001593364.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504554.1_6684.p1
OG0000007	XM_001592329.1.p1, XM_001590635.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501394.1_9535.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1, XM_001593251.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504567.1_6697.p1
OG0000008	XM_001590874.1.p1, XM_001587361.1.p1, XM_001595457.1.p1, XM_001585175.1.p1, XM_001591599.1.p1, XM_001591200.1.p1, XM_001595300.1.p1, XM_001589676.1.p1, XM_001592629.1.p1, XM_001592284.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507552.1_6155.p1
OG0000008	XM_001589064.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500136.1_10836.p1
OG0000008	XM_001595625.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507941.1_6544.p1, lcl|JAVHJL010000002.1_cds_KAK6509848.1_4706.p1, lcl|JAVHJL010000001.1_cds_KAK6511722.1_644.p1, lcl|JAVHJL010000004.1_cds_KAK6505853.1_7983.p1
OG0000009	XM_001593400.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504807.1_6937.p1, lcl|JAVHJL010000007.1_cds_KAK6500176.1_10876.p1
OG0000009	XM_001598922.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498868.1_11816.p1
OG0000009	XM_001591183.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509629.1_4487.p1
OG0000010	XM_001597412.1.p1, XM_001590585.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500196.1_10896.p1
OG0000010	XM_001592407.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511795.1_717.p1
OG0000011	XM_001598486.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506833.1_5436.p1
