Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Fusarium_oxysporum_cds_prot
OG0000000	XM_001587566.1.p1	lcl|NC_030996.1_cds_XP_018246883.1_22302.p1
OG0000000	XM_001595534.1.p1	lcl|NC_030987.1_cds_XP_018242021.1_4635.p1, lcl|NC_030987.1_cds_XP_018242020.1_4634.p1
OG0000000	XM_001598353.1.p1	lcl|NC_030998.1_cds_XP_018257755.1_25167.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	lcl|NC_030987.1_cds_XP_018245268.1_5457.p1
OG0000000	XM_001587932.1.p1	lcl|NC_030995.1_cds_XP_018249602.1_21286.p1
OG0000000	XM_001586073.1.p1	lcl|NC_030986.1_cds_XP_018249075.1_350.p1, lcl|NC_030997.1_cds_XP_018252312.1_23337.p1
OG0000001	XM_001594515.1.p1	lcl|NC_030990.1_cds_XP_018235826.1_12726.p1
OG0000001	XM_001592821.1.p1	lcl|NC_030998.1_cds_XP_018257754.1_25166.p1
OG0000001	XM_001590837.1.p1	lcl|NC_030986.1_cds_XP_018248779.1_54.p1
OG0000001	XM_001585670.1.p1	lcl|NC_030992.1_cds_XP_018239905.1_14820.p1
OG0000001	XM_001586840.1.p1	lcl|NC_030989.1_cds_XP_018244054.1_9003.p1
OG0000001	XM_001591868.1.p1	lcl|NC_030990.1_cds_XP_018255135.1_10644.p1, lcl|NC_030990.1_cds_XP_018235304.1_12204.p1, lcl|NC_030996.1_cds_XP_018247163.1_22582.p1
OG0000001	XM_001586869.1.p1	lcl|NC_030987.1_cds_XP_018245112.1_5301.p1
OG0000001	XM_001588682.1.p1	lcl|NC_030996.1_cds_XP_018247310.1_22729.p1
OG0000001	XM_001593835.1.p1	lcl|NC_030998.1_cds_XP_018250416.1_24428.p1
OG0000001	XM_001588558.1.p1	lcl|NC_030995.1_cds_XP_018253256.1_21007.p1
OG0000001	XM_001592974.1.p1	lcl|NC_030986.1_cds_XP_018231693.1_935.p1, lcl|NC_030992.1_cds_XP_018240468.1_15383.p1
OG0000001	XM_001588459.1.p1	lcl|NC_030990.1_cds_XP_018235013.1_11913.p1, lcl|NC_030997.1_cds_XP_018254044.1_23875.p1, lcl|NC_030994.1_cds_XP_018251168.1_20127.p1
OG0000001	XM_001594847.1.p1	lcl|NC_030998.1_cds_XP_018250545.1_24556.p1, lcl|NC_030990.1_cds_XP_018255466.1_10975.p1
OG0000002	XM_001598579.1.p1	lcl|NC_030989.1_cds_XP_018238397.1_9472.p1, lcl|NC_030989.1_cds_XP_018243716.1_8665.p1
OG0000002	XM_001594479.1.p1	lcl|NC_030994.1_cds_XP_018245971.1_19039.p1
OG0000002	XM_001594076.1.p1	lcl|NC_030990.1_cds_XP_018234754.1_11654.p1
OG0000002	XM_001588872.1.p1	lcl|NC_030998.1_cds_XP_018257575.1_24987.p1
OG0000002	XM_001594265.1.p1	lcl|NC_030986.1_cds_XP_018249134.1_409.p1, lcl|NC_030986.1_cds_XP_018248787.1_62.p1
OG0000002	XM_001587049.1.p1	lcl|NC_030986.1_cds_XP_018233542.1_2784.p1, lcl|NC_030989.1_cds_XP_018239145.1_10220.p1
OG0000002	XM_001585463.1.p1	lcl|NW_017264847.1_cds_XP_018257830.1_26992.p1
OG0000002	XM_001586214.1.p1	lcl|NC_030987.1_cds_XP_018245741.1_5930.p1
OG0000002	XM_001592371.1.p1, XM_001598197.1.p1	lcl|NC_030993.1_cds_XP_018236770.1_17315.p1
OG0000002	XM_001584996.1.p1	lcl|NC_030994.1_cds_XP_018246399.1_19466.p1
OG0000002	XM_001592631.1.p1	lcl|NC_030996.1_cds_XP_018246913.1_22332.p1
OG0000002	XM_001598780.1.p1	lcl|NC_030995.1_cds_XP_018249648.1_21332.p1, lcl|NC_030987.1_cds_XP_018256529.1_6095.p1, lcl|NC_030997.1_cds_XP_018252681.1_23706.p1
OG0000002	XM_001592437.1.p1	lcl|NC_030987.1_cds_XP_018256530.1_6096.p1
