Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Drosophila_suzukii_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_036820757.1.p1, XM_036820755.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_036814367.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_036819752.1.p1, XM_036822320.1.p1, XM_036819755.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_036815889.1.p1, XM_036815886.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_017086999.2.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_017072074.2.p1, XM_036813206.1.p1, XM_036813208.1.p1, XM_036813205.1.p1, XM_036813204.1.p1, XM_036813209.1.p1, XM_036813203.1.p1, XM_036813202.1.p1, XM_036813207.1.p1, XM_036813199.1.p1, XM_036813201.1.p1, XM_036813198.1.p1, XM_036813197.1.p1, XM_036813196.1.p1, XM_036813192.1.p1, XM_036813194.1.p1, XM_036813195.1.p1, XM_036813193.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_036822021.1.p1, XM_036822020.1.p1, XM_036822019.1.p1, XM_036822022.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_017079212.2.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_036820442.1.p1, XM_017083509.2.p1, XM_036820444.1.p1, XM_036820443.1.p1, XM_036820445.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_017069620.2.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_036815719.1.p1, XM_036815727.1.p1
OG0000000	gnl|WGS_AAJJ|TC031411-RA.p1, gnl|WGS_AAJJ|TC034026-RA.p1	XM_036817075.1.p1, XM_036817076.1.p1, XM_036822215.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_036815309.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_017085003.2.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_017078813.2.p1, XM_017078811.2.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_017079100.2.p1
OG0000001	gnl|WGS_AAJJ|TC016139-RA.p1, gnl|WGS_AAJJ|TC010296-RA.p1	XM_036821844.1.p1
OG0000001	gnl|WGS_AAJJ|TC016155-RA.p1	XM_017071785.2.p1
OG0000001	gnl|WGS_AAJJ|TC002454-RA.p1	XM_036821699.1.p1, XM_036822165.1.p1, XM_036821560.1.p1, XM_036818048.1.p1
OG0000001	gnl|WGS_AAJJ|TC002275-RA.p2	XM_017083175.2.p1
OG0000002	gnl|WGS_AAJJ|TC002659-RA.p1	XM_036817653.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_036813578.1.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_036815785.1.p1
OG0000002	gnl|WGS_AAJJ|TC011014-RA.p1	XM_017070689.2.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	XM_036817469.1.p1
