Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Hyaloperonospora_brassicae_cds_prot
OG0000004	XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1, XM_001598793.1.p1	lcl|CANTFL010000089.1_cds_CAI5712991.1_1013.p1, lcl|CANTFL010000136.1_cds_CAI5714511.1_1323.p1
OG0000006	XM_001588352.1.p1, XM_001596808.1.p1, XM_001588863.1.p1, XM_001592785.1.p1, XM_001585971.1.p1, XM_001594656.1.p1, XM_001585309.1.p1, XM_001586702.1.p1, XM_001588137.1.p1, XM_001587520.1.p1, XM_001598725.1.p1, XM_001584562.1.p1, XM_001584772.1.p1, XM_001591073.1.p1, XM_001595264.1.p1, XM_001585666.1.p1, XM_001597248.1.p1	lcl|CANTFL010001012.1_cds_CAI5730004.1_4957.p1, lcl|CANTFL010001040.1_cds_CAI5730564.1_5154.p1
OG0000007	XM_001591636.1.p1, XM_001587063.1.p1, XM_001585431.1.p1, XM_001589416.1.p1, XM_001590167.1.p1, XM_001589522.1.p1, XM_001592113.1.p1, XM_001593529.1.p1, XM_001594740.1.p1, XM_001597058.1.p1, XM_001595440.1.p1, XM_001593364.1.p1, XM_001596573.1.p1, XM_001592329.1.p1, XM_001590635.1.p1, XM_001593051.1.p1, XM_001593978.1.p1, XM_001593251.1.p1	lcl|CANTFL010000991.1_cds_CAI5729556.1_4838.p1, lcl|CANTFL010001229.1_cds_CAI5734427.1_6485.p1, lcl|CANTFL010000832.1_cds_CAI5728080.1_4463.p1
OG0000011	XM_001591956.1.p1	lcl|CANTFL010000514.1_cds_CAI5723801.1_3376.p1, lcl|CANTFL010000146.1_cds_CAI5715745.1_1575.p1
OG0000013	XM_001584703.1.p1, XM_001598880.1.p1, XM_001588453.1.p1, XM_001593161.1.p1, XM_001596549.1.p1	lcl|CANTFL010000552.1_cds_CAI5724319.1_3507.p1, lcl|CANTFL010000552.1_cds_CAI5724315.1_3506.p1
OG0000020	XM_001590645.1.p1, XM_001590818.1.p1, XM_001592000.1.p1, XM_001597565.1.p1, XM_001584630.1.p1, XM_001586311.1.p1, XM_001587118.1.p1, XM_001592706.1.p1, XM_001598591.1.p1, XM_001592517.1.p1	lcl|CANTFL010000090.1_cds_CAI5713230.1_1060.p1, lcl|CANTFL010000090.1_cds_CAI5713176.1_1048.p1
OG0000022	XM_001589766.1.p1	lcl|CANTFL010001016.1_cds_CAI5730056.1_4974.p1, lcl|CANTFL010001427.1_cds_CAI5739662.1_8296.p1, lcl|CANTFL010001016.1_cds_CAI5730053.1_4973.p1, lcl|CANTFL010001210.1_cds_CAI5733750.1_6252.p1, lcl|CANTFL010001210.1_cds_CAI5733753.1_6253.p1, lcl|CANTFL010001414.1_cds_CAI5739218.1_8139.p1, lcl|CANTFL010001315.1_cds_CAI5736472.1_7190.p1, lcl|CANTFL010000779.1_cds_CAI5727685.1_4360.p1, lcl|CANTFL010001414.1_cds_CAI5739212.1_8138.p1, lcl|CANTFL010001032.1_cds_CAI5730460.1_5120.p1, lcl|CANTFL010001466.1_cds_CAI5742336.1_9404.p1, lcl|CANTFL010000514.1_cds_CAI5723794.1_3374.p1
OG0000025	XM_001585565.1.p1, XM_001594233.1.p1, XM_001585564.1.p1, XM_001597796.1.p1, XM_001594625.1.p1, XM_001592424.1.p1, XM_001585370.1.p1, XM_001596141.1.p1, XM_001596047.1.p1	lcl|CANTFL010000977.1_cds_CAI5729083.1_4715.p1, lcl|CANTFL010001211.1_cds_CAI5734113.1_6377.p1, lcl|CANTFL010001211.1_cds_CAI5734089.1_6369.p1, lcl|CANTFL010000977.1_cds_CAI5729088.1_4716.p1, lcl|CANTFL010000106.1_cds_CAI5714025.1_1225.p1, lcl|CANTFL010001218.1_cds_CAI5734356.1_6458.p1, lcl|CANTFL010000991.1_cds_CAI5729553.1_4837.p1
OG0000032	XM_001591344.1.p1, XM_001588011.1.p1, XM_001587657.1.p1, XM_001592925.1.p1, XM_001593976.1.p1, XM_001586473.1.p1, XM_001598634.1.p1, XM_001598538.1.p1, XM_001591886.1.p1	lcl|CANTFL010000080.1_cds_CAI5711035.1_622.p1
OG0000035	XM_001597459.1.p1, XM_001589899.1.p1, XM_001595898.1.p1, XM_001597487.1.p1	lcl|CANTFL010001452.1_cds_CAI5741788.1_9112.p1
OG0000037	XM_001585193.1.p1, XM_001598376.1.p1, XM_001595699.1.p1, XM_001597719.1.p1, XM_001585740.1.p1	lcl|CANTFL010000003.1_cds_CAI5708162.1_25.p1
OG0000038	XM_001597383.1.p1, XM_001585894.1.p1, XM_001598835.1.p1, XM_001586848.1.p1, XM_001592076.1.p1, XM_001594339.1.p1, XM_001593634.1.p1, XM_001590964.1.p1	lcl|CANTFL010001080.1_cds_CAI5731184.1_5365.p1
OG0000039	XM_001594345.1.p1	lcl|CANTFL010000720.1_cds_CAI5726991.1_4188.p1
OG0000039	XM_001593212.1.p1, XM_001594395.1.p1, XM_001597754.1.p1, XM_001594898.1.p1, XM_001585233.1.p1, XM_001591791.1.p1	lcl|CANTFL010000251.1_cds_CAI5719607.1_2352.p1, lcl|CANTFL010001090.1_cds_CAI5731293.1_5405.p1, lcl|CANTFL010001166.1_cds_CAI5732510.1_5824.p1, lcl|CANTFL010001016.1_cds_CAI5730066.1_4978.p1
OG0000042	XM_001595143.1.p1, XM_001586568.1.p1	lcl|CANTFL010000885.1_cds_CAI5728458.1_4556.p1, lcl|CANTFL010000006.1_cds_CAI5708290.1_57.p1
OG0000046	XM_001586463.1.p1, XM_001586462.1.p1, XM_001594665.1.p1, XM_001587340.1.p1, XM_001586379.1.p1	lcl|CANTFL010000981.1_cds_CAI5729230.1_4753.p1, lcl|CANTFL010001025.1_cds_CAI5730276.1_5050.p1, lcl|CANTFL010001025.1_cds_CAI5730278.1_5051.p1, lcl|CANTFL010001332.1_cds_CAI5737155.1_7430.p1, lcl|CANTFL010001193.1_cds_CAI5733209.1_6063.p1, lcl|CANTFL010000381.1_cds_CAI5721521.1_2794.p1, lcl|CANTFL010001078.1_cds_CAI5731158.1_5357.p1
OG0000048	XM_001589336.1.p1, XM_001586792.1.p1	lcl|CANTFL010001027.1_cds_CAI5730401.1_5093.p1, lcl|CANTFL010001420.1_cds_CAI5739403.1_8207.p1, lcl|CANTFL010000873.1_cds_CAI5728439.1_4552.p1, lcl|CANTFL010001327.1_cds_CAI5736802.1_7304.p1, lcl|CANTFL010001102.1_cds_CAI5731423.1_5455.p1
OG0000050	XM_001598547.1.p1, XM_001585954.1.p1, XM_001594907.1.p1	lcl|CANTFL010000136.1_cds_CAI5714535.1_1328.p1, lcl|CANTFL010001180.1_cds_CAI5732600.1_5854.p1
OG0000050	XM_001598548.1.p1, XM_001594937.1.p1	lcl|CANTFL010000980.1_cds_CAI5729151.1_4732.p1
OG0000051	XM_001589798.1.p1	lcl|CANTFL010001109.1_cds_CAI5731584.1_5506.p1
OG0000051	XM_001598899.1.p1	lcl|CANTFL010001373.1_cds_CAI5738478.1_7884.p1
OG0000051	XM_001590870.1.p1	lcl|CANTFL010000086.1_cds_CAI5711626.1_732.p1
OG0000051	XM_001587951.1.p1	lcl|CANTFL010000514.1_cds_CAI5723798.1_3375.p1
OG0000051	XM_001596631.1.p1	lcl|CANTFL010000073.1_cds_CAI5710794.1_575.p1
OG0000051	XM_001585247.1.p1	lcl|CANTFL010000137.1_cds_CAI5714898.1_1401.p1
OG0000052	XM_001585446.1.p1	lcl|CANTFL010000636.1_cds_CAI5726110.1_3957.p1, lcl|CANTFL010001332.1_cds_CAI5737257.1_7466.p1
OG0000052	XM_001595011.1.p1	lcl|CANTFL010001471.1_cds_CAI5742528.1_9506.p1
OG0000056	XM_001591650.1.p1, XM_001585689.1.p1, XM_001593553.1.p1, XM_001591666.1.p1, XM_001591171.1.p1, XM_001584923.1.p1, XM_001593890.1.p1	lcl|CANTFL010000144.1_cds_CAI5715534.1_1533.p1
OG0000058	XM_001597998.1.p1	lcl|CANTFL010001211.1_cds_CAI5733912.1_6303.p1, lcl|CANTFL010001211.1_cds_CAI5733903.1_6300.p1
OG0000058	XM_001596000.1.p1	lcl|CANTFL010001444.1_cds_CAI5740321.1_8528.p1
OG0000058	XM_001589509.1.p1	lcl|CANTFL010000086.1_cds_CAI5712776.1_968.p1
OG0000058	XM_001589061.1.p1	lcl|CANTFL010001445.1_cds_CAI5740448.1_8570.p1
OG0000061	XM_001592625.1.p1	lcl|CANTFL010000289.1_cds_CAI5720487.1_2527.p1
OG0000064	XM_001585209.1.p1, XM_001585305.1.p1, XM_001588665.1.p1, XM_001594438.1.p1	lcl|CANTFL010001312.1_cds_CAI5736413.1_7173.p1
OG0000066	XM_001592949.1.p1	lcl|CANTFL010000228.1_cds_CAI5719262.1_2285.p1, lcl|CANTFL010001287.1_cds_CAI5735839.1_6967.p1, lcl|CANTFL010000362.1_cds_CAI5721159.1_2706.p1, lcl|CANTFL010000362.1_cds_CAI5721164.1_2707.p1, lcl|CANTFL010000409.1_cds_CAI5722116.1_2945.p1
