Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Bactrocera_dorsalis_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_049454127.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_029552994.2.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_011211881.4.p1, XM_019991995.3.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_011210718.4.p1, XM_019991689.3.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_011213673.4.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_011208922.4.p1, XM_049452365.1.p1, XM_049452372.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_049448201.1.p1, XM_049448214.1.p1, XM_049448213.1.p1, XM_049448212.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_011206392.4.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_049456670.1.p1, XM_011207936.4.p1, XM_049456668.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_011201705.4.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_049462424.1.p1, XM_049462416.1.p1, XM_049462421.1.p1, XM_049462426.1.p1
OG0000000	gnl|WGS_AAJJ|TC031411-RA.p1, gnl|WGS_AAJJ|TC034026-RA.p1	XM_011200294.4.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_049453728.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_049452498.1.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_049458704.1.p1, XM_049458698.1.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_011203113.4.p1
