Orthogroup	Arabidopsis_thaliana_rna_prot	Vitis_vinifera_rna_prot
OG0000000	NM_001341577.1.p1	XM_019221509.1.p1
OG0000002	NM_148756.2.p1	XM_010645714.1.p1
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	XM_059741162.1.p1, XM_010659538.2.p1, XM_059742832.1.p1, XM_010662742.3.p1, XM_059740951.1.p1, XM_010662710.3.p1, XM_002276837.4.p1, XM_002277570.4.p1, XM_010662739.3.p1, XM_019224719.1.p1, XM_002275328.5.p1, XM_002277441.3.p1, XM_059740460.1.p1, XM_010657610.3.p1, XM_002270615.4.p1, XM_059740421.1.p1, XM_002276887.4.p1, XM_010662743.3.p1, XM_002267029.4.p1, XM_059741350.1.p1, XM_010659780.3.p1, XM_010659778.3.p1, XM_010659341.3.p1, XM_010659343.3.p1, XM_010659340.3.p1, XM_010659339.3.p1, XM_010659338.3.p1, XM_059741272.1.p1, XM_059741271.1.p1, XM_059741274.1.p1, XM_059741279.1.p1, XR_009467146.1.p1, XM_010647100.3.p1, XM_059741161.1.p1, XM_019224611.2.p1, XM_010658324.3.p1, XM_002274398.4.p1, XM_010658325.3.p1, XM_059740557.1.p1, XM_010665591.2.p1, XM_059734134.1.p1, XM_002278554.4.p1, XM_019226679.2.p1, XM_019226368.2.p1
OG0000009	NM_125027.1.p1, NM_001345199.1.p1, NM_125020.5.p1, NM_001345197.1.p1, NM_001344885.1.p1, NM_001333006.1.p1, NM_125022.1.p1, NM_148138.2.p1, NM_001345198.1.p1, NM_125021.4.p1, NM_118768.1.p1, NM_118767.3.p1, NM_001333686.1.p1, NM_115129.1.p1, NM_115012.4.p1, NM_114762.1.p1, NM_001203107.1.p1, NM_126458.5.p1, NM_001339395.1.p1, NM_114761.1.p1, NM_116233.2.p1, NM_001339582.1.p1, NM_148317.5.p1, NM_001338845.1.p1, NM_001338843.1.p1, NM_125023.2.p1, NM_001085288.2.p1, NM_114931.2.p1, NM_125065.2.p1, NM_125064.2.p1, NM_001345217.1.p1	XM_010646530.3.p1, XM_010646512.3.p1, XM_019216910.2.p1, XM_059735462.1.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_010665322.3.p1, XM_010665324.3.p1, XM_010665323.3.p1, XM_019225364.2.p1, XM_059742720.1.p1, XM_010667179.3.p1, XM_002279598.5.p1, XM_002279616.5.p1
OG0000016	NM_118863.5.p1, NM_001341844.1.p1	XM_059735545.1.p1, XM_010645988.3.p1, XM_059735272.1.p1, XM_059735334.1.p1, XM_059735335.1.p1, XM_059735332.1.p1, XM_002283440.5.p1, XM_010646003.3.p1, XM_059735330.1.p1, XM_019217114.2.p1, XM_010645996.3.p1, XM_010646006.3.p1, XM_010646004.3.p1, XM_019217014.2.p1, XR_009465252.1.p1, XM_059735659.1.p1, XM_059735657.1.p1, XM_059735387.1.p1, XM_010645985.3.p1, XM_019217276.2.p1, XM_019217285.2.p1, XM_019217283.2.p1, XM_019217282.2.p1, XM_019216975.2.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1	XM_010662909.3.p1, XM_059743006.1.p1, XM_019222475.2.p1, XM_059740175.1.p1, XM_059740178.1.p1, XM_059740177.1.p1, XM_003635418.4.p1, XM_003635112.4.p1, XM_010648338.3.p1
OG0000018	NM_116759.3.p1, NM_118446.3.p1, NM_118452.4.p1, NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1, NM_118447.3.p1, NM_001341579.1.p1, NM_114455.2.p1, NM_118460.2.p1, NM_001341598.1.p1, NM_001341575.1.p1, NM_179094.3.p1, NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	XM_010649887.3.p1, XM_059736060.1.p1, XM_010646039.3.p1, XM_010657648.3.p1, XM_059740343.1.p1
OG0000020	NM_001333052.1.p1, NM_121001.2.p1	XM_002283377.5.p1
OG0000021	NM_111666.4.p1	XM_002279086.4.p1
OG0000021	NM_113293.5.p1	XM_002280388.4.p1
OG0000021	NM_111499.4.p1	XM_010652150.1.p1
OG0000022	NM_001035956.2.p1, NM_101102.3.p1, NM_101132.2.p1, NM_001338589.1.p1, NM_113146.2.p1, NM_001332043.1.p1, NM_001332042.1.p1, NM_001334168.1.p1, NM_001198380.2.p1, NM_001341830.1.p1, NM_112544.3.p1, NM_123482.3.p1, NM_001344390.1.p1, NM_121670.4.p1, NM_105133.2.p1, NM_104949.2.p1, NM_001334048.1.p1, NM_104945.3.p1, NM_001198366.2.p1, NM_001334047.1.p1, NM_105019.2.p1, NM_104969.4.p1, NM_104991.3.p1, NM_001334065.1.p1, NM_104986.3.p1, NM_104971.3.p1, NM_104985.1.p1, NM_001331633.1.p1, NM_100537.4.p1	XM_059736887.1.p1
OG0000022	NM_118814.3.p1	XM_002275644.5.p1
OG0000024	NM_101717.3.p1, NM_106069.3.p1, NM_106070.2.p1	XM_059734990.1.p1
OG0000024	NM_120782.4.p1, NM_120783.4.p1	XM_002265827.5.p1, XM_002265101.4.p1
OG0000027	NM_001344543.1.p1, NM_118204.2.p1	XM_019222760.2.p1
OG0000027	NM_001332928.1.p1, NM_129032.5.p1, NM_123807.4.p1, NM_001344544.1.p1, NM_123806.3.p1	XM_002268325.4.p1
OG0000027	NM_202851.1.p1, NM_118201.3.p1, NM_118202.2.p1, NM_101049.3.p1	XM_002270103.5.p1, XM_059735706.1.p1, XM_059740256.1.p1
OG0000027	NM_102403.3.p1, NM_102402.4.p1, NM_102405.3.p1, NM_102404.1.p1, NM_102406.3.p1, NM_118198.2.p1, NM_102807.4.p1, NM_103181.2.p1	XM_002275009.1.p1
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1	XM_003635596.3.p1, XM_010648897.1.p1, XM_059736603.1.p1, XM_059736602.1.p1, XM_019218685.2.p1, XM_010648898.1.p1, XM_010648899.2.p1
OG0000028	NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_019218822.1.p1, XM_002281691.1.p1, XM_002281679.3.p1, XM_002281713.4.p1, XM_002281701.3.p1, XM_002278896.3.p1, XM_002281656.1.p1, XM_019218823.2.p1, XM_002281616.4.p1, XM_002281646.2.p1, XM_002268716.3.p1, XM_010661809.3.p1
OG0000029	NM_103903.2.p1	XM_002271847.5.p1, XM_059741500.1.p1, XM_059741499.1.p1, XM_059741458.1.p1, XM_059741459.1.p1, XM_059742041.1.p1, XM_019224484.2.p1, XM_010659975.3.p1
OG0000029	NM_001331942.1.p1, NM_001331943.1.p1, NM_001333589.1.p1, NM_122936.5.p1, NM_001344104.1.p1, NM_001344486.1.p1, NM_001344485.1.p1, NM_001344784.1.p1, NM_001344785.1.p1, NM_124238.4.p1, NM_001344782.1.p1, NM_001198336.2.p1, NM_148606.3.p1, NM_001333846.1.p1, NM_001124043.2.p1, NM_001084273.3.p1, NM_001333832.1.p1, NM_001333831.1.p1, NM_001333836.1.p1, NM_001333835.1.p1, NM_001333830.1.p1, NM_001333859.1.p1, NM_001333858.1.p1, NM_001333867.1.p1	XM_019222039.2.p1, XM_059739583.1.p1
OG0000029	NM_114540.2.p1, NM_114538.2.p1, NM_114520.3.p1	XM_010648973.3.p1, XM_019218809.2.p1, XR_002029659.2.p1, XM_010649407.1.p1, XM_019218929.2.p1, XM_059735717.1.p1, XM_059735715.1.p1, XM_019218927.2.p1, XM_019218814.1.p1, XM_059735750.1.p1, XM_059735753.1.p1, XM_019225543.1.p1, XM_019225574.1.p1, XM_019225575.1.p1, XM_002265205.4.p1, XM_019225695.2.p1, XM_019225570.1.p1, XM_010663477.3.p1, XM_059743236.1.p1, XM_010663479.3.p1, XM_059743199.1.p1, XM_059743200.1.p1, XM_010663690.2.p1, XM_010663161.2.p1, XM_059743029.1.p1, XM_002273940.3.p1, XM_059743022.1.p1, XM_003633841.1.p1, XM_010662978.1.p1, XM_059743019.1.p1, XM_059743020.1.p1, XM_059743018.1.p1, XM_019225705.2.p1, XM_010665214.3.p1, XM_010665212.3.p1, XM_059740293.1.p1
OG0000030	NM_001331563.1.p1, NM_100450.3.p1, NM_127476.2.p1, NM_119145.3.p1, NM_001341987.1.p1, NM_127480.4.p1, NM_127478.1.p1, NM_001333503.1.p1, NM_001333519.1.p1, NM_001333518.1.p1, NM_104069.3.p1, NM_001333517.1.p1, NM_001333516.1.p1, NM_104071.3.p1, NM_104068.3.p1, NM_001333515.1.p1, NM_104066.2.p1, NM_104067.1.p1, NM_001333513.1.p1, NM_104059.3.p1	XM_059739826.1.p1, XM_059739825.1.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1	XM_010662103.3.p1, XM_010662100.3.p1, XM_010662101.3.p1, XM_010662102.3.p1
OG0000032	NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1	XM_059734069.1.p1, XM_010665313.3.p1, XM_010665314.3.p1
