Orthogroup	Arabidopsis_thaliana_rna_prot	Solanum_tuberosum_rna_prot
OG0000000	NR_143404.1.p1, NR_143405.1.p1, NR_143403.1.p1, NR_143402.1.p1	XM_015303539.1.p1
OG0000000	NM_001341577.1.p1	XM_015308583.1.p1
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	XM_006363385.1.p1, XM_015304150.1.p1, XM_015303846.1.p1, XM_006348745.2.p1, XM_015304152.1.p1, XM_015304159.1.p1, XM_015311587.1.p1, XM_015311588.1.p1, XM_015304155.1.p1, XM_015311512.1.p1, XM_006364811.2.p1, XM_015311601.1.p1, XM_015311602.1.p1, XM_006364804.2.p1, XM_015304151.1.p1, XM_006364809.2.p1, XM_006354008.2.p1, XM_015313375.1.p1, XM_015311604.1.p1, XM_006362022.2.p1
OG0000004	NM_103454.1.p1	XM_015307160.1.p1, XM_015310823.1.p1, XM_015310791.1.p1, XM_015313179.1.p1, XM_015314523.1.p1
OG0000006	NM_114576.2.p1, NM_114626.3.p1, NM_114625.3.p1	XM_015310526.1.p1, XM_015306254.1.p1, XM_015305703.1.p1, XM_006350856.2.p1
OG0000009	NM_001336095.1.p1, NM_128243.5.p1, NM_125454.3.p1, NM_001345213.1.p1, NM_001345212.1.p1, NM_125052.1.p1, NM_001198313.2.p1, NM_104442.1.p1, NM_178940.1.p1, NM_001340990.1.p1, NM_117593.3.p1, NM_148325.2.p1, NM_125024.1.p1, NM_125691.1.p1, NM_001035786.3.p1, NM_117110.5.p1, NM_001340663.1.p1, NM_001084898.2.p1, NM_117109.1.p1, NM_001340642.1.p1, NM_001340640.1.p1, NM_001340639.1.p1, NM_148060.3.p1, NM_123218.2.p1, NM_001344258.1.p1, NM_123220.3.p1, NM_203132.2.p1, NM_001344257.1.p1, NM_121175.1.p1	XM_015309025.1.p1, XM_015309026.1.p1, XM_015307841.1.p1, XM_006366066.2.p1, XM_015305996.1.p1, XM_015306046.1.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_006357799.2.p1, XM_015306260.1.p1, XM_006353761.2.p1, XM_006353760.2.p1, XM_006353759.2.p1, XM_006357777.2.p1, XM_006344246.2.p1, XM_006344241.2.p1, XM_015307225.1.p1, XM_015307262.1.p1, XM_006344243.2.p1, XM_015307264.1.p1, XM_015307263.1.p1, XM_015314812.1.p1, XM_006360406.2.p1
OG0000016	NM_118863.5.p1, NM_001341844.1.p1	XM_015310031.1.p1, XM_006356837.2.p1, XM_006360055.2.p1, XM_015314675.1.p1, XM_006360056.2.p1, XM_006363451.2.p1, XM_006356756.2.p1, XM_006356757.2.p1, XM_006356758.2.p1, XM_006356760.2.p1, XM_015313116.1.p1, XM_015313114.1.p1, XM_015313117.1.p1, XM_015313120.1.p1, XM_015313119.1.p1, XM_015303233.1.p1, XM_006360054.2.p1
OG0000016	NM_118258.3.p1, NM_001334222.1.p1, NM_001334221.1.p1, NM_001341478.1.p1, NM_112034.3.p1, NM_105253.2.p1, NM_105252.2.p1	XM_015306933.1.p1
OG0000017	NM_126953.4.p1	XM_015310673.1.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1	XM_015304634.1.p1, XM_015304633.1.p1, XM_015309046.1.p1
OG0000018	NM_116759.3.p1, NM_118446.3.p1, NM_118452.4.p1, NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1, NM_118447.3.p1, NM_001341579.1.p1, NM_114455.2.p1, NM_118460.2.p1, NM_001341598.1.p1, NM_001341575.1.p1, NM_179094.3.p1, NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	XM_006343346.2.p1, XM_006366355.2.p1
OG0000020	NM_001337980.1.p1, NM_001337982.1.p1, NM_001337983.1.p1, NM_112058.4.p1, NM_112059.2.p1, NM_112060.3.p1, NM_127866.3.p1, NM_001161057.2.p1, NM_201787.2.p1, NM_179703.2.p1, NM_127865.3.p1, NM_001335834.1.p1, NM_127862.4.p1, NM_001335831.1.p1, NM_127857.5.p1, NM_179702.1.p1, NM_001335827.1.p1, NM_127863.5.p1, NM_001335832.1.p1, NM_001335833.1.p1, NM_001036325.3.p1, NM_111880.5.p1, NM_001337877.1.p1, NM_001035592.2.p1, NM_001337876.1.p1, NM_001334576.1.p1, NM_105987.1.p1, NM_001334583.1.p1, NM_123009.4.p1, NM_001344130.1.p1, NM_001344131.1.p1, NM_001344129.1.p1, NM_001334579.1.p1, NM_001334578.1.p1, NM_001334584.1.p1, NM_105990.2.p1, NM_001334580.1.p1, NM_001334582.1.p1, NM_001334581.1.p1, NM_001334577.1.p1	XM_015306668.1.p1, XM_015306637.1.p1, XM_015306667.1.p1, XM_015306666.1.p1, XM_006343098.2.p1, XR_001472964.1.p1, XM_015307909.1.p1, XM_015313132.1.p1, XM_015313130.1.p1, XM_015313131.1.p1, XM_015313129.1.p1, XM_015312282.1.p1
