Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Colletotrichum_gloeosporioides_rna_prot
OG0000000	XM_001593612.1.p1	XM_045411131.1.p1
OG0000000	XM_001587566.1.p1	XM_045400547.1.p1
OG0000000	XM_001591185.1.p1	XM_045407150.1.p1
OG0000000	XM_001595534.1.p1	XM_045407978.1.p1
OG0000000	XM_001598353.1.p1	XM_045412212.1.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	XM_045410379.1.p1
OG0000000	XM_001587932.1.p1	XM_045410661.1.p1
OG0000000	XM_001585050.1.p1	XM_045401229.1.p1
OG0000000	XM_001586612.1.p1	XM_045412533.1.p1
OG0000000	XM_001586073.1.p1	XM_045407578.1.p1, XM_045407046.1.p1
OG0000000	XM_001595288.1.p1	XM_045402590.1.p1, XM_045414886.1.p1
OG0000001	XM_001594515.1.p1	XM_045412665.1.p1
OG0000001	XM_001592821.1.p1	XM_045414134.1.p1, XM_045403404.1.p1
OG0000001	XM_001590837.1.p1	XM_045408410.1.p1
OG0000001	XM_001589209.1.p1, XM_001589097.1.p1, XM_001589000.1.p1	XM_045408069.1.p1
OG0000001	XM_001585670.1.p1	XM_045407497.1.p1, XM_045405737.1.p1, XM_045409725.1.p1
OG0000001	XM_001596903.1.p1	XM_045403263.1.p1, XM_045405337.1.p1
OG0000001	XM_001596026.1.p1	XM_045402718.1.p1
OG0000001	XM_001586840.1.p1	XM_045411665.1.p1, XM_045404398.1.p1
OG0000001	XM_001591868.1.p1	XM_045407729.1.p1, XM_045413373.1.p1
OG0000001	XM_001586869.1.p1	XM_045410373.1.p1
OG0000001	XM_001588558.1.p1	XM_045402441.1.p1
OG0000001	XM_001588459.1.p1	XM_045406098.1.p1, XM_045402860.1.p1
OG0000001	XM_001594847.1.p1	XM_045402904.1.p1, XM_045406791.1.p1, XM_045413544.1.p1
OG0000002	XM_001598579.1.p1	XM_045401721.1.p1
OG0000002	XM_001594479.1.p1	XM_045409520.1.p1
OG0000002	XM_001594076.1.p1	XM_045400620.1.p1, XM_045407020.1.p1
OG0000002	XM_001592695.1.p1	XM_045400223.1.p1
OG0000002	XM_001594265.1.p1	XM_045402935.1.p1
OG0000002	XM_001585353.1.p1	XM_045403081.1.p1
OG0000002	XM_001587049.1.p1	XM_045400369.1.p1, XM_045408500.1.p1
OG0000002	XM_001585463.1.p1	XM_045414103.1.p1
OG0000002	XM_001586214.1.p1	XM_045410585.1.p1
OG0000002	XM_001589076.1.p1	XM_045412502.1.p1
OG0000002	XM_001592371.1.p1, XM_001598197.1.p1	XM_045407060.1.p1, XM_045402669.1.p1
OG0000002	XM_001584996.1.p1	XM_045413386.1.p1, XM_045415232.1.p1, XM_045405515.1.p1, XM_045403138.1.p1, XM_045414081.1.p1, XM_045408655.1.p1, XM_045409084.1.p1
OG0000002	XM_001592631.1.p1	XM_045401327.1.p1
OG0000002	XM_001584832.1.p1	XM_045405307.1.p1
OG0000002	XM_001598780.1.p1	XM_045413239.1.p1
OG0000002	XM_001595296.1.p1	XM_045403933.1.p1
OG0000002	XM_001596924.1.p1, XM_001596092.1.p1	XM_045409095.1.p1, XM_045410028.1.p1
OG0000003	XM_001597102.1.p1	XM_045401986.1.p1
OG0000003	XM_001598505.1.p1	XM_045406024.1.p1
OG0000003	XM_001594017.1.p1	XM_045408498.1.p1
OG0000003	XM_001592856.1.p1	XM_045401490.1.p1
OG0000003	XM_001593713.1.p1	XM_045411213.1.p1
OG0000003	XM_001592033.1.p1	XM_045411023.1.p1, XM_045405299.1.p1, XM_045411057.1.p1, XM_045403668.1.p1, XM_045405546.1.p1, XM_045412707.1.p1, XM_045410684.1.p1, XM_045407213.1.p1, XM_045407477.1.p1, XM_045412142.1.p1
OG0000003	XM_001596719.1.p1	XM_045408196.1.p1
OG0000004	XM_001592712.1.p1, XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1, XM_001598793.1.p1	XM_045408343.1.p1
OG0000005	XM_001598240.1.p1	XM_045405488.1.p1, XM_045403326.1.p1, XM_045406782.1.p1
OG0000005	XM_001585262.1.p1	XM_045400357.1.p1, XM_045413044.1.p1, XM_045403934.1.p1, XM_045407209.1.p1, XM_045410252.1.p1, XM_045413808.1.p1, XM_045413828.1.p1
OG0000005	XM_001586851.1.p1	XM_045406487.1.p1, XM_045401354.1.p1, XM_045400698.1.p1, XM_045415442.1.p1
OG0000005	XM_001597228.1.p1	XM_045406840.1.p1, XM_045409352.1.p1, XM_045406948.1.p1, XM_045415233.1.p1, XM_045404307.1.p1, XM_045409635.1.p1, XM_045402110.1.p1
OG0000005	XM_001584813.1.p1	XM_045410354.1.p1
OG0000005	XM_001588834.1.p1	XM_045401060.1.p1, XM_045414554.1.p1, XM_045403488.1.p1, XM_045407445.1.p1, XM_045408269.1.p1
OG0000005	XM_001594565.1.p1	XM_045404672.1.p1
OG0000005	XM_001589933.1.p1	XM_045415443.1.p1, XM_045403879.1.p1
OG0000005	XM_001586774.1.p1	XM_045403124.1.p1, XM_045413208.1.p1, XM_045409098.1.p1, XM_045403698.1.p1
OG0000005	XM_001584622.1.p1	XM_045404743.1.p1
OG0000005	XM_001585072.1.p1	XM_045406423.1.p1
OG0000006	XM_001596808.1.p1	XM_045414202.1.p1, XM_045410214.1.p1
OG0000006	XM_001588863.1.p1	XM_045411835.1.p1, XM_045406204.1.p1, XM_045408441.1.p1
OG0000006	XM_001592785.1.p1	XM_045404184.1.p1
OG0000006	XM_001586702.1.p1	XM_045411985.1.p1
OG0000006	XM_001588137.1.p1	XM_045412539.1.p1
OG0000006	XM_001587520.1.p1	XM_045408388.1.p1
OG0000006	XM_001584562.1.p1	XM_045405465.1.p1, XM_045406872.1.p1
OG0000006	XM_001584772.1.p1	XM_045407007.1.p1
OG0000006	XM_001591073.1.p1	XM_045407085.1.p1
OG0000006	XM_001597248.1.p1	XM_045414066.1.p1
OG0000007	XM_001591636.1.p1	XM_045409786.1.p1
OG0000007	XM_001587063.1.p1	XM_045403595.1.p1, XM_045410112.1.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1	XM_045414290.1.p1, XM_045407974.1.p1, XM_045413780.1.p1
OG0000007	XM_001590167.1.p1	XM_045401285.1.p1
OG0000007	XM_001592113.1.p1	XM_045412314.1.p1
OG0000007	XM_001594740.1.p1	XM_045414853.1.p1
OG0000007	XM_001597058.1.p1	XM_045401511.1.p1
OG0000007	XM_001593364.1.p1	XM_045405576.1.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1	XM_045411780.1.p1
OG0000007	XM_001593251.1.p1	XM_045400187.1.p1
OG0000008	XM_001591041.1.p1	XM_045405136.1.p1, XM_045400360.1.p1, XM_045411270.1.p1
OG0000008	XM_001595644.1.p1	XM_045403244.1.p1
OG0000008	XM_001596095.1.p1	XM_045407092.1.p1, XM_045401425.1.p1
OG0000008	XM_001590874.1.p1, XM_001587361.1.p1, XM_001595457.1.p1, XM_001585175.1.p1	XM_045402792.1.p1
OG0000008	XM_001591599.1.p1	XM_045413744.1.p1, XM_045413248.1.p1, XM_045409837.1.p1, XM_045407746.1.p1
OG0000008	XM_001591200.1.p1, XM_001595300.1.p1, XM_001589676.1.p1	XM_045405354.1.p1
OG0000008	XM_001592284.1.p1	XM_045415171.1.p1
OG0000008	XM_001589064.1.p1	XM_045405977.1.p1
OG0000009	XM_001595645.1.p1	XM_045400342.1.p1
OG0000009	XM_001591183.1.p1	XM_045412745.1.p1
OG0000009	XM_001587232.1.p1	XM_045403592.1.p1, XM_045408490.1.p1, XM_045402588.1.p1
OG0000009	XM_001584955.1.p1	XM_045408122.1.p1
OG0000010	XM_001587851.1.p1	XM_045410050.1.p1, XM_045412994.1.p1, XM_045412759.1.p1, XM_045405582.1.p1, XM_045409323.1.p1, XM_045405204.1.p1, XM_045414283.1.p1, XM_045406522.1.p1, XM_045410305.1.p1, XM_045401858.1.p1, XM_045405670.1.p1
OG0000010	XM_001589139.1.p1	XM_045414158.1.p1, XM_045413899.1.p1, XM_045401240.1.p1
OG0000010	XM_001597412.1.p1	XM_045412330.1.p1, XM_045409196.1.p1
OG0000010	XM_001590585.1.p1	XM_045412750.1.p1
OG0000010	XM_001592407.1.p1	XM_045414567.1.p1
OG0000010	XM_001598213.1.p1	XM_045407202.1.p1
OG0000011	XM_001598486.1.p1	XM_045400900.1.p1
OG0000011	XM_001589489.1.p1	XM_045402612.1.p1
OG0000011	XM_001587898.1.p1, XM_001589484.1.p1	XM_045400275.1.p1
OG0000011	XM_001593858.1.p1	XM_045408354.1.p1
OG0000011	XM_001585940.1.p1	XM_045407602.1.p1
OG0000011	XM_001591956.1.p1	XM_045406723.1.p1
OG0000012	XM_001586083.1.p1	XM_045400789.1.p1, XM_045406857.1.p1
OG0000012	XM_001586566.1.p1	XM_045403217.1.p1, XM_045413320.1.p1
OG0000013	XM_001598880.1.p1	XM_045415017.1.p1, XM_045412236.1.p1, XM_045411478.1.p1
OG0000013	XM_001588453.1.p1	XM_045408294.1.p1, XM_045412737.1.p1, XM_045407180.1.p1, XM_045402483.1.p1
OG0000013	XM_001593161.1.p1	XM_045412777.1.p1
OG0000014	XM_001588020.1.p1	XM_045406954.1.p1
OG0000014	XM_001592509.1.p1	XM_045402591.1.p1
OG0000014	XM_001592890.1.p1	XM_045408439.1.p1
OG0000014	XM_001596332.1.p1	XM_045410337.1.p1, XM_045406387.1.p1
OG0000014	XM_001596474.1.p1	XM_045414221.1.p1, XM_045400518.1.p1, XM_045412715.1.p1, XM_045405596.1.p1, XM_045407205.1.p1, XM_045409560.1.p1, XM_045408471.1.p1, XM_045408372.1.p1, XM_045406415.1.p1, XM_045414397.1.p1, XM_045408219.1.p1, XM_045405593.1.p1, XM_045409798.1.p1, XM_045403236.1.p1
OG0000014	XM_001596618.1.p1	XM_045412743.1.p1, XM_045402566.1.p1
OG0000014	XM_001596813.1.p1	XM_045412816.1.p1, XM_045414277.1.p1, XM_045400663.1.p1
OG0000014	XM_001598931.1.p1	XM_045412188.1.p1
OG0000014	XM_001591676.1.p1, XM_001593335.1.p1, XM_001595749.1.p1	XM_045400309.1.p1
OG0000015	XM_001596690.1.p1	XM_045413088.1.p1, XM_045403811.1.p1
OG0000015	XM_001590767.1.p1	XM_045408448.1.p1, XM_045403412.1.p1
OG0000015	XM_001597136.1.p1	XM_045409937.1.p1
OG0000015	XM_001590640.1.p1	XM_045400747.1.p1
OG0000015	XM_001587535.1.p1	XM_045405938.1.p1, XM_045401861.1.p1
OG0000015	XM_001586348.1.p1	XM_045413325.1.p1
OG0000015	XM_001596393.1.p1	XM_045404838.1.p1
OG0000015	XM_001596760.1.p1	XM_045407231.1.p1, XM_045403036.1.p1, XM_045412620.1.p1
OG0000016	XM_001590858.1.p1	XM_045407811.1.p1
OG0000016	XM_001588252.1.p1	XM_045414981.1.p1, XM_045410114.1.p1
OG0000016	XM_001597259.1.p1	XM_045406182.1.p1
OG0000016	XM_001593310.1.p1	XM_045413116.1.p1
OG0000016	XM_001591158.1.p1	XM_045409004.1.p1, XM_045411006.1.p1, XM_045406123.1.p1, XM_045412309.1.p1, XM_045400759.1.p1, XM_045408405.1.p1
OG0000018	XM_001585047.1.p1	XM_045408980.1.p1
OG0000018	XM_001589923.1.p1, XM_001584504.1.p1	XM_045404346.1.p1, XM_045414260.1.p1
OG0000018	XM_001589463.1.p1	XM_045408648.1.p1, XM_045407430.1.p1
OG0000018	XM_001593239.1.p1	XM_045414571.1.p1
OG0000018	XM_001592971.1.p1	XM_045413498.1.p1, XM_045407004.1.p1, XM_045403143.1.p1, XM_045408292.1.p1, XM_045400177.1.p1, XM_045407229.1.p1
OG0000018	XM_001593916.1.p1	XM_045413505.1.p1
OG0000018	XM_001584503.1.p1, XM_001588213.1.p1	XM_045401082.1.p1
OG0000018	XM_001591684.1.p1	XM_045402794.1.p1
OG0000019	XM_001594911.1.p1	XM_045408556.1.p1
OG0000019	XM_001586682.1.p1	XM_045408247.1.p1
OG0000019	XM_001591415.1.p1	XM_045407869.1.p1, XM_045400625.1.p1, XM_045403977.1.p1
OG0000020	XM_001590645.1.p1	XM_045409577.1.p1, XM_045410428.1.p1
OG0000020	XM_001590818.1.p1	XM_045413189.1.p1
OG0000020	XM_001584630.1.p1	XM_045405004.1.p1
OG0000020	XM_001587118.1.p1	XM_045405365.1.p1
OG0000020	XM_001592517.1.p1	XM_045408357.1.p1
OG0000021	XM_001597592.1.p1, XM_001584827.1.p1	XM_045411168.1.p1
OG0000021	XM_001584825.1.p1, XM_001596768.1.p1	XM_045411055.1.p1, XM_045402932.1.p1
OG0000021	XM_001589138.1.p1	XM_045406990.1.p1, XM_045411655.1.p1
OG0000021	XM_001590703.1.p1	XM_045413359.1.p1
OG0000021	XM_001590981.1.p1	XM_045411767.1.p1
OG0000021	XM_001589480.1.p1	XM_045405384.1.p1, XM_045414197.1.p1
OG0000022	XM_001589766.1.p1	XM_045414748.1.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1	XM_045405839.1.p1
OG0000022	XM_001589348.1.p1	XM_045404850.1.p1
OG0000022	XM_001587680.1.p1, XM_001593008.1.p1	XM_045405446.1.p1
OG0000023	XM_001595615.1.p1	XM_045408671.1.p1, XM_045404447.1.p1
OG0000023	XM_001585831.1.p1	XM_045410593.1.p1, XM_045406968.1.p1, XM_045410424.1.p1, XM_045403218.1.p1, XM_045403845.1.p1, XM_045409478.1.p1
OG0000023	XM_001592654.1.p1, XM_001587468.1.p1, XM_001584499.1.p1, XM_001591377.1.p1, XM_001585807.1.p1, XM_001584498.1.p1, XM_001594049.1.p1, XM_001590155.1.p1	XM_045400347.1.p1, XM_045406380.1.p1
OG0000023	XM_001592564.1.p1	XM_045405778.1.p1
OG0000023	XM_001596222.1.p1	XM_045405361.1.p1
OG0000023	XM_001591308.1.p1, XM_001594053.1.p1, XM_001590160.1.p1, XM_001594008.1.p1, XM_001591654.1.p1	XM_045414170.1.p1, XM_045401179.1.p1
OG0000025	XM_001597796.1.p1	XM_045414287.1.p1
OG0000025	XM_001594625.1.p1	XM_045414860.1.p1
OG0000025	XM_001592424.1.p1	XM_045405216.1.p1
OG0000025	XM_001585370.1.p1	XM_045408768.1.p1
OG0000026	XM_001585572.1.p1	XM_045400504.1.p1
OG0000026	XM_001588953.1.p1	XM_045413402.1.p1
OG0000026	XM_001594416.1.p1	XM_045404027.1.p1, XM_045411735.1.p1, XM_045412616.1.p1, XM_045404883.1.p1
OG0000027	XM_001584646.1.p1	XM_045407164.1.p1
OG0000027	XM_001596426.1.p1	XM_045412720.1.p1
OG0000027	XM_001594266.1.p1	XM_045401130.1.p1, XM_045406474.1.p1
OG0000027	XM_001594817.1.p1	XM_045412663.1.p1, XM_045409674.1.p1, XM_045402292.1.p1
OG0000029	XM_001592449.1.p1	XM_045405908.1.p1
OG0000029	XM_001588471.1.p1	XM_045415034.1.p1
OG0000029	XM_001589831.1.p1	XM_045407945.1.p1
OG0000029	XM_001590306.1.p1	XM_045406785.1.p1
OG0000030	XM_001591271.1.p1	XM_045413087.1.p1, XM_045408171.1.p1, XM_045413051.1.p1, XM_045408124.1.p1, XM_045401326.1.p1
OG0000030	XM_001589467.1.p1, XM_001589863.1.p1	XM_045405434.1.p1, XM_045412768.1.p1
OG0000031	XM_001589524.1.p1	XM_045404567.1.p1, XM_045411281.1.p1
OG0000031	XM_001587417.1.p1	XM_045409264.1.p1
OG0000032	XM_001588011.1.p1	XM_045409997.1.p1
OG0000032	XM_001587657.1.p1	XM_045403098.1.p1, XM_045404615.1.p1, XM_045402534.1.p1
OG0000032	XM_001592925.1.p1	XM_045412103.1.p1, XM_045413400.1.p1
OG0000032	XM_001593976.1.p1	XM_045402288.1.p1, XM_045403752.1.p1
OG0000032	XM_001598538.1.p1	XM_045412593.1.p1, XM_045403680.1.p1, XM_045408830.1.p1
OG0000033	XM_001597976.1.p1	XM_045401164.1.p1
OG0000033	XM_001588486.1.p1	XM_045414478.1.p1
