Orthogroup	Arabidopsis_thaliana_rna_prot	Citrus_sinensis_rna_prot
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	XM_052435969.1.p1, XM_015525771.1.p1, XM_052434041.1.p1, XM_006494530.4.p1, XM_052434572.1.p1, XM_052434571.1.p1, XM_052435128.1.p1, XM_052435129.1.p1, XM_052439803.1.p1, XM_052439793.1.p1, XM_052439792.1.p1, XM_025097617.2.p1, XM_025097615.2.p1, XM_052439379.1.p1, XM_052443423.1.p1, XM_015531091.3.p1, XM_015531082.3.p1, XM_052443431.1.p1, XM_015531078.3.p1, XM_052443428.1.p1, XM_052443429.1.p1, XM_025100068.2.p1, XM_052443421.1.p1, XM_052443425.1.p1, XM_025100070.2.p1, XM_052434829.1.p1, XM_052434828.1.p1, XM_052434830.1.p1, XM_052434549.1.p1, XM_052434827.1.p1, XM_015525341.3.p1, XM_052437584.1.p1, XM_052437587.1.p1, XM_052437586.1.p1, XM_052435960.1.p1, XM_052436398.1.p1, XM_052437598.1.p1, XM_052434426.1.p1, XM_006492695.4.p1, XM_052436557.1.p1, XM_006493089.2.p1, XM_052435872.1.p1, XM_052435871.1.p1, XM_006475281.4.p1, XM_006475280.4.p1, XM_052431678.1.p1, XM_006493763.4.p1, XM_006481480.4.p1, XM_015531406.3.p1, XM_006494269.4.p1, XM_006494835.4.p1, XM_006464822.4.p1, XM_006489718.4.p1, XM_006472549.4.p1, XM_052433152.1.p1, XM_006490070.4.p1
OG0000009	NM_125027.1.p1, NM_001345199.1.p1, NM_125020.5.p1, NM_001345197.1.p1, NM_001344885.1.p1, NM_001333006.1.p1, NM_125022.1.p1, NM_148138.2.p1, NM_001345198.1.p1, NM_125021.4.p1, NM_118768.1.p1, NM_118767.3.p1, NM_001333686.1.p1, NM_115129.1.p1, NM_115012.4.p1, NM_114762.1.p1, NM_001203107.1.p1, NM_126458.5.p1, NM_001339395.1.p1, NM_114761.1.p1, NM_116233.2.p1, NM_001339582.1.p1, NM_148317.5.p1, NM_001338845.1.p1, NM_001338843.1.p1, NM_125023.2.p1, NM_001085288.2.p1, NM_114931.2.p1, NM_125065.2.p1, NM_125064.2.p1, NM_001345217.1.p1	XM_006474340.4.p1, XM_006474339.4.p1, XR_008051920.1.p1, XM_006481152.4.p1, XM_052436667.1.p1, XM_052436668.1.p1, XM_015531220.3.p1, XM_006467123.4.p1, XM_052443215.1.p1, XM_052443214.1.p1, XM_052443213.1.p1, XM_052434102.1.p1
OG0000009	NM_001336095.1.p1, NM_128243.5.p1, NM_125454.3.p1, NM_001345213.1.p1, NM_001345212.1.p1, NM_125052.1.p1, NM_001198313.2.p1, NM_104442.1.p1, NM_178940.1.p1, NM_001340990.1.p1, NM_117593.3.p1, NM_148325.2.p1, NM_125024.1.p1, NM_125691.1.p1, NM_001035786.3.p1, NM_117110.5.p1, NM_001340663.1.p1, NM_001084898.2.p1, NM_117109.1.p1, NM_001340642.1.p1, NM_001340640.1.p1, NM_001340639.1.p1, NM_148060.3.p1, NM_123218.2.p1, NM_001344258.1.p1, NM_123220.3.p1, NM_203132.2.p1, NM_001344257.1.p1, NM_121175.1.p1	XM_006470220.4.p1, XM_006470221.4.p1, XM_006470219.4.p1, XM_006479094.4.p1, XM_015530532.3.p1, XM_006478743.4.p1, XM_025093745.2.p1, XM_025093744.2.p1, XR_008051627.1.p1, XR_008051629.1.p1, XR_008051628.1.p1, XM_052433274.1.p1, XM_025093749.2.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_052443811.1.p1, XM_052438315.1.p1, XM_052438017.1.p1, XM_052438314.1.p1, XM_052435701.1.p1, XM_006477727.3.p1, XM_052443235.1.p1, XM_052443810.1.p1, XM_006482160.4.p1, XM_015531520.3.p1, XM_006468681.3.p1, XM_052435068.1.p1, XM_006468680.4.p1
OG0000016	NM_118258.3.p1, NM_001334222.1.p1, NM_001334221.1.p1, NM_001341478.1.p1, NM_112034.3.p1, NM_105253.2.p1, NM_105252.2.p1	XM_052434811.1.p1
OG0000017	NM_126953.4.p1	XM_006492063.2.p1, XM_052431344.1.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1	XM_025094880.2.p1, XM_025094879.2.p1, XM_006467898.4.p1
OG0000018	NM_116759.3.p1, NM_118446.3.p1, NM_118452.4.p1, NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1, NM_118447.3.p1, NM_001341579.1.p1, NM_114455.2.p1, NM_118460.2.p1, NM_001341598.1.p1, NM_001341575.1.p1, NM_179094.3.p1, NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	XM_052442485.1.p1, XM_052442484.1.p1, XM_052442489.1.p1, XM_052442491.1.p1, XM_052434654.1.p1
OG0000020	NM_121001.2.p1	XM_052441714.1.p1, XR_008054852.1.p1, XM_006472259.4.p1, XM_052441713.1.p1, XM_006472252.4.p1
OG0000021	NM_111666.4.p1	XM_015527510.3.p1, XM_015527511.3.p1, XM_015527512.3.p1, XM_015527509.3.p1
