Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Aedes_aegypti_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_021839450.1.p1, XM_021839457.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_021840591.1.p1, XM_001660208.2.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_021850968.1.p1, XM_021850964.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_021842281.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_021856011.1.p1, XM_021856019.1.p1, XM_021856023.1.p1
OG0000000	gnl|WGS_AAJJ|TC031038-RA.p1	XM_001660210.2.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_021844286.1.p1, XM_021844291.1.p1, XM_021844289.1.p1, XM_021844288.1.p1, XM_021844285.1.p1, XM_021844287.1.p1, XM_021844284.1.p1, XM_001659775.2.p1, XM_001659779.2.p1, XM_001659777.2.p1, XM_021844281.1.p1, XM_021844283.1.p1, XM_021844282.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_021846484.1.p1, XM_021846441.1.p1, XM_021846453.1.p1, XM_021846491.1.p1, XM_021846479.1.p1, XM_021846534.1.p1, XM_021846402.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_021850357.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_001659170.2.p1, XM_021850697.1.p1, XM_021850723.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_001654342.2.p1
