Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Culex_quinquefasciatus_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_038260739.1.p1, XM_038260784.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_038266131.1.p1, XM_038266132.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_038258624.1.p1, XM_038258622.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_038266096.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_038248458.1.p1, XM_038248461.1.p1
OG0000000	gnl|WGS_AAJJ|TC031038-RA.p1	XM_038261612.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_038261990.1.p1, XM_038261995.1.p1, XM_038261996.1.p1, XM_038261994.1.p1, XM_038261993.1.p1, XM_038261991.1.p1, XM_038261992.1.p1, XM_038261989.1.p1, XM_038261987.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_038266500.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_038263708.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_038250018.1.p1, XM_038250038.1.p1, XM_038250028.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_001846603.2.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_038257448.1.p1, XM_038257443.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_038258430.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_001855903.2.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_038256411.1.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_038260051.1.p1, XM_038260050.1.p1
OG0000001	gnl|WGS_AAJJ|TC016155-RA.p1	XR_005276504.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_038250544.1.p1, XM_038250287.1.p1, XM_038261208.1.p1, XM_038250717.1.p1, XM_038250803.1.p1, XM_038250780.1.p1, XM_038251101.1.p1, XM_038250812.1.p1, XM_038261012.1.p1
