Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Trichoderma_reesei_rna_prot
OG0000000	XM_001591185.1.p1	XM_006965040.1.p1
OG0000000	XM_001597027.1.p1, XM_001589120.1.p1	XM_006969236.1.p1
OG0000000	XM_001595534.1.p1	XM_006965922.1.p1
OG0000000	XM_001598353.1.p1	XM_006961745.1.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	XM_006962861.1.p1
OG0000000	XM_001587932.1.p1	XM_006961677.1.p1
OG0000000	XM_001586073.1.p1	XM_006964893.1.p1
OG0000000	XM_001595288.1.p1	XM_006968588.1.p1
OG0000001	XM_001589097.1.p1, XM_001589000.1.p1	XM_006969905.1.p1
OG0000001	XM_001585670.1.p1	XM_006963603.1.p1, XM_006967024.1.p1
OG0000001	XM_001596026.1.p1	XM_006966753.1.p1
OG0000001	XM_001591868.1.p1	XM_006961599.1.p1
OG0000001	XM_001586869.1.p1	XM_006963355.1.p1
OG0000001	XM_001588682.1.p1	XM_006968249.1.p1
OG0000001	XM_001593835.1.p1	XM_006965805.1.p1
OG0000001	XM_001588558.1.p1	XM_006968023.1.p1
OG0000001	XM_001592974.1.p1	XM_006962450.1.p1
OG0000001	XM_001594847.1.p1	XM_006965802.1.p1
OG0000002	XM_001598579.1.p1	XM_006964583.1.p1
OG0000002	XM_001587049.1.p1	XM_006966620.1.p1
OG0000002	XM_001592371.1.p1, XM_001598197.1.p1	XM_006966832.1.p1
OG0000002	XM_001584996.1.p1, XM_001592631.1.p1, XM_001584832.1.p1	XM_006969453.1.p1
OG0000002	XM_001598780.1.p1	XM_006961665.1.p1, XM_006966958.1.p1
OG0000002	XM_001595108.1.p1	XM_006967078.1.p1
OG0000002	XM_001596924.1.p1, XM_001596092.1.p1	XM_006962402.1.p1, XM_006967498.1.p1
OG0000003	XM_001598505.1.p1	XM_006967431.1.p1
OG0000003	XM_001593713.1.p1	XM_006965622.1.p1, XM_006966139.1.p1
OG0000003	XM_001592033.1.p1	XM_006969548.1.p1, XM_006968447.1.p1
OG0000003	XM_001596719.1.p1	XM_006964890.1.p1
OG0000005	XM_001598240.1.p1	XM_006965055.1.p1
OG0000005	XM_001597228.1.p1	XM_006969684.1.p1
OG0000005	XM_001588834.1.p1	XM_006966100.1.p1
OG0000005	XM_001589933.1.p1	XM_006960884.1.p1
OG0000005	XM_001586774.1.p1	XM_006963547.1.p1
OG0000005	XM_001584622.1.p1	XM_006962794.1.p1
