Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Pythium_ultimum_cds_prot
OG0000004	XM_001592712.1.p1, XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1, XM_001598793.1.p1	lcl|BBXB02000073.1_cds_GLE04637.1_13158.p1
OG0000004	XM_001590148.1.p1, XM_001589143.1.p1, XM_001595066.1.p1, XM_001593416.1.p1, XM_001591744.1.p1, XM_001595585.1.p1, XM_001593987.1.p1, XM_001595584.1.p1, XM_001593460.1.p1, XM_001598271.1.p1, XM_001594402.1.p1, XM_001584494.1.p1, XM_001589759.1.p1, XM_001593459.1.p1, XM_001592651.1.p1, XM_001592714.1.p1, XM_001592148.1.p1, XM_001595196.1.p1	lcl|BBXB02000074.1_cds_GLE04654.1_13175.p1
OG0000006	XM_001588352.1.p1, XM_001596808.1.p1, XM_001588863.1.p1, XM_001592785.1.p1, XM_001585971.1.p1, XM_001594656.1.p1, XM_001585309.1.p1, XM_001586702.1.p1, XM_001588137.1.p1, XM_001587520.1.p1, XM_001598725.1.p1, XM_001584562.1.p1, XM_001584772.1.p1, XM_001591073.1.p1, XM_001595264.1.p1, XM_001585666.1.p1, XM_001597248.1.p1	lcl|BBXB02000067.1_cds_GLE04169.1_12690.p1, lcl|BBXB02000239.1_cds_GLE07701.1_16222.p1
OG0000007	XM_001591636.1.p1, XM_001587063.1.p1, XM_001585431.1.p1, XM_001589416.1.p1, XM_001590167.1.p1, XM_001589522.1.p1, XM_001592113.1.p1, XM_001593529.1.p1, XM_001594740.1.p1, XM_001597058.1.p1, XM_001595440.1.p1, XM_001593364.1.p1, XM_001596573.1.p1, XM_001592329.1.p1, XM_001590635.1.p1, XM_001593051.1.p1, XM_001593978.1.p1, XM_001593251.1.p1	lcl|BBXB02000060.1_cds_GLE03420.1_11941.p1, lcl|BBXB02000060.1_cds_GLE03417.1_11938.p1, lcl|BBXB02000123.1_cds_GLE06557.1_15078.p1
OG0000011	XM_001593858.1.p1, XM_001585969.1.p1, XM_001595185.1.p1, XM_001587742.1.p1, XM_001585940.1.p1	lcl|BBXB02000396.1_cds_GLE09047.1_17568.p1, lcl|BBXB02000040.1_cds_GLE01066.1_9587.p1, lcl|BBXB02000040.1_cds_GLE01060.1_9581.p1, lcl|BBXB02000022.1_cds_GLD97969.1_6491.p1, lcl|BBXB02000016.1_cds_GLD96749.1_5271.p1, lcl|BBXB02000284.1_cds_GLE08117.1_16638.p1, lcl|BBXB02000579.1_cds_GLE10653.1_19174.p1, lcl|BBXB02000046.1_cds_GLE01742.1_10263.p1, lcl|BBXB02000023.1_cds_GLD98159.1_6681.p1, lcl|BBXB02000023.1_cds_GLD98161.1_6683.p1, lcl|BBXB02000050.1_cds_GLE02399.1_10920.p1, lcl|BBXB02000013.1_cds_GLD95912.1_4434.p1, lcl|BBXB02000013.1_cds_GLD95956.1_4478.p1, lcl|BBXB02000241.1_cds_GLE07736.1_16257.p1, lcl|BBXB02000013.1_cds_GLD95902.1_4424.p1, lcl|BBXB02000013.1_cds_GLD95908.1_4430.p1, lcl|BBXB02000005.1_cds_GLD93434.1_1956.p1, lcl|BBXB02000010.1_cds_GLD95144.1_3666.p1
OG0000011	XM_001591956.1.p1	lcl|BBXB02000036.1_cds_GLE00393.1_8914.p1, lcl|BBXB02000670.1_cds_GLE11295.1_19816.p1, lcl|BBXB02000036.1_cds_GLE00394.1_8915.p1
OG0000013	XM_001584703.1.p1, XM_001598880.1.p1, XM_001588453.1.p1	lcl|BBXB02000012.1_cds_GLD95662.1_4184.p1, lcl|BBXB02000063.1_cds_GLE03793.1_12314.p1, lcl|BBXB02000099.1_cds_GLE05934.1_14455.p1
OG0000013	XM_001593161.1.p1, XM_001596549.1.p1	lcl|BBXB02000074.1_cds_GLE04665.1_13186.p1, lcl|BBXB02000002.1_cds_GLD92083.1_605.p1, lcl|BBXB02000002.1_cds_GLD92027.1_549.p1, lcl|BBXB02000011.1_cds_GLD95469.1_3991.p1, lcl|BBXB02000011.1_cds_GLD95467.1_3989.p1, lcl|BBXB02000011.1_cds_GLD95468.1_3990.p1, lcl|BBXB02000003.1_cds_GLD92510.1_1032.p1, lcl|BBXB02000393.1_cds_GLE09027.1_17548.p1, lcl|BBXB02000003.1_cds_GLD92509.1_1031.p1, lcl|BBXB02000393.1_cds_GLE09025.1_17546.p1, lcl|BBXB02000003.1_cds_GLD92511.1_1033.p1, lcl|BBXB02000715.1_cds_GLE11530.1_20051.p1, lcl|BBXB02000003.1_cds_GLD92503.1_1025.p1
OG0000020	XM_001590645.1.p1, XM_001590818.1.p1, XM_001592000.1.p1, XM_001597565.1.p1, XM_001584630.1.p1, XM_001586311.1.p1, XM_001587118.1.p1, XM_001592706.1.p1, XM_001598591.1.p1, XM_001592517.1.p1	lcl|BBXB02000005.1_cds_GLD93452.1_1974.p1
OG0000022	XM_001589766.1.p1	lcl|BBXB02000002.1_cds_GLD92197.1_719.p1, lcl|BBXB02000002.1_cds_GLD92198.1_720.p1, lcl|BBXB02000119.1_cds_GLE06501.1_15022.p1, lcl|BBXB02000001.1_cds_GLD91791.1_313.p1, lcl|BBXB02000001.1_cds_GLD91790.1_312.p1, lcl|BBXB02000019.1_cds_GLD97370.1_5892.p1, lcl|BBXB02000059.1_cds_GLE03316.1_11837.p1, lcl|BBXB02000019.1_cds_GLD97369.1_5891.p1, lcl|BBXB02000034.1_cds_GLE00086.1_8607.p1, lcl|BBXB02000471.1_cds_GLE09738.1_18259.p1, lcl|BBXB02000036.1_cds_GLE00379.1_8900.p1, lcl|BBXB02000036.1_cds_GLE00349.1_8870.p1, lcl|BBXB02000036.1_cds_GLE00376.1_8897.p1, lcl|BBXB02000036.1_cds_GLE00377.1_8898.p1, lcl|BBXB02000031.1_cds_GLD99588.1_8110.p1, lcl|BBXB02000036.1_cds_GLE00375.1_8896.p1, lcl|BBXB02000045.1_cds_GLE01628.1_10149.p1, lcl|BBXB02000087.1_cds_GLE05492.1_14013.p1, lcl|BBXB02000045.1_cds_GLE01629.1_10150.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1, XM_001593129.1.p1, XM_001586689.1.p1, XM_001585536.1.p1, XM_001587388.1.p1, XM_001589348.1.p1, XM_001587680.1.p1, XM_001593008.1.p1, XM_001585002.1.p1	lcl|BBXB02000012.1_cds_GLD95553.1_4075.p1
OG0000025	XM_001585565.1.p1, XM_001594233.1.p1, XM_001585564.1.p1, XM_001597796.1.p1, XM_001594625.1.p1, XM_001592424.1.p1, XM_001585370.1.p1, XM_001596141.1.p1, XM_001596047.1.p1	lcl|BBXB02000077.1_cds_GLE04906.1_13427.p1, lcl|BBXB02000044.1_cds_GLE01511.1_10032.p1, lcl|BBXB02000087.1_cds_GLE05515.1_14036.p1, lcl|BBXB02000380.1_cds_GLE08928.1_17449.p1, lcl|BBXB02000240.1_cds_GLE07729.1_16250.p1, lcl|BBXB02000038.1_cds_GLE00664.1_9185.p1, lcl|BBXB02000496.1_cds_GLE09954.1_18475.p1, lcl|BBXB02000496.1_cds_GLE09955.1_18476.p1, lcl|BBXB02000041.1_cds_GLE01187.1_9708.p1, lcl|BBXB02000044.1_cds_GLE01512.1_10033.p1, lcl|BBXB02000058.1_cds_GLE03186.1_11707.p1, lcl|BBXB02000034.1_cds_GLE00156.1_8677.p1, lcl|BBXB02000052.1_cds_GLE02596.1_11117.p1, lcl|BBXB02000203.1_cds_GLE07389.1_15910.p1, lcl|BBXB02000034.1_cds_GLE00164.1_8685.p1, lcl|BBXB02000044.1_cds_GLE01525.1_10046.p1
OG0000029	XM_001592206.1.p1, XM_001592449.1.p1, XM_001592457.1.p1, XM_001588471.1.p1, XM_001586393.1.p1, XM_001589831.1.p1, XM_001590306.1.p1	lcl|BBXB02000003.1_cds_GLD92626.1_1148.p1, lcl|BBXB02000002.1_cds_GLD92307.1_829.p1, lcl|BBXB02000002.1_cds_GLD92306.1_828.p1
OG0000031	XM_001589524.1.p1, XM_001586174.1.p1, XM_001587417.1.p1	lcl|BBXB02000204.1_cds_GLE07400.1_15921.p1, lcl|BBXB02000334.1_cds_GLE08510.1_17031.p1, lcl|BBXB02000204.1_cds_GLE07399.1_15920.p1, lcl|BBXB02000015.1_cds_GLD96527.1_5049.p1, lcl|BBXB02000334.1_cds_GLE08511.1_17032.p1, lcl|BBXB02000015.1_cds_GLD96528.1_5050.p1
OG0000032	XM_001591344.1.p1, XM_001588011.1.p1, XM_001587657.1.p1, XM_001592925.1.p1, XM_001593976.1.p1, XM_001586473.1.p1, XM_001598634.1.p1, XM_001598538.1.p1, XM_001591886.1.p1	lcl|BBXB02000014.1_cds_GLD96053.1_4575.p1
OG0000035	XM_001597459.1.p1, XM_001589899.1.p1, XM_001595898.1.p1, XM_001597487.1.p1	lcl|BBXB02000010.1_cds_GLD95109.1_3631.p1, lcl|BBXB02000010.1_cds_GLD95173.1_3695.p1
