Orthogroup	Arabidopsis_thaliana_rna_prot	Brassica_oleracea_rna_prot
OG0000000	NR_143404.1.p1, NR_143405.1.p1, NR_143403.1.p1, NR_143402.1.p1	XM_013739319.1.p1
OG0000000	NM_001341577.1.p1	XM_013762095.1.p1
OG0000002	NM_148756.2.p1	XM_013739749.1.p1, XM_013734186.1.p1, XM_013739704.1.p1, XM_013753086.1.p1, XM_013777830.1.p1, XM_013762525.1.p1
OG0000002	NM_119053.1.p1	XM_013768685.1.p1, XM_013768347.1.p1, XM_013739468.1.p1, XM_013739578.1.p1, XM_013777261.1.p1, XM_013762307.1.p1, XM_013783967.1.p1, XM_013734248.1.p1, XM_013739001.1.p1, XM_013752102.1.p1, XM_013739384.1.p1, XM_013769269.1.p1, XM_013777377.1.p1, XM_013783831.1.p1, XM_013761751.1.p1, XM_013739435.1.p1, XM_013784074.1.p1, XM_013768513.1.p1, XM_013768697.1.p1, XM_013761520.1.p1, XM_013752842.1.p1, XM_013762310.1.p1, XM_013772658.1.p1, XM_013777379.1.p1, XM_013762287.1.p1, XM_013769285.1.p1, XM_013739092.1.p1, XM_013733737.1.p1, XM_013745570.1.p1, XM_013784313.1.p1
OG0000003	NM_103273.2.p1	XM_013731659.1.p1
OG0000003	NM_179207.3.p1, NM_116955.5.p1	XM_013773338.1.p1
OG0000004	NM_103414.1.p1	XM_013738936.1.p1
OG0000004	NM_001161186.1.p1, NM_001161185.1.p1	XM_013772744.1.p1, XM_013733884.1.p1, XM_013784115.1.p1, XM_013745818.1.p1
OG0000004	NM_001161028.1.p1, NM_001161027.1.p1	XM_013777792.1.p1
OG0000004	NM_103454.1.p1	XM_013777298.1.p1, XM_013777234.1.p1, XM_013777170.1.p1, XM_013752807.1.p1
OG0000006	NM_123301.1.p1	XM_013772199.1.p1
OG0000006	NM_114576.2.p1, NM_114626.3.p1	XM_013756738.1.p1, XM_013775376.1.p1, XM_013778997.1.p1, XM_013748099.1.p1, XM_013748100.1.p1, XM_013771532.1.p1, XM_013774619.1.p1, XM_013771527.1.p1, XM_013771530.1.p1, XM_013771526.1.p1, XM_013771529.1.p1, XM_013754866.1.p1, XM_013757430.1.p1, XM_013757432.1.p1, XM_013758006.1.p1, XM_013774159.1.p1, XM_013737883.1.p1
OG0000006	NM_114625.3.p1	XM_013769030.1.p1, XM_013772938.1.p1
OG0000009	NM_125027.1.p1	XM_013772459.1.p1, XM_013768406.1.p1, XM_013768408.1.p1, XM_013758311.1.p1
OG0000009	NM_001345199.1.p1	XM_013762743.1.p1
OG0000009	NM_001344885.1.p1	XM_013768409.1.p1, XM_013754860.1.p1
OG0000009	NM_001333006.1.p1	XM_013768023.1.p1, XM_013761533.1.p1
OG0000009	NM_125022.1.p1, NM_148138.2.p1	XM_013772155.1.p1, XM_013768410.1.p1, XM_013772113.1.p1, XM_013764570.1.p1, XM_013764571.1.p1
OG0000009	NM_001345198.1.p1, NM_125021.4.p1	XM_013772659.1.p1
OG0000009	NM_118768.1.p1	XM_013739674.1.p1, XM_013739529.1.p1
OG0000009	NM_118767.3.p1	XM_013780272.1.p1, XM_013754455.1.p1
OG0000009	NM_115129.1.p1	XM_013752070.1.p1
OG0000009	NM_114761.1.p1	XM_013780753.1.p1, XM_013780752.1.p1
OG0000009	NM_148317.5.p1	XM_013755150.1.p1
OG0000009	NM_001338845.1.p1, NM_001338843.1.p1	XM_013738813.1.p1
OG0000009	NM_001085288.2.p1	XM_013745461.1.p1
OG0000009	NM_125065.2.p1, NM_125064.2.p1, NM_001345217.1.p1	XM_013768404.1.p1
OG0000009	NM_001336095.1.p1, NM_128243.5.p1	XM_013778993.1.p1, XM_013759435.1.p1, XM_013770814.1.p1
OG0000009	NM_125454.3.p1, NM_001345213.1.p1, NM_001345212.1.p1, NM_125052.1.p1	XM_013746389.1.p1
OG0000009	NM_001198313.2.p1, NM_104442.1.p1, NM_178940.1.p1, NM_001340990.1.p1, NM_117593.3.p1, NM_148325.2.p1	XM_013745837.1.p1
OG0000009	NM_001035786.3.p1	XM_013747418.1.p1, XM_013747420.1.p1, XM_013747419.1.p1, XM_013746698.1.p1, XM_013746697.1.p1, XM_013750219.1.p1, XM_013748291.1.p1, XM_013748382.1.p1, XM_013747717.1.p1, XM_013750218.1.p1, XM_013747798.1.p1
OG0000009	NM_117110.5.p1, NM_001340663.1.p1, NM_001084898.2.p1, NM_117109.1.p1, NM_001340642.1.p1, NM_001340640.1.p1, NM_001340639.1.p1	XM_013755301.1.p1
OG0000009	NM_148060.3.p1, NM_123218.2.p1, NM_001344258.1.p1, NM_123220.3.p1, NM_203132.2.p1, NM_001344257.1.p1	XM_013737304.1.p1, XM_013774167.1.p1
OG0000009	NM_106521.3.p1, NM_106523.2.p1, NM_001334234.1.p1, NM_105301.2.p1, NM_105302.1.p1, NM_105300.1.p1, NM_105335.1.p1, NM_105303.3.p1, NM_117473.1.p1, NM_106520.3.p1, NM_105631.2.p1, NM_106522.2.p1	XM_013734258.1.p1, XM_013734259.1.p1, XM_013759508.1.p1, XM_013734260.1.p1, XM_013733991.1.p1
OG0000009	NM_104727.1.p1, NM_104728.3.p1, NM_101554.2.p1, NM_001332271.1.p1	XM_013729326.1.p1
OG0000009	NM_123865.1.p1	XM_013738684.1.p1
OG0000009	NM_101246.6.p1, NM_001332087.1.p1, NM_001344037.1.p1, NM_122657.4.p1	XM_013738352.1.p1, XM_013735566.1.p1, XM_013750150.1.p1, XM_013744910.1.p1, XM_013750151.1.p1, XM_013746943.1.p1, XM_013746375.1.p1, XM_013783522.1.p1, XM_013783523.1.p1, XM_013729566.1.p1, XM_013729567.1.p1
OG0000009	NM_001336034.1.p1, NM_201806.3.p1, NM_001336035.1.p1	XM_013757997.1.p1
OG0000009	NM_001343751.1.p1, NM_001343755.1.p1, NM_001343750.1.p1, NM_001085145.2.p1, NM_122172.3.p1	XM_013751767.1.p1
OG0000009	NM_122173.1.p1	XM_013768377.1.p1, XM_013772410.1.p1, XM_013768378.1.p1
OG0000009	NM_122486.1.p1	XM_013755193.1.p1
OG0000009	NM_001345065.1.p1	XM_013764182.1.p1
OG0000009	NM_122165.1.p1, NM_001343742.1.p1, NM_122167.3.p1, NM_001343740.1.p1, NM_001344551.1.p1	XM_013758025.1.p1
OG0000009	NM_001343756.1.p1, NM_122179.3.p1, NM_001343757.1.p1	XM_013770230.1.p1, XM_013770229.1.p1, XM_013764247.1.p1
OG0000011	NM_123187.1.p1	XM_013760659.1.p1, XM_013760652.1.p1, XM_013736543.1.p1
