Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Aphis_glycines_CDS.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	lcl|VYZN01000014.1_cds_KAE9539857.1_5184.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	lcl|VYZN01000009.1_cds_KAE9542577.1_3013.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	lcl|VYZN01000014.1_cds_KAE9540097.1_4811.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	lcl|VYZN01000018.1_cds_KAE9537351.1_6583.p1, lcl|VYZN01000018.1_cds_KAE9537317.1_6582.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	lcl|VYZN01000027.1_cds_KAE9534996.1_8067.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	lcl|VYZN01000037.1_cds_KAE9533046.1_9412.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	lcl|VYZN01000042.1_cds_KAE9530919.1_11248.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	lcl|VYZN01000997.1_cds_KAE9522551.1_17045.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	lcl|VYZN01000001.1_cds_KAE9545465.1_1273.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	lcl|VYZN01000030.1_cds_KAE9533991.1_8772.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	lcl|VYZN01000001.1_cds_KAE9544559.1_1023.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	lcl|VYZN01000042.1_cds_KAE9530459.1_11171.p1
OG0000001	gnl|WGS_AAJJ|TC002454-RA.p1	lcl|VYZN01000078.1_cds_KAE9523673.1_15904.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1	lcl|VYZN01000025.1_cds_KAE9535574.1_7525.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	lcl|VYZN01000061.1_cds_KAE9525260.1_14296.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	lcl|VYZN01000002.1_cds_KAE9544343.1_1550.p1
OG0000002	gnl|WGS_AAJJ|TC000545-RA.p1	lcl|VYZN01000002.1_cds_KAE9544347.1_1551.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	lcl|VYZN01000002.1_cds_KAE9544178.1_1553.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	lcl|VYZN01000002.1_cds_KAE9544344.1_1549.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	lcl|VYZN01000017.1_cds_KAE9537839.1_5899.p1, lcl|VYZN01000017.1_cds_KAE9537837.1_5898.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	lcl|VYZN01000025.1_cds_KAE9535589.1_7507.p1, lcl|VYZN01000025.1_cds_KAE9535904.1_7506.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	lcl|VYZN01000041.1_cds_KAE9531527.1_10595.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	lcl|VYZN01000039.1_cds_KAE9532379.1_9977.p1
OG0000002	gnl|WGS_AAJJ|TC002768-RA.p1	lcl|VYZN01000017.1_cds_KAE9537838.1_5896.p2, lcl|VYZN01000017.1_cds_KAE9537836.1_5897.p1
OG0000003	gnl|WGS_AAJJ|TC015553-RA.p1, gnl|WGS_AAJJ|TC000856-RA.p1, gnl|WGS_AAJJ|TC015103-RA.p1, gnl|WGS_AAJJ|TC010237-RA.p1, gnl|WGS_AAJJ|TC015546-RA.p1, gnl|WGS_AAJJ|TC010239-RA.p1, gnl|WGS_AAJJ|TC032503-RA.p1, gnl|WGS_AAJJ|TC010238-RB.p1, gnl|WGS_AAJJ|TC033365-RA.p1, gnl|WGS_AAJJ|TC031668-RA.p1, gnl|WGS_AAJJ|TC015160-RA.p1, gnl|WGS_AAJJ|TC010255-RA.p1, gnl|WGS_AAJJ|TC015102-RA.p1, gnl|WGS_AAJJ|TC010254-RA.p1, gnl|WGS_AAJJ|TC010253-RA.p1, gnl|WGS_AAJJ|TC010245-RA.p1, gnl|WGS_AAJJ|TC010251-RA.p1, gnl|WGS_AAJJ|TC010244-RA.p1, gnl|WGS_AAJJ|TC007316-RA.p1, gnl|WGS_AAJJ|TC033366-RA.p1, gnl|WGS_AAJJ|TC032833-RA.p1, gnl|WGS_AAJJ|TC033142-RA.p1, gnl|WGS_AAJJ|TC014361-RA.p1, gnl|WGS_AAJJ|TC013433-RA.p1, gnl|WGS_AAJJ|TC014346-RA.p1, gnl|WGS_AAJJ|TC031667-RA.p1, gnl|WGS_AAJJ|TC010252-RA.p1, gnl|WGS_AAJJ|TC007321-RA.p1, gnl|WGS_AAJJ|TC007320-RA.p1, gnl|WGS_AAJJ|TC007317-RA.p1, gnl|WGS_AAJJ|TC031205-RA.p1, gnl|WGS_AAJJ|TC007315-RA.p1, gnl|WGS_AAJJ|TC007322-RA.p1, gnl|WGS_AAJJ|TC007310-RA.p1, gnl|WGS_AAJJ|TC004818-RA.p1	lcl|VYZN01000001.1_cds_KAE9545213.1_1315.p1
OG0000004	gnl|WGS_AAJJ|TC016307-RA.p1	lcl|VYZN01000053.1_cds_KAE9527258.1_13098.p1
OG0000004	gnl|WGS_AAJJ|TC000723-RA.p2, gnl|WGS_AAJJ|TC000722-RA.p1, gnl|WGS_AAJJ|TC000721-RA.p1, gnl|WGS_AAJJ|TC000724-RA.p1, gnl|WGS_AAJJ|TC000725-RA.p1, gnl|WGS_AAJJ|TC007724-RA.p1	lcl|VYZN01000016.1_cds_KAE9538524.1_5730.p1
OG0000004	gnl|WGS_AAJJ|TC008770-RA.p1	lcl|VYZN01000016.1_cds_KAE9538659.1_5732.p1
OG0000004	gnl|WGS_AAJJ|TC013828-RA.p1, gnl|WGS_AAJJ|TC013988-RA.p1, gnl|WGS_AAJJ|TC013987-RA.p1, gnl|WGS_AAJJ|TC011149-RA.p1, gnl|WGS_AAJJ|TC011148-RA.p1, gnl|WGS_AAJJ|TC013990-RA.p1, gnl|WGS_AAJJ|TC013811-RA.p2, gnl|WGS_AAJJ|TC013827-RA.p1, gnl|WGS_AAJJ|TC013826-RA.p1, gnl|WGS_AAJJ|TC013817-RA.p1, gnl|WGS_AAJJ|TC013816-RA.p1, gnl|WGS_AAJJ|TC013809-RA.p1	lcl|VYZN01000017.1_cds_KAE9538149.1_6156.p1
OG0000004	gnl|WGS_AAJJ|TC013815-RA.p1	lcl|VYZN01000057.1_cds_KAE9525922.1_13987.p1
OG0000004	gnl|WGS_AAJJ|TC002908-RA.p1	lcl|VYZN01000038.1_cds_KAE9532580.1_9700.p1
