Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Aspergillus_flavus_rna_prot
OG0000000	XM_001587566.1.p1	XM_041295773.1.p1, XM_041294976.1.p1
OG0000000	XM_001591185.1.p1	XM_041295414.1.p1
OG0000000	XM_001595534.1.p1	XM_041292582.1.p1
OG0000000	XM_001598353.1.p1	XM_041290666.1.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	XM_041291427.1.p1
OG0000000	XM_001587932.1.p1	XM_041287977.1.p1, XM_041288918.1.p1
OG0000000	XM_001597299.1.p1	XM_041291639.1.p1
OG0000000	XM_001586073.1.p1	XM_041295312.1.p1, XM_041290397.1.p1
OG0000000	XM_001595288.1.p1	XM_041290375.1.p1
OG0000001	XM_001598109.1.p1	XM_041290444.1.p1
OG0000001	XM_001594515.1.p1	XM_041289836.1.p1, XM_041291230.1.p1, XM_041288450.1.p1
OG0000001	XM_001592821.1.p1	XM_041295596.1.p1, XM_041292021.1.p1, XM_041284163.1.p1
OG0000001	XM_001590837.1.p1	XM_041291043.1.p1
OG0000001	XM_001589209.1.p1	XM_041294548.1.p1
OG0000001	XM_001589097.1.p1, XM_001589000.1.p1	XM_041290627.1.p1
OG0000001	XM_001585670.1.p1	XM_041292490.1.p1
OG0000001	XM_001596903.1.p1	XM_041290453.1.p1, XM_041288231.1.p1, XM_041287724.1.p1
OG0000001	XM_001586958.1.p1	XM_041292356.1.p1, XM_041294308.1.p1
OG0000001	XM_001586840.1.p1	XM_041289284.1.p1
OG0000001	XM_001591868.1.p1	XM_041291825.1.p1, XM_041285577.1.p1, XM_041295222.1.p1, XM_041285474.1.p1, XM_041291762.1.p1, XM_041286377.1.p1
OG0000001	XM_001586869.1.p1	XM_041286020.1.p1
OG0000001	XM_001588682.1.p1	XM_041295599.1.p1
OG0000001	XM_001593835.1.p1	XM_041295323.1.p1
OG0000001	XM_001588558.1.p1	XM_041291291.1.p1, XM_041284703.1.p1, XM_041284946.1.p1, XM_041291875.1.p1, XM_041295558.1.p1, XM_041293571.1.p1, XM_041290500.1.p1
OG0000001	XM_001588459.1.p1	XM_041288358.1.p1, XM_041291064.1.p1, XM_041294015.1.p1
OG0000001	XM_001594847.1.p1	XM_041290779.1.p1
OG0000001	XM_001594292.1.p1	XM_041292478.1.p1
OG0000002	XM_001594479.1.p1	XM_041292471.1.p1, XM_041293926.1.p1
OG0000002	XM_001594076.1.p1	XM_041291543.1.p1
OG0000002	XM_001592695.1.p1	XM_041290197.1.p1, XM_041292764.1.p1
OG0000002	XM_001594265.1.p1, XM_001585353.1.p1	XM_041287042.1.p1
OG0000002	XM_001587049.1.p1	XM_041288196.1.p1
OG0000002	XM_001585463.1.p1	XM_041294889.1.p1
OG0000002	XM_001589076.1.p1	XM_041295080.1.p1
OG0000002	XM_001592371.1.p1, XM_001598197.1.p1	XM_041290606.1.p1
OG0000002	XM_001584996.1.p1	XM_041288673.1.p1, XM_041294583.1.p1, XM_041291541.1.p1
OG0000002	XM_001584832.1.p1	XM_041290432.1.p1
OG0000002	XM_001598780.1.p1	XM_041295022.1.p1, XM_041287566.1.p1, XM_041295509.1.p1
OG0000002	XM_001596924.1.p1	XM_041290475.1.p1
OG0000002	XM_001596092.1.p1	XM_041289328.1.p1
