Orthogroup	Arabidopsis_thaliana_rna_prot	Quercus_robur_rna_prot
OG0000000	NM_001341577.1.p1	XM_050403023.1.p1
OG0000002	NR_140666.1.p1	XM_050386232.1.p1, XM_050391266.1.p1
OG0000002	NM_148756.2.p1	XM_050386392.1.p1, XM_050392658.1.p1, XM_050429798.1.p1
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	XM_050406588.1.p1, XR_007646679.1.p1, XM_050398992.1.p1, XM_050421892.1.p1, XM_050421895.1.p1, XM_050421884.1.p1, XM_050385386.1.p1, XM_050391120.1.p1, XM_050393135.1.p1, XM_050415557.1.p1, XM_050403792.1.p1, XM_050415554.1.p1, XM_050415559.1.p1, XM_050415558.1.p1, XM_050420260.1.p1, XM_050415529.1.p1, XM_050387611.1.p1, XM_050387610.1.p1, XM_050387612.1.p1, XM_050415578.1.p1, XM_050415575.1.p1, XM_050415576.1.p1, XM_050415553.1.p1, XM_050391761.1.p1, XM_050422636.1.p1, XM_050422637.1.p1, XM_050413902.1.p1, XM_050413901.1.p1, XM_050435136.1.p1, XM_050435137.1.p1, XM_050415561.1.p1, XM_050415532.1.p1, XM_050419417.1.p1, XM_050419418.1.p1, XM_050419420.1.p1, XM_050419416.1.p1, XM_050419414.1.p1, XM_050419419.1.p1, XM_050423712.1.p1, XM_050418814.1.p1, XR_007652505.1.p1, XR_007652510.1.p1, XR_007652506.1.p1, XR_007652507.1.p1, XM_050418807.1.p1, XM_050418809.1.p1, XM_050418810.1.p1, XR_007652503.1.p1, XM_050421885.1.p1, XM_050415474.1.p1, XM_050396331.1.p1, XM_050403911.1.p1, XM_050410417.1.p1, XM_050407896.1.p1, XM_050411597.1.p1, XM_050411596.1.p1, XM_050405217.1.p1, XM_050405219.1.p1, XM_050393380.1.p1, XM_050404740.1.p1, XM_050409870.1.p1, XM_050410255.1.p1, XM_050410257.1.p1, XM_050410256.1.p1, XM_050410573.1.p1, XM_050422469.1.p1, XM_050399035.1.p1, XM_050397744.1.p1, XM_050396615.1.p1, XM_050421477.1.p1, XM_050397929.1.p1, XM_050399040.1.p1, XM_050397125.1.p1, XM_050432029.1.p1
OG0000009	NM_125027.1.p1, NM_001345199.1.p1, NM_125020.5.p1, NM_001345197.1.p1, NM_001344885.1.p1, NM_001333006.1.p1, NM_125022.1.p1, NM_148138.2.p1, NM_001345198.1.p1, NM_125021.4.p1, NM_118768.1.p1, NM_118767.3.p1, NM_001333686.1.p1, NM_115129.1.p1, NM_115012.4.p1, NM_114762.1.p1, NM_001203107.1.p1, NM_126458.5.p1, NM_001339395.1.p1, NM_114761.1.p1, NM_116233.2.p1, NM_001339582.1.p1, NM_148317.5.p1, NM_001338845.1.p1, NM_001338843.1.p1, NM_125023.2.p1, NM_001085288.2.p1, NM_114931.2.p1, NM_125065.2.p1, NM_125064.2.p1, NM_001345217.1.p1	XM_050391048.1.p1, XM_050411868.1.p1, XM_050391511.1.p1, XM_050391514.1.p1, XM_050391515.1.p1, XM_050433895.1.p1, XM_050433892.1.p1, XM_050430375.1.p1, XM_050434357.1.p1, XM_050434355.1.p1, XM_050391580.1.p1, XM_050391024.1.p1, XM_050432689.1.p1, XM_050434876.1.p1, XM_050432688.1.p1, XM_050434874.1.p1, XM_050432681.1.p1, XM_050432683.1.p1, XM_050432679.1.p1, XM_050432677.1.p1, XM_050434517.1.p1, XM_050432686.1.p1, XM_050432687.1.p1, XM_050432701.1.p1, XM_050432700.1.p1, XM_050391094.1.p1, XM_050391093.1.p1, XM_050391077.1.p1, XM_050391078.1.p1, XM_050391079.1.p1, XM_050391089.1.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_050402916.1.p1, XM_050400937.1.p1, XM_050400697.1.p1, XM_050434302.1.p1, XM_050400689.1.p1, XM_050400693.1.p1, XM_050399976.1.p1, XM_050400695.1.p1, XM_050400690.1.p1, XM_050400691.1.p1, XM_050400692.1.p1, XM_050400688.1.p1, XM_050400694.1.p1, XM_050392775.1.p1, XM_050413755.1.p1, XM_050413756.1.p1, XM_050413764.1.p1, XM_050413763.1.p1, XM_050399580.1.p1, XM_050386285.1.p1, XM_050386287.1.p1, XM_050426491.1.p1, XM_050418378.1.p1, XM_050423507.1.p1, XM_050422404.1.p1, XM_050421129.1.p1, XM_050421132.1.p1, XM_050421137.1.p1, XM_050431817.1.p1, XM_050434298.1.p1, XM_050421135.1.p1, XM_050419110.1.p1, XM_050419314.1.p1, XM_050423697.1.p1, XM_050419434.1.p1, XM_050422685.1.p1, XM_050422695.1.p1, XM_050423674.1.p1, XM_050416467.1.p1, XM_050419212.1.p1, XM_050418349.1.p1
OG0000016	NM_118863.5.p1, NM_001341844.1.p1	XM_050391304.1.p1
OG0000016	NM_118258.3.p1, NM_001334222.1.p1, NM_001334221.1.p1, NM_001341478.1.p1, NM_112034.3.p1, NM_105253.2.p1, NM_105252.2.p1	XM_050432945.1.p1
OG0000017	NM_126953.4.p1	XM_050427781.1.p1, XM_050412625.1.p1, XM_050386424.1.p1, XM_050393187.1.p1, XM_050402929.1.p1, XM_050384820.1.p1, XM_050433778.1.p1, XM_050432940.1.p1, XM_050433861.1.p1, XM_050430688.1.p1, XM_050402813.1.p1, XM_050403965.1.p1, XM_050384836.1.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1	XM_050402427.1.p1, XM_050402501.1.p1, XM_050402426.1.p1, XM_050402420.1.p1, XM_050402416.1.p1, XM_050402415.1.p1, XM_050402419.1.p1, XM_050402433.1.p1, XM_050402431.1.p1, XM_050402434.1.p1, XM_050402500.1.p1, XM_050402414.1.p1, XM_050402413.1.p1, XM_050429171.1.p1, XM_050405804.1.p1, XM_050431477.1.p1, XM_050432811.1.p1, XM_050394276.1.p1, XM_050432813.1.p1, XM_050432809.1.p1, XM_050432824.1.p1, XM_050432822.1.p1, XM_050432827.1.p1, XM_050432832.1.p1, XM_050434551.1.p1, XM_050432852.1.p1, XM_050383374.1.p1
OG0000018	NM_116759.3.p1, NM_118446.3.p1, NM_118452.4.p1, NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1, NM_118447.3.p1, NM_001341579.1.p1, NM_114455.2.p1, NM_118460.2.p1, NM_001341598.1.p1, NM_001341575.1.p1, NM_179094.3.p1, NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	XM_050432798.1.p1, XM_050432793.1.p1, XM_050432797.1.p1, XM_050432799.1.p1, XM_050432804.1.p1, XM_050434538.1.p1, XM_050432812.1.p1, XM_050434548.1.p1, XM_050432780.1.p1, XM_050432781.1.p1, XM_050432778.1.p1, XM_050432788.1.p1, XM_050432784.1.p1, XM_050432785.1.p1, XM_050432782.1.p1, XM_050432791.1.p1, XM_050434542.1.p1, XM_050432789.1.p1, XM_050432802.1.p1, XM_050434539.1.p1, XM_050432792.1.p1, XM_050432786.1.p1, XM_050432814.1.p1, XM_050432816.1.p1, XM_050432801.1.p1, XM_050432808.1.p1, XM_050432807.1.p1, XM_050432803.1.p1
OG0000020	NM_121001.2.p1	XM_050410641.1.p1
OG0000021	NM_111666.4.p1	XM_050391892.1.p1, XM_050391895.1.p1
OG0000021	NM_111499.4.p1	XM_050391391.1.p1, XM_050391389.1.p1
OG0000021	NM_001340790.1.p1, NM_117326.4.p1, NM_001084908.2.p1, NM_001341541.1.p1	XM_050432367.1.p1, XR_007656104.1.p1, XR_007656105.1.p1, XR_007656103.1.p1, XM_050432366.1.p1, XM_050432365.1.p1
OG0000022	NM_118814.3.p1	XM_050392818.1.p1, XM_050417665.1.p1, XM_050428274.1.p1, XM_050410082.1.p1
OG0000024	NM_101717.3.p1, NM_106069.3.p1, NM_106070.2.p1	XM_050433610.1.p1, XM_050416610.1.p1, XM_050397638.1.p1, XM_050408264.1.p1, XM_050433534.1.p1, XM_050400390.1.p1, XM_050403146.1.p1
OG0000024	NM_120782.4.p1, NM_120783.4.p1	XM_050433430.1.p1, XM_050426910.1.p1
OG0000027	NM_123808.4.p1, NM_001344545.1.p1, NM_118200.2.p1	XM_050434386.1.p1, XM_050432116.1.p1, XM_050434384.1.p1
OG0000027	NM_001332928.1.p1, NM_129032.5.p1, NM_123807.4.p1, NM_001344544.1.p1, NM_123806.3.p1	XM_050432101.1.p1
OG0000027	NM_202851.1.p1, NM_118201.3.p1, NM_118202.2.p1, NM_101049.3.p1	XM_050407237.1.p1, XM_050432103.1.p1, XM_050432104.1.p1, XM_050432106.1.p1
OG0000027	NM_102807.4.p1, NM_103181.2.p1	XM_050434835.1.p1, XM_050432063.1.p1, XM_050434841.1.p1
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1	XM_050384811.1.p1
OG0000028	NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_050424388.1.p1, XM_050424386.1.p1, XM_050424397.1.p1, XM_050423080.1.p1, XM_050424389.1.p1, XM_050424398.1.p1, XM_050423082.1.p1, XM_050424387.1.p1, XM_050428934.1.p1, XM_050423070.1.p1, XM_050423075.1.p1, XM_050424396.1.p1, XM_050428933.1.p1, XM_050424385.1.p1
OG0000029	NM_103903.2.p1	XM_050406476.1.p1, XR_007648743.1.p1, XR_007648742.1.p1, XR_007648435.1.p1, XM_050405740.1.p1, XM_050404086.1.p1, XM_050405743.1.p1, XM_050405737.1.p1, XM_050431971.1.p1
OG0000029	NM_114540.2.p1, NM_114538.2.p1, NM_114520.3.p1	XM_050432221.1.p1, XR_007656078.1.p1
OG0000030	NM_104062.3.p1, NM_113029.4.p1, NM_001338528.1.p1, NM_001335227.1.p1, NM_126462.1.p1, NM_128458.2.p1, NM_125360.3.p1, NM_001345363.1.p1, NM_125357.1.p1, NM_114509.1.p1, NM_100629.4.p1, NM_001339245.1.p1, NM_114500.5.p1, NM_100630.3.p1, NM_128455.3.p1, NM_128459.3.p1, NM_001198271.1.p1, NM_104060.4.p1, NM_104065.2.p1, NM_001333511.1.p1, NM_001333504.1.p1, NM_001333505.1.p1, NM_104061.3.p1	XM_050429858.1.p1, XM_050429857.1.p1, XM_050433789.1.p1
OG0000030	NM_119090.2.p1, NM_001341960.1.p1	XM_050396186.1.p1
OG0000030	NM_001333503.1.p1	XM_050429817.1.p1, XM_050429815.1.p1, XM_050429816.1.p1, XM_050429825.1.p1, XM_050429831.1.p1, XM_050429828.1.p1, XM_050429826.1.p1, XM_050429832.1.p1, XM_050433776.1.p1
