Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Diabrotica_virgifera_virgifera_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC015970-RB.p1, gnl|WGS_AAJJ|TC015970-RA.p1	XM_028285656.2.p1
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_050655568.1.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_050651680.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_028272432.2.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1	XM_050642889.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RB.p1	XM_050642887.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_050644477.1.p1, XM_050644473.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_028275295.2.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1	XM_050646568.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_050646605.1.p1, XR_007697054.1.p1, XM_050646603.1.p1, XM_050646604.1.p1, XM_050646601.1.p1, XM_050646597.1.p1, XM_050646596.1.p1, XM_050646586.1.p1, XM_050646613.1.p1, XM_050646606.1.p1, XM_050646600.1.p1, XM_050646592.1.p1, XM_050646587.1.p1, XM_050646585.1.p1, XM_050646581.1.p1, XM_050646579.1.p1, XM_050646576.1.p1, XM_050646575.1.p1, XM_050646572.1.p1, XM_050646573.1.p1, XM_050646567.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1	XM_050657926.1.p1, XM_028280756.2.p1
OG0000000	gnl|WGS_AAJJ|TC007345-RA.p1	XM_028275299.2.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_050656432.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_028299777.2.p1, XM_028299775.2.p1, XM_028299770.2.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	XM_050654592.1.p1, XM_050654591.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_028272221.2.p2
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1	XM_028286058.2.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RA.p1	XM_028286056.2.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_028285707.2.p1
OG0000000	gnl|WGS_AAJJ|TC034026-RA.p1	XM_028275808.2.p1, XM_028275807.2.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_028281309.2.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_050650403.1.p1
OG0000000	gnl|WGS_AAJJ|TC011445-RA.p1, gnl|WGS_AAJJ|TC011444-RA.p1, gnl|WGS_AAJJ|TC031412-RA.p1, gnl|WGS_AAJJ|TC011446-RA.p1	XR_007699357.1.p1
OG0000000	gnl|WGS_AAJJ|TC032327-RA.p1	XM_050647498.1.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_028283167.2.p1
OG0000001	gnl|WGS_AAJJ|TC016155-RA.p1	XM_050649251.1.p1, XM_050656941.1.p1, XM_050662961.1.p1, XM_050660191.1.p1, XM_050649215.1.p1, XM_050656874.1.p1, XM_050651983.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_050646209.1.p1, XM_050651298.1.p1, XR_007701190.1.p1, XM_050653232.1.p1, XM_050645618.1.p1
OG0000001	gnl|WGS_AAJJ|TC002178-RA.p1	XM_050661073.1.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1	XM_050645521.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_028285901.2.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_050660108.1.p1
OG0000002	gnl|WGS_AAJJ|TC031004-RA.p1	XM_050662741.1.p1
OG0000002	gnl|WGS_AAJJ|TC006026-RA.p1	XM_028275300.2.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	XM_028281901.2.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_028281431.2.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_028281902.2.p1
OG0000002	gnl|WGS_AAJJ|TC013326-RA.p1	XM_028285796.2.p1, XM_028285797.2.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_028282836.2.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_050663620.1.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	XM_050641574.1.p1
OG0000002	gnl|WGS_AAJJ|TC013084-RB.p1, gnl|WGS_AAJJ|TC014083-RA.p1, gnl|WGS_AAJJ|TC013709-RA.p1, gnl|WGS_AAJJ|TC015617-RA.p1, gnl|WGS_AAJJ|TC015618-RA.p1, gnl|WGS_AAJJ|TC002785-RA.p1, gnl|WGS_AAJJ|TC002786-RA.p1	XM_050641911.1.p1
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	XM_028273819.2.p1
OG0000003	gnl|WGS_AAJJ|TC034179-RA.p1	XM_028285246.2.p1
OG0000003	gnl|WGS_AAJJ|TC001546-RA.p1	XM_050653494.1.p1, XM_050653446.1.p1
OG0000003	gnl|WGS_AAJJ|TC006441-RA.p1, gnl|WGS_AAJJ|TC006444-RA.p1, gnl|WGS_AAJJ|TC006442-RA.p1, gnl|WGS_AAJJ|TC006445-RA.p1, gnl|WGS_AAJJ|TC034830-RA.p1, gnl|WGS_AAJJ|TC015218-RA.p1, gnl|WGS_AAJJ|TC005384-RA.p1	XM_050641511.1.p1, XM_028283875.2.p1, XM_050663328.1.p1
OG0000003	gnl|WGS_AAJJ|TC015553-RA.p1, gnl|WGS_AAJJ|TC000856-RA.p1	XM_050644691.1.p1
