Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Agrilus_planipennis_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC015970-RB.p1, gnl|WGS_AAJJ|TC015970-RA.p1	XM_025977733.1.p1, XM_025975208.1.p1, XM_025977734.1.p1
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_018468318.2.p1
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_018472508.2.p1, XM_018472505.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_025979188.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1	XM_025975820.1.p1, XM_025975818.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RB.p1	XM_025975821.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1	XM_018479897.2.p1
OG0000000	gnl|WGS_AAJJ|TC003617-RA.p1	XM_018479898.2.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_018475049.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_025978862.1.p1, XM_025978852.1.p1, XM_025978863.1.p1, XM_025978849.1.p1, XM_018477345.1.p1, XM_025978846.1.p1, XM_025978845.1.p1, XM_025978860.1.p1, XM_025978854.1.p1, XM_025978855.1.p1, XM_025978848.1.p1, XM_025978847.1.p1, XM_018477354.2.p1, XM_018477351.2.p1, XM_018477344.1.p1, XM_018477370.2.p1, XM_025978850.1.p1, XM_018477358.2.p1, XM_025978851.1.p1, XM_025978865.1.p1, XM_025978861.1.p1, XM_018477359.2.p1, XM_018477356.2.p1, XM_018477368.2.p1, XM_018477347.1.p1, XM_018477342.2.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1	XM_018472177.2.p1, XM_018472176.2.p1, XM_018472174.2.p1
OG0000000	gnl|WGS_AAJJ|TC007345-RA.p1	XM_018475720.2.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_025980420.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_018477433.2.p1, XM_018477477.1.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	XM_018480083.2.p1, XM_018480090.2.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_018465376.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1	XM_018479121.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RA.p1	XM_018471179.2.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_018478434.2.p1
OG0000000	gnl|WGS_AAJJ|TC034026-RA.p1	XM_025979762.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_018468222.2.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_018476521.2.p1
OG0000000	gnl|WGS_AAJJ|TC011442-RA.p2, gnl|WGS_AAJJ|TC011443-RA.p1	XM_018469921.2.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_018467484.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_025975482.1.p1, XM_025973433.1.p1, XM_025976981.1.p1, XM_025980785.1.p1
OG0000001	gnl|WGS_AAJJ|TC002325-RA.p1	XR_003230930.1.p1
OG0000001	gnl|WGS_AAJJ|TC001684-RA.p1	XM_025975095.1.p1
OG0000001	gnl|WGS_AAJJ|TC002454-RA.p1	XM_018468617.1.p1
OG0000002	gnl|WGS_AAJJ|TC002659-RA.p1	XM_025980111.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_025981464.1.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_025979193.1.p1
OG0000002	gnl|WGS_AAJJ|TC008267-RA.p1	XM_018471084.1.p1, XM_018471083.1.p1
OG0000002	gnl|WGS_AAJJ|TC031004-RA.p1	XM_025977146.1.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	XM_025978214.1.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_018472034.1.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_025978237.1.p1
OG0000002	gnl|WGS_AAJJ|TC013326-RA.p1	XM_018470109.1.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_018477638.1.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_018465053.2.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	XM_018467108.2.p1
OG0000002	gnl|WGS_AAJJ|TC032356-RA.p1	XM_025976488.1.p1, XM_025976500.1.p1
OG0000002	gnl|WGS_AAJJ|TC014083-RA.p1, gnl|WGS_AAJJ|TC013709-RA.p1	XM_018469804.2.p1
OG0000002	gnl|WGS_AAJJ|TC002785-RA.p1, gnl|WGS_AAJJ|TC002786-RA.p1	XM_018464239.2.p1
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	XM_018475533.1.p1, XM_018475525.1.p1, XM_018475509.1.p1, XM_018475490.2.p1, XM_018473096.2.p1
OG0000003	gnl|WGS_AAJJ|TC034829-RA.p1, gnl|WGS_AAJJ|TC000282-RA.p1, gnl|WGS_AAJJ|TC034188-RA.p1, gnl|WGS_AAJJ|TC005352-RA.p1, gnl|WGS_AAJJ|TC005351-RA.p1, gnl|WGS_AAJJ|TC005385-RA.p1, gnl|WGS_AAJJ|TC005386-RA.p1, gnl|WGS_AAJJ|TC005387-RA.p1, gnl|WGS_AAJJ|TC001546-RA.p1, gnl|WGS_AAJJ|TC006441-RA.p1, gnl|WGS_AAJJ|TC006444-RA.p1, gnl|WGS_AAJJ|TC006442-RA.p1, gnl|WGS_AAJJ|TC006445-RA.p1, gnl|WGS_AAJJ|TC034830-RA.p1, gnl|WGS_AAJJ|TC015218-RA.p1, gnl|WGS_AAJJ|TC005384-RA.p1	XM_025979035.1.p1
OG0000003	gnl|WGS_AAJJ|TC015553-RA.p1, gnl|WGS_AAJJ|TC000856-RA.p1	XM_018464588.1.p1
OG0000003	gnl|WGS_AAJJ|TC010245-RA.p1, gnl|WGS_AAJJ|TC010251-RA.p1, gnl|WGS_AAJJ|TC010244-RA.p1	XM_018463412.2.p1, XM_018463367.2.p1, XM_018470351.2.p1, XM_025974354.1.p1
OG0000003	gnl|WGS_AAJJ|TC007316-RA.p1, gnl|WGS_AAJJ|TC033366-RA.p1, gnl|WGS_AAJJ|TC032833-RA.p1, gnl|WGS_AAJJ|TC033142-RA.p1, gnl|WGS_AAJJ|TC014361-RA.p1, gnl|WGS_AAJJ|TC013433-RA.p1, gnl|WGS_AAJJ|TC014346-RA.p1, gnl|WGS_AAJJ|TC031667-RA.p1, gnl|WGS_AAJJ|TC010252-RA.p1, gnl|WGS_AAJJ|TC007321-RA.p1, gnl|WGS_AAJJ|TC007320-RA.p1, gnl|WGS_AAJJ|TC007317-RA.p1, gnl|WGS_AAJJ|TC031205-RA.p1, gnl|WGS_AAJJ|TC007315-RA.p1, gnl|WGS_AAJJ|TC007322-RA.p1, gnl|WGS_AAJJ|TC007310-RA.p1, gnl|WGS_AAJJ|TC004818-RA.p1	XM_018465930.2.p1, XM_018466167.1.p1, XM_025975875.1.p1, XM_018465912.2.p1, XM_018465917.1.p1, XM_018465915.2.p1, XM_025975874.1.p1, XM_018463768.2.p1, XM_018463770.2.p1, XM_025976601.1.p1, XM_018463769.1.p1, XM_025976604.1.p1, XM_018467427.2.p1
OG0000003	gnl|WGS_AAJJ|TC032509-RA.p1, gnl|WGS_AAJJ|TC015320-RA.p1, gnl|WGS_AAJJ|TC000151-RA.p1, gnl|WGS_AAJJ|TC000148-RB.p1, gnl|WGS_AAJJ|TC000153-RA.p1, gnl|WGS_AAJJ|TC000152-RA.p1	XM_025974783.1.p1, XM_025974784.1.p1, XM_018467261.2.p1, XM_018467262.2.p1
OG0000004	gnl|WGS_AAJJ|TC016307-RA.p1	XM_018466820.1.p1
OG0000004	gnl|WGS_AAJJ|TC008770-RA.p1	XM_018464578.1.p1
OG0000004	gnl|WGS_AAJJ|TC000853-RA.p1, gnl|WGS_AAJJ|TC000719-RA.p1, gnl|WGS_AAJJ|TC000720-RA.p1	XM_018471654.1.p1
OG0000004	gnl|WGS_AAJJ|TC003109-RA.p1	XM_018469805.2.p1
OG0000004	gnl|WGS_AAJJ|TC003509-RA.p1	XM_018477136.1.p1
OG0000004	gnl|WGS_AAJJ|TC013812-RA.p1	XM_018466775.1.p1, XM_025979394.1.p1, XM_025979395.1.p1
OG0000004	gnl|WGS_AAJJ|TC013828-RA.p1, gnl|WGS_AAJJ|TC013988-RA.p1, gnl|WGS_AAJJ|TC013987-RA.p1	XM_018466798.1.p1, XM_025974781.1.p1, XM_025974801.1.p1, XM_025974802.1.p1
OG0000004	gnl|WGS_AAJJ|TC011149-RA.p1, gnl|WGS_AAJJ|TC011148-RA.p1	XM_018468193.1.p1, XM_018468198.1.p1, XM_018468197.1.p1, XM_025981435.1.p1, XM_018468195.1.p2, XM_025973491.1.p1
OG0000004	gnl|WGS_AAJJ|TC013827-RA.p1	XM_018466801.1.p1
OG0000004	gnl|WGS_AAJJ|TC013816-RA.p1	XM_018466792.1.p1
OG0000004	gnl|WGS_AAJJ|TC013809-RA.p1	XM_018466799.2.p1
OG0000004	gnl|WGS_AAJJ|TC015908-RA.p2	XM_018473244.2.p1
OG0000004	gnl|WGS_AAJJ|TC013815-RA.p1	XM_018466777.1.p1
OG0000004	gnl|WGS_AAJJ|TC013808-RA.p1	XM_018466774.1.p1
OG0000004	gnl|WGS_AAJJ|TC002908-RA.p1	XM_018463246.1.p1
OG0000004	gnl|WGS_AAJJ|TC011338-RA.p1	XM_018467710.1.p1
OG0000005	gnl|WGS_AAJJ|TC032845-RA.p1	XM_018464415.1.p1
OG0000005	gnl|WGS_AAJJ|TC030780-RA.p1, gnl|WGS_AAJJ|TC030780-RB.p1	XM_018469588.2.p1, XM_018469589.2.p1, XM_018469587.2.p1, XM_018469586.2.p1
OG0000005	gnl|WGS_AAJJ|TC032756-RA.p1, gnl|WGS_AAJJ|TC032756-RB.p1, gnl|WGS_AAJJ|TC007632-RA.p1	XM_025980290.1.p1, XM_018464349.1.p1, XM_018464134.1.p1, XM_018479466.2.p1, XM_018466154.2.p1, XM_018466153.2.p1, XM_018473130.2.p1
OG0000005	gnl|WGS_AAJJ|TC034323-RA.p1, gnl|WGS_AAJJ|TC034242-RA.p1, gnl|WGS_AAJJ|TC012285-RA.p1, gnl|WGS_AAJJ|TC012282-RA.p1, gnl|WGS_AAJJ|TC034240-RA.p1, gnl|WGS_AAJJ|TC034241-RA.p1	XM_018478521.2.p1, XM_018478531.2.p1, XM_018478529.2.p1, XM_018469006.2.p1, XM_018478530.2.p1
OG0000005	gnl|WGS_AAJJ|TC012281-RA.p1, gnl|WGS_AAJJ|TC012283-RA.p1	XM_018478522.1.p1, XM_018478524.1.p1, XM_025974760.1.p1
OG0000005	gnl|WGS_AAJJ|TC007056-RA.p1	XM_018469958.2.p1
OG0000005	gnl|WGS_AAJJ|TC003857-RA.p1	XM_025975038.1.p1
OG0000005	gnl|WGS_AAJJ|TC033805-RA.p1	XM_025978399.1.p1, XM_025978398.1.p1, XM_018480212.2.p1, XM_018480189.2.p1
OG0000006	gnl|WGS_AAJJ|TC009412-RA.p1	XM_025980311.1.p1, XM_025975674.1.p1
OG0000006	gnl|WGS_AAJJ|TC003478-RA.p1	XM_025977252.1.p1
OG0000006	gnl|WGS_AAJJ|TC012662-RA.p1, gnl|WGS_AAJJ|TC012501-RA.p1, gnl|WGS_AAJJ|TC012500-RA.p1, gnl|WGS_AAJJ|TC012499-RA.p1, gnl|WGS_AAJJ|TC012502-RA.p1, gnl|WGS_AAJJ|TC012495-RA.p1, gnl|WGS_AAJJ|TC034363-RA.p1, gnl|WGS_AAJJ|TC012498-RA.p1, gnl|WGS_AAJJ|TC012503-RA.p1, gnl|WGS_AAJJ|TC012504-RA.p1	XM_018469488.1.p1, XM_025973066.1.p1, XM_025973065.1.p1
OG0000006	gnl|WGS_AAJJ|TC002721-RA.p1, gnl|WGS_AAJJ|TC002722-RB.p1, gnl|WGS_AAJJ|TC010423-RA.p1, gnl|WGS_AAJJ|TC014125-RA.p1, gnl|WGS_AAJJ|TC013679-RA.p1, gnl|WGS_AAJJ|TC013680-RA.p1, gnl|WGS_AAJJ|TC015992-RA.p1, gnl|WGS_AAJJ|TC013681-RA.p1, gnl|WGS_AAJJ|TC014641-RA.p1, gnl|WGS_AAJJ|TC013773-RA.p1, gnl|WGS_AAJJ|TC033050-RA.p1	XM_018464242.1.p1, XM_025977380.1.p1, XM_025977382.1.p1, XM_025975667.1.p1, XM_025975675.1.p1, XM_018468622.2.p1
OG0000006	gnl|WGS_AAJJ|TC008058-RA.p1	XM_018476329.2.p1
OG0000006	gnl|WGS_AAJJ|TC007061-RA.p1	XM_018471974.1.p1
OG0000007	gnl|WGS_AAJJ|TC031613-RA.p1	XM_025979526.1.p1, XM_025981226.1.p1, XM_025977416.1.p1
OG0000007	gnl|WGS_AAJJ|TC001491-RA.p1	XM_018470176.2.p1
OG0000007	gnl|WGS_AAJJ|TC016404-RA.p1, gnl|WGS_AAJJ|TC031295-RA.p1, gnl|WGS_AAJJ|TC012951-RA.p2	XM_018476350.1.p1
OG0000007	gnl|WGS_AAJJ|TC031351-RA.p1	XM_025980894.1.p1
