Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Ceratitis_capitata_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	XM_023303359.1.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_023302840.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_020858542.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_004517870.3.p1, XM_020858168.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_012301691.2.p1, XM_020858902.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_020858153.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_012305931.2.p1, XM_004535700.3.p1, XM_020861449.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_020861837.1.p1, XM_023302877.1.p1, XM_020861839.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_012300289.2.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_012305331.2.p1, XR_002307283.1.p1, XM_020861305.1.p1, XM_020861302.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_004522777.3.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_020862309.1.p1, XM_020862308.1.p1
OG0000000	gnl|WGS_AAJJ|TC031411-RA.p1, gnl|WGS_AAJJ|TC034026-RA.p1	XM_004530647.2.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_012304271.2.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_020859883.2.p1
OG0000000	gnl|WGS_AAJJ|TC011445-RA.p1, gnl|WGS_AAJJ|TC011444-RA.p1, gnl|WGS_AAJJ|TC031412-RA.p1, gnl|WGS_AAJJ|TC011446-RA.p1	XM_012303959.2.p1, XM_004525011.3.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_004522309.3.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_004525671.3.p1
OG0000001	gnl|WGS_AAJJ|TC016139-RA.p1, gnl|WGS_AAJJ|TC010296-RA.p1	XM_012307570.1.p1, XM_023303283.1.p1
OG0000001	gnl|WGS_AAJJ|TC006932-RA.p1, gnl|WGS_AAJJ|TC033491-RA.p1	XM_023303125.1.p1
OG0000001	gnl|WGS_AAJJ|TC002454-RA.p1	XM_023303451.1.p1, XM_004529338.1.p1, XM_004527135.1.p1, XM_004524097.1.p1
OG0000002	gnl|WGS_AAJJ|TC002659-RA.p1	XM_012303087.2.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_012305978.1.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_012306736.1.p1
OG0000002	gnl|WGS_AAJJ|TC011014-RA.p1	XM_004526926.3.p1, XM_012302729.2.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	XM_004524235.4.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_012307643.2.p1, XM_004520289.3.p1, XM_004521886.2.p1, XM_012300124.2.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_004522452.3.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_004522221.3.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_020861895.1.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	XM_023302885.1.p1
OG0000002	gnl|WGS_AAJJ|TC032356-RA.p1	XM_012306593.1.p1
OG0000002	gnl|WGS_AAJJ|TC002785-RA.p1, gnl|WGS_AAJJ|TC002786-RA.p1	XM_004537836.3.p1, XM_004537826.2.p1, XM_004537837.3.p1, XM_012299602.2.p1
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	XM_020861661.1.p1, XM_012306278.2.p1
OG0000003	gnl|WGS_AAJJ|TC031414-RA.p1, gnl|WGS_AAJJ|TC031413-RA.p1, gnl|WGS_AAJJ|TC010955-RA.p1	XM_012306399.2.p1, XM_004519854.3.p1, NM_001319668.1.p1, XM_004524039.3.p1
OG0000004	gnl|WGS_AAJJ|TC000723-RA.p2, gnl|WGS_AAJJ|TC000722-RA.p1, gnl|WGS_AAJJ|TC000721-RA.p1, gnl|WGS_AAJJ|TC000724-RA.p1, gnl|WGS_AAJJ|TC000725-RA.p1, gnl|WGS_AAJJ|TC007724-RA.p1	XM_012302088.2.p1
OG0000004	gnl|WGS_AAJJ|TC000853-RA.p1	XM_012302855.2.p1
OG0000004	gnl|WGS_AAJJ|TC013812-RA.p1	XM_004523771.3.p1
OG0000004	gnl|WGS_AAJJ|TC015901-RA.p1	XM_004523773.2.p1
OG0000004	gnl|WGS_AAJJ|TC013828-RA.p1, gnl|WGS_AAJJ|TC013988-RA.p1, gnl|WGS_AAJJ|TC013987-RA.p1, gnl|WGS_AAJJ|TC011149-RA.p1, gnl|WGS_AAJJ|TC011148-RA.p1, gnl|WGS_AAJJ|TC013990-RA.p1, gnl|WGS_AAJJ|TC013811-RA.p2, gnl|WGS_AAJJ|TC013827-RA.p1, gnl|WGS_AAJJ|TC013826-RA.p1, gnl|WGS_AAJJ|TC013817-RA.p1, gnl|WGS_AAJJ|TC013816-RA.p1, gnl|WGS_AAJJ|TC013809-RA.p1	XM_004523774.3.p1
OG0000004	gnl|WGS_AAJJ|TC015908-RA.p2, gnl|WGS_AAJJ|TC013815-RA.p1	XM_012304400.2.p1, XM_004518281.3.p1, XM_012304403.2.p1, XM_012304394.2.p1
OG0000004	gnl|WGS_AAJJ|TC013808-RA.p1	XM_004523828.2.p1
OG0000004	gnl|WGS_AAJJ|TC002908-RA.p1	XM_004525182.2.p1
OG0000005	gnl|WGS_AAJJ|TC032845-RA.p1	XM_020860652.1.p1, XM_020862069.1.p1
OG0000005	gnl|WGS_AAJJ|TC030780-RA.p1, gnl|WGS_AAJJ|TC030780-RB.p1	XM_004533664.3.p1, XM_004533745.2.p1, XM_004531305.3.p1, XM_004531304.3.p1
