Orthogroup	Sclerotinia_sclerotiorum	Fusarium_graminearum
OG0000000	XM_001585050.1.p1	XM_011322869.1.p1
OG0000000	XM_001597299.1.p1	XM_011319643.1.p1
OG0000000	XM_001587932.1.p1	XM_011323106.1.p1
OG0000000	XM_001591185.1.p1	XM_011322610.1.p1
OG0000000	XM_001593612.1.p1, XM_001588468.1.p1	XM_011322513.1.p1, XM_011327759.1.p1, XM_011323434.1.p1, XM_011324976.1.p1, XM_011317451.1.p1, XM_011326092.1.p1, XM_011327750.1.p1, XM_011329176.1.p1, XM_011324496.1.p1, XM_011319991.1.p1, XM_011326010.1.p1, XM_011327425.1.p1, XM_011326968.1.p1, XM_011327766.1.p1, XM_011321388.1.p1, XM_011324806.1.p1
OG0000000	XM_001596315.1.p1	XM_011322244.1.p1
OG0000000	XM_001587566.1.p1	XM_011323839.1.p1, XM_011318196.1.p1
OG0000000	XM_001586073.1.p1	XM_011327598.1.p1, XM_011326971.1.p1, XM_011319139.1.p1
OG0000000	XM_001589120.1.p1, XM_001597027.1.p1	XM_011327655.1.p1
OG0000000	XM_001595288.1.p1	XM_011326987.1.p1, XM_011326818.1.p1, XM_011325066.1.p1, XM_011327287.1.p1
OG0000000	XM_001598353.1.p1	XM_011322598.1.p1
OG0000000	XM_001596634.1.p1, XM_001589596.1.p1	XM_011325447.1.p1, XM_011324353.1.p1
OG0000001	XM_001584772.1.p1	XM_011319822.1.p1, XM_011330111.1.p1, XM_011323145.1.p1
OG0000001	XM_001584562.1.p1	XM_011323372.1.p1
OG0000001	XM_001591073.1.p1	XM_011330332.1.p1
OG0000001	XM_001587520.1.p1	XM_011327699.1.p1
OG0000001	XM_001588137.1.p1	XM_011319199.1.p1
OG0000001	XM_001586702.1.p1	XM_011324016.1.p1, XM_011327816.1.p1
OG0000001	XM_001596808.1.p1	XM_011320432.1.p1
OG0000001	XM_001585309.1.p1	XM_011321062.1.p1
OG0000001	XM_001588863.1.p1	XM_011330440.1.p1, XM_011325824.1.p2
OG0000001	XM_001594656.1.p1, XM_001585971.1.p1	XM_011318002.1.p1
OG0000001	XM_001592785.1.p1	XM_011323586.1.p1, XM_011323399.1.p1, XM_011323575.1.p1
OG0000001	XM_001597248.1.p1, XM_001595264.1.p1, XM_001585666.1.p1	XM_011323296.1.p1
OG0000003	XM_001598646.1.p1, XM_001584524.1.p1, XM_001587580.1.p1, XM_001586097.1.p1, XM_001591368.1.p1, XM_001589264.1.p1, XM_001586372.1.p1, XM_001586962.1.p1, XM_001596418.1.p1, XM_001597775.1.p1, XM_001584717.1.p1, XM_001589640.1.p1, XM_001585472.1.p1, XM_001598821.1.p1, XM_001585189.1.p1, XM_001589552.1.p1, XM_001590904.1.p1, XM_001591978.1.p1, XM_001584559.1.p1, XM_001590584.1.p1, XM_001598927.1.p1, XM_001595959.1.p1, XM_001590728.1.p1, XM_001592186.1.p1, XM_001589864.1.p1, XM_001584931.1.p1, XM_001587079.1.p1, XM_001592165.1.p1, XM_001587205.1.p1, XM_001595673.1.p1, XM_001592645.1.p1, XM_001590549.1.p1, XM_001592235.1.p1, XM_001592639.1.p1, XM_001597040.1.p1, XM_001591964.1.p1, XM_001591878.1.p1, XM_001587039.1.p1, XM_001587639.1.p1, XM_001589115.1.p1, XM_001596163.1.p1, XM_001587274.1.p1, XM_001597991.1.p1, XM_001587779.1.p1, XM_001585974.1.p1, XM_001587033.1.p1, XM_001589451.1.p1, XM_001597770.1.p1, XM_001593302.1.p1, XM_001587559.1.p1, XM_001592973.1.p1, XM_001586957.1.p1, XM_001592190.1.p1, XM_001586389.1.p1, XM_001591005.1.p1, XM_001587634.1.p1, XM_001597255.1.p1, XM_001584668.1.p1, XM_001585223.1.p1, XM_001598683.1.p1, XM_001594227.1.p1, XM_001593562.1.p1, XM_001589883.1.p1, XM_001586518.1.p1, XM_001593755.1.p1, XM_001592683.1.p1, XM_001589629.1.p1, XM_001585471.1.p1, XM_001593547.1.p1, XM_001584787.1.p1	XM_011329342.1.p1
OG0000004	XM_001593090.1.p1	XM_011328772.1.p1
OG0000004	XM_001593858.1.p1	XM_011326469.1.p1, XM_011327073.1.p1, XM_011322181.1.p1, XM_011329695.1.p1
OG0000004	XM_001589489.1.p1	XM_011327875.1.p1
OG0000005	XM_001590333.1.p1	XM_011322276.1.p1
OG0000005	XM_001597412.1.p1	XM_011321616.1.p1
OG0000005	XM_001590585.1.p1	XM_011319601.1.p1
OG0000005	XM_001589139.1.p1	XM_011327571.1.p1
OG0000005	XM_001587851.1.p1	XM_011328542.1.p1, XM_011322436.1.p1, XM_011320317.1.p1, XM_011322703.1.p1, XM_011317513.1.p1
OG0000008	XM_001588452.1.p1, XM_001586311.1.p1, XM_001584630.1.p1	XM_011327083.1.p1, XM_011323772.1.p1, XM_011323936.1.p1
OG0000008	XM_001597565.1.p1, XM_001592000.1.p1	XM_011323650.1.p1
OG0000009	XM_001593713.1.p1	XM_011320836.1.p1
OG0000009	XM_001594017.1.p1	XM_011329149.1.p1, XM_011329408.1.p1, XM_011323561.1.p1, XM_011324423.1.p1, XM_011327611.1.p1, XM_011324569.1.p1, XM_011320038.1.p1, XM_011326111.1.p1, XM_011327434.1.p1, XM_011324173.1.p1
OG0000009	XM_001592033.1.p1	XM_011324507.1.p1, XM_011326945.1.p1, XM_011326944.1.p1, XM_011317492.1.p1, XM_011324270.1.p1, XM_011329215.1.p1, XM_011326982.1.p1, XM_011324985.1.p1, XM_011326858.1.p2, XM_011330401.1.p1, XM_011323615.1.p1, XM_011324476.1.p1, XM_011319277.1.p1, XM_011323547.1.p1, XM_011319131.1.p1, XM_011329192.1.p1, XM_011326128.1.p1, XM_011329105.1.p1, XM_011323598.1.p1, XM_011329151.1.p1, XM_011323080.1.p1
OG0000011	XM_001586473.1.p1	XM_011326935.1.p1
OG0000011	XM_001587657.1.p1	XM_011323812.1.p1, XM_011327379.1.p1
OG0000011	XM_001588011.1.p1	XM_011327134.1.p1
OG0000011	XM_001592925.1.p1	XM_011323186.1.p1, XM_011318392.1.p1
OG0000014	XM_001590870.1.p1	XM_011318846.1.p1
OG0000014	XM_001589798.1.p1	XM_011327346.1.p1
OG0000014	XM_001596631.1.p1	XM_011317815.1.p1
OG0000014	XM_001585247.1.p1	XM_011325179.1.p1
OG0000014	XM_001587951.1.p1	XM_011321059.1.p1
OG0000014	XM_001598899.1.p1	XM_011319054.1.p1
OG0000018	XM_001597976.1.p1	XM_011324145.1.p1
OG0000018	XM_001587752.1.p1	XM_011322755.1.p1, XM_011324815.1.p1
OG0000018	XM_001596769.1.p1	XM_011324049.1.p1
OG0000019	XM_001589076.1.p1	XM_011329813.1.p1
OG0000019	XM_001592631.1.p1, XM_001592437.1.p1	XM_011324935.1.p1
OG0000019	XM_001586214.1.p1	XM_011326029.1.p1
OG0000019	XM_001598197.1.p1, XM_001592371.1.p1	XM_011321676.1.p1
